gene	Mel270.D28A	Mel270.D28B	Mel270.D28C	Mel270.D35A	Mel270.D35B	Mel270.D35C
ABCA3	-0.242602667377786	-0.206596224241154	-0.231772313847322	-0.264275115678757	-0.250359265521895	-0.294305850374236
ABCB1	-0.124225994757661	-0.20745268997334	-0.101413313744464	-0.192309386158326	-0.292277709464049	-0.0804349644409582
ABCC3	-0.362031722540195	-0.132562363169161	-0.313084660210157	-0.349782969769036	-0.099441181779514	-0.340118178373531
ABCG2	-0.255451820676739	-0.151522587404919	-0.164567930398826	-0.247684883299312	-0.183989417832717	-0.111321725024959
ABL1	-0.151532982000469	-0.162943982463714	-0.081034317775588	-0.136936930976925	-0.266302428475212	-0.078118529563223
ABL2	-0.324672755051339	-0.156940813099317	-0.125347997025369	-0.389733946256155	-0.0828185782628135	-0.126234102369881
ABT1	-1.0514589692395	-0.754329159338546	-0.854062064689851	-1.14789716343131	-0.845260151277369	-1.01929291801915
ABTB2	-0.239593410335387	-0.0209116832639516	-0.358887760589144	-0.268661034492134	-0.0638518811395696	-0.425252229620775
ACACA	-0.225532950192056	-0.348261351529739	-0.445144828995741	-0.220788989674733	-0.525123521422852	-0.438161409432137
ACACB	-0.271103443492732	-0.174209390051021	-0.123658762024907	-0.310702797624468	-0.152601481577479	-0.161423783349287
ACTL6A	-0.562364096208581	-0.773780403797005	-0.623233389317673	-0.614657100440547	-0.799581292327255	-0.641159560185938
ACTL6B	-0.218657411363139	-0.411510560790231	-0.339374460747406	-0.166149451941252	-0.434877386045231	-0.350262740670383
ACTL7A	-0.0930370080959445	-0.181693068888482	-0.257070957323704	-0.0804250520220312	-0.310014107853726	-0.373808908562703
ADAM19	-0.147843300212316	-0.197114361423586	-0.248364591530546	-0.162741672588192	-0.287732300540172	-0.329119535581404
ADAP1	-0.249784627179908	-0.275402685354151	-0.460502240150722	-0.218882019159307	-0.339662385573237	-0.42307034063686
ADAP2	-0.344152939920469	-0.143661681241426	-0.1406604087301	-0.334766771253407	-0.225146161292526	-0.196957069800506
ADARB1	-0.162400230754788	-0.121306926556755	-0.0882039093013667	-0.148686255480397	-0.112477582085534	-0.0988156411259307
ADARB2	-0.201743721384013	-0.282273492218719	-0.0444481891829471	-0.226300910338619	-0.33145799631056	-0.0617914629743334
ADGRG7	-0.181201866872822	-0.351160305296824	-0.158736555731883	-0.219324569140701	-0.404741502037685	-0.15787609708933
ADM	-0.157097670141717	-0.137106359164576	-0.238955586570577	-0.156450854073418	-0.205419600921662	-0.244250840831361
