id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	5.0178e-07	4.6747e-06	0.00495	1	6	-1.4193	0.99965	0.99966	0.999659	1058	0	-1.4193
E2F3	3	9.8801e-05	0.00026646	0.141089	2	3	-1.7653	0.99965	0.99965	0.999659	1059	0	-1.7653
TOMM22	4	0.00017158	0.00082742	0.292079	3	4	-1.2261	0.99336	0.9932	0.999659	1049	0	-1.2261
RRM2	4	0.00041186	0.0016876	0.325908	4	2	-0.68868	0.57987	0.57989	0.721626	73	0	-0.68868
FNIP1	4	0.00042695	0.001725	0.325908	5	4	-1.1537	0.99957	0.99957	0.999659	1057	0	-1.1537
RPL5	4	0.00046141	0.0018465	0.325908	6	4	-1.49	0.99954	0.99957	0.999659	1056	0	-1.49
FANCM	4	0.00064533	0.0024636	0.372702	7	3	-1.2961	0.57987	0.57989	0.721626	783	0	-1.2961
FAM71A	4	0.00077305	0.0029871	0.395421	8	4	-0.96573	0.99923	0.99932	0.999659	1055	0	-0.96573
BUB3	4	0.00093012	0.00352	0.414191	9	2	-0.57194	0.57987	0.57989	0.721626	649	0	-0.57194
TSG101	4	0.0013549	0.0051001	0.483911	10	4	-0.85207	0.99865	0.99877	0.999659	1054	0	-0.85207
RRM1	8	0.0013957	0.0076151	0.573663	11	7	-1.1321	0.82349	0.82291	0.982481	864	0	-1.1321
NCBP2	4	0.0014074	0.0053899	0.483911	12	1	-0.22564	0.57987	0.57989	0.721626	147	0	-0.22564
RSBN1L	4	0.0014356	0.0054834	0.483911	13	3	-1.8147	0.97286	0.97301	0.999659	1016	0	-1.8147
ATP6V1B2	4	0.0022839	0.0084285	0.573663	14	4	-1.1686	0.99772	0.99775	0.999659	1053	0	-1.1686
ATP5F1B	4	0.0023448	0.0085968	0.573663	15	2	-0.26423	0.57987	0.57989	0.721626	569	0	-0.26423
CHORDC1	3	0.0031901	0.0087744	0.573663	16	2	-1.6245	0.81828	0.81818	0.982481	863	0	-1.6245
RAN	4	0.0032816	0.011729	0.573663	17	1	-0.033722	0.57987	0.57989	0.721626	54	0	-0.033722
CLTC	4	0.0032974	0.011776	0.573663	18	2	-0.7786	0.88273	0.88311	0.999659	917	0	-0.7786
TBPL2	4	0.003461	0.012337	0.573663	19	4	-0.69475	0.99654	0.99662	0.999659	1052	0	-0.69475
FDPS	4	0.0035579	0.012692	0.573663	20	2	-0.88342	0.57987	0.57989	0.721626	800	0	-0.88342
RPL36	4	0.0037595	0.013309	0.573663	21	2	-1.52	0.92691	0.92681	0.999659	958	0	-1.52
DYNLRB1	3	0.0037998	0.010382	0.573663	22	2	-1.5003	0.92753	0.92702	0.999659	959	0	-1.5003
SNRPD3	4	0.0038279	0.013543	0.573663	23	3	-1.283	0.57987	0.57989	0.721626	422	0	-1.283
STX17	4	0.0040498	0.014337	0.579941	24	4	-1.0426	0.9937	0.99359	0.999659	1050	0	-1.0426
RPL14	3	0.0040987	0.011289	0.573663	25	2	-2.1069	0.93689	0.93622	0.999659	971	0	-2.1069
RPP21	4	0.0042685	0.014786	0.579941	26	4	-1.4433	0.99295	0.99288	0.999659	1046	0	-1.4433
DHX29	3	0.0043675	0.012	0.573663	27	3	-1.3827	0.99563	0.9954	0.999659	1051	0	-1.3827
PRDM16	4	0.0062252	0.021106	0.638339	28	3	-0.83248	0.57987	0.57989	0.721626	192	0	-0.83248
SPAG9	4	0.0062607	0.021256	0.638339	29	3	-1.0773	0.96198	0.96238	0.999659	1006	0	-1.0773
XRCC6	4	0.0067717	0.022836	0.638339	30	3	-1.2733	0.57987	0.57989	0.721626	325	0	-1.2733
MTHFD1	4	0.0069096	0.023229	0.638339	31	4	-0.58979	0.99309	0.99297	0.999659	1048	0	-0.58979
TOP1	4	0.0069547	0.023369	0.638339	32	4	-1.3277	0.99305	0.99295	0.999659	1047	0	-1.3277
SF3A1	4	0.007022	0.023565	0.638339	33	2	-0.24374	0.57987	0.57989	0.721626	382	0	-0.24374
ALDOA	4	0.0071913	0.024154	0.638339	34	3	-1.0912	0.86297	0.86412	0.999659	892	0	-1.0912
EIF3B	4	0.0072303	0.024257	0.638339	35	4	-1.5748	0.99229	0.9922	0.999659	1045	0	-1.5748
ABT1	4	0.0076073	0.025435	0.638339	36	3	-1.2595	0.9862	0.98629	0.999659	1035	0	-1.2595
MTUS1	4	0.0078961	0.026491	0.638339	37	2	-0.48677	0.57987	0.57989	0.721626	148	0	-0.48677
GSDMD	4	0.0079548	0.026697	0.638339	38	3	-1.4567	0.9128	0.91296	0.999659	943	0	-1.4567
POLR2L	4	0.0079555	0.026697	0.638339	39	2	-0.45884	0.94457	0.94449	0.999659	985	0	-0.45884
TRRAP	4	0.007979	0.026772	0.638339	40	4	-1.4194	0.99202	0.99194	0.999659	1044	0	-1.4194
HUS1	4	0.008164	0.027277	0.638339	41	3	-0.94276	0.98318	0.98308	0.999659	1027	0	-0.94276
SBNO1	4	0.008289	0.027716	0.638339	42	2	-0.9399	0.96263	0.96301	0.999659	1007	0	-0.9399
CTR9	4	0.0085493	0.028464	0.638339	43	3	-1.123	0.57987	0.57989	0.721626	465	0	-1.123
RBPJ	4	0.0085896	0.028548	0.638339	44	3	-1.1536	0.97125	0.97141	0.999659	1015	0	-1.1536
CCND1	4	0.0086364	0.028689	0.638339	45	3	-0.78289	0.98404	0.98423	0.999659	1030	0	-0.78289
RECK	4	0.0087929	0.029119	0.638339	46	2	-0.67173	0.57987	0.57989	0.721626	106	0	-0.67173
TMEM120A	4	0.0088883	0.02938	0.638339	47	2	-0.54928	0.57987	0.57989	0.721626	255	0	-0.54928
CDK7	4	0.009206	0.030371	0.638339	48	3	-1.2438	0.57987	0.57989	0.721626	613	0	-1.2438
SOS2	4	0.0094778	0.031129	0.638339	49	4	-0.68449	0.99052	0.99045	0.999659	1043	0	-0.68449
GTF3C1	4	0.0096799	0.031821	0.638339	50	3	-0.98233	0.57987	0.57989	0.721626	807	0	-0.98233
TOB1	4	0.0098692	0.032456	0.638339	51	3	-0.91438	0.98809	0.98817	0.999659	1041	0	-0.91438
PRKDC	8	0.0099215	0.043049	0.696928	52	5	-0.56328	0.82349	0.82291	0.982481	875	0	-0.56328
VCP	4	0.010278	0.033728	0.644714	53	2	-0.91694	0.95519	0.95568	0.999659	997	0	-0.91694
HTR2C	4	0.010402	0.034093	0.644714	54	3	-1.4072	0.95564	0.95625	0.999659	998	0	-1.4072
ACTL6A	4	0.010752	0.035271	0.644991	55	1	-0.38347	0.57987	0.57989	0.721626	468	0	-0.38347
NAPA	4	0.010891	0.035691	0.644991	56	4	-0.56436	0.98911	0.98906	0.999659	1042	0	-0.56436
MTG2	4	0.010948	0.035934	0.644991	57	3	-0.78406	0.57987	0.57989	0.721626	154	0	-0.78406
INTS6	3	0.011	0.028848	0.638339	58	3	-1.4248	0.98778	0.98785	0.999659	1040	0	-1.4248
DZIP1L	4	0.011786	0.038449	0.673507	59	3	-0.87583	0.96182	0.96224	0.999659	1005	0	-0.87583
IPO7	3	0.01243	0.03255	0.638339	60	2	-1.616	0.47816	0.47642	0.721626	26	0	-1.616
