gene	MP46.D28A	MP46.D28B	MP46.D28C	MP46.D64A	MP46.D64B	MP46.D64C
ABCA3	-0.0356281034624741	0	-0.0937082042864142	-1.81106552420298	-0.0916493798119221	-1.01014472414309
ABCB1	-0.284752659529993	0	-0.0749672450837884	-0.857346995738618	-0.0219699986787885	-1.66227965520232
ABCC3	-0.205252573063303	-0.299335026365526	-0.350688763916082	-1.58134622695202	-1.27506367466123	-2.68909772723673
ABCG2	0	-0.0160555442560263	-0.204317144238254	-0.175578068663847	-0.730614930265294	-1.10936846758358
ABL1	0	-0.222497470017014	-0.214600966960156	0	-1.59644582592658	-1.08627040097611
ABL2	-0.347980444238934	-0.398015063813883	-0.309019042563801	-2.10944454327516	-2.13133690067474	-1.44808116727726
ABT1	-0.949056880719521	-0.81810372108965	-0.602838533511832	-2.45044385139392	-2.23928339686156	-2.76584355946179
ABTB2	-0.120743657963666	-0.377094958772014	-0.0843997022855915	-0.743293568505117	-0.42512342420771	-1.3973250314091
ACACA	-0.607115777596479	-0.354589404604631	-0.241740391346978	-1.56134680567871	-2.09511809173798	-1.25333838441405
ACACB	0	0	0	-0.610300165486997	-0.428811104572741	-0.614220592752465
ACTL6A	-0.774382942750369	-0.652768738673818	-0.852495982318887	-1.9964720735134	-2.00756192740412	-2.23894644479496
ACTL6B	-0.041144337813136	-0.247627192132259	-0.220205161863466	-0.805517493397797	-1.87630749433065	-1.35397690854224
ACTL7A	-0.150501124056423	-0.238695085436028	-0.701844511347149	-2.37366802234292	-0.351702422216702	-3.21354049887862
ADAM19	0	-0.289666716424847	-0.0553048865082128	-0.362805012195028	-1.42690349236967	-2.05960961767834
ADAP1	-0.322927026192747	-0.142747322723597	-0.851285383249032	-2.82416347590795	-2.69041119621578	-3.76785194184698
ADAP2	-0.177124827203691	-0.259730812455075	-0.371585969192645	-1.22895761619873	-2.09395449038419	-2.95479462577213
ADARB1	-0.452797466279166	-0.629414479333462	-0.00348047490538684	-1.76484198727981	-1.79934224540756	-0.53845919035908
ADARB2	-0.212090891490867	0	-0.106248996654864	-0.644344343680303	-1.01424466824374	-0.239383416335547
ADGRG7	-0.1781142502699	-0.605806749986643	-0.151899850633004	-1.45298299012566	-2.26628412121634	-2.23495921249449
ADM	0	-0.127947319895578	-0.0367478460566815	-0.579098178915645	-1.39148820518643	-1.44118444870063
ADSS	-0.209629917496754	-0.404794462570611	-0.192311477211645	-1.48407882496085	-2.10092170899799	-2.06528372399933
ADSSL1	-0.0637578625236903	-0.166691734110566	-0.00406647879486335	-0.420598712613057	-0.650499605851241	-0.33804343669371
AFG3L2	-0.242243320227571	-0.163918403944163	-0.937345144305209	-1.8706582805933	-2.46152977681584	-2.65168000732578
AHCYL1	-0.60150081341047	-0.869994077896696	-0.289158634892057	-3.1839503200769	-2.01212917613972	-0.932773485068993
AHCYL2	-0.108158928832202	-0.116078927020543	-0.359665265340835	-1.62974171390983	-2.44874230961986	-1.24335442170202
AIPL1	-0.116222726061324	-0.205499907959629	-0.32990414348798	-2.68292732557195	-0.678128153024979	-0.764325868764157
AKAP11	-0.0840442399378539	-0.150620751039089	-0.0353314828075884	-2.07319136972961	-1.25196804208137	-0.876025012515771
AKIRIN1	-0.216021531834145	-0.639108611812892	-0.31445371800109	-1.98411912979996	-2.0451034972988	-1.45309814381004
AKIRIN2	-0.662570402891425	-0.496928425970073	-0.0781499142434641	-2.10238802849518	-1.34628347183043	-2.05657337813285
ALAS1	-0.121036704013604	-0.0296682337091132	-0.124970866849536	-1.53575897877893	-1.54234454054595	-1.59031695987396
ALAS2	-0.776639094237655	0	-0.703114354249499	-1.42786048819162	-1.4330688953672	-1.50424643163928
ALDOA	-0.31835969825667	-0.366080844233197	-0.177395854719711	-2.46169341841237	-2.82260759903638	-2.77653762277789
ALDOC	-0.12854405378552	-0.462053433599801	0	-1.65132559581436	-3.68370452046879	-1.27648363812159
ALG14	0	-0.31731575418573	-0.0950328643818279	-0.412834660695052	-1.94829962234855	-1.86226209769886
AMELX	-0.109212746782657	-0.270171578729221	-0.285027405106157	-0.821902806361464	-1.10847214150763	-2.17932308892552
ANAPC4	-0.192081325247664	-0.392441332504986	-1.08858720713277	-1.0436934965986	-1.80734276256133	-2.52318828774559
ANKRD10	-0.0734318043097846	-0.0407586514740744	-0.157545760228448	-0.763944422267003	-0.841028447776251	-0.788394909791134
ANKRD37	0	-0.175040340059677	0	-0.848508509193456	-1.23022222953824	-0.600552002113659
ANXA1	-0.361265082901816	0	0	-1.3797447339872	-0.928127621053925	-0.527883300122412
AOX1	-0.0987586091629394	-0.115852109253334	-0.36231826480807	-1.98210642154173	-1.39234386154148	-1.79507084366329
