gene	BF
ABCA3	-1.65492708333333
ABCB1	-1.49184375
ABCC3	-1.69930208333333
ABCG2	0.27603125
ABL1	-1.73296875
ABL2	-0.382302083333333
ABT1	3.78894791666667
ABTB2	-1.54221875
ACACA	7.83936458333333
ACACB	-0.620760416666667
ACTL6A	8.82973958333333
ACTL6B	-0.187885416666667
ACTL7A	-0.380927083333333
ADAM19	-2.07830208333333
ADAP1	0.0436979166666667
ADAP2	-0.550760416666667
ADARB1	-1.67880208333333
ADARB2	-1.89276041666667
ADGRG7	-0.846385416666667
ADM	-0.875010416666667
ADSS	-0.464788194444445
ADSSL1	-0.247302083333333
AFG3L2	7.11837847222222
AHCYL1	5.39286458333333
AHCYL2	-1.68046875
AIPL1	-1.27263541666667
AKAP11	-1.34596875
AKIRIN1	1.36711458333333
AKIRIN2	5.15894791666667
ALAS1	-1.33373958333333
ALAS2	-1.12121875
ALDOA	9.69686458333333
ALDOC	-1.25351041666667
ALG14	-0.645885416666667
AMELX	-1.79846875
ANAPC4	2.24678125
ANKRD10	-1.75280208333333
ANKRD37	-1.94655208333333
ANXA1	-1.27180208333333
AOX1	-1.25296875
AP1G1	-0.99034375
AP1G2	-0.661010416666667
AP2A1	0.0402395833333332
AP2A2	-1.18688541666667
AP3M1	-1.40488541666667
AP5M1	-1.41830208333333
APH1A	0.344864583333333
APH1B	1.25411458333333
APOBEC1	-1.21301041666667
APOBEC3C	-1.04446875
AQP8	-1.89221875
ARFGEF1	-0.679927083333333
ARFGEF2	-1.47930208333333
ARFIP1	-1.09280208333333
ARFIP2	-0.523010416666667
ARHGEF3	-2.20292708333333
ARHGEF6	-1.28221875
ARHGEF7	-0.856052083333333
ARID1A	1.87336458333333
ARID1B	-1.56126041666667
ARID4A	-0.757677083333333
ARPC5	-0.10609375
ARPC5L	-1.12080208333333
ARSJ	-1.06463541666667
ASCL1	-1.76421875
ASF1A	0.0517812499999999
ASF1B	0.370927083333333
ATAD2	-1.30513541666667
ATAD2B	-1.17280208333333
ATM	-0.922427083333333
ATOH1	-1.41017708333333
ATP5F1A	6.47423958333333
ATP5F1B	5.68444791666667
ATP5F1D	2.31328125
ATP5PB	0.208322916666667
ATP6V1B1	-0.29659375
ATP6V1B2	6.22444791666667
ATP6V1C1	5.77732291666667
ATP6V1C2	-0.672510416666667
ATP6V1D	4.97148958333333
ATP6V1E1	0.163434027777778
ATP6V1E2	0.672864583333333
ATP7A	1.54023958333333
ATP7B	-0.939677083333333
ATP8B3	-0.904177083333333
ATR	2.34165625
AXL	-1.32651041666667
BAP1	1.99561458333333
BARHL1	-1.58934375
BATF3	-0.69421875
BCAP31	-0.853302083333333
BECN1	2.00898958333333
BECN2	-1.47051041666667
BICD1	-1.01242708333333
BICD2	-1.20663541666667
BRD8	1.18932291666667
BRSK1	-1.36096875
BRSK2	-1.37288541666667
BTBD11	-1.53421875
BTG1	-2.05180208333333
BUB1B	6.15590625
BUB3	13.76878125
BZW1	-0.356232638888889
BZW2	-0.0380104166666667
CAB39	-2.20280208333333
CAB39L	-1.05421875
CABP5	-0.46634375
CADPS	-1.57046875
CADPS2	-0.78359375
CALY	-1.12796875
CAND1	3.57232291666667
CAND2	-0.895010416666667
CAP1	-0.789177083333333
CAP2	-1.33755208333333
CAPN2	-1.32867708333333
CASP4	-1.87309375
CAT	-1.03646875
CAV1	-0.29646875
CAVIN1	-1.96788541666667
CBLL1	0.89153125
CBLL2	-1.94301041666667
CCDC69	-1.60163541666667
CCND1	5.42536458333333
CCND3	-1.19296875
CCNE1	-0.788302083333333
CCNE2	-1.40026041666667
CCNL1	3.24240625
CCNL2	-1.93209375
CCNT1	-1.54455208333333
CCNT2	-1.62984375
CCT6A	6.42148958333333
CCT6B	0.176239583333333
CD163L1	-2.00813541666667
CD44	-1.49726041666667
CD72	-1.41426041666667
CDC34	-0.470802083333334
CDIPT	6.89132291666667
CDK16	-1.66026041666667
CDK17	-0.27146875
CDK19	-1.27613541666667
CDK2	1.48423958333333
CDK5R1	-0.78471875
CDK5R2	-0.82821875
CDK7	11.27615625
CDK8	-0.593552083333333
CDNF	-0.886177083333334
CDS1	-0.69309375
CDS2	4.81911458333333
CEACAM1	-1.60617708333333
CELA2A	-1.71130208333333
CFL1	2.77723958333333
CHM	-1.55788541666667
CHML	-1.08471875
CHMP1A	0.693489583333333
CHMP1B	-1.63434375
