id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RRM1	8	1.1596e-09	4.6747e-06	0.00165	1	8	-1.4219	1.0	1.0	0.999995	1059	0	-1.4219
MYC	8	3.9592e-09	4.6747e-06	0.00165	2	8	-0.94653	1.0	1.0	0.999995	1058	0	-0.94653
NAE1	8	2.2683e-07	4.6747e-06	0.00165	3	7	-0.66732	0.96769	0.96753	0.999995	938	0	-0.66732
BUB3	4	1.6407e-06	1.4024e-05	0.003713	4	4	-1.5314	1.0	1.0	0.999995	1057	0	-1.5314
KIF11	4	3.7494e-06	2.3373e-05	0.00495	5	4	-1.295	1.0	1.0	0.999995	1056	0	-1.295
RPP21	4	1.3337e-05	7.947e-05	0.007235	6	4	-1.3295	0.99999	1.0	0.999995	1055	0	-1.3295
SF3B3	4	1.3756e-05	7.947e-05	0.007235	7	4	-1.2932	0.99999	1.0	0.999995	1054	0	-1.2932
CKAP5	8	1.6562e-05	6.0771e-05	0.007235	8	6	-0.8071	0.9999	0.99992	0.999995	1045	0	-0.8071
RPL36	4	2.0155e-05	7.947e-05	0.007235	9	4	-0.99036	0.99998	1.0	0.999995	1053	0	-0.99036
RRM2	4	2.3813e-05	8.8819e-05	0.007235	10	2	-0.80144	0.47183	0.47111	0.722006	58	0	-0.80144
CDK7	4	2.4409e-05	8.8819e-05	0.007235	11	4	-1.164	0.99998	1.0	0.999995	1052	0	-1.164
ALDOA	4	2.5067e-05	8.8819e-05	0.007235	12	4	-1.1728	0.99997	1.0	0.999995	1051	0	-1.1728
POLR2L	4	2.6424e-05	8.8819e-05	0.007235	13	4	-1.4378	0.99997	1.0	0.999995	1050	0	-1.4378
MTG2	4	3.241e-05	9.8168e-05	0.007426	14	4	-0.82324	0.99997	1.0	0.999995	1049	0	-0.82324
COPA	4	3.8971e-05	0.00010752	0.007591	15	4	-1.551	0.99988	0.99988	0.999995	1041	0	-1.551
INTS6	3	6.1839e-05	0.00018231	0.012067	16	3	-1.4699	0.99994	0.99992	0.999995	1048	0	-1.4699
ATP5F1A	4	7.1266e-05	0.00025711	0.016016	17	4	-0.81986	0.99993	0.99995	0.999995	1047	0	-0.81986
PPP4C	4	9.0414e-05	0.00041605	0.024477	18	4	-0.91892	0.99991	0.99991	0.999995	1046	0	-0.91892
VMP1	4	0.00010323	0.00047214	0.02599	19	4	-0.94118	0.9999	0.9999	0.999995	1044	0	-0.94118
TOP2A	4	0.00010713	0.00049084	0.02599	20	4	-1.1283	0.99989	0.99989	0.999995	1043	0	-1.1283
