gene	BF
ABCA3	-1.00804166666667
ABCB1	-1.45104166666667
ABCC3	-0.728916666666667
ABCG2	-1.03141666666667
ABL1	-1.27079166666667
ABL2	-0.104375
ABT1	1.11133333333333
ABTB2	-0.398041666666667
ACACA	-0.912333333333333
ACACB	-1.181375
ACTL6A	0.741125
ACTL6B	-0.358375
ACTL7A	-0.00949999999999997
ADAM19	-1.08041666666667
ADAP1	-0.119416666666667
ADAP2	-0.607875
ADARB1	-1.27254166666667
ADARB2	-1.202625
ADGRG7	-0.645041666666667
ADM	-0.0361666666666667
ADSS	-0.515472222222222
ADSSL1	-0.694583333333333
AFG3L2	-0.0754166666666666
AHCYL1	0.359833333333333
AHCYL2	-1.39141666666667
AIPL1	-1.17841666666667
AKAP11	-0.586083333333333
AKIRIN1	0.0664583333333333
AKIRIN2	0.452291666666667
ALAS1	-1.5115
ALAS2	-1.16241666666667
ALDOA	1.62520833333333
ALDOC	-0.385166666666667
ALG14	-1.14279166666667
AMELX	-1.463
ANAPC4	-0.496958333333333
ANKRD10	-0.60675
ANKRD37	-0.980208333333333
ANXA1	-1.64054166666667
AOX1	-1.288875
AP1G1	-0.943416666666667
AP1G2	-0.870166666666667
AP2A1	0.779666666666667
AP2A2	-1.09966666666667
AP3M1	-0.287625
AP5M1	-0.869916666666667
APH1A	-0.936583333333333
APH1B	-0.983791666666667
APOBEC1	-0.488666666666667
APOBEC3C	-0.591666666666667
AQP8	-1.316125
ARFGEF1	-0.651291666666667
ARFGEF2	-0.567291666666667
ARFIP1	-1.43529166666667
ARFIP2	-0.505166666666667
ARHGEF3	-1.07729166666667
ARHGEF6	-1.69
ARHGEF7	-0.332041666666667
ARID1A	-0.370708333333333
ARID1B	-0.439416666666667
ARID4A	-1.29108333333333
ARPC5	-0.0495416666666667
ARPC5L	-0.400291666666667
ARSJ	-0.814208333333333
ASCL1	-0.408791666666667
ASF1A	-0.410208333333333
ASF1B	-0.150145833333333
ATAD2	-1.08191666666667
ATAD2B	-1.38508333333333
ATM	-1.03191666666667
ATOH1	-0.830333333333333
ATP5F1A	0.114125
ATP5F1B	1.54491666666667
ATP5F1D	0.824291666666667
ATP5PB	-0.277375
ATP6V1B1	-1.0605
ATP6V1B2	1.29466666666667
ATP6V1C1	0.789541666666667
ATP6V1C2	-0.417791666666667
ATP6V1D	0.0897916666666667
ATP6V1E1	-1.64980555555556
ATP6V1E2	-1.108125
ATP7A	-1.86891666666667
ATP7B	-1.317125
ATP8B3	-0.960541666666667
ATR	-0.16125
AXL	-1.01
BAP1	-0.908375
BARHL1	-0.506041666666667
BATF3	-0.524166666666667
BCAP31	-0.712791666666667
BECN1	-0.795625
BECN2	-1.05308333333333
BICD1	-0.00991666666666666
BICD2	-0.0546666666666667
BRD8	-0.239666666666667
BRSK1	-0.832625
BRSK2	0.311458333333333
BTBD11	-0.536041666666667
BTG1	-0.505583333333333
BUB1B	-0.135458333333333
BUB3	2.946625
BZW1	-0.387138888888889
BZW2	-0.0513333333333333
CAB39	-1.52479166666667
CAB39L	-0.954333333333333
CABP5	-0.105625
CADPS	-0.770625
CADPS2	-1.34333333333333
CALY	-0.619958333333333
CAND1	-0.263125
CAND2	-0.64875
CAP1	-0.688208333333333
CAP2	-0.373375
CAPN2	-0.4135
CASP4	-1.01429166666667
CAT	-1.34475
CAV1	-1.28525
CAVIN1	0.00712500000000001
CBLL1	-0.88275
CBLL2	-1.22525
CCDC69	-1.23720833333333
CCND1	2.687375
CCND3	0.964083333333333
CCNE1	-0.960208333333333
CCNE2	-0.938958333333333
CCNL1	-0.797541666666667
CCNL2	-0.938416666666667
CCNT1	0.473083333333333
CCNT2	0.0595416666666667
CCT6A	-0.235416666666667
CCT6B	-0.780166666666667
CD163L1	-1.36454166666667
CD44	-0.846416666666667
CD72	-1.14666666666667
