id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	6.7457e-11	4.6747e-06	0.00495	1	8	-1.2604	1.0	1.0	0.999995	1059	0	-1.2604
RRM2	4	2.0638e-06	1.4024e-05	0.007426	2	3	-1.3455	0.58814	0.58818	0.999995	617	0	-1.3455
MTG2	4	3.292e-06	2.3373e-05	0.008251	3	4	-1.0689	1.0	1.0	0.999995	1058	0	-1.0689
PRKDC	8	1.1925e-05	6.0771e-05	0.016089	4	7	-0.81371	0.96778	0.96763	0.999995	981	0	-0.81371
NAE1	8	1.7547e-05	0.00010752	0.01768	5	7	-0.74661	0.38043	0.38069	0.973785	409	0	-0.74661
RRM1	8	2.3538e-05	0.00013557	0.017946	6	8	-1.4074	0.99968	0.9997	0.999995	1049	0	-1.4074
E2F3	3	2.555e-05	7.947e-05	0.016832	7	3	-1.6193	0.99997	0.99999	0.999995	1057	0	-1.6193
PRPF8	4	4.1744e-05	0.00011687	0.01768	8	4	-1.2602	0.99996	0.99998	0.999995	1056	0	-1.2602
BUB3	4	5.1555e-05	0.00017296	0.020352	9	4	-1.4375	0.99992	0.99992	0.999995	1054	0	-1.4375
POLR2L	4	6.6304e-05	0.00021971	0.023267	10	4	-1.3997	0.99993	0.99996	0.999995	1055	0	-1.3997
PPP4C	4	7.4088e-05	0.00030385	0.029253	11	3	-1.0102	0.87143	0.87204	0.999995	867	0	-1.0102
HRAS	4	9.3054e-05	0.0004254	0.037541	12	4	-0.74281	0.99991	0.99991	0.999995	1053	0	-0.74281
CCND1	4	0.00011227	0.00050019	0.040746	13	4	-1.304	0.99979	0.99978	0.999995	1052	0	-1.304
ALDOA	4	0.00013692	0.00062173	0.04703	14	3	-1.0111	0.71493	0.71427	0.999995	727	0	-1.0111
CCND3	4	0.00021092	0.00093026	0.065677	15	4	-0.81778	0.99979	0.99978	0.999995	1051	0	-0.81778
NMT1	4	0.0002331	0.0010051	0.066522	16	4	-0.93931	0.99977	0.99976	0.999995	1050	0	-0.93931
RPP21	4	0.00033741	0.0014538	0.085534	17	4	-1.3312	0.99966	0.99963	0.999995	1048	0	-1.3312
SOX9	4	0.0004214	0.0017156	0.095623	18	4	-0.66293	0.99958	0.99957	0.999995	1047	0	-0.66293
KIF11	4	0.00046437	0.0018559	0.098267	19	4	-1.0693	0.99954	0.99956	0.999995	1046	0	-1.0693
CHORDC1	3	0.00048379	0.0014538	0.085534	20	3	-1.0712	0.99952	0.99952	0.999995	1045	0	-1.0712
MRPL38	4	0.00053653	0.0022205	0.106974	21	4	-0.83528	0.99946	0.99952	0.999995	1044	0	-0.83528
TOP1MT	4	0.00056191	0.0023046	0.106974	22	3	-0.97546	0.54399	0.54289	0.991234	580	0	-0.97546
