gene	MP38.D28A	MP38.D28B	MP38.D28C	MP38.D65A	MP38.D65B	MP38.D65C
ABCA3	-0.204163698135474	-0.186035330484408	-0.171442745015511	-0.338066069039365	-0.252732697094959	-0.382389964114585
ABCB1	-0.0449677672308445	-0.050736845467755	-0.0123308156539883	-0.00945723928842248	-0.0900339424886567	-0.0504463191938196
ABCC3	-0.06698132179066	-0.191889392002393	-0.20869089072264	-0.0141858714784905	-0.201063080879015	-0.255910346901135
ABCG2	-0.0843913424252409	-0.130136204359542	-0.113472547331839	-0.0792962077628667	-0.16225034300388	-0.0306446861871015
ABL1	-0.0464025102768376	-0.0588571514281417	-0.0617289547362354	-0.0235608405249425	-0.130740407259239	-0.104112527731865
ABL2	-0.144771396416835	-0.183536250705528	-0.172327038359129	-0.271842577656997	-0.331325793889666	-0.381912996935235
ABT1	-0.704825961200841	-0.78318852096812	-0.728468671300009	-1.31183114678997	-1.68569985657122	-1.11106019519367
ABTB2	-0.106582583715417	-0.261309010242779	-0.173285521820211	-0.298739059388647	-0.474849311069793	-0.501987035800554
ACACA	-0.110551107955842	-0.272145838718008	-0.222651623626851	-0.57927161682803	-0.517230539836003	-0.737670641572196
ACACB	-0.117643599622329	-0.0879620581300955	-0.165092724937565	-0.0840556584163197	-0.0683914914095828	-0.201460828686679
ACTL6A	-0.631254325883438	-0.692610440170802	-0.539939413242735	-1.61669819481711	-1.49352167425839	-0.750233424415302
ACTL6B	-0.114108565325125	-0.113439217723887	-0.0534198632054018	-0.218212082448674	-0.0944707626001282	-0.115500490273459
ACTL7A	-0.214927302383728	-0.191507702576069	-0.185566236018987	-0.362051543894716	-0.305974962670881	-0.187775286349018
ADAM19	-0.0231540223012546	-0.0690963648167389	-0.0431054880012221	-0.0954405926710464	-0.00172824082553154	-0.0255038099054122
ADAP1	-0.326579739601986	-0.245236221091354	-0.267597722802479	-0.676289905583804	-0.488422948075522	-0.582028658574772
ADAP2	-0.302236306286215	-0.215411423992293	-0.113542768898934	-0.65222222104253	-0.390178800688531	-0.143204474462165
ADARB1	-0.0579115309887428	-0.0641831031498648	-0.0649963402490191	-0.112164412068383	-0.191186116470158	-0.0875384924454234
ADARB2	-0.146249514620651	-0.089769743016746	-0.206525937768225	-0.140003171895526	-0.189059264614618	-0.401709948366437
ADGRG7	-0.142757566927358	-0.167048770253048	-0.133726917412189	-0.198249316906062	-0.188140810503076	-0.048020536282062
ADM	-0.111854859233991	-0.165351036187856	-0.122483263594609	-0.110110346840507	-0.19475276910249	-0.292322369114741
ADSS	-0.134446306683287	-0.226165542562493	-0.120448963088738	-0.215419629072804	-0.409844965368551	-0.159559060983059
ADSSL1	-0.218645174438917	-0.120189398028505	-0.168993614358912	-0.380175649799332	-0.353725898436717	-0.206689601047562
AFG3L2	-0.743368416111462	-0.637902532386289	-0.70163739349131	-1.82568537829599	-0.884552112321814	-1.51434673746046
AHCYL1	-0.831557012532258	-0.668083723440328	-0.636114292846432	-1.49717014881836	-1.24813882442041	-1.35726205286459
AHCYL2	-0.0879628171410104	-0.0797749227784927	-0.0881652469933007	-0.344590191668474	-0.269691734651985	-0.194209197345809
AIPL1	-0.135758104380014	-0.156967839527029	-0.0916142798697973	-0.392664559845031	-0.266886671034972	-0.364835706295527
AKAP11	-0.148456690814171	-0.0616101350882466	-0.136025125271313	-0.158910599243419	-0.132880224138367	-0.233128671116748
AKIRIN1	-0.24546670042738	-0.239091414070683	-0.298756642325564	-0.506342443009966	-0.315693840081723	-0.635111563297566
AKIRIN2	-0.592019084805432	-0.600699563082653	-0.599081810811205	-0.858260133188254	-1.09814209599792	-0.90432829506954
ALAS1	-0.0999728003414813	-0.1591302819762	-0.0882073942929093	-0.436132537883062	-0.444637052776587	-0.4129741079024
ALAS2	-0.0932102992482534	-0.0682730084632615	-0.117879324135471	-0.180027704033231	-0.0369113862628266	-0.1918728275138
ALDOA	-0.859688507075321	-0.800698525831738	-0.755915097850595	-1.77425526402656	-2.36564487532934	-1.55331245828826
ALDOC	-0.158451944392462	-0.334653736829083	-0.22114025107658	-0.431324016869808	-0.262365231156691	-0.28767541581626
ALG14	-0.102207437745872	-0.0871444638249353	-0.140594646214623	-0.41781217878278	-0.205844813473058	-0.340957116186358
AMELX	-0.0900020851837499	-0.0848253555188034	-0.0324139929134391	-0.146373372358527	-0.237976908881479	-0.0680722223799562
ANAPC4	-0.236239456021725	-0.229219096534314	-0.29842259885834	-0.425233699491046	-0.275085523137959	-0.55675914442155
ANKRD10	-0.0594067882377348	-0.0379364632555744	-0.0264042208048795	-0.121521975320404	0	0
ANKRD37	-0.0657879328398869	-0.0541385029925201	-0.11730470382855	-0.147951907320999	-0.0472162675089588	-0.122390199301785
ANXA1	-0.00785046479936772	-0.0359000165158096	-0.0448348062994611	-0.0760445277711084	-0.000983656899024508	-0.0638231764712733
AOX1	-0.10178896591946	-0.102979589871201	-0.178368431752853	-0.320321731980135	-0.148296808492213	-0.175634692432107
AP1G1	-0.151969896363329	-0.105445186256935	-0.170511240003684	-0.323782965051929	-0.42980674349849	-0.282112565074292
AP1G2	-0.134553718263708	-0.0903965188052446	-0.090361875310303	-0.403142665651861	-0.234549302574127	-0.095537761906362
AP2A1	-0.144765138126219	-0.160964999055568	-0.241554395226792	-0.198936765124518	-0.429860967865961	-0.26166935629149
