gene	BF
ABCA3	-0.8338125
ABCB1	-1.07352083333333
ABCC3	0.0236041666666666
ABCG2	-0.704104166666667
ABL1	-1.23310416666667
ABL2	0.103104166666667
ABT1	1.65902083333333
ABTB2	-0.926354166666667
ACACA	0.913229166666667
ACACB	-0.815354166666667
ACTL6A	1.81235416666667
ACTL6B	-0.348395833333333
ACTL7A	-0.7899375
ADAM19	-0.9003125
ADAP1	-0.159854166666667
ADAP2	-0.223854166666667
ADARB1	-1.11385416666667
ADARB2	-0.618520833333333
ADGRG7	-0.0986875000000001
ADM	-0.487270833333333
ADSS	-0.695729166666667
ADSSL1	-0.0971041666666667
AFG3L2	1.58710416666667
AHCYL1	1.5923125
AHCYL2	-0.990645833333333
AIPL1	-0.773604166666667
AKAP11	-0.607895833333333
AKIRIN1	0.6764375
AKIRIN2	0.5018125
ALAS1	-1.080625
ALAS2	-0.498520833333333
ALDOA	2.58472916666667
ALDOC	-0.566729166666667
ALG14	-0.897645833333333
AMELX	-1.0738125
ANAPC4	-0.782604166666667
ANKRD10	-1.00122916666667
ANKRD37	-1.0588125
ANXA1	-1.41397916666667
AOX1	-0.9158125
AP1G1	-0.2520625
AP1G2	-0.806354166666667
AP2A1	-0.112645833333333
AP2A2	-1.17702083333333
AP3M1	-0.3804375
AP5M1	-0.3270625
APH1A	-0.949770833333333
APH1B	-0.7959375
APOBEC1	-0.987229166666667
APOBEC3C	-0.461604166666667
AQP8	-1.07577083333333
ARFGEF1	-0.4414375
ARFGEF2	-0.7650625
ARFIP1	-1.36797916666667
ARFIP2	-0.683229166666667
ARHGEF3	-0.970729166666667
ARHGEF6	-1.1354375
ARHGEF7	-0.355395833333333
ARID1A	0.352854166666667
ARID1B	-1.1956875
ARID4A	-0.181104166666667
ARPC5	-0.705020833333333
ARPC5L	-1.04789583333333
ARSJ	-0.413979166666667
ASCL1	-0.232270833333333
ASF1A	0.376895833333333
ASF1B	0.186020833333333
ATAD2	-1.06447916666667
ATAD2B	-0.520354166666667
ATM	-0.986354166666667
ATOH1	-0.174229166666667
ATP5F1A	1.1520625
ATP5F1B	2.83160416666667
ATP5F1D	0.613270833333333
ATP5PB	-0.00168750000000015
ATP6V1B1	-0.7544375
ATP6V1B2	2.82585416666667
ATP6V1C1	0.197104166666667
ATP6V1C2	-0.8714375
ATP6V1D	0.477854166666667
ATP6V1E1	-1.1590625
ATP6V1E2	-0.6681875
ATP7A	-0.265229166666667
ATP7B	-1.36960416666667
ATP8B3	-0.9170625
ATR	-0.251895833333333
AXL	-0.655854166666667
BAP1	-0.0602708333333334
BARHL1	-1.05760416666667
BATF3	-0.6745625
BCAP31	-1.00139583333333
BECN1	-0.183604166666667
BECN2	-0.936854166666667
BICD1	0.376270833333333
BICD2	0.676895833333333
BRD8	-0.8046875
BRSK1	-0.713604166666667
BRSK2	-0.0679791666666668
BTBD11	-0.682020833333333
BTG1	-0.3428125
BUB1B	0.667895833333333
BUB3	3.21172916666667
BZW1	0.123159722222222
BZW2	0.179854166666667
CAB39	-1.33997916666667
CAB39L	-0.647520833333333
CABP5	-0.4314375
CADPS	-0.262604166666667
CADPS2	-1.27585416666667
CALY	-0.2643125
CAND1	0.2161875
CAND2	-0.7309375
CAP1	-0.296520833333333
CAP2	-0.285270833333333
CAPN2	-0.662104166666667
CASP4	0.0252708333333332
CAT	-0.619979166666667
CAV1	-1.0803125
CAVIN1	-0.3553125
CBLL1	-0.7751875
CBLL2	-1.0359375
CCDC69	-1.14952083333333
CCND1	3.6770625
CCND3	-0.572479166666667
CCNE1	-0.855604166666667
CCNE2	0.0513541666666666
CCNL1	0.883895833333333
CCNL2	-0.771395833333334
CCNT1	-0.856854166666667
CCNT2	-0.4838125
CCT6A	0.496326388888889
CCT6B	-1.2331875
CD163L1	-1.18289583333333
CD44	-1.0134375
CD72	-0.947104166666667
CDC34	-0.933145833333334
CDIPT	1.43389583333333
CDK16	-0.941270833333334
CDK17	-1.2433125
CDK19	-1.060125
CDK2	1.26422916666667
CDK5R1	-0.472479166666667
CDK5R2	-0.0923125000000001
CDK7	1.96435416666667
CDK8	-0.7573125
CDNF	-0.8256875
CDS1	-0.700979166666667
CDS2	0.1390625
CEACAM1	-0.963979166666667
CELA2A	-0.5139375
CFL1	-0.667145833333334
CHM	-0.927645833333334
CHML	-1.0665625
CHMP1A	0.339354166666667
CHMP1B	-1.03247916666667
CHORDC1	3.17904861111111
CHRNB3	-0.9939375
CHSY1	-0.866770833333333
CHSY3	-0.1638125
CHUK	-0.5824375
CKAP5	0.754083333333333
CLASP1	0.0116458333333333
CLASP2	-1.03072916666667
CLCA1	-0.224354166666667
CLDN4	-0.3840625
CLIP4	-1.22147916666667
CLNS1A	1.98499305555556
CLTA	-0.314104166666667
CLTB	-0.8945625
CLTC	0.753479166666667
CLTCL1	-0.1918125
CNOT6	-0.2079375
CNOT6L	-0.996729166666667
CNOT7	-0.314645833333334
CNOT8	-0.590118055555556
COPA	2.94172916666667
COPG1	-0.414729166666667
COPG2	-0.765479166666667
COPS7A	0.3663125
COPS7B	-0.733520833333334
COPZ1	0.00447916666666665
COPZ2	-0.607729166666667
COQ10A	0.107354166666667
COQ10B	-0.318520833333333
COX4I1	0.815229166666667
COX4I2	0.389854166666667
COX6B1	0.902958333333333
COX6B2	-0.7015625
CPS1	-0.7523125
CPSF3	1.25710416666667
CREBBP	-0.980145833333333
CRK	0.240520833333333
CRKL	-0.824479166666667
CRNN	-0.2504375
CRX	-1.32672916666667
CRY1	-0.0414791666666668
CRY2	-0.242520833333333
CRYBB2	-0.6305625
CSTF2	0.0877708333333332
CSTF2T	-0.833604166666667
CTCFL	-1.33935416666667
CTNNB1	-0.790729166666667
CTPS1	-0.169895833333333
CTPS2	-0.140895833333333
CTR9	0.991104166666667
CTSZ	-0.2714375
CWF19L1	-0.0996041666666668
CYFIP1	-0.906895833333333
CYFIP2	-0.877395833333333
CYP26C1	-0.8834375
CYP2A6	-0.791604166666667
CYP2C8	-1.30485416666667
CYP7A1	-1.0205625
DBT	-0.8815625
DCAF4L2	-0.9169375
DCAF8L1	-0.657729166666667
DDI1	-0.741479166666667
DDI2	-0.800895833333333
DDX17	-1.00635416666667
DDX39A	-1.22327083333333
DDX39B	-0.661604166666667
DDX5	0.319145833333333
DEGS1	-1.17852083333333
DEGS2	-0.5393125
DENND5A	-0.6735625
DENND5B	-1.24164583333333
DGAT1	-0.2126875
DGAT2L6	-1.01714583333333
DGKI	-0.228645833333333
DGKZ	-0.430618055555556
DHX29	-0.0603958333333334
DHX9	1.38582638888889
DLL1	-1.18564583333333
DLL4	-0.8951875
DMD	-0.784770833333333
DMP1	-0.803479166666667
DMXL1	-0.373729166666667
DMXL2	-0.0288125000000001
DNAJC15	-0.442104166666667
DNAJC19	-1.28095138888889
DPCR1	-1.1665625
DRD3	-0.680104166666667
DST	-1.17460416666667
DUOX1	-0.779604166666667
DUOX2	-0.2240625
DUSP10	-0.582229166666667
DYNC1LI1	-0.619340277777778
DYNC1LI2	-0.9114375
DYNLRB1	2.70954861111111
DYNLRB2	-1.31714583333333
DYNLT1	-1.44297916666667
DYNLT3	-0.955479166666667
DZIP1L	-1.33827083333333
DZIP3	-1.1745625
E2F3	2.65304861111111
E2F4	-0.716895833333333
EAF1	-0.4110625
EAF2	-0.7958125
EEFSEC	-0.456479166666667
EFNB1	-0.994520833333333
EFR3A	-0.696479166666667
EFR3B	-0.760770833333333
EGFR	-1.19997916666667
EIF3B	1.3841875
EIF3J	1.0875625
EIF3L	-0.116229166666667
EIF4A3	1.48489583333333
ELL	0.9286875
ELL2	-0.949354166666667
ENOX1	-0.995645833333334
ENOX2	-0.754354166666667
EP300	-0.0848125000000001
EPC1	-1.25827083333333
EPC2	-0.5144375
EPHA2	-0.179145833333333
EPHA3	-0.945729166666667
EPS15	-0.492604166666667
EPS15L1	-0.179520833333333
ERBB3	-0.866833333333333
ERC1	-1.03727083333333
ERC2	-0.513729166666667
ERH	-1.01397916666667
ERN1	-0.910729166666667
ERN2	-1.1814375
ERO1A	-1.2646875
ERO1B	-0.591145833333333
ESRP1	-0.0196458333333334
ESRP2	-0.437604166666667
EXOC6	-1.31097916666667
EXOC6B	-1.2441875
EZH1	-0.575854166666667
EZH2	-0.199854166666667
FAM126A	-1.30764583333333
FAM126B	-1.19272916666667
FAM50A	0.3960625
FAM50B	-1.00510416666667
FAM71A	-1.00672916666667
FAM71B	-1.0101875
FANCF	0.3834375
FANCM	0.9286875
FARS2	-0.4813125
FBLN1	-0.4676875
FCRL3	-1.07372916666667
FDPS	0.128145833333333
FEZ1	-0.886979166666667
FEZ2	-1.0954375
FKBP10	-0.9535625
FKBP4	-0.6838125
FKBP5	-0.979229166666667
FKBP9	-0.544395833333333
FLNB	-1.05247916666667
FLNC	-0.4338125
FLOT1	-0.887729166666667
FLOT2	-0.254270833333333
FLT1	-0.934854166666667
FMR1	-1.06989583333333
FNIP1	-1.15660416666667
FNIP2	-0.892020833333333
FOSL1	-0.3065625
FOXA1	-1.03247916666667
FOXB1	-0.823229166666667
FOXE3	-0.451104166666667
FOXK1	-0.344270833333333
FOXK2	-0.1725625
FRS2	-0.5275625
FRS3	-0.590854166666667
FRY	-1.2305625
FRYL	-1.05310416666667
FSD1	-0.827229166666667
FSD1L	-0.6180625
FUT5	0.816395833333333
FXR1	-1.15735416666667
FXR2	-0.3831875
FZD8	-0.482520833333333
FZR1	0.271020833333333
G3BP1	-0.4978125
G3BP2	0.0263541666666666
G6PC	-0.349354166666667
GABPB1	-0.4598125
GABPB2	0.1009375
GALNT2	-1.16552083333333
GALNT5	-0.341104166666667
GALR3	-0.1068125
GAPDH	1.08660416666667
GATAD2A	-0.2500625
GBP3	-0.0230625000000001
GBX1	-0.808854166666667
GBX2	-0.721229166666667
GCM2	0.396729166666667
GDF15	-0.796854166666667
GDI1	-1.35502083333333
GDI2	-1.01379166666667
GFM1	-0.265354166666667
GIT1	-1.0451875
GIT2	-0.4340625
GJA8	-0.0482291666666668
GLIS3	-0.8196875
GLT6D1	-0.4349375
GMPR	-0.342270833333333
GMPR2	-0.528229166666667
GNB3	-1.01472916666667
GOLPH3	-0.4039375
GOLPH3L	-0.9525625
GOLT1A	-1.27952083333333
GOLT1B	-1.26802083333333
GPR151	-1.0873125
