id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	4.4299e-13	4.6747e-06	0.002475	1	8	-1.3834	0.99998	0.99999	0.999995	1056	0	-1.3834
MTG2	4	3.0913e-08	4.6747e-06	0.002475	2	4	-1.082	1.0	1.0	0.999995	1059	0	-1.082
RRM1	8	2.7014e-06	1.4024e-05	0.00495	3	7	-1.0563	0.96617	0.96594	0.999995	987	0	-1.0563
PPP4C	4	6.9983e-06	3.2723e-05	0.006931	4	3	-1.1822	0.92809	0.92808	0.999995	952	0	-1.1822
UQCRC1	4	7.9841e-06	3.2723e-05	0.006931	5	4	-0.85825	0.99999	1.0	0.999995	1058	0	-0.85825
RRM2	4	9.9794e-06	6.0771e-05	0.01052	6	3	-1.0356	0.74413	0.74361	0.999995	771	0	-1.0356
CCND1	4	1.7731e-05	7.947e-05	0.01052	7	4	-1.1574	0.99998	1.0	0.999995	1057	0	-1.1574
KIF11	4	2.0155e-05	7.947e-05	0.01052	8	4	-1.0379	0.99998	1.0	0.999995	1055	0	-1.0379
PRPF8	4	3.241e-05	9.8168e-05	0.011551	9	4	-1.0334	0.99997	1.0	0.999995	1054	0	-1.0334
BUB3	4	5.7918e-05	0.00020101	0.020252	10	4	-1.187	0.99653	0.9966	0.999995	1032	0	-1.187
RPS5	4	5.9586e-05	0.00021036	0.020252	11	3	-1.2868	0.91429	0.91425	0.999995	941	0	-1.2868
COPA	4	7.8048e-05	0.00032255	0.028465	12	4	-1.1116	0.99992	0.99993	0.999995	1053	0	-1.1116
RPP21	4	9.5276e-05	0.00043475	0.035415	13	4	-1.1973	0.96726	0.96757	0.999995	990	0	-1.1973
RPS19	4	0.00010517	0.00048149	0.036421	14	4	-1.0547	0.99989	0.99989	0.999995	1052	0	-1.0547
ALDOA	4	0.00012283	0.00057499	0.038148	15	3	-1.03	0.43115	0.4302	0.965408	469	0	-1.03
POLR2L	4	0.0001329	0.00061238	0.038148	16	4	-1.3247	0.99987	0.99988	0.999995	1051	0	-1.3247
SMARCA4	4	0.00014284	0.00065913	0.038779	17	3	-0.93747	0.77413	0.77516	0.999995	793	0	-0.93747
MRPL38	4	0.00016578	0.00079937	0.043812	18	4	-0.77256	0.99983	0.99986	0.999995	1050	0	-0.77256
SF3B3	4	0.00017134	0.00082742	0.043812	19	4	-1.1724	0.99983	0.99985	0.999995	1049	0	-1.1724
CHORDC1	3	0.0001936	0.00060303	0.038148	20	3	-1.0791	0.99981	0.99982	0.999995	1048	0	-1.0791
NKAP	4	0.00021092	0.00093026	0.044779	21	4	-0.71211	0.99979	0.99978	0.999995	1047	0	-0.71211
SF3A1	4	0.0002116	0.00093026	0.044779	22	3	-1.2408	0.23461	0.23402	0.564526	179	0	-1.2408
NAE1	8	0.00030321	0.0019867	0.077924	23	7	-0.47158	0.41417	0.41376	0.950484	451	0	-0.47158
TOP2A	4	0.00038447	0.0016502	0.070259	24	4	-0.91766	0.99908	0.99923	0.999995	1043	0	-0.91766
PRPF38A	4	0.00040204	0.0016782	0.070259	25	3	-0.9326	0.77382	0.7749	0.999995	792	0	-0.9326
ATP5F1B	4	0.00041591	0.0016969	0.070259	26	4	-0.77629	0.99958	0.99958	0.999995	1046	0	-0.77629
NDUFB4	4	0.00042417	0.001725	0.070259	27	4	-0.72284	0.99958	0.99957	0.999995	1045	0	-0.72284
MED18	8	0.00045313	0.0028095	0.102595	28	6	-0.78258	0.41417	0.41376	0.950484	459	0	-0.78258
ATP6V1B2	4	0.00084508	0.003277	0.115677	29	4	-0.93214	0.99915	0.99927	0.999995	1044	0	-0.93214
RPL14	3	0.0009064	0.0026412	0.099894	30	3	-1.8786	0.90628	0.90587	0.999995	930	0	-1.8786
