gene	BF
ABCA3	0.0868333333333335
ABCB1	-1.62904166666667
ABCC3	-0.736541666666666
ABCG2	-1.02158333333333
ABL1	-1.66666666666667
ABL2	0.685166666666667
ABT1	6.81445833333333
ABTB2	-0.582666666666666
ACACA	0.446375
ACACB	-1.47695833333333
ACTL6A	5.91870833333333
ACTL6B	-0.818416666666666
ACTL7A	-1.06316666666667
ADAM19	-0.853625
ADAP1	-0.0645416666666665
ADAP2	-0.510333333333333
ADARB1	-1.352
ADARB2	-1.2835
ADGRG7	-0.59425
ADM	0.128041666666667
ADSS	-0.624916666666666
ADSSL1	-0.751875
AFG3L2	4.04125
AHCYL1	3.32691666666667
AHCYL2	-0.915166666666666
AIPL1	-1.56108333333333
AKAP11	-0.365541666666666
AKIRIN1	-0.400708333333333
AKIRIN2	2.46395833333333
ALAS1	-1.8323125
ALAS2	-1.624375
ALDOA	10.893625
ALDOC	-0.720416666666666
ALG14	-0.297375
AMELX	-1.583375
ANAPC4	-0.0927916666666664
ANKRD10	-1.48575
ANKRD37	-1.48266666666667
ANXA1	-2.15220833333333
AOX1	-1.66025
AP1G1	0.239458333333334
AP1G2	1.36875
AP2A1	1.213875
AP2A2	-0.983
AP3M1	-0.251
AP5M1	-1.02754166666667
APH1A	-0.989125
APH1B	-0.381708333333333
APOBEC1	-1.15175
APOBEC3C	-0.318958333333333
AQP8	-1.88983333333333
ARFGEF1	-0.82375
ARFGEF2	1.04095833333333
ARFIP1	-2.033625
ARFIP2	-1.16395833333333
ARHGEF3	-1.44366666666667
ARHGEF6	-1.95158333333333
ARHGEF7	0.1765
ARID1A	-0.408
ARID1B	-1.31
ARID4A	0.543166666666667
ARPC5	-0.0313333333333332
ARPC5L	-0.86725
ARSJ	-0.711125
ASCL1	-1.09179166666667
ASF1A	1.752375
ASF1B	0.6215625
ATAD2	-1.16954166666667
ATAD2B	-0.655458333333333
ATM	-1.983375
ATOH1	-1.178125
ATP5F1A	8.1585
ATP5F1B	7.23875
ATP5F1D	4.72233333333333
ATP5PB	1.371375
ATP6V1B1	-0.709708333333333
ATP6V1B2	7.162
ATP6V1C1	4.74158333333333
ATP6V1C2	-0.917625
ATP6V1D	3.274
ATP6V1E1	1.04608333333333
ATP6V1E2	-0.80575
ATP7A	5.31166666666667
ATP7B	-1.75983333333333
ATP8B3	-0.667041666666667
ATR	1.71541666666667
AXL	-1.10108333333333
BAP1	1.87595833333333
BARHL1	-1.102
BATF3	-1.59875
BCAP31	1.96608333333333
BECN1	1.95816666666667
BECN2	-1.54008333333333
BICD1	-0.923416666666666
BICD2	-0.544166666666666
BRD8	1.64775
BRSK1	-0.914458333333333
BRSK2	0.236083333333334
BTBD11	-1.21345833333333
BTG1	-0.978
BUB1B	3.00045833333333
BUB3	10.0680416666667
BZW1	-0.25675
BZW2	0.627
CAB39	-1.97404166666667
CAB39L	-1.20091666666667
CABP5	0.175208333333334
CADPS	-0.27775
CADPS2	-2.17391666666667
CALY	-1.71458333333333
CAND1	0.91875
CAND2	-0.834208333333333
CAP1	0.639125
CAP2	-0.874
CAPN2	-1.200125
CASP4	-1.05916666666667
CAT	-1.32704166666667
CAV1	-1.51766666666667
CAVIN1	-0.676458333333333
CBLL1	-0.175
CBLL2	-1.400125
CCDC69	-1.13716666666667
CCND1	9.72283333333333
CCND3	-0.712
CCNE1	-1.18066666666667
CCNE2	-0.397041666666667
CCNL1	4.73441666666667
CCNL2	-0.988916666666666
CCNT1	-0.1155
CCNT2	-1.65545833333333
CCT6A	5.92641666666667
CCT6B	-0.632916666666667
CD163L1	-1.42895833333333
CD44	-1.31316666666667
CD72	-1.01279166666667
CDC34	-1.332625
CDIPT	7.7685
CDK16	-2.18954166666667
CDK17	-1.90575
CDK19	-1.58241666666667
CDK2	4.64220833333333
CDK5R1	-0.834583333333333
CDK5R2	-0.566458333333333
CDK7	9.44416666666667
CDK8	4.13229166666667
CDNF	-1.65491666666667
CDS1	-1.685875
CDS2	3.96829166666667
CEACAM1	-1.01229166666667
CELA2A	-1.07316666666667
CFL1	-0.459375
CHM	-2.04770833333333
CHML	-1.06516666666667
CHMP1A	0.913666666666667
CHMP1B	-2.05554166666667
CHORDC1	9.82497222222222
CHRNB3	-1.531
CHSY1	-1.655875
CHSY3	-0.159125
CHUK	-0.74025
CKAP5	6.57254166666667
CLASP1	-0.245291666666666
CLASP2	0.144833333333333
CLCA1	-0.973458333333333
CLDN4	-0.973
CLIP4	-1.55395833333333
CLNS1A	10.0051944444444
CLTA	-1.22229166666667
CLTB	-0.518041666666667
CLTC	4.87433333333333
CLTCL1	-0.5825
CNOT6	0.316666666666667
CNOT6L	-1.25579166666667
CNOT7	1.97529166666667
CNOT8	-0.920305555555556
COPA	9.11879166666667
COPG1	0.8595
COPG2	-0.71625
COPS7A	0.387166666666667
COPS7B	-0.1175
COPZ1	1.10433333333333
COPZ2	-0.81425
COQ10A	-0.708958333333333
COQ10B	-1.29566666666667
COX4I1	5.02825
COX4I2	0.4675
COX6B1	4.89041666666667
COX6B2	-1.15745833333333
CPS1	-1.22404166666667
CPSF3	7.67991666666667
CREBBP	1.87679166666667
CRK	1.218375
CRKL	-0.424958333333333
CRNN	-0.828666666666667
CRX	-1.52116666666667
CRY1	0.0253333333333334
CRY2	-0.8055
CRYBB2	-0.578
CSTF2	-1.59770833333333
CSTF2T	-0.287083333333333
CTCFL	-1.90104166666667
CTNNB1	0.623791666666667
CTPS1	4.87670833333333
CTPS2	-0.691833333333333
CTR9	5.94175
CTSZ	-0.0244166666666663
CWF19L1	-0.520583333333333
CYFIP1	-1.46308333333333
CYFIP2	-0.313666666666666
CYP26C1	-1.42891666666667
CYP2A6	-1.64770833333333
CYP2C8	-1.51966666666667
CYP7A1	-1.03745833333333
DBT	-0.851875
DCAF4L2	-1.03545833333333
DCAF8L1	-1.262125
DDI1	-0.91475
DDI2	0.796875
DDX17	-1.33729166666667
DDX39A	-1.377375
DDX39B	-1.0095
DDX5	3.33
DEGS1	-1.543625
DEGS2	-1.2775
DENND5A	-1.33866666666667
DENND5B	-1.721875
DGAT1	0.875916666666667
DGAT2L6	-0.93525
DGKI	-1.348875
DGKZ	2.13480555555556
DHX29	2.62197222222222
DHX9	6.79686111111111
