id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MTG2	4	1.1896e-08	4.6747e-06	0.000825	1	4	-1.1514	1.0	1.0	0.999995	1059	0	-1.1514
RRM1	8	1.8936e-08	4.6747e-06	0.000825	2	8	-1.3337	1.0	1.0	0.999995	1058	0	-1.3337
MYC	8	5.2744e-08	4.6747e-06	0.000825	3	8	-0.7827	1.0	1.0	0.999995	1055	0	-0.7827
NAE1	8	7.814e-08	4.6747e-06	0.000825	4	7	-0.63252	0.97897	0.97909	0.999995	958	0	-0.63252
PRPF8	4	3.9026e-07	4.6747e-06	0.000825	5	4	-1.2428	1.0	1.0	0.999995	1057	0	-1.2428
BUB3	4	7.2884e-07	4.6747e-06	0.000825	6	4	-1.3461	1.0	1.0	0.999995	1056	0	-1.3461
KIF11	4	9.8154e-06	6.0771e-05	0.006719	7	4	-1.4421	0.99999	1.0	0.999995	1054	0	-1.4421
RRM2	4	1.3934e-05	7.947e-05	0.006719	8	3	-0.87333	0.88084	0.88129	0.999995	852	0	-0.87333
MED18	8	1.4299e-05	7.947e-05	0.006719	9	7	-0.79485	0.86136	0.86079	0.999995	840	0	-0.79485
TOP2A	4	1.5073e-05	7.947e-05	0.006719	10	4	-0.96791	0.99998	1.0	0.999995	1053	0	-0.96791
PPP4C	4	1.7145e-05	7.947e-05	0.006719	11	4	-1.1279	0.99866	0.99878	0.999995	1009	0	-1.1279
CKAP5	8	2.1593e-05	0.00012622	0.007863	12	8	-0.80101	0.99998	0.99999	0.999995	1052	0	-0.80101
RPS19	4	2.7123e-05	8.8819e-05	0.006719	13	4	-1.1501	0.99997	1.0	0.999995	1051	0	-1.1501
CDIPT	4	2.7588e-05	8.8819e-05	0.006719	14	3	-0.96717	0.57297	0.57327	0.999995	569	0	-0.96717
MRPL38	4	3.1217e-05	8.8819e-05	0.006719	15	4	-0.75899	0.99997	1.0	0.999995	1050	0	-0.75899
NAA10	4	4.2908e-05	0.00011687	0.007863	16	4	-0.99374	0.99989	0.99989	0.999995	1043	0	-0.99374
TOMM40	7	4.6486e-05	0.00037865	0.017434	17	6	-0.81177	0.31597	0.31415	0.908984	366	0	-0.81177
CDK7	4	4.7371e-05	0.00012622	0.007863	18	4	-1.0843	0.99995	0.99998	0.999995	1049	0	-1.0843
NDUFB4	4	5.6547e-05	0.00019166	0.011276	19	4	-0.86434	0.99994	0.99997	0.999995	1048	0	-0.86434
RPP21	4	7.0265e-05	0.00024776	0.013119	20	4	-1.4166	0.9997	0.99968	0.999995	1030	0	-1.4166
POLR2L	4	7.054e-05	0.00024776	0.013119	21	4	-1.5096	0.99993	0.99996	0.999995	1047	0	-1.5096
UQCRC1	4	7.3475e-05	0.00029451	0.014851	22	4	-0.64137	0.99993	0.99995	0.999995	1046	0	-0.64137
RIC8A	4	9.1288e-05	0.0004254	0.018771	23	4	-0.77026	0.99991	0.99991	0.999995	1045	0	-0.77026
ISCA2	4	0.00010323	0.00047214	0.02	24	4	-0.94491	0.9999	0.9999	0.999995	1044	0	-0.94491
CHORDC1	3	0.00011886	0.00034125	0.016427	25	3	-1.3974	0.99988	0.99986	0.999995	1042	0	-1.3974
RPL36	4	0.00011949	0.00055629	0.022658	26	4	-0.80383	0.99988	0.99988	0.999995	1041	0	-0.80383
ATP5F1B	4	0.00015378	0.00072458	0.02842	27	4	-0.79984	0.99985	0.99987	0.999995	1040	0	-0.79984
MRPL41	4	0.00016036	0.00077132	0.028548	28	4	-1.0843	0.99984	0.99987	0.999995	1039	0	-1.0843
SF3B1	4	0.00016489	0.00079937	0.028548	29	4	-1.0458	0.95743	0.95804	0.999995	936	0	-1.0458
VMP1	4	0.00016854	0.00080872	0.028548	30	4	-0.95547	0.99983	0.99985	0.999995	1038	0	-0.95547
COX6B1	8	0.00017523	0.0011079	0.032591	31	7	-0.5782	0.92748	0.92717	0.999995	898	0	-0.5782
COPA	4	0.00019036	0.00087417	0.029553	32	4	-1.3336	0.99981	0.99982	0.999995	1037	0	-1.3336
SMC1A	4	0.00019965	0.00092091	0.029553	33	4	-0.77827	0.9998	0.99979	0.999995	1036	0	-0.77827
SF3B3	4	0.00020123	0.00092091	0.029553	34	4	-1.0478	0.9998	0.99979	0.999995	1035	0	-1.0478
BAP1	4	0.00024575	0.0010612	0.032107	35	4	-0.36444	0.99975	0.99974	0.999995	1034	0	-0.36444
KIF4A	4	0.00025699	0.0011546	0.033048	36	4	-0.55812	0.99974	0.99972	0.999995	1033	0	-0.55812
ATP6V1B2	4	0.0002786	0.0012668	0.034653	37	4	-0.84272	0.99972	0.99971	0.999995	1032	0	-0.84272
NMT1	4	0.00028063	0.0012762	0.034653	38	4	-0.48163	0.99972	0.99971	0.999995	1031	0	-0.48163
ELL	4	0.00030155	0.0013416	0.03552	39	4	-0.56981	0.9997	0.99968	0.999995	1029	0	-0.56981
STT3B	4	0.00031243	0.001379	0.035619	40	4	-0.74249	0.99969	0.99967	0.999995	1028	0	-0.74249
INTS6	3	0.00031689	0.00098636	0.030722	41	3	-1.3963	0.99968	0.99972	0.999995	1027	0	-1.3963
PAF1	4	0.00034448	0.0014819	0.037364	42	4	-0.51611	0.99966	0.99963	0.999995	1026	0	-0.51611
CPSF3	4	0.00039974	0.0016689	0.040392	43	4	-0.97173	0.9996	0.9996	0.999995	1025	0	-0.97173
SF3A1	4	0.00040204	0.0016782	0.040392	44	3	-1.0953	0.65123	0.65067	0.999995	654	0	-1.0953
RPL8	4	0.00044106	0.0017717	0.041605	45	4	-0.77944	0.99956	0.99957	0.999995	1024	0	-0.77944
ZNF407	4	0.00045846	0.0018465	0.041605	46	4	-1.0563	0.99954	0.99957	0.999995	1023	0	-1.0563
TACC3	4	0.00045928	0.0018465	0.041605	47	3	-0.68737	0.42498	0.42407	0.999995	433	0	-0.68737
TRAPPC3	4	0.00049782	0.0019961	0.043342	48	3	-0.8109	0.92079	0.9207	0.999995	894	0	-0.8109
MED20	4	0.00049791	0.0020054	0.043342	49	4	-0.8161	0.9995	0.99954	0.999995	1022	0	-0.8161
CCND1	4	0.00059147	0.0023233	0.048825	50	4	-0.50365	0.99941	0.99948	0.999995	1021	0	-0.50365
RPL3	7	0.00062263	0.0039688	0.06779	51	6	-0.64708	0.8991	0.8999	0.999995	870	0	-0.64708
NKAP	4	0.00066208	0.0025477	0.051885	52	4	-0.63934	0.99934	0.99942	0.999995	1020	0	-0.63934
PRKDC	8	0.00071492	0.004483	0.070859	53	7	-0.41885	0.94315	0.94284	0.999995	914	0	-0.41885
RPS5	4	0.00081411	0.003118	0.061148	54	4	-1.1762	0.97856	0.97859	0.999995	957	0	-1.1762
HMGCS1	3	0.00081799	0.0023514	0.048825	55	3	-1.1203	0.99918	0.99917	0.999995	1019	0	-1.1203
ALDOA	4	0.00090207	0.0034546	0.066254	56	4	-0.9531	0.99111	0.99106	0.999995	976	0	-0.9531
XRCC6	4	0.00096754	0.0036603	0.066254	57	4	-0.77414	0.99903	0.99919	0.999995	1018	0	-0.77414
EIF3B	4	0.00098308	0.0036977	0.066254	58	4	-0.9597	0.99902	0.99918	0.999995	1017	0	-0.9597
ATP6V1C1	4	0.0010041	0.0037444	0.066254	59	4	-0.70383	0.999	0.99917	0.999995	1016	0	-0.70383
CLTC	4	0.0010094	0.0037538	0.066254	60	4	-0.77113	0.99899	0.99916	0.999995	1015	0	-0.77113
TNPO1	3	0.0010313	0.002931	0.058565	61	3	-0.72306	0.99897	0.99889	0.999995	1014	0	-0.72306
AHCYL1	4	0.0010398	0.003866	0.067116	62	4	-0.6978	0.99716	0.99726	0.999995	998	0	-0.6978
RPL10A	4	0.0010848	0.0041091	0.069071	63	3	-0.91351	0.71383	0.71319	0.999995	715	0	-0.91351
BUB1B	4	0.0011077	0.0041838	0.06923	64	3	-0.93863	0.93054	0.93072	0.999995	902	0	-0.93863
TRRAP	4	0.0011258	0.0042773	0.069688	65	4	-0.9911	0.99887	0.99903	0.999995	1013	0	-0.9911
MTHFD1	4	0.0011786	0.004483	0.070859	66	4	-0.56686	0.99882	0.99895	0.999995	1012	0	-0.56686
RPL13	3	0.0012378	0.0036135	0.066254	67	3	-0.92695	0.99876	0.99864	0.999995	1011	0	-0.92695
MAT2A	4	0.0013286	0.0049692	0.076266	68	4	-0.53097	0.99867	0.9988	0.999995	1010	0	-0.53097
ATP5F1A	4	0.0013682	0.0051842	0.07843	69	4	-0.75737	0.99863	0.99875	0.999995	1008	0	-0.75737
SIN3A	4	0.0014019	0.0053712	0.080114	70	4	-0.69633	0.9986	0.99869	0.999995	1007	0	-0.69633
CTR9	4	0.0014632	0.0056143	0.082577	71	4	-0.69451	0.99747	0.99749	0.999995	1003	0	-0.69451
LONP1	4	0.0016358	0.0062875	0.091211	72	3	-0.74496	0.3764	0.3752	0.999995	388	0	-0.74496
CCT6A	3	0.0016752	0.0047355	0.073748	73	2	-0.95633	0.81119	0.81139	0.999995	806	0	-0.95633
TIMM10	4	0.0017101	0.0065773	0.094126	74	4	-0.65413	0.99829	0.99842	0.999995	1006	0	-0.65413
SBNO1	4	0.001758	0.0067362	0.095116	75	3	-0.91007	0.19507	0.19531	0.571372	151	0	-0.91007
PDCD6IP	4	0.0019248	0.0072037	0.099589	76	4	-0.44999	0.99808	0.99817	0.999995	1005	0	-0.44999
VCP	4	0.0019521	0.0072411	0.099589	77	3	-0.92888	0.88718	0.88726	0.999995	856	0	-0.92888
GAPDH	4	0.002089	0.0076525	0.102582	78	4	-0.92523	0.94392	0.9438	0.999995	916	0	-0.92523
ERBB3	8	0.002152	0.013066	0.145649	79	8	-0.19333	0.99785	0.99782	0.999995	1004	0	-0.19333
ACTL6A	4	0.0022137	0.008148	0.107859	80	3	-1.0454	0.19507	0.19531	0.571372	242	0	-1.0454
RPL19	4	0.0022977	0.0084659	0.110683	81	2	-0.67834	0.55535	0.55498	0.999995	553	0	-0.67834
CCND3	4	0.0026143	0.0095597	0.118409	82	4	-0.31477	0.99739	0.99745	0.999995	1002	0	-0.31477
COX4I1	4	0.0026169	0.0095691	0.118409	83	4	-0.68649	0.99159	0.99151	0.999995	977	0	-0.68649
SF1	4	0.0026361	0.0096158	0.118409	84	4	-0.61487	0.99736	0.99742	0.999995	1001	0	-0.61487
TUFM	3	0.0027297	0.0075122	0.101993	85	3	-1.2467	0.99727	0.99707	0.999995	1000	0	-1.2467
ATP7A	4	0.002747	0.0099337	0.120781	86	4	-0.42901	0.99725	0.99731	0.999995	999	0	-0.42901
