gene	OMM23.D28A	OMM23.D28B	OMM23.D28C	OMM23.D35A	OMM23.D35B	OMM23.D35C
ABCA3	-0.101215754384478	-0.180524147028127	-0.145325631635298	-0.149483009255935	-0.108019924906291	-0.123556830868408
ABCB1	-0.107865198831057	-0.0627432539213037	-0.077106089007697	-0.0698104954550496	-0.0759778873739276	-0.046461676350114
ABCC3	-0.167743572123358	-0.114056777706265	-0.197917725197657	-0.207951476751324	-0.12338210056862	-0.204780825592776
ABCG2	-0.196697283424514	-0.102086882505629	-0.10363878167549	-0.117600198804664	-0.121522562392024	-0.104527673920454
ABL1	-0.151072587733809	-0.0128091888157317	-0.0788795936386837	-0.118611340562344	-0.026102522253115	-0.0773333681686552
ABL2	-0.156644061601219	-0.183984143709875	-0.187952756349992	-0.139463095180668	-0.213706722356448	-0.18793574142127
ABT1	-0.840489818095193	-0.777249177312169	-0.679938945729424	-0.642119996842289	-0.827678065926919	-0.726218590658538
ABTB2	-0.17230578074112	-0.0505000178797232	-0.25954535374544	-0.172138345032102	-0.00326080053049456	-0.185876071563614
ACACA	-0.43327797701634	-0.602031834097247	-0.56171332859875	-0.526200445861984	-0.703472029210152	-0.65922250656516
ACACB	-0.177052263283958	-0.14679381069221	-0.160047124043008	-0.160353833743878	-0.132114184779136	-0.147849769002119
ACTL6A	-0.917327200150449	-1.0443231111185	-0.953143465807625	-0.764416012813043	-1.28756570608843	-0.860310388288407
ACTL6B	-0.156281881414464	-0.21966082404606	-0.226936753237508	-0.159421781073182	-0.275188292532922	-0.213306521308502
ACTL7A	-0.127127432198456	-0.171702114535862	-0.257206234292042	-0.189873245238388	-0.17012155757016	-0.203998703694799
ADAM19	-0.132590031985459	-0.142471490552801	-0.0625659108566715	-0.146203150223467	-0.176815574032592	-0.0331380902794699
ADAP1	-0.145520395510194	-0.112213069898765	-0.133689222915735	-0.0614951489622038	-0.155971950699579	-0.108241738806415
ADAP2	-0.0370371612811817	-0.199814311401758	-0.0938232688362334	-0.110505893678718	-0.200221415358609	-0.146979333737763
ADARB1	-0.0826883246381171	-0.118639781965089	-0.0792837265331288	-0.13601998077806	-0.166680062356381	-0.084757214717941
ADARB2	-0.128488092733797	-0.0780435135589404	-0.0856636228217786	-0.158514785209542	-0.0696413913104659	-0.0435824472257315
ADGRG7	-0.106909534811924	-0.0876379347651874	-0.247932383939881	-0.0714666713119542	-0.236355753099391	-0.26340493912112
ADM	-0.164411459190766	-0.129570717344216	-0.236238859590713	-0.195338190924125	-0.159782351565297	-0.17109535304832
ADSS	-0.132320202993292	-0.119610176133063	-0.0905555027172782	-0.126676627981715	-0.194010026431457	-0.0950758134061432
ADSSL1	-0.209816776435646	-0.234063801216084	-0.263649756818096	-0.290587349211467	-0.186012896387391	-0.193472516751333
AFG3L2	-0.713214848666839	-0.71005834338824	-0.578207863704068	-0.664704697927684	-0.718438138861621	-0.685116371518646
AHCYL1	-0.768201350846257	-0.859570271495369	-0.641965833767414	-0.755000329057087	-0.80912520326991	-0.811685137766505
AHCYL2	-0.0898929557321353	-0.0905248189159576	-0.0220735464863018	-0.132955010627708	-0.115599485827391	-0.043682926185801
AIPL1	-0.0893874606988911	-0.13171546198808	-0.0748264866181045	-0.0708542886816194	-0.136720184795324	-0.15590543610798
AKAP11	-0.199181652503321	-0.201577157771646	-0.174317714730819	-0.149100012379067	-0.152307304345873	-0.102244010072267
AKIRIN1	-0.358345134146081	-0.310706582296197	-0.269504122896868	-0.210272090889797	-0.262895397334467	-0.244001067812106
AKIRIN2	-0.551860893100307	-0.66254448361751	-0.593503262427787	-0.593910078128088	-0.659445649623882	-0.696916302403806
ALAS1	-0.200605229907253	-0.167477183908035	-0.187610117337573	-0.169377604757603	-0.188037634827496	-0.206559916574142
ALAS2	-0.0548728283582672	-0.0771956098629147	-0.0765906470304032	-0.0408367835357756	-0.0919393555949992	-0.0846255667998085
ALDOA	-0.964082401664093	-0.852790570098786	-0.706778008311037	-1.17749180504186	-0.903216427066222	-0.833839214513564
ALDOC	-0.18298212973625	-0.182915787492847	-0.0976253082912088	-0.17382401645414	-0.163107168802466	-0.0530798118337845
ALG14	-0.0996184476258615	-0.150484311113859	-0.22897795259934	-0.184845290216968	-0.157358710811442	-0.278259416766823
AMELX	-0.0360101987847223	-0.14982544514752	-0.0957394998073985	-0.0495301136341588	-0.21901387909048	-0.280608700067904
ANAPC4	-0.283344554471913	-0.233424788706256	-0.238040962288433	-0.285802457868111	-0.255720187842293	-0.232814421789292
ANKRD10	-0.0670450980405828	-0.0735079000289805	-0.0958223289065893	-0.075348803446058	-0.061562387547236	-0.0673528060679749
ANKRD37	-0.0989203887400913	-0.115194777484435	-0.0733309610074813	-0.0902898566467301	-0.0854753994635801	-0.0426707353307923
ANXA1	-0.0340946511744873	-0.0462786786514495	-0.0482592709723272	-0.0280410600543279	-0.038598639021088	-0.0534235072160619
AOX1	-0.105289349595884	-0.141247198195199	-0.117665587460018	-0.116667411807556	-0.16118639861765	-0.0898577233230483
AP1G1	-0.102983694611437	-0.206859888417836	-0.209748171942756	-0.0799539603065249	-0.165464811811382	-0.206290829145333
AP1G2	-0.171708797704173	-0.175566709973	-0.0857062786480242	-0.102336549073853	-0.265580358041812	-0.116409537613626
AP2A1	-0.235791009200274	-0.156177991724424	-0.133662782927487	-0.200526438350209	-0.192029807552558	-0.0997802436811649
AP2A2	-0.151023844326255	-0.123143441787239	-0.0654365923447888	-0.0517086091416183	-0.113322704874611	-0.0148956974265282
