gene	BF
ABCA3	-0.928791666666667
ABCB1	-1.91829166666667
ABCC3	-0.900625
ABCG2	-0.911541666666667
ABL1	-1.55045833333333
ABL2	-0.247625
ABT1	4.97020833333333
ABTB2	-0.625708333333334
ACACA	0.413291666666666
ACACB	-0.0398750000000002
ACTL6A	2.11179166666667
ACTL6B	0.522041666666666
ACTL7A	-0.503208333333333
ADAM19	-1.734875
ADAP1	0.998625
ADAP2	-0.886791666666667
ADARB1	-1.78429166666667
ADARB2	-2.108875
ADGRG7	-0.528875
ADM	-0.530291666666667
ADSS	-0.640680555555556
ADSSL1	-0.457625
AFG3L2	4.98698611111111
AHCYL1	1.13695833333333
AHCYL2	-0.781291666666667
AIPL1	-1.59329166666667
AKAP11	-0.632625
AKIRIN1	0.233291666666666
AKIRIN2	2.67679166666667
ALAS1	0.814791666666666
ALAS2	-1.069375
ALDOA	9.079625
ALDOC	-0.208708333333334
ALG14	-0.103625
AMELX	-2.10929166666667
ANAPC4	0.967958333333333
ANKRD10	-1.01895833333333
ANKRD37	-1.35320833333333
ANXA1	-1.82779166666667
AOX1	-0.899708333333334
AP1G1	-0.713791666666667
AP1G2	-0.505541666666667
AP2A1	2.70529166666667
AP2A2	-0.794625
AP3M1	-1.314375
AP5M1	-0.852375
APH1A	3.593875
APH1B	-0.926291666666667
APOBEC1	-1.19804166666667
APOBEC3C	-1.55895833333333
AQP8	-1.868625
ARFGEF1	-0.936291666666667
ARFGEF2	-0.832125
ARFIP1	-1.890875
ARFIP2	-0.382791666666667
ARHGEF3	-0.769125
ARHGEF6	-1.79654166666667
ARHGEF7	-0.941875
ARID1A	1.84779166666667
ARID1B	0.230291666666666
ARID4A	-1.38645833333333
ARPC5	0.354041666666666
ARPC5L	-0.608625
ARSJ	-0.661291666666667
ASCL1	-0.688625
ASF1A	-0.595958333333334
ASF1B	0.175291666666666
ATAD2	-0.00504166666666694
ATAD2B	-1.90879166666667
ATM	-2.130625
ATOH1	-1.06554166666667
ATP5F1A	3.948625
ATP5F1B	6.93604166666667
ATP5F1D	3.46629166666667
ATP5PB	-0.151458333333334
ATP6V1B1	-1.19545833333333
ATP6V1B2	5.39329166666667
ATP6V1C1	3.10404166666667
ATP6V1C2	-1.03129166666667
ATP6V1D	1.45904166666667
ATP6V1E1	-1.45701388888889
ATP6V1E2	-0.818958333333334
ATP7A	-1.23570833333333
ATP7B	-1.42495833333333
ATP8B3	-0.715125
ATR	0.722708333333333
AXL	-1.87845833333333
BAP1	1.27595833333333
BARHL1	-1.12370833333333
