gene	Mel285.D28A	Mel285.D28B	Mel285.D28C	Mel285.D49A	Mel285.D49B	Mel285.D49C
ABCA3	-1.69559562165265	0.617962461194765	-0.566098753476019	-6.08833866876874	-3.94655199175902	-5.59099671983656
ABCB1	-0.280780777321807	-0.547688440616132	-0.0253079904676575	-4.48844156911962	-5.36301159736023	-4.27377087623367
ABCC3	-0.0202968007532915	-0.813059905097242	-2.1770915031255	-3.86553174000739	-4.62287080196372	-6.25396858521827
ABCG2	-0.25554003924038	-0.907427572259449	-1.57535727737337	-4.59255510635221	-6.70248812524181	-6.56897857160265
ABL1	0.92819422279199	-0.267732269962091	-0.202074570171543	-2.23402916533452	-4.90717926191694	-4.37780842842319
ABL2	-0.857081474196216	-0.711887222749209	0.135866113937084	-5.82937770286263	-5.1496729012651	-5.20790179253321
ABT1	-3.25742305561219	-3.60820069188009	-4.55966468915987	-6.31336308704248	-6.66447572197263	-7.03440968082274
ABTB2	-1.43185047074677	-0.986188008404155	0.119506643871912	-5.67689609502476	-4.78814204999651	-5.57027031738625
ACACA	-2.22444989612531	-3.13832443577031	-4.09158517310149	-5.88145932441836	-5.95814765799946	-7.11223847223891
ACACB	-1.46751852468875	-1.02798420592868	-1.65533013659363	-5.83454836771744	-5.76534124548578	-5.94006476690348
ACTL6A	-3.20067496463755	-3.17069524325185	-2.74034418578086	-5.20137513803043	-5.73261943575769	-6.23171335592506
ACTL6B	-0.963277300796185	0.235988772917187	-1.52274359257439	-4.93684186260863	-4.20951408238786	-5.81250664652553
ACTL7A	-1.87594474528557	-3.62648928901852	0.260547275588973	-5.85514013325207	-5.83837588811485	-3.29088483938689
ADAM19	-0.0605232670593476	-1.27855310324406	-0.239402275561018	-4.2527174275181	-5.65031369812951	-4.34193263949158
ADAP1	-1.7719138943183	-1.86790845430915	0.869756976986355	-5.9909007009039	-5.94063392835895	-2.36788289403723
ADAP2	-1.69360388432997	-1.5649211704878	-1.27774572476877	-6.36175971858428	-5.36967690715014	-5.23770388787172
ADARB1	-0.807566976381914	-0.832036128438026	-0.913408203134218	-4.68649896264387	-5.24137259406676	-6.1593594348563
ADARB2	-0.0881677939204513	-1.10172244696288	-1.0746683707461	-2.85044600727789	-5.82755417458236	-5.46460519464733
ADGRG7	-1.4995466235346	-1.04902857991316	-1.66401858383243	-4.66836459447997	-4.50983802729397	-4.84711733419482
ADM	-1.20142195457527	-0.921213583157429	-0.800381840928748	-5.75469348753336	-5.60702134704264	-5.41024294024154
ADSS	-1.18051553431437	0.0286506157625316	-0.589510926310886	-4.34324676594548	-5.60741559966324	-4.11414941473439
ADSSL1	-1.11307379103452	-1.44439335476039	-0.352266748135853	-5.65131177887657	-6.24248575977518	-4.30374076508911
AFG3L2	-4.35310249019611	-4.39972246856919	-3.57258718290934	-5.58247675584927	-6.1882454816136	-6.62067554079133
AHCYL1	-2.17746628007417	-1.57913574094292	-0.807526762362231	-5.5920548197166	-5.98664649543369	-5.06007125204184
AHCYL2	-1.76795140910417	-1.17347090665987	0.377027886786841	-5.88081000544299	-5.63136742371768	-4.30186686861497
AIPL1	-0.712511275127289	-0.241865273797165	-0.857459135106356	-4.90763263658925	-5.22358838659155	-4.92918972357775
AKAP11	-1.318352777002	-0.196736618502315	-0.471215391608104	-4.75037192699241	-4.86225372526803	-5.61356520754612
AKIRIN1	-2.51124235327359	-1.30849938301105	-2.40403764326187	-6.42088187101557	-5.30258674046432	-5.95241490530639
AKIRIN2	-3.89842089929322	-3.39710216416612	-2.6460082430514	-6.44711220533026	-6.99926753890764	-6.88548246235236
ALAS1	-0.84595293413367	-0.52313325474178	-0.690269628818581	-4.68651933865791	-5.2472785672848	-5.07501606897311
ALAS2	-0.585474020429812	-0.198013668096555	-0.521193761481602	-3.90585027874934	-4.68853385172553	-4.93107386876454
ALDOA	-4.91292348622325	-4.79591727334045	-4.75492521445374	-7.139299672144	-6.80071298435871	-7.31487552578708
ALDOC	-0.162316635848022	-1.46852900965531	-0.363372610215381	-3.65387034126464	-5.88478527195686	-5.14475562142388
ALG14	-2.72706059192012	-1.60036909558665	-3.9173203142122	-5.85756890698636	-6.33445443144197	-6.74353123253362
