gene	BF
ABCA3	-0.343020833333333
ABCB1	-0.3098125
ABCC3	-0.0367708333333334
ABCG2	-0.3039375
ABL1	-0.2961875
ABL2	-0.0566458333333334
ABT1	0.0561874999999999
ABTB2	-0.352020833333333
ACACA	-0.233645833333333
ACACB	-0.352354166666667
ACTL6A	-0.0458541666666667
ACTL6B	-0.2015625
ACTL7A	-0.143729166666667
ADAM19	-0.362479166666667
ADAP1	0.110104166666667
ADAP2	-0.0737708333333334
ADARB1	-0.167895833333333
ADARB2	-0.3228125
ADGRG7	-0.188729166666667
ADM	-0.2551875
ADSS	-0.0860347222222223
ADSSL1	-0.4156875
AFG3L2	-0.00103472222222228
AHCYL1	-0.0263958333333334
AHCYL2	-0.1080625
AIPL1	-0.244270833333333
AKAP11	-0.1684375
AKIRIN1	-0.0824791666666667
AKIRIN2	-0.1214375
ALAS1	-0.189145833333333
ALAS2	-0.146229166666667
ALDOA	0.0432291666666666
ALDOC	-0.0741458333333334
ALG14	-0.273229166666667
AMELX	-0.374645833333333
ANAPC4	-0.0913125000000001
ANKRD10	-0.298645833333333
ANKRD37	-0.265770833333333
ANXA1	-0.364020833333333
AOX1	-0.1586875
AP1G1	-0.248729166666667
AP1G2	-0.1566875
AP2A1	-0.320520833333333
AP2A2	-0.239229166666667
AP3M1	-0.227395833333333
AP5M1	-0.347270833333333
APH1A	-0.0920208333333334
APH1B	-0.0928541666666667
APOBEC1	-0.6475625
APOBEC3C	0.0674791666666666
AQP8	-0.367104166666667
ARFGEF1	-0.0103541666666667
ARFGEF2	-0.155479166666667
ARFIP1	-0.217520833333333
ARFIP2	-0.464104166666667
ARHGEF3	-0.3690625
ARHGEF6	-0.3646875
ARHGEF7	-0.1241875
ARID1A	-0.3586875
ARID1B	-0.284604166666667
ARID4A	-0.181104166666667
ARPC5	-0.131770833333333
ARPC5L	-0.407979166666667
ARSJ	-0.464145833333333
ASCL1	-0.291770833333333
ASF1A	-0.1539375
ASF1B	-0.0956458333333334
ATAD2	-0.176979166666667
ATAD2B	-0.157520833333333
ATM	-0.458854166666667
ATOH1	-0.141604166666667
ATP5F1A	-0.100145833333333
ATP5F1B	-0.0436458333333334
ATP5F1D	-0.166645833333333
ATP5PB	-0.278604166666667
ATP6V1B1	-0.257520833333333
ATP6V1B2	0.1154375
ATP6V1C1	-0.0813125000000001
ATP6V1C2	-0.1793125
ATP6V1D	0.0617708333333333
ATP6V1E1	-0.303090277777778
ATP6V1E2	-0.0940625000000001
ATP7A	-0.138895833333333
ATP7B	-0.145479166666667
ATP8B3	-0.1636875
ATR	-0.173229166666667
AXL	-0.290270833333333
BAP1	-0.301395833333333
BARHL1	-0.299354166666667
BATF3	-0.2404375
BCAP31	-0.171895833333333
BECN1	-0.166979166666667
BECN2	-0.244979166666667
BICD1	-0.2331875
BICD2	-0.186854166666667
BRD8	-0.1885625
BRSK1	-0.2140625
BRSK2	-0.229854166666667
BTBD11	-0.293979166666667
BTG1	-0.314354166666667
BUB1B	-0.321854166666667
BUB3	-0.0806041666666668
BZW1	-0.338368055555556
BZW2	-0.0761875
CAB39	-0.320104166666667
CAB39L	-0.1361875
CABP5	-0.0149375
CADPS	-0.298645833333333
CADPS2	-0.0793541666666667
CALY	-0.174604166666667
CAND1	-0.1033125
CAND2	-0.196104166666667
CAP1	-0.214729166666667
CAP2	-0.154770833333333
CAPN2	-0.222895833333333
CASP4	-0.1870625
CAT	-0.2061875
CAV1	-0.307604166666667
CAVIN1	-0.0599375000000001
CBLL1	-0.265854166666667
CBLL2	-0.230104166666667
CCDC69	-0.3045625
CCND1	0.0181458333333333
CCND3	-0.334104166666667
CCNE1	-0.243479166666667
CCNE2	-0.2634375
CCNL1	-0.198979166666667
CCNL2	-0.148520833333333
CCNT1	-0.2551875
CCNT2	-0.174645833333333
CCT6A	-0.2768125
CCT6B	-0.205229166666667
CD163L1	-0.2444375
CD44	-0.0845625
CD72	-0.273979166666667
CDC34	-0.213395833333333
CDIPT	-0.2633125
CDK16	-0.216520833333333
CDK17	-0.300854166666667
CDK19	-0.248708333333333
CDK2	-0.152604166666667
CDK5R1	-0.0397291666666667
CDK5R2	-0.236270833333333
CDK7	0.00952083333333326
CDK8	-0.184020833333333
CDNF	-0.334270833333333
CDS1	-0.2918125
CDS2	-0.1064375
CEACAM1	-0.364145833333333
CELA2A	-0.268729166666667
CFL1	-0.146895833333333
CHM	-0.352354166666667
CHML	-0.161520833333333
CHMP1A	-0.270104166666667
CHMP1B	-0.0775625
CHORDC1	0.105854166666667
CHRNB3	-0.146270833333333
CHSY1	-0.332770833333333
CHSY3	-0.215729166666667
CHUK	-0.177458333333333
CKAP5	-0.0652916666666667
CLASP1	-0.1509375
CLASP2	-0.221895833333333
CLCA1	-0.181770833333333
CLDN4	-0.0796875
CLIP4	-0.205395833333333
CLNS1A	0.0264097222222222
CLTA	-0.148229166666667
CLTB	-0.2274375
CLTC	0.000479166666666586
CLTCL1	-0.306604166666667
CNOT6	-0.310604166666667
CNOT6L	-0.0911875000000001
CNOT7	-0.0734791666666667
CNOT8	-0.420979166666667
COPA	-0.0137708333333334
COPG1	-0.0766041666666667
COPG2	-0.2696875
COPS7A	-0.348520833333333
COPS7B	-0.252395833333333
COPZ1	-0.0994791666666667
COPZ2	-0.168520833333333
COQ10A	-0.0596875000000001
COQ10B	-0.1665625
COX4I1	-0.1395625
COX4I2	-0.4363125
COX6B1	-0.287958333333333
COX6B2	-0.4094375
CPS1	-0.157145833333333
CPSF3	-0.0449791666666667
CREBBP	-0.2680625
CRK	-0.392520833333333
CRKL	-0.500020833333333
CRNN	-0.1901875
CRX	-0.0921875000000001
CRY1	-0.00531250000000008
CRY2	-0.0723958333333334
CRYBB2	-0.3395625
CSTF2	-0.2558125
CSTF2T	-0.366604166666667
CTCFL	-0.2913125
CTNNB1	-0.4063125
CTPS1	-0.246604166666667
CTPS2	-0.313395833333333
CTR9	0.108520833333333
CTSZ	-0.201395833333333
CWF19L1	-0.230604166666667
CYFIP1	-0.247895833333333
CYFIP2	-0.176229166666667
CYP26C1	-0.132395833333333
CYP2A6	-0.128104166666667
CYP2C8	-0.214354166666667
CYP7A1	-0.174104166666667
DBT	-0.192395833333333
DCAF4L2	-0.235770833333333
DCAF8L1	-0.2778125
DDI1	-0.3556875
DDI2	-0.134270833333333
DDX17	-0.260645833333333
DDX39A	-0.3558125
DDX39B	-0.111604166666667
DDX5	-0.245520833333333
DEGS1	-0.174645833333333
DEGS2	-0.280520833333333
DENND5A	-0.259895833333333
DENND5B	-0.2424375
DGAT1	-0.3164375
DGAT2L6	-0.0896458333333334
DGKI	-0.4039375
DGKZ	-0.160034722222222
DHX29	0.187631944444444
DHX9	0.0829097222222221
DLL1	-0.6095625
DLL4	-0.3635625
DMD	-0.215895833333333
DMP1	-0.162979166666667
DMXL1	-0.345979166666667
DMXL2	-0.136020833333333
DNAJC15	-0.260729166666667
DNAJC19	-0.269534722222222
DPCR1	-0.188770833333333
DRD3	-0.410854166666667
DST	-0.246520833333333
DUOX1	-0.320895833333333
DUOX2	-0.145604166666667
DUSP10	-0.115645833333333
DYNC1LI1	-0.0685347222222223
DYNC1LI2	-0.265645833333333
DYNLRB1	0.1931875
DYNLRB2	-0.375395833333333
DYNLT1	-0.314229166666667
DYNLT3	-0.252270833333333
DZIP1L	-0.0621041666666667
DZIP3	-0.4493125
E2F3	0.459409722222222
E2F4	-0.0213958333333334
EAF1	-0.0658541666666667
EAF2	-0.277895833333333
EEFSEC	-0.132604166666667
EFNB1	-0.3758125
EFR3A	-0.0802291666666667
EFR3B	-0.1726875
EGFR	-0.3286875
EIF3B	0.233020833333333
EIF3J	-0.0535208333333334
EIF3L	-0.177729166666667
EIF4A3	-0.1885625
ELL	-0.126645833333333
ELL2	-0.320145833333333
ENOX1	-0.3899375
ENOX2	-0.2380625
EP300	-0.108604166666667
EPC1	-0.185770833333333
EPC2	-0.3346875
EPHA2	-0.254854166666667
EPHA3	-0.0229791666666667
EPS15	-0.159229166666667
EPS15L1	0.00564583333333327
ERBB3	-0.380854166666667
ERC1	-0.285770833333333
ERC2	-0.303895833333333
ERH	-0.293020833333333
ERN1	-0.251020833333333
ERN2	-0.1401875
ERO1A	-0.3914375
ERO1B	-0.429854166666667
ESRP1	0.0291874999999999
ESRP2	-0.199479166666667
EXOC6	-0.3269375
EXOC6B	-0.246395833333333
EZH1	-0.120395833333333
EZH2	-0.219229166666667
FAM126A	-0.0856041666666667
FAM126B	-0.113229166666667
FAM50A	-0.336354166666667
FAM50B	-0.237770833333333
FAM71A	-0.000479166666666725
FAM71B	-0.292229166666667
FANCF	0.0394375
FANCM	0.1209375
FARS2	0.0583541666666666
FBLN1	-0.307895833333333
FCRL3	-0.337145833333333
FDPS	0.0405208333333333
FEZ1	-0.274145833333333
FEZ2	-0.284395833333333
FKBP10	-0.185354166666667
FKBP4	-0.322895833333333
FKBP5	-0.179729166666667
FKBP9	-0.139395833333333
FLNB	-0.258354166666667
FLNC	-0.379520833333333
FLOT1	-0.2634375
FLOT2	-0.243020833333333
FLT1	-0.379895833333333
FMR1	-0.365479166666667
FNIP1	0.0784791666666666
FNIP2	-0.1790625
FOSL1	-0.2858125
FOXA1	-0.137979166666667
FOXB1	-0.2929375
FOXE3	-0.487895833333333
FOXK1	-0.263770833333333
FOXK2	-0.0883125000000001
FRS2	-0.1991875
FRS3	-0.0971458333333334
FRY	-0.2194375
FRYL	-0.1365625
FSD1	-0.3031875
FSD1L	-0.395520833333333
FUT5	-0.0502708333333334
FXR1	-0.229354166666667
FXR2	-0.349979166666667
FZD8	-0.404229166666667
FZR1	-0.273979166666667
G3BP1	-0.136354166666667
G3BP2	-0.528354166666667
G6PC	-0.0308125
GABPB1	-0.4091875
GABPB2	-0.248354166666667
GALNT2	-0.3020625
GALNT5	-0.00277083333333339
GALR3	-0.290395833333333
GAPDH	-0.1313125
GATAD2A	-0.330270833333333
GBP3	-0.1650625
GBX1	-0.401979166666667
GBX2	-0.284229166666667
GCM2	-0.246395833333333
GDF15	-0.0821041666666667
GDI1	-0.0966041666666667
GDI2	-0.0951458333333334
GFM1	-0.298104166666667
GIT1	-0.371145833333333
GIT2	-0.113604166666667
GJA8	-0.377979166666667
GLIS3	-0.312604166666667
GLT6D1	-0.408145833333333
GMPR	-0.363520833333333
GMPR2	-0.291979166666667
GNB3	-0.3476875
GOLPH3	-0.170604166666667
GOLPH3L	-0.195395833333333
GOLT1A	-0.350604166666667
GOLT1B	-0.2276875
GPR151	-0.1513125
GPR183	-0.254729166666667
GPR50	-0.4254375
GPSM1	-0.157354166666667
GPSM2	-0.2706875
GRHL2	-0.00706250000000005
GRHL3	-0.194979166666667
GRIP1	-0.133479166666667
GRIP2	-0.0842708333333334
GRM4	-0.2334375
GSDMD	0.119729166666667
GSTP1	-0.357020833333333
GSX1	-0.2159375
GSX2	-0.2584375
GTF3C1	-0.0429791666666667
GXYLT1	-0.1610625
GXYLT2	-0.2039375
GYS1	-0.219895833333333
GYS2	-0.0651875000000001
H1FOO	-0.391520833333333
H2AFX	-0.144604166666667
H2BFM	-0.209104166666667
HACD1	-0.385520833333333
HACD2	-0.148520833333333
HASPIN	0.0670208333333333
HEATR5A	-0.295270833333333
HEATR5B	-0.260270833333333
HMG20B	-0.3535625
HMGCL	-0.264020833333333
HMGCLL1	-0.2780625
HMGCS1	0.0391319444444444
HMGCS2	-0.0700208333333334
HMSD	-0.266520833333333
HNRNPF	-0.1850625
HNRNPH1	-0.0438541666666667
HNRNPH3	-0.1053125
HNRNPK	-0.173770833333333
HOXB1	-0.383854166666667
HPS1	-0.355895833333333
HRAS	-0.3285625
HRH1	-0.3219375
HRH3	-0.117479166666667
HSCB	0.0437291666666666
HTR2C	0.0638124999999999
HTR3D	-0.318270833333333
HTR3E	-0.1668125
HUS1	0.1378125
HUS1B	-0.2513125
IAPP	-0.183895833333333
ICK	-0.1389375
IDH1	-0.2180625
IDH2	-0.2648125
IDH3B	-0.268104166666667
IDH3G	-0.251020833333333
IFIH1	-0.317854166666667
IKBKB	-0.239979166666667
IKBKE	-0.276645833333333
IL10RA	-0.261645833333333
IL6R	-0.1860625
IL6ST	-0.2335625
ILF3	-0.171520833333333
IMPDH1	-0.0489375000000001
IMPDH2	-0.154479166666667
INCENP	-0.324854166666667
INTS2	-0.166604166666667
INTS6	0.195965277777778
INTS6L	-0.361895833333333
IPO5	-0.1023125
IPO7	-0.0194236111111112
IPO8	-0.252229166666667
IQCA1	-0.444520833333333
IQCA1L	-0.310020833333333
IRF4	-0.261020833333333
IRF6	-0.410895833333333
IRF8	-0.433979166666667
ISCA2	-0.0121875000000001
ISL1	-0.0816458333333334
