id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	1.8057e-05	0.00010752	0.113861	1	8	-1.7904	0.99961	0.99965	0.999874	1057	0	-1.7904
FNIP1	4	0.00014866	0.00068718	0.34736	2	4	-1.5275	0.99985	0.99987	0.999874	1059	0	-1.5275
RPL5	4	0.00036634	0.0015847	0.34736	3	4	-1.8585	0.99963	0.99962	0.999874	1058	0	-1.8585
FAM71A	4	0.00041865	0.0017063	0.34736	4	4	-1.3403	0.99958	0.99958	0.999874	1056	0	-1.3403
RAN	4	0.00046929	0.0018932	0.34736	5	1	-0.083146	0.29134	0.28965	0.999874	303	0	-0.083146
RPL36	4	0.00048395	0.001968	0.34736	6	2	-1.6939	0.9047	0.90469	0.999874	941	0	-1.6939
TSG101	4	0.00093199	0.0035294	0.45735	7	4	-1.2288	0.99907	0.99922	0.999874	1055	0	-1.2288
RSBN1L	4	0.0010178	0.0037725	0.45735	8	4	-2.1793	0.98612	0.98622	0.999874	1031	0	-2.1793
GSDMD	4	0.0013158	0.0049131	0.45735	9	3	-1.8266	0.95873	0.95916	0.999874	996	0	-1.8266
NCBP2	4	0.0014074	0.0053899	0.45735	10	2	-0.3739	0.23614	0.23587	0.975731	256	1	-0.3739
RPL14	3	0.0014538	0.0041371	0.45735	11	2	-2.4685	0.76176	0.76243	0.999874	786	0	-2.4685
HTR2C	4	0.0014632	0.0056143	0.45735	12	3	-1.774	0.90242	0.90247	0.999874	937	0	-1.774
ATP6V1B2	4	0.001726	0.0066334	0.501768	13	4	-1.5412	0.99827	0.99842	0.999874	1054	0	-1.5412
E2F3	3	0.0017502	0.0049131	0.45735	14	3	-2.1326	0.99825	0.99813	0.999874	1053	0	-2.1326
RRM1	8	0.0017911	0.0096719	0.600743	15	7	-1.5045	0.99258	0.99264	0.999874	1046	0	-1.5045
TOP1	4	0.0023433	0.0085968	0.568998	16	4	-1.6975	0.98192	0.98181	0.999874	1025	0	-1.6975
SF3A1	4	0.0023448	0.0085968	0.568998	17	2	-0.28316	0.58378	0.58363	0.999874	602	0	-0.28316
EIF3B	4	0.0030202	0.010822	0.600743	18	4	-1.941	0.99697	0.99711	0.999874	1052	0	-1.941
TOMM22	4	0.0031505	0.011345	0.600743	19	4	-1.5995	0.99685	0.99698	0.999874	1051	0	-1.5995
MBD3L1	4	0.0038969	0.013814	0.610856	20	2	-1.3547	0.31355	0.31207	0.999874	328	0	-1.3547
TRRAP	4	0.0040588	0.014347	0.610856	21	4	-1.7866	0.99594	0.99596	0.999874	1050	0	-1.7866
FANCM	4	0.0041788	0.014608	0.610856	22	3	-1.6677	0.91518	0.91517	0.999874	950	0	-1.6677
POLR2L	4	0.0042177	0.014683	0.610856	23	2	-0.54469	0.64566	0.64524	0.999874	654	0	-0.54469
CTR9	4	0.004409	0.015254	0.610856	24	3	-1.4961	0.9375	0.93733	0.999874	975	0	-1.4961
GRHL2	4	0.0045814	0.015927	0.610856	25	3	-1.8269	0.074341	0.090376	0.969217	97	1	-1.8269
TBPL2	4	0.0045969	0.015983	0.610856	26	4	-1.0728	0.9954	0.99548	0.999874	1049	0	-1.0728
NRBP2	4	0.0050812	0.017572	0.61434	27	3	-1.7686	0.80084	0.80196	0.999874	840	0	-1.7686
STX17	4	0.0052232	0.017984	0.61434	28	4	-1.4168	0.99478	0.99483	0.999874	1048	0	-1.4168
RPL31	2	0.0053905	0.010373	0.600743	29	2	-2.693	0.99173	0.9921	0.999874	1045	0	-2.693
RPP21	4	0.0054763	0.018778	0.620122	30	4	-1.8082	0.98519	0.98551	0.999874	1029	0	-1.8082
CHORDC1	3	0.0059385	0.016151	0.610856	31	2	-1.9926	0.90334	0.90286	0.999874	939	0	-1.9926
SLC35F3	4	0.0060879	0.02077	0.62843	32	1	0.25151	0.3764	0.3752	0.999874	391	0	0.25151
IPO7	3	0.0064341	0.017282	0.61434	33	2	-1.9822	0.516	0.51389	0.999874	534	0	-1.9822
GALNT5	4	0.00666	0.022471	0.641837	34	3	-1.4115	0.9063	0.90616	0.999874	945	0	-1.4115
ACTL6A	4	0.007022	0.023565	0.641837	35	2	-0.70706	0.11185	0.12264	0.969217	127	1	-0.70706
DHX29	3	0.0072978	0.019657	0.620122	36	3	-1.7525	0.9927	0.99269	0.999874	1047	0	-1.7525
SF3B3	4	0.0073236	0.024556	0.641837	37	3	-1.4847	0.86486	0.8658	0.999874	896	0	-1.4847
GTF3C1	4	0.007348	0.024603	0.641837	38	3	-1.3576	0.71712	0.71634	0.999874	736	0	-1.3576
PSMB3	3	0.0074148	0.019909	0.620122	39	2	-1.9527	0.92124	0.92046	0.999874	957	0	-1.9527
ATP6V1D	4	0.0074669	0.025024	0.641837	40	4	-1.5384	0.98933	0.98921	0.999874	1038	0	-1.5384
RBPJ	4	0.007703	0.025725	0.641837	41	3	-1.5261	0.96951	0.96968	0.999874	1004	0	-1.5261
XRCC6	4	0.0077992	0.026061	0.641837	42	3	-1.6439	0.23537	0.23509	0.975731	255	1	-1.6439
SNRPD3	4	0.0084889	0.028258	0.643248	43	3	-1.6548	0.45297	0.45241	0.999874	464	0	-1.6548
DYNLRB1	3	0.0085345	0.022808	0.641837	44	2	-1.8737	0.93371	0.93311	0.999874	969	0	-1.8737
RGS19	4	0.0085896	0.028548	0.643248	45	2	-1.2822	0.90518	0.90519	0.999874	944	0	-1.2822
ATP5F1B	4	0.0088883	0.02938	0.643474	46	2	-0.60997	0.71821	0.7175	0.999874	738	0	-0.60997
NAPA	4	0.0091402	0.030213	0.643474	47	4	-0.85225	0.99086	0.99084	0.999874	1043	0	-0.85225
GIT2	4	0.0098205	0.032297	0.643474	48	1	-0.54575	0.76317	0.76377	0.999874	788	0	-0.54575
ABT1	4	0.0099505	0.032737	0.643474	49	4	-1.6312	0.98744	0.98752	0.999874	1034	0	-1.6312
COPA	4	0.010013	0.032905	0.643474	50	3	-1.365	0.97989	0.97998	0.999874	1021	0	-1.365
CDK7	4	0.010168	0.033382	0.643474	51	3	-1.6153	0.54243	0.54136	0.999874	560	0	-1.6153
