gene	MP46.D28A	MP46.D28B	MP46.D28C	MP46.D64A	MP46.D64B	MP46.D64C
ABCA3	0.22939984199941	0.78315948712065	-0.265156834477205	-2.1787349222532	1.6894364177481	-1.23263340450313
ABCB1	-0.27407070114318	0.74945105380226	-0.0937414894120338	-0.794839753933042	0.206161571089932	-1.99985549164146
ABCC3	-0.47981621015332	-0.535917888910913	-0.626514908900636	-1.95099120156172	-1.44989182217255	-3.04560171706957
ABCG2	0.219283475384729	0.0511532697335166	-0.328111555426729	0.60763298892756	-1.05871222072724	-1.48406278370012
ABL1	0.460492630740341	-0.23197722330702	-0.211849064867774	0.156720738320042	-1.65054416259708	-1.04969683604132
ABL2	-0.483325103075665	-0.576850728166106	-0.224891537602498	-2.46287138038544	-2.49177576527654	-1.3912972583567
ABT1	-1.11998799221554	-1.16170225764546	-0.652126797874926	-2.19058530242565	-2.52957153605053	-3.11857256315277
ABTB2	0.0632801025726368	-0.121791990550799	0.110369832438008	-0.583737247718424	1.49083425424137	-1.76849876709912
ACACA	-0.191650297075727	-0.239955500137207	-0.575815706017778	0.0482981129108989	-1.31573495310312	-1.56645331267254
ACACB	0.496729171700671	0.387045677527719	0.0039938582220185	-0.594227231006864	-0.333366441515487	-0.711107135973253
ACTL6A	-0.604410256406818	-0.880282788953735	-0.543564077214701	-2.01792702945792	-2.36864931127022	-2.05755890469334
ACTL6B	-0.11381461827049	-0.428057612074236	0.022452752448589	-1.10310102194106	-1.55975257500651	-1.46622720460902
ACTL7A	0.21154028779414	0.737585118015823	-0.966186152107442	-2.72952770097283	0.294192650675459	-3.55712492714423
ADAM19	0.635092261921531	-0.0130849268302552	0.261786510735524	-0.384988437815646	0.209313962426809	-1.23656400917211
ADAP1	-0.338245300724526	-0.372090495705818	-0.726676876665553	-2.88460829216189	-3.04626860906753	-4.10249198020181
ADAP2	0.0554244191124313	-0.369566325313391	-0.195323947315876	-1.39344821786376	-2.45573865342251	-3.23389013114158
ADARB1	-0.611930274420407	-0.93882753774587	0.53016180614559	-2.13046411717678	-2.16586859358284	0.250532812336662
ADARB2	-0.216727385646809	0.451043573344564	0.323919890187084	-0.84881558121275	-1.38946025169464	0.226318386285732
ADGRG7	0.680925299438223	-0.737217686998899	-0.321418298689724	0.717261513251644	-2.61986566847584	-2.59392125554553
ADM	0.00235856177400419	-0.0328307999336287	-0.0920404275134332	-0.386825694048767	-1.45498920694388	-1.52999974949818
ADSS	-0.349618236429582	-0.52420924080148	-0.458385728192537	-0.988490419746159	-2.46179516920783	-2.42800958374557
ADSSL1	0.237098658326044	0.0687505498836224	0.294769644293171	0.587254238012135	-0.954988071742683	0.181770930373684
AFG3L2	-0.366757654837487	-0.363774375349789	-1.00874466089313	-2.23465425530157	-2.81922720141138	-2.67129698267945
AHCYL1	-0.814374779223354	-1.2455754568025	-0.263342828621324	-3.52967875240481	-2.22415610615176	-0.582768972593154
AHCYL2	-0.0011800246569722	-0.330996514029659	-0.0969291575271935	-1.9977816852517	-2.8085111684597	-1.44834421601362
AIPL1	0.0920902854199185	0.336032115418227	0.165657327462338	-3.02458633402787	-0.642021884727367	-0.500330456383392
AKAP11	-0.171466449785447	0.0705449147633447	-0.284349110581416	-2.38378669802422	-1.49156908740554	-0.976707416877066
AKIRIN1	-0.594502711542549	-0.920430860150338	-0.246061247080831	-2.20100117384244	-2.00075767059942	-1.50164691367749
AKIRIN2	-0.382433718027552	-0.667274826021665	0.0473771179915036	-2.24171452560059	-1.22417017911725	-2.0790257297369
ALAS1	0.0555715951590059	0.00772905689304174	-0.0718351890540911	-1.37738208865155	-1.82498627832871	-1.65558830234422
