gene	BF
ABCA3	-1.078625
ABCB1	-0.712458333333333
ABCC3	-1.2085
ABCG2	0.384166666666666
ABL1	-1.04245833333333
ABL2	-0.0836666666666669
ABT1	2.33175
ABTB2	-1.25508333333333
ACACA	4.62266666666667
ACACB	-0.116916666666667
ACTL6A	4.79641666666667
ACTL6B	0.0280833333333332
ACTL7A	-0.453125
ADAM19	-1.56120833333333
ADAP1	0.17675
ADAP2	-0.374625
ADARB1	-1.10166666666667
ADARB2	-1.50366666666667
ADGRG7	-0.552291666666667
ADM	-0.780791666666667
ADSS	-0.0293194444444447
ADSSL1	0.0997499999999998
AFG3L2	4.54129166666667
AHCYL1	3.46316666666667
AHCYL2	-0.921833333333334
AIPL1	-1.15191666666667
AKAP11	-0.769041666666667
AKIRIN1	1.10375
AKIRIN2	3.09429166666667
ALAS1	-0.940979166666667
ALAS2	-0.684458333333334
ALDOA	5.91120833333333
ALDOC	-0.777666666666667
ALG14	-0.288666666666667
AMELX	-1.85325
ANAPC4	1.50475
ANKRD10	-1.35954166666667
ANKRD37	-1.35795833333333
ANXA1	-0.904041666666667
AOX1	-0.540541666666667
AP1G1	-0.485875
AP1G2	-0.22325
AP2A1	0.101
AP2A2	-0.892916666666667
AP3M1	-0.923
AP5M1	-1.16970833333333
APH1A	0.378333333333333
APH1B	0.90625
APOBEC1	-0.895333333333334
APOBEC3C	-0.665666666666667
AQP8	-2.01833333333333
ARFGEF1	-0.506833333333334
ARFGEF2	-0.754833333333333
ARFIP1	-0.705625
ARFIP2	-0.2295
ARHGEF3	-1.62341666666667
ARHGEF6	-0.939875
ARHGEF7	-0.725708333333333
ARID1A	1.33325
ARID1B	-1.20158333333333
ARID4A	-0.522958333333333
ARPC5	0.135208333333333
ARPC5L	-0.693
ARSJ	-0.90375
ASCL1	-1.66370833333333
ASF1A	0.127375
ASF1B	0.354416666666666
ATAD2	-0.999458333333334
ATAD2B	-0.917291666666667
ATM	-0.356541666666667
ATOH1	-1.24091666666667
ATP5F1A	3.82979166666667
ATP5F1B	3.66320833333333
ATP5F1D	1.05304166666667
ATP5PB	0.00645833333333312
ATP6V1B1	-0.0962916666666669
ATP6V1B2	3.985125
ATP6V1C1	3.72275
ATP6V1C2	-0.322479166666667
ATP6V1D	3.02604166666667
ATP6V1E1	-0.0424305555555557
ATP6V1E2	0.442916666666666
ATP7A	1.05533333333333
ATP7B	-0.630208333333333
ATP8B3	-0.608166666666667
ATR	1.64545833333333
AXL	-0.881375
BAP1	1.29875
BARHL1	-1.57808333333333
BATF3	-0.241583333333333
BCAP31	-0.496791666666667
BECN1	1.187875
BECN2	-0.978291666666667
BICD1	-0.593666666666667
BICD2	-0.569833333333333
BRD8	0.794875
BRSK1	-1.2045
BRSK2	-0.78625
BTBD11	-0.913166666666667
BTG1	-1.828375
BUB1B	3.72079166666667
BUB3	7.81754166666667
BZW1	-0.0199861111111114
BZW2	0.00112499999999982
CAB39	-2.50083333333333
CAB39L	-0.559208333333334
CABP5	-0.247208333333334
CADPS	-0.994875
CADPS2	-0.478
CALY	-0.69625
CAND1	2.32870833333333
CAND2	-0.789583333333334
CAP1	-0.317708333333333
CAP2	-0.663916666666667
CAPN2	-0.596
CASP4	-1.520625
CAT	-0.769333333333333
CAV1	0.00041666666666651
CAVIN1	-1.34075
CBLL1	0.491
CBLL2	-1.56691666666667
CCDC69	-0.965583333333333
CCND1	3.45258333333333
CCND3	-0.836416666666667
CCNE1	-0.613958333333334
CCNE2	-0.956708333333333
CCNL1	2.05358333333333
CCNL2	-1.55354166666667
CCNT1	-0.997458333333334
CCNT2	-0.9515
CCT6A	3.826125
CCT6B	0.322
CD163L1	-1.382125
CD44	-0.964916666666667
CD72	-0.831208333333334
CDC34	-0.0282083333333335
CDIPT	4.011125
CDK16	-1.39504166666667
CDK17	0.0469583333333332
CDK19	-0.7138125
CDK2	0.94075
CDK5R1	-0.431083333333333
CDK5R2	-0.237916666666667
CDK7	6.79066666666667
CDK8	-0.391375
CDNF	-0.567375
CDS1	-0.210625
CDS2	2.67625
CEACAM1	-1.22195833333333
CELA2A	-1.48041666666667
CFL1	1.81029166666667
CHM	-1.180375
CHML	-0.400625
CHMP1A	0.626916666666667
CHMP1B	-1.255875
CHORDC1	6.36290277777778
CHRNB3	-1.00708333333333
CHSY1	-2.387375
CHSY3	-1.16970833333333
CHUK	-0.275791666666667
CKAP5	4.6335
CLASP1	-0.48125
CLASP2	-0.968166666666667
CLCA1	-2.03479166666667
CLDN4	-0.178791666666667
CLIP4	-0.637
CLNS1A	5.46484722222222
CLTA	-0.39075
CLTB	-0.0867916666666668
CLTC	3.891125
CLTCL1	0.0804999999999998
CNOT6	-0.916666666666667
CNOT6L	-1.129
CNOT7	-0.634291666666667
CNOT8	-1.94931944444444
COPA	7.47804166666667
COPG1	0.703583333333333
COPG2	-0.123541666666667
COPS7A	0.809708333333333
COPS7B	-0.705083333333334
COPZ1	2.29158333333333
COPZ2	-2.12916666666667
COQ10A	-0.982583333333334
COQ10B	-0.8985
COX4I1	2.68166666666667
COX4I2	-0.205458333333334
COX6B1	2.15675
COX6B2	-1.03216666666667
CPS1	-1.17133333333333
CPSF3	4.48670833333333
CREBBP	-1.05804166666667
CRK	-0.0965833333333335
CRKL	-0.188958333333334
CRNN	-0.198125
CRX	-0.590416666666667
CRY1	-0.707541666666667
CRY2	-0.157958333333334
CRYBB2	-1.50341666666667
CSTF2	-1.97620833333333
CSTF2T	-0.735125
CTCFL	-1.56358333333333
CTNNB1	-0.699875
CTPS1	0.459041666666666
CTPS2	-2.048375
CTR9	4.86641666666667
CTSZ	-0.737333333333333
CWF19L1	0.186958333333333
CYFIP1	-0.848916666666667
CYFIP2	-0.827916666666667
CYP26C1	-0.94275
CYP2A6	-0.344
CYP2C8	-0.845458333333334
CYP7A1	-1.537375
DBT	-0.597041666666667
DCAF4L2	-2.06070833333333
DCAF8L1	-2.04608333333333
DDI1	-1.02354166666667
DDI2	0.786541666666666
DDX17	-1.02654166666667
DDX39A	-1.24941666666667
DDX39B	-0.290833333333333
DDX5	0.475208333333333
DEGS1	-1.01095833333333
DEGS2	-1.16875
DENND5A	-0.715125
DENND5B	-1.200375
DGAT1	-0.957916666666667
DGAT2L6	-0.936833333333333
DGKI	-1.00758333333333
DGKZ	0.347847222222222
DHX29	1.05923611111111
DHX9	4.05218055555556
DLL1	-1.468375
DLL4	-1.2205
DMD	-1.29525
DMP1	-0.215958333333333
DMXL1	-1.332
DMXL2	0.0443333333333331
DNAJC15	-1.10020833333333
DNAJC19	-0.631097222222222
DPCR1	-0.365458333333334
DRD3	-0.592333333333333
DST	-1.201
DUOX1	-0.942791666666667
DUOX2	-0.518333333333334
DUSP10	-0.460333333333333
DYNC1LI1	-0.750375
DYNC1LI2	-1.129625
DYNLRB1	4.66229166666667
DYNLRB2	-1.50791666666667
DYNLT1	-1.44429166666667
DYNLT3	-2.053125
DZIP1L	0.138458333333333
DZIP3	-1.28008333333333
E2F3	4.52551388888889
E2F4	-0.78875
EAF1	0.193916666666666
EAF2	-1.05683333333333
EEFSEC	0.490541666666667
EFNB1	-1.6755
EFR3A	-0.146916666666667
EFR3B	-0.423958333333333
EGFR	-0.996208333333334
EIF3B	3.99233333333333
EIF3J	1.43679166666667
EIF3L	0.888333333333333
EIF4A3	4.859625
ELL	2.09879166666667
ELL2	-0.9
ENOX1	-1.45975
ENOX2	-1.0075
EP300	-0.000333333333333519
EPC1	-0.828625
EPC2	0.79025
EPHA2	-1.45291666666667
EPHA3	-0.369
EPS15	-0.730791666666667
EPS15L1	-0.728208333333334
ERBB3	-1.1071875
ERC1	-1.297625
ERC2	-0.293416666666667
ERH	0.112958333333333
ERN1	-0.996708333333334
ERN2	-1.56229166666667
ERO1A	-1.091625
ERO1B	-0.803666666666667
ESRP1	-0.346666666666667
ESRP2	-0.717208333333334
EXOC6	-0.325291666666667
EXOC6B	-0.0447916666666669
EZH1	-0.0656250000000002
EZH2	-0.837375
FAM126A	-0.163916666666667
FAM126B	-0.954666666666667
FAM50A	0.700541666666666
FAM50B	-1.67758333333333
FAM71A	-0.772583333333333
FAM71B	-1.37129166666667
FANCF	0.615916666666666
FANCM	2.37945833333333
FARS2	1.200625
FBLN1	-0.739541666666667
FCRL3	-0.947708333333333
FDPS	2.88179166666667
FEZ1	-0.349666666666667
FEZ2	-0.5135
FKBP10	-1.027875
FKBP4	-0.470375
FKBP5	-0.251875
FKBP9	-0.8655
FLNB	-1.31841666666667
FLNC	-0.5675
FLOT1	-1.29966666666667
FLOT2	-0.639375
FLT1	-1.27504166666667
FMR1	-0.899583333333334
FNIP1	-0.454791666666667
FNIP2	-0.429916666666667
FOSL1	-0.227319444444445
FOXA1	-1.66091666666667
FOXB1	-0.968041666666667
FOXE3	-1.418375
FOXK1	0.747958333333333
FOXK2	0.466583333333333
FRS2	-0.199375
FRS3	-1.89983333333333
FRY	-1.240625
FRYL	-2.33054166666667
FSD1	-0.951791666666667
FSD1L	-1.23791666666667
FUT5	-1.33775
FXR1	-0.0132083333333336
FXR2	-1.11508333333333
FZD8	-2.21795833333333
FZR1	1.35754166666667
G3BP1	1.3465
G3BP2	0.58525
G6PC	-0.261958333333334
GABPB1	-0.428666666666667
GABPB2	-0.141583333333333
GALNT2	-1.42416666666667
GALNT5	-0.389416666666667
GALR3	-0.771041666666667
GAPDH	3.55525
GATAD2A	-0.761916666666667
GBP3	-0.754041666666667
GBX1	-2.169125
GBX2	-0.751458333333334
GCM2	0.242833333333333
GDF15	-0.92625
GDI1	-1.181375
GDI2	0.2605
GFM1	1.322625
GIT1	-1.757875
GIT2	0.116416666666666
GJA8	-0.812333333333334
GLIS3	-0.721041666666667
GLT6D1	-0.505208333333334
GMPR	-0.922958333333334
GMPR2	-0.172
GNB3	-1.321625
GOLPH3	-1.44270833333333
GOLPH3L	-0.301333333333333
GOLT1A	-0.856375
GOLT1B	-0.237875
GPR151	0.702208333333333
GPR183	-1.48179166666667
GPR50	-1.94683333333333
GPSM1	-0.5195
GPSM2	-1.556
GRHL2	0.350541666666667
GRHL3	0.347958333333333
GRIP1	-0.0869166666666669
GRIP2	-0.795666666666667
GRM4	-1.444625
GSDMD	-1.26366666666667
GSTP1	-0.193708333333334
GSX1	-1.04404166666667
GSX2	-1.67233333333333
GTF3C1	1.79879166666667
GXYLT1	-0.844166666666667
GXYLT2	0.143
GYS1	-0.51025
GYS2	0.321166666666666
H1FOO	-0.835083333333334
H2AFX	-0.685666666666667
H2BFM	-1.63741666666667
HACD1	-1.08233333333333
HACD2	2.71758333333333
HASPIN	-0.814833333333334
HEATR5A	-0.904041666666667
HEATR5B	-1.466875
HMG20B	-0.421333333333334
HMGCL	-1.136125
HMGCLL1	-1.60625
HMGCS1	5.72123611111111
HMGCS2	-0.602875
HMSD	-0.372333333333334
HNRNPF	-0.0857916666666669
HNRNPH1	1.80533333333333
HNRNPH3	-0.872125
HNRNPK	3.033375
HOXB1	-0.269333333333333
HPS1	-1.59966666666667
HRAS	-0.579416666666667
HRH1	-1.05804166666667
HRH3	-2.430625
HSCB	4.30195833333333
HTR2C	-1.815125
HTR3D	-1.89091666666667
HTR3E	-0.504083333333333
HUS1	2.43995833333333
HUS1B	-1.61633333333333
IAPP	-0.611625
ICK	-0.0475416666666668
IDH1	-1.194
IDH2	-0.6285
IDH3B	-1.492375
IDH3G	-2.051625
IFIH1	-0.595541666666667
IKBKB	-1.892625
IKBKE	-0.910625
