gene	BF
ABCA3	-0.983958333333333
ABCB1	-1.98554166666667
ABCC3	-0.709958333333334
ABCG2	-1.53004166666667
ABL1	-1.20208333333333
ABL2	-0.168125
ABT1	1.077875
ABTB2	-0.407916666666667
ACACA	-0.949083333333334
ACACB	-1.31791666666667
ACTL6A	0.82675
ACTL6B	-0.3205
ACTL7A	-0.0773333333333336
ADAM19	-1.16145833333333
ADAP1	-0.195791666666667
ADAP2	-0.571958333333334
ADARB1	-1.421125
ADARB2	-1.12908333333333
ADGRG7	-0.631208333333334
ADM	-0.0268750000000002
ADSS	-0.867180555555556
ADSSL1	-0.739041666666667
AFG3L2	-0.052902777777778
AHCYL1	0.420583333333333
AHCYL2	-1.60591666666667
AIPL1	-1.18529166666667
AKAP11	-0.567625
AKIRIN1	0.0474999999999998
AKIRIN2	0.510125
ALAS1	-1.64291666666667
ALAS2	-1.25920833333333
ALDOA	1.51979166666667
ALDOC	-0.408541666666667
ALG14	-1.21016666666667
AMELX	-1.569875
ANAPC4	-0.573458333333334
ANKRD10	-0.616541666666667
ANKRD37	-1.12645833333333
ANXA1	-1.65154166666667
AOX1	-1.46116666666667
AP1G1	-0.904291666666667
AP1G2	-0.906416666666667
AP2A1	0.854791666666667
AP2A2	-1.182375
AP3M1	-0.31725
AP5M1	-1.21
APH1A	-1.02341666666667
APH1B	-1.084875
APOBEC1	-0.543333333333334
APOBEC3C	-0.599625
AQP8	-1.66275
ARFGEF1	-0.940958333333334
ARFGEF2	-0.587458333333334
ARFIP1	-1.72283333333333
ARFIP2	-0.619333333333334
ARHGEF3	-1.20354166666667
ARHGEF6	-2.436125
ARHGEF7	-0.345
ARID1A	-0.358041666666667
ARID1B	-0.555291666666667
ARID4A	-1.59770833333333
ARPC5	-0.1175
ARPC5L	-0.423291666666667
ARSJ	-0.74575
ASCL1	-0.44425
ASF1A	-0.74225
ASF1B	-0.12225
ATAD2	-1.08720833333333
ATAD2B	-1.344875
ATM	-1.12254166666667
ATOH1	-0.99225
ATP5F1A	0.110791666666666
ATP5F1B	1.63075
ATP5F1D	0.818916666666666
ATP5PB	-0.267625
ATP6V1B1	-1.20425
ATP6V1B2	1.37791666666667
ATP6V1C1	0.87025
ATP6V1C2	-0.541833333333334
ATP6V1D	0.0825416666666664
ATP6V1E1	-1.57829166666667
ATP6V1E2	-1.12225
ATP7A	-3.94504166666667
ATP7B	-1.59216666666667
ATP8B3	-1.05058333333333
ATR	-0.254
AXL	-1.20154166666667
BAP1	-1.04395833333333
BARHL1	-0.634458333333334
BATF3	-0.476333333333334
BCAP31	-0.924583333333334
BECN1	-0.851833333333334
BECN2	-1.101375
BICD1	0.0270833333333331
BICD2	-0.0259583333333336
BRD8	-0.277333333333334
BRSK1	-1.05758333333333
BRSK2	0.355583333333333
BTBD11	-0.575541666666667
BTG1	-0.512416666666667
BUB1B	-0.149875
BUB3	2.90358333333333
BZW1	-0.333625
BZW2	-0.0135000000000002
CAB39	-1.78741666666667
CAB39L	-1.004875
CABP5	-0.180791666666667
CADPS	-0.716083333333334
CADPS2	-1.82258333333333
CALY	-0.527083333333334
CAND1	-0.378083333333334
CAND2	-0.766958333333334
CAP1	-0.829291666666667
CAP2	-0.486333333333334
CAPN2	-0.393583333333334
CASP4	-1.06270833333333
CAT	-1.54258333333333
CAV1	-1.47433333333333
CAVIN1	0.00704166666666638
CBLL1	-1.01154166666667
CBLL2	-1.39375
CCDC69	-1.36125
CCND1	2.64329166666667
CCND3	1.09566666666667
CCNE1	-0.977916666666667
CCNE2	-1.19095833333333
CCNL1	-0.802
CCNL2	-0.9985
CCNT1	0.51725
CCNT2	0.0953749999999998
CCT6A	-0.305236111111111
CCT6B	-0.780333333333334
CD163L1	-1.57275
CD44	-0.978666666666667
