id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	3.8149e-10	4.6747e-06	0.00165	1	8	-1.5744	1.0	1.0	0.999995	1059	0	-1.5744
RRM1	8	1.6339e-07	4.6747e-06	0.00165	2	7	-1.8817	1.0	1.0	0.999995	1056	0	-1.8817
RRM2	4	7.432e-07	4.6747e-06	0.00165	3	2	-1.7434	0.3428	0.57465	0.999995	588	1	-1.7434
RPP21	4	1.1162e-06	1.4024e-05	0.00297	4	4	-1.7029	1.0	1.0	0.999995	1058	0	-1.7029
POLR2L	4	1.8197e-06	1.4024e-05	0.00297	5	4	-1.8652	1.0	1.0	0.999995	1057	0	-1.8652
BUB3	4	4.8313e-06	2.3373e-05	0.004125	6	4	-1.9402	0.99986	0.99988	0.999995	1049	0	-1.9402
CCND1	4	1.5533e-05	7.947e-05	0.009351	7	4	-1.6671	0.99998	1.0	0.999995	1055	0	-1.6671
KIF11	4	2.1015e-05	7.947e-05	0.009351	8	4	-1.1714	0.99998	1.0	0.999995	1054	0	-1.1714
MTG2	4	2.313e-05	7.947e-05	0.009351	9	4	-1.1645	0.99998	1.0	0.999995	1053	0	-1.1645
PRPF8	4	2.9678e-05	8.8819e-05	0.009406	10	4	-1.5753	0.99997	1.0	0.999995	1052	0	-1.5753
E2F3	3	9.365e-05	0.00025711	0.024752	11	3	-2.3143	0.99991	0.99989	0.999995	1051	0	-2.3143
MED18	8	0.00010627	0.00050019	0.040746	12	6	-0.57778	0.40589	0.72426	0.999995	647	2	-0.57778
TIMM10	4	0.00012495	0.00058434	0.044201	13	4	-0.6899	0.99988	0.99988	0.999995	1050	0	-0.6899
COPA	4	0.00014866	0.00068718	0.048515	14	4	-0.85334	0.99985	0.99987	0.999995	1048	0	-0.85334
CHORDC1	3	0.00015625	0.00048149	0.040746	15	3	-1.1801	0.99984	0.99983	0.999995	1047	0	-1.1801
LDB1	8	0.00023033	0.0010799	0.071473	16	6	-0.62225	0.90769	0.97658	0.999995	920	1	-0.62225
PRKDC	8	0.00030686	0.0014725	0.080446	17	5	-0.64303	0.86169	0.96415	0.999995	900	2	-0.64303
ALDOA	4	0.00031418	0.0013884	0.080446	18	3	-1.0556	0.89656	0.92739	0.999995	911	1	-1.0556
CCND3	4	0.00032816	0.0014258	0.080446	19	4	-0.64952	0.99967	0.99964	0.999995	1045	0	-0.64952
SF3B3	4	0.00034925	0.0015193	0.080446	20	4	-0.84975	0.99965	0.99963	0.999995	1044	0	-0.84975
NAE1	8	0.00041933	0.0018559	0.08545	21	5	-0.5033	0.13161	0.3807	0.933249	382	2	-0.5033
TOP1MT	4	0.00043874	0.0017717	0.08545	22	3	-0.97253	0.45416	0.69014	0.999995	682	1	-0.97253
RPL13	3	0.00062598	0.0018091	0.08545	23	3	-0.81528	0.99937	0.99943	0.999995	1043	0	-0.81528
CLTC	4	0.00063922	0.0024542	0.104752	24	3	-0.94567	0.99824	0.9984	0.999995	1037	0	-0.94567
MRPL41	4	0.00064671	0.0024729	0.104752	25	4	-1.1494	0.99935	0.99944	0.999995	1042	0	-1.1494
RPL36	4	0.00068036	0.0026412	0.107578	26	3	-1.0378	0.99305	0.99295	0.999995	1023	0	-1.0378
HUS1	4	0.0010962	0.0037351	0.146498	27	3	-1.0233	0.91621	0.93544	0.999995	927	1	-1.0233
PPP4C	4	0.0012774	0.0042306	0.15396	28	3	-1.0522	0.95333	0.95652	0.999995	956	1	-1.0522
SLC25A37	4	0.0013062	0.0043428	0.15396	29	3	-1.1093	0.99569	0.99574	0.999995	1032	0	-1.1093
SBNO1	4	0.0013158	0.0043615	0.15396	30	3	-1.0101	0.38427	0.61984	0.999995	628	1	-1.0101
SF3B1	4	0.001422	0.0046981	0.156405	31	3	-0.68719	0.62135	0.78474	0.999995	777	1	-0.68719
TRRAP	4	0.0014356	0.0047261	0.156405	32	3	-1.1996	0.9944	0.99441	0.999995	1030	0	-1.1996
SF3A1	4	0.0019867	0.0060911	0.19547	33	3	-1.0602	0.36646	0.60135	0.999995	606	1	-1.0602
NMT1	4	0.0021241	0.0063996	0.19933	34	3	-0.90576	0.999	0.99917	0.999995	1040	0	-0.90576
RPL10A	4	0.0023058	0.0069419	0.210042	35	3	-1.0677	0.53454	0.73497	0.999995	730	1	-1.0677
HSCB	4	0.0024776	0.0074842	0.214209	36	3	-1.0709	0.93041	0.9425	0.999995	942	1	-1.0709
RPS5	4	0.0025736	0.0077179	0.215086	37	2	-0.65228	0.92532	0.93994	0.999995	935	1	-0.65228
NRBP2	4	0.0026781	0.007989	0.216933	38	3	-0.82148	0.92822	0.94145	0.999995	939	1	-0.82148
RPL14	3	0.0027149	0.0074655	0.214209	39	2	-1.5721	0.81395	0.84869	0.999995	881	1	-1.5721
NCBP2	4	0.0032816	0.0094662	0.250619	40	1	0.62115	0.25871	0.4771	0.981614	510	3	0.62115
NAA10	4	0.0034862	0.010018	0.258754	41	3	-0.66835	0.9902	0.99024	0.999995	1015	0	-0.66835
PDCD6IP	4	0.0038385	0.010934	0.275695	42	3	-0.77562	0.99772	0.99775	0.999995	1035	0	-0.77562
SF3B5	4	0.0043234	0.012028	0.296224	43	2	-0.90092	0.92874	0.94166	0.999995	940	1	-0.90092
H2AFX	4	0.0052398	0.014478	0.348447	44	2	-0.4061	0.31142	0.53819	0.999995	566	2	-0.4061
FDPS	4	0.0054008	0.014898	0.350605	45	2	-0.71071	0.14821	0.33695	0.895394	397	1	-0.71071
