gene	BF
ABCA3	-0.392875
ABCB1	-1.62054166666667
ABCC3	-0.708208333333333
ABCG2	-1.64404166666667
ABL1	-1.318875
ABL2	-0.388708333333333
ABT1	3.55483333333333
ABTB2	-0.23775
ACACA	0.465666666666667
ACACB	-1.21291666666667
ACTL6A	3.225125
ACTL6B	-1.35779166666667
ACTL7A	-0.498208333333333
ADAM19	-1.72079166666667
ADAP1	0.576625
ADAP2	-0.103833333333333
ADARB1	-1.32558333333333
ADARB2	-0.691875
ADGRG7	-1.36545833333333
ADM	-0.705083333333333
ADSS	-0.684152777777778
ADSSL1	-0.436333333333333
AFG3L2	3.47084722222222
AHCYL1	3.496875
AHCYL2	-0.977875
AIPL1	-0.5505
AKAP11	-1.08179166666667
AKIRIN1	-0.0776249999999998
AKIRIN2	2.386625
ALAS1	-0.326
ALAS2	-1.400625
ALDOA	4.98216666666667
ALDOC	-0.4215
ALG14	-0.597041666666666
AMELX	-1.377875
ANAPC4	0.114833333333333
ANKRD10	-1.667125
ANKRD37	-1.34833333333333
ANXA1	-1.97779166666667
AOX1	-0.878791666666666
AP1G1	-0.382375
AP1G2	-0.954125
AP2A1	-0.438833333333333
AP2A2	-1.704875
AP3M1	-1.00420833333333
AP5M1	-0.965291666666666
APH1A	0.970625
APH1B	-1.173625
APOBEC1	-0.936208333333333
APOBEC3C	-1.067375
AQP8	-1.49170833333333
ARFGEF1	-0.477416666666666
ARFGEF2	0.348833333333333
ARFIP1	-1.742125
ARFIP2	-1.76591666666667
ARHGEF3	-1.01329166666667
ARHGEF6	-1.440625
ARHGEF7	-0.621083333333333
ARID1A	1.20866666666667
ARID1B	-0.681833333333333
ARID4A	0.361083333333334
ARPC5	-1.25104166666667
ARPC5L	-0.422458333333333
ARSJ	-0.989333333333333
ASCL1	-0.801625
ASF1A	-1.31691666666667
ASF1B	-0.833958333333333
ATAD2	-0.628458333333333
ATAD2B	-1.50445833333333
ATM	-1.48016666666667
ATOH1	-1.14916666666667
ATP5F1A	2.95795833333333
ATP5F1B	3.31754166666667
ATP5F1D	2.498625
ATP5PB	0.156916666666667
ATP6V1B1	-0.775333333333333
ATP6V1B2	7.57154166666667
ATP6V1C1	1.49725
ATP6V1C2	-0.936458333333333
ATP6V1D	1.72029166666667
