id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	8	7.3669e-12	4.6747e-06	0.00165	1	7	-2.0958	1.0	1.0	0.999995	1058	0	-2.0958
MTG2	4	1.2739e-07	4.6747e-06	0.00165	2	4	-1.4415	1.0	1.0	0.999995	1059	0	-1.4415
RRM1	8	8.1984e-07	4.6747e-06	0.00165	3	7	-1.3746	0.99611	0.99887	0.999995	1027	1	-1.3746
RRM2	4	9.9794e-06	6.0771e-05	0.007838	4	2	-1.3382	0.42436	0.66667	0.999995	691	2	-1.3382
PPP4C	4	1.1328e-05	7.012e-05	0.007838	5	3	-1.6596	0.97969	0.97995	0.999995	999	1	-1.6596
KIF11	4	1.2928e-05	7.947e-05	0.007838	6	4	-1.3229	0.99999	1.0	0.999995	1057	0	-1.3229
COPA	4	1.3131e-05	7.947e-05	0.007838	7	4	-1.5046	0.99999	1.0	0.999995	1056	0	-1.5046
SF3B3	4	1.3546e-05	7.947e-05	0.007838	8	4	-1.6322	0.99999	1.0	0.999995	1055	0	-1.6322
CCND1	4	1.4404e-05	7.947e-05	0.007838	9	4	-1.6059	0.99999	1.0	0.999995	1054	0	-1.6059
POLR2L	4	1.6003e-05	7.947e-05	0.007838	10	4	-1.9625	0.99998	1.0	0.999995	1053	0	-1.9625
UQCRC1	4	2.893e-05	8.8819e-05	0.007838	11	4	-0.9554	0.99997	1.0	0.999995	1052	0	-0.9554
PRPF8	4	3.2009e-05	8.8819e-05	0.007838	12	4	-1.334	0.99997	1.0	0.999995	1051	0	-1.334
BUB3	4	4.5674e-05	0.00012622	0.010282	13	3	-1.6668	0.99409	0.9941	0.999995	1018	0	-1.6668
RPS19	4	5.2963e-05	0.00018231	0.013791	14	4	-1.364	0.99995	0.99997	0.999995	1050	0	-1.364
RPS5	4	6.3017e-05	0.00021971	0.015512	15	3	-1.8786	0.94542	0.96061	0.999995	972	1	-1.8786
CHORDC1	3	0.00012057	0.0003506	0.023205	16	3	-1.4367	0.99988	0.99985	0.999995	1049	0	-1.4367
RPP21	4	0.00012283	0.00057499	0.035818	17	3	-1.6908	0.99889	0.99907	0.999995	1039	0	-1.6908
SF3A1	4	0.00017158	0.00082742	0.04868	18	3	-1.7847	0.26562	0.50418	0.970394	546	1	-1.7847
ALDOA	4	0.00024428	0.0010518	0.05198	19	3	-1.3269	0.74244	0.87108	0.999995	891	1	-1.3269
ATP6V1B2	4	0.0002589	0.0011733	0.05198	20	4	-1.1154	0.99974	0.99972	0.999995	1048	0	-1.1154
SMARCA4	4	0.00028011	0.0012762	0.05198	21	3	-1.1274	0.6601	0.8296	0.999995	851	1	-1.1274
NDUFB4	4	0.00028063	0.0012762	0.05198	22	4	-0.66072	0.99972	0.99971	0.999995	1047	0	-0.66072
MED20	4	0.00028267	0.0012762	0.05198	23	4	-0.64503	0.99972	0.9997	0.999995	1046	0	-0.64503
MED18	8	0.00028542	0.0012388	0.05198	24	5	-0.79192	0.24999	0.57696	0.999995	529	2	-0.79192
RPL36	4	0.00034011	0.0014632	0.057389	25	3	-1.3562	0.9771	0.97784	0.999995	995	1	-1.3562
RPL14	3	0.00035468	0.0010799	0.05198	26	2	-3.1519	0.98067	0.98032	0.999995	1001	0	-3.1519
HMGCS1	3	0.00038322	0.001192	0.05198	27	3	-1.0604	0.99962	0.99962	0.999995	1045	0	-1.0604
TOP2A	4	0.00045789	0.0017624	0.066655	28	3	-1.0828	0.99913	0.99926	0.999995	1041	0	-1.0828
PRPF38A	4	0.00053998	0.0020522	0.07494	29	3	-1.1163	0.61771	0.8089	0.999995	829	1	-1.1163
NAA10	4	0.00099604	0.0032302	0.110348	30	3	-0.79033	0.98314	0.98302	0.999995	1003	1	-0.79033
INTS6	3	0.0011048	0.0032209	0.110348	31	3	-0.89412	0.9989	0.99882	0.999995	1040	0	-0.89412
MRPL38	4	0.0012397	0.0039127	0.129486	32	3	-0.76933	0.99853	0.99859	0.999995	1037	0	-0.76933
RPL19	4	0.0014074	0.0044456	0.142664	33	2	-0.65638	0.73999	0.86982	0.999995	888	2	-0.65638
MED12	4	0.0015176	0.0047635	0.148369	34	2	-0.71309	0.37772	0.62181	0.999995	650	2	-0.71309
SIN3A	4	0.0017736	0.0054741	0.165154	35	3	-0.82002	0.99766	0.99764	0.999995	1034	0	-0.82002
SF3B1	4	0.0018534	0.0056143	0.165154	36	3	-1.0055	0.19467	0.42467	0.937816	474	1	-1.0055
VMP1	4	0.002037	0.0059976	0.169229	37	2	-1.1739	0.95804	0.96652	0.999995	980	1	-1.1739
AHCYL1	4	0.0020715	0.0060724	0.169229	38	3	-0.71823	0.99621	0.99615	0.999995	1029	0	-0.71823
PSMB3	3	0.0022518	0.0063716	0.173013	39	3	-0.55144	0.99775	0.99771	0.999995	1035	0	-0.55144
NCBP2	4	0.0023448	0.0068297	0.180817	40	1	0.41992	0.4181	0.66065	0.999995	681	3	0.41992
CDIPT	4	0.0026306	0.0076712	0.1933	41	2	-0.7862	0.93878	0.95805	0.999995	967	1	-0.7862
TRRAP	4	0.0026987	0.0078488	0.1933	42	3	-0.82413	0.79859	0.90142	0.999995	910	1	-0.82413
RPS3	3	0.0029694	0.0077647	0.1933	43	2	-1.6737	0.98979	0.98989	0.999995	1011	0	-1.6737
ZNF407	4	0.0030202	0.0085594	0.206008	44	3	-0.79145	0.99746	0.99748	0.999995	1033	0	-0.79145
TOMM40	7	0.0032758	0.011383	0.244516	45	4	-0.57812	0.91295	0.97854	0.999995	960	3	-0.57812
NKAP	4	0.0034135	0.0096719	0.227613	46	3	-0.63786	0.9986	0.99869	0.999995	1038	0	-0.63786
RPL3	7	0.0036556	0.012552	0.244784	47	4	-0.388	0.74602	0.92689	0.999995	892	3	-0.388
XAB2	4	0.0039432	0.011037	0.244516	48	3	-0.63765	0.6122	0.80617	0.999995	825	1	-0.63765
ATP5F1B	4	0.0039963	0.011168	0.244516	49	3	-0.77738	0.99948	0.99953	0.999995	1044	0	-0.77738
TIMM10	4	0.0040367	0.011299	0.244516	50	2	-0.7746	0.99613	0.9961	0.999995	1028	0	-0.7746
CPSF3	4	0.004466	0.012318	0.244784	51	3	-0.62074	0.9908	0.99075	0.999995	1012	0	-0.62074
SBNO1	4	0.0045814	0.012654	0.244784	52	3	-0.83062	0.40488	0.64834	0.999995	671	1	-0.83062
VCP	4	0.0046195	0.012739	0.244784	53	2	-0.72149	0.076996	0.20838	0.889834	245	1	-0.72149
SNRPD3	4	0.0046988	0.012944	0.244784	54	3	-0.65391	0.97581	0.97681	0.999995	994	1	-0.65391
ACTL6A	4	0.0049088	0.013412	0.248976	55	3	-0.58961	0.81553	0.91073	0.999995	920	1	-0.58961
DYNLRB1	3	0.0051743	0.011607	0.244516	56	2	-1.5677	0.9973	0.99713	0.999995	1032	0	-1.5677
ABT1	4	0.0052398	0.014319	0.252723	57	2	-0.79073	0.94173	0.95919	0.999995	969	1	-0.79073
E2F3	3	0.0052886	0.011776	0.244516	58	2	-1.0287	0.99538	0.99518	0.999995	1024	0	-1.0287
IRF4	4	0.0056411	0.015403	0.267408	59	3	-0.39466	0.33799	0.58149	0.999995	614	1	-0.39466
SFPQ	4	0.0060879	0.01646	0.279626	60	1	0.54711	0.33717	0.58049	0.999995	612	3	0.54711
KIF4A	4	0.0062963	0.016899	0.279626	61	3	-0.49163	0.98578	0.98597	0.999995	1007	0	-0.49163
TUFM	3	0.0063084	0.013636	0.248976	62	2	-1.426	0.27521	0.49519	0.965748	559	1	-1.426
RPL13	3	0.0067535	0.014262	0.252723	63	2	-0.99372	0.99434	0.99423	0.999995	1020	0	-0.99372
POLR2B	4	0.0069224	0.018432	0.300305	64	3	-0.58918	0.1041	0.26788	0.9072	307	1	-0.58918
RPL10A	4	0.0077084	0.020452	0.328158	65	3	-0.59526	0.65378	0.82653	0.999995	844	1	-0.59526
KAT6A	4	0.0079963	0.021293	0.333503	66	3	-0.42728	0.84316	0.92541	0.999995	939	1	-0.42728
SMC1A	4	0.008038	0.021415	0.333503	67	3	-0.3419	0.99513	0.99519	0.999995	1023	0	-0.3419
RPS23	2	0.0087465	0.01674	0.279626	68	2	-1.0493	0.99125	0.99162	0.999995	1013	0	-1.0493
SF3B5	4	0.0088883	0.023359	0.344403	69	2	-0.70346	0.99265	0.99257	0.999995	1016	0	-0.70346
CDK7	4	0.0089013	0.023416	0.344403	70	3	-0.62065	0.71162	0.85548	0.999995	880	1	-0.62065
TACC3	4	0.0099505	0.025528	0.370338	71	2	-0.30793	0.69193	0.84538	0.999995	865	2	-0.30793
COX6B1	8	0.010461	0.033896	0.450006	72	3	0.03875	0.71795	0.92634	0.999995	882	3	0.03875
MRPL41	4	0.010499	0.026417	0.378044	73	2	-0.93392	0.99603	0.99604	0.999995	1026	0	-0.93392
TUBB	3	0.011246	0.022097	0.339145	74	2	-1.1488	0.19761	0.3877	0.917253	480	1	-1.1488
RPL37A	2	0.011933	0.02263	0.342362	75	1	-1.3725	0.76251	0.77904	0.999995	898	1	-1.3725
HNRNPK	4	0.012708	0.030184	0.420597	76	2	-0.12034	0.381	0.62514	0.999995	655	2	-0.12034
RFC2	4	0.013446	0.031456	0.432622	77	2	-0.3653	0.13664	0.33316	0.917253	371	2	-0.3653
NAA15	4	0.014719	0.033401	0.450006	78	2	-0.31594	0.50198	0.73779	0.999995	761	2	-0.31594
CLNS1A	3	0.015061	0.02852	0.402706	79	2	-0.47227	0.97177	0.97141	0.999995	990	0	-0.47227
ASF1A	4	0.0154	0.03442	0.450006	80	1	0.30954	0.32241	0.5646	0.999206	600	2	0.30954
ATP5F1D	4	0.016454	0.036121	0.465645	81	2	-0.1695	0.24062	0.47683	0.964008	520	2	-0.1695
PSMC3	4	0.017254	0.037262	0.469767	82	1	0.42064	0.082288	0.21953	0.889834	255	3	0.42064
CTR9	4	0.018133	0.038683	0.481945	83	2	-0.35808	0.89449	0.94499	0.999995	957	1	-0.35808
CCT6A	3	0.01824	0.034046	0.450006	84	2	-0.59492	0.11465	0.24884	0.89557	332	1	-0.59492
HSCB	4	0.019147	0.040338	0.496719	85	2	-0.45899	0.984	0.9842	0.999995	1004	0	-0.45899
HUS1	4	0.019442	0.040815	0.496813	86	2	-0.33347	0.95528	0.96522	0.999995	979	1	-0.33347
DHX9	3	0.019613	0.036495	0.465645	87	2	-0.8418	0.99449	0.99441	0.999995	1021	0	-0.8418
EIF3J	4	0.022802	0.046499	0.559575	88	1	0.17755	0.54942	0.77766	0.999995	793	2	0.17755
LONP1	4	0.023292	0.047219	0.561853	89	2	-0.60388	0.073454	0.20046	0.885341	237	1	-0.60388
GAPDH	4	0.0241	0.048565	0.564303	90	2	-0.46059	0.39077	0.6344	0.999995	664	1	-0.46059
ATP5F1A	4	0.024263	0.048883	0.564303	91	2	-0.41733	0.97814	0.97871	0.999995	996	1	-0.41733
COX4I1	4	0.024426	0.04908	0.564303	92	2	-0.25608	0.55637	0.78096	0.999995	797	2	-0.25608
STT3B	4	0.024755	0.049556	0.564303	93	2	-0.22232	0.83584	0.92152	0.999995	934	2	-0.22232
TOP1MT	4	0.025585	0.0508	0.572309	94	2	-0.32084	0.82714	0.91686	0.999995	925	1	-0.32084
NMT1	4	0.026089	0.051632	0.57556	95	2	-0.47244	0.99413	0.99417	0.999995	1019	0	-0.47244
LARP1	4	0.027109	0.053399	0.589057	96	2	-0.10421	0.51875	0.75241	0.999995	773	2	-0.10421
CDK2	4	0.028148	0.055147	0.602072	97	2	-0.66668	0.44878	0.6894	0.999995	715	1	-0.66668
MED26	4	0.029559	0.057251	0.61866	98	2	-0.17257	0.6348	0.81711	0.999995	834	2	-0.17257
RRAGC	4	0.030096	0.058074	0.621212	99	2	-0.09613	0.52808	0.76012	0.999995	783	2	-0.09613
NAE1	8	0.030099	0.077128	0.749341	100	3	-0.11377	0.32794	0.66926	0.999995	606	1	-0.11377
RNF113A	4	0.032102	0.061486	0.651139	101	2	-0.54728	0.63344	0.81647	0.999995	833	1	-0.54728
XRCC6	4	0.032911	0.062636	0.656749	102	1	0.010201	0.69115	0.84492	0.999995	864	1	0.010201
RPL8	4	0.034736	0.065544	0.680499	103	2	-0.23083	0.66797	0.83341	0.999995	857	2	-0.23083
SLC25A28	4	0.035313	0.066339	0.682063	104	2	-0.30205	0.98859	0.98867	0.999995	1009	0	-0.30205
ISCA2	4	0.038257	0.071144	0.717539	105	2	-0.27818	0.99202	0.99194	0.999995	1015	0	-0.27818
RPL17	3	0.038569	0.067965	0.69207	106	1	0.64554	0.26402	0.48657	0.965748	544	2	0.64554
CKAP5	8	0.038999	0.094134	0.810473	107	2	0.41553	0.47802	0.79778	0.999995	744	5	0.41553
PDCD6IP	4	0.03926	0.072696	0.726275	108	2	-0.37262	0.99848	0.99854	0.999995	1036	0	-0.37262
TOB1	4	0.039868	0.073575	0.728185	109	2	-0.34061	0.3985	0.64201	0.999995	667	1	-0.34061
FANCM	4	0.041096	0.075622	0.74152	110	2	-0.27201	0.084926	0.22555	0.889834	263	1	-0.27201
GTF3C1	4	0.044022	0.080381	0.773852	111	2	-0.22132	0.98792	0.98806	0.999995	1008	0	-0.22132
AKIRIN1	4	0.04466	0.081344	0.775681	112	2	-0.4339	0.45595	0.69581	0.999995	724	1	-0.4339
INTS2	4	0.045088	0.082036	0.775681	113	2	-0.27403	0.98866	0.98871	0.999995	1010	0	-0.27403
NRBP2	4	0.045664	0.082784	0.775826	114	2	-0.12599	0.98558	0.98582	0.999995	1006	0	-0.12599
ELL	4	0.047471	0.085682	0.795944	115	2	-0.27001	0.99499	0.9951	0.999995	1022	0	-0.27001
RRM2B	8	0.048141	0.11259	0.870311	116	3	0.098441	0.94113	0.98823	0.999995	968	3	0.098441
CNOT7	4	0.048571	0.087384	0.804692	117	2	0.36182	0.020337	0.063852	0.881641	71	2	0.36182
CRK	4	0.049905	0.089431	0.809469	118	2	-0.23911	0.57048	0.78776	0.999995	807	1	-0.23911
RPS11	3	0.050955	0.088964	0.809469	119	2	-0.46216	0.92593	0.92987	0.999995	963	1	-0.46216
BICD2	4	0.051481	0.091572	0.810473	120	2	-0.32287	0.99925	0.99935	0.999995	1043	0	-0.32287
MED13L	4	0.051994	0.092414	0.810473	121	2	-0.10676	0.94954	0.96242	0.999995	976	1	-0.10676
INCENP	4	0.052163	0.092648	0.810473	122	2	0.094804	0.3298	0.57281	0.999356	608	2	0.094804
PKM	3	0.05222	0.090703	0.810473	123	1	0.2517	0.60078	0.75337	0.999995	819	1	0.2517
PUM2	4	0.053078	0.094041	0.810473	124	2	-0.16409	0.51684	0.75054	0.999995	770	1	-0.16409
EIF4A3	4	0.054231	0.095836	0.818469	125	2	-0.61782	0.46833	0.70756	0.999995	735	1	-0.61782
TRAPPC3	4	0.056567	0.099239	0.836208	126	2	-0.19638	0.13986	0.33923	0.917253	376	1	-0.19638
MED13	4	0.057513	0.1007	0.836208	127	2	-0.43669	0.85541	0.93261	0.999995	944	1	-0.43669
PFN1	4	0.057751	0.10099	0.836208	128	2	0.070348	0.27615	0.51507	0.970394	560	2	0.070348
DDX5	4	0.059184	0.10323	0.840937	129	2	-0.021886	0.12381	0.30823	0.915176	353	2	-0.021886
CLTC	4	0.060632	0.10541	0.844355	130	2	-0.16759	0.99127	0.99124	0.999995	1014	0	-0.16759
MED23	4	0.061362	0.10649	0.844355	131	2	-0.11535	0.85363	0.93154	0.999995	943	2	-0.11535
COPZ1	4	0.064557	0.11141	0.870311	132	1	0.60146	0.29271	0.53258	0.972878	577	3	0.60146
TBC1D28	3	0.065069	0.10107	0.836208	133	1	0.10532	0.91404	0.92169	0.999995	961	1	0.10532
PEF1	4	0.065312	0.11251	0.870311	134	2	-0.20921	0.97893	0.97928	0.999995	998	1	-0.20921
PPP2CA	8	0.066364	0.14741	0.968214	135	3	0.019702	0.177	0.47791	0.964008	456	3	0.019702
SF1	4	0.067071	0.115	0.882515	136	2	-0.082765	0.13144	0.32303	0.917253	365	2	-0.082765
TOMM22	4	0.068124	0.11661	0.888418	137	1	0.10404	0.84525	0.92678	0.999995	940	2	0.10404
SNRPD2	3	0.069102	0.10418	0.842227	138	1	-0.041519	0.82165	0.87595	0.999995	923	1	-0.041519
ZNF34	4	0.069874	0.1193	0.894768	139	2	-0.21002	0.1306	0.3214	0.917253	363	1	-0.21002
PMPCB	4	0.069903	0.11937	0.894768	140	1	0.50496	0.4934	0.73016	0.999995	755	2	0.50496
SF3B2	4	0.070904	0.12087	0.894768	141	2	0.020832	0.66591	0.83237	0.999995	854	2	0.020832
RBM22	4	0.071163	0.12126	0.894768	142	2	-0.08291	0.41374	0.65647	0.999995	677	1	-0.08291
COX4I2	4	0.071422	0.12167	0.894768	143	2	0.020444	0.41813	0.66069	0.999995	682	2	0.020444
RPS8	3	0.072454	0.10684	0.844355	144	1	0.37251	0.56252	0.72339	0.999995	802	2	0.37251
TOP1	4	0.074559	0.12616	0.921372	145	2	-0.014889	0.8455	0.92695	0.999995	941	2	-0.014889
RSBN1L	4	0.075616	0.12802	0.928557	146	2	-0.28465	0.49471	0.73104	0.999995	756	1	-0.28465
UNC119	4	0.077213	0.13024	0.936308	147	2	-0.16409	0.6954	0.84721	0.999995	868	1	-0.16409
PPP2R1A	4	0.077879	0.13121	0.936308	148	1	0.088414	0.9471	0.96132	0.999995	973	1	0.088414
EIF3L	4	0.078286	0.13174	0.936308	149	2	0.21047	0.34212	0.58569	0.999995	619	2	0.21047
RPL5	4	0.079634	0.13369	0.943861	150	2	-0.14249	0.57098	0.78793	0.999995	808	1	-0.14249
EIF3B	4	0.080719	0.13528	0.948757	151	2	-0.0069808	0.76069	0.88091	0.999995	897	2	-0.0069808
PDS5A	4	0.081537	0.13646	0.950723	152	2	-0.047209	0.81229	0.90904	0.999995	918	2	-0.047209
BAP1	4	0.082906	0.13849	0.955156	153	2	0.02415	0.51847	0.75212	0.999995	772	2	0.02415
NUTF2	4	0.083168	0.1389	0.955156	154	1	0.49745	0.46424	0.70362	0.999995	730	3	0.49745
ACACA	4	0.084562	0.14107	0.957635	155	2	-0.16822	0.8764	0.9409	0.999995	952	1	-0.16822
CASP4	4	0.085672	0.14248	0.961058	156	2	0.20921	0.42249	0.66476	0.999995	685	2	0.20921
WDR12	4	0.086681	0.14404	0.965441	157	1	0.19382	0.24606	0.48275	0.965748	523	2	0.19382
RIC8A	4	0.08791	0.14611	0.968214	158	2	0.15927	0.48888	0.72591	0.999995	751	2	0.15927
RPRD1B	4	0.088755	0.14737	0.968214	159	2	-0.018902	0.84245	0.92503	0.999995	937	2	-0.018902
GJA8	4	0.08932	0.14824	0.968214	160	2	-0.020178	0.75803	0.87941	0.999995	895	1	-0.020178
RNF40	4	0.090184	0.14951	0.968214	161	1	0.14904	0.36245	0.60664	0.999995	638	1	0.14904
TAMM41	4	0.090454	0.14994	0.968214	162	2	-0.19449	0.14404	0.34751	0.917253	390	1	-0.19449
DGAT1	4	0.091594	0.15187	0.970744	163	2	0.14084	0.27156	0.51011	0.970394	554	2	0.14084
XYLT1	4	0.09188	0.15217	0.970744	164	2	0.071081	0.4225	0.66476	0.999995	686	2	0.071081
VPS37A	4	0.093026	0.15366	0.973391	165	2	0.15401	0.60865	0.80469	0.999995	823	2	0.15401
RPL18A	2	0.093237	0.1019	0.836557	166	1	-0.79743	0.94866	0.94835	0.999995	974	0	-0.79743
ADAP2	4	0.093601	0.15442	0.973391	167	2	0.13985	0.64559	0.82252	0.999995	837	2	0.13985
CCNL1	4	0.099766	0.15944	0.999092	168	1	-0.16834	0.4964	0.73259	0.999995	757	1	-0.16834
AFG3L2	3	0.11271	0.13982	0.955318	169	1	-0.082207	0.97841	0.97807	0.999995	997	0	-0.082207
SERPINA12	8	0.12445	0.22546	0.999846	170	2	0.57349	0.14857	0.43207	0.94148	401	6	0.57349
RAN	4	0.12466	0.1774	0.999846	171	1	0.12623	0.43238	0.67404	0.999995	699	2	0.12623
LSM4	4	0.12636	0.17852	0.999846	172	1	0.57347	0.21436	0.44705	0.945101	498	3	0.57347
TSG101	4	0.1289	0.18028	0.999846	173	1	-0.19451	0.9691	0.97257	0.999995	988	1	-0.19451
H1FOO	4	0.13144	0.18196	0.999846	174	1	0.39751	0.3818	0.62598	0.999995	656	3	0.39751
ATP6V1D	4	0.13481	0.18443	0.999846	175	1	0.18073	0.66897	0.83386	0.999995	858	2	0.18073
ZNF804B	4	0.1365	0.18565	0.999846	176	1	0.76888	0.17386	0.40063	0.926337	452	3	0.76888
FUT5	4	0.14069	0.18861	0.999846	177	1	0.23781	0.49133	0.72803	0.999995	753	2	0.23781
PAF1	4	0.14237	0.18997	0.999846	178	1	-0.1496	0.99681	0.99692	0.999995	1031	0	-0.1496
BUB1B	4	0.15153	0.19635	0.999846	179	1	-0.22381	0.48679	0.7241	0.999995	749	1	-0.22381
ARFGEF1	4	0.15402	0.19818	0.999846	180	1	0.70487	0.21757	0.45071	0.945152	504	3	0.70487
TAF1	4	0.15568	0.19943	0.999846	181	1	0.62583	0.094587	0.24698	0.89557	288	3	0.62583
DHX29	3	0.15869	0.17654	0.999846	182	1	0.6986	0.16836	0.34107	0.917253	443	2	0.6986
ARID1A	4	0.16227	0.20414	0.999846	183	1	0.0041902	0.92451	0.9533	0.999995	962	1	0.0041902
TNPO1	3	0.16558	0.18212	0.999846	184	1	-0.20685	0.83491	0.88135	0.999995	932	1	-0.20685
PRKDC	8	0.1692	0.27475	0.999846	185	2	0.032349	0.83046	0.96142	0.999995	928	3	0.032349
CLASP1	4	0.17046	0.21047	0.999846	186	1	0.33723	0.52606	0.75849	0.999995	779	2	0.33723
HNRNPH1	4	0.17128	0.21105	0.999846	187	1	0.068086	0.81046	0.90798	0.999995	917	2	0.068086
ILF3	4	0.17209	0.21161	0.999846	188	1	0.44691	0.27893	0.51796	0.971322	564	2	0.44691
MED8	4	0.17616	0.21467	0.999846	189	1	0.32314	0.26698	0.50558	0.970394	547	2	0.32314
ASF1B	8	0.177	0.28335	0.999846	190	1	0.023829	0.96714	0.99382	0.999995	987	2	0.023829
RPL11	3	0.18231	0.19584	0.999846	191	1	-0.017472	0.9589	0.9585	0.999995	981	0	-0.017472
ABCG2	4	0.18425	0.22098	0.999846	192	1	0.96506	0.013075	0.042432	0.881641	51	3	0.96506
RNF103	4	0.19147	0.22618	0.999846	193	1	0.41015	0.36456	0.60884	0.999995	642	2	0.41015
PUM1	4	0.19307	0.2274	0.999846	194	1	-0.012099	0.99555	0.99561	0.999995	1025	0	-0.012099
CCNE2	4	0.19467	0.22847	0.999846	195	1	0.24567	0.40664	0.64997	0.999995	672	2	0.24567
TNPO2	4	0.19627	0.22951	0.999846	196	1	0.13581	0.55741	0.78157	0.999995	798	2	0.13581
TBP	4	0.19945	0.23178	0.999846	197	1	0.37296	0.46699	0.70608	0.999995	734	2	0.37296
SOS1	4	0.20499	0.23595	0.999846	198	1	0.19839	0.73489	0.86704	0.999995	887	2	0.19839
MRPL27	4	0.20894	0.23897	0.999846	199	1	0.083645	0.97216	0.97428	0.999995	991	1	0.083645
FAM50A	4	0.21051	0.2401	0.999846	200	1	-0.031056	0.42312	0.66544	0.999995	688	1	-0.031056
PFAS	4	0.2113	0.24073	0.999846	201	1	0.27797	0.46243	0.70178	0.999995	729	2	0.27797
ADSS	3	0.21151	0.22034	0.999846	202	1	1.3103	0.023307	0.059018	0.881641	81	2	1.3103
CDS2	4	0.21208	0.24131	0.999846	203	1	-0.010941	0.38622	0.63005	0.999995	661	1	-0.010941
COQ10A	4	0.21287	0.24185	0.999846	204	1	0.31557	0.50697	0.74234	0.999995	765	3	0.31557
NSG2	4	0.21365	0.24241	0.999846	205	1	0.54541	0.085672	0.22714	0.889834	266	3	0.54541
THRAP3	4	0.216	0.24436	0.999846	206	1	-0.11077	0.9845	0.98477	0.999995	1005	0	-0.11077
GATAD2A	4	0.21757	0.24562	0.999846	207	1	0.41499	0.10418	0.26805	0.9072	308	2	0.41499
ISL1	4	0.22068	0.24822	0.999846	208	1	0.31936	0.21522	0.44801	0.945101	501	3	0.31936
ATP5PB	4	0.22302	0.24989	0.999846	209	1	0.12692	0.091932	0.24131	0.889834	283	2	0.12692
FDPS	4	0.22921	0.25464	0.999846	210	1	0.21834	0.36955	0.61418	0.999995	646	2	0.21834
CHMP1A	4	0.23307	0.25751	0.999846	211	1	-0.084633	0.93512	0.9569	0.999995	965	1	-0.084633
TOMM20L	4	0.23384	0.25809	0.999846	212	1	0.3764	0.06277	0.17525	0.885341	205	3	0.3764
RPS15	2	0.23638	0.23597	0.999846	213	1	0.17412	0.40799	0.57084	0.999206	674	1	0.17412
AKIRIN2	4	0.23691	0.26054	0.999846	214	1	-0.0077566	0.8795	0.94151	0.999995	953	1	-0.0077566
SNRPB	4	0.23844	0.26165	0.999846	215	1	0.081378	0.83063	0.91882	0.999995	929	2	0.081378
RHOBTB2	4	0.2392	0.26227	0.999846	216	1	0.21148	0.76665	0.88417	0.999995	902	1	0.21148
GABPB2	4	0.24226	0.26471	0.999846	217	1	0.23318	0.75756	0.87909	0.999995	894	2	0.23318
LDB1	8	0.24413	0.36032	0.999846	218	1	0.39088	0.52701	0.82842	0.999995	781	5	0.39088
HPS1	4	0.24454	0.26633	0.999846	219	1	0.21997	0.17535	0.40221	0.926675	453	2	0.21997
