id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RRM1	8	7.9506e-10	4.6747e-06	0.00099	1	8	-2.7265	1.0	1.0	0.999995	1059	0	-2.7265
MTG2	4	1.1896e-08	4.6747e-06	0.00099	2	4	-2.2571	1.0	1.0	0.999995	1058	0	-2.2571
MYC	8	5.601e-08	4.6747e-06	0.00099	3	8	-1.2703	1.0	1.0	0.999995	1057	0	-1.2703
CKAP5	8	2.129e-07	4.6747e-06	0.00099	4	8	-1.318	1.0	1.0	0.999995	1056	0	-1.318
NAE1	8	7.1128e-07	4.6747e-06	0.00099	5	7	-0.86994	0.88361	0.9784	0.999995	901	1	-0.86994
BUB3	4	1.1488e-06	1.4024e-05	0.002122	6	4	-2.7784	1.0	1.0	0.999995	1055	0	-2.7784
PRPF8	4	2.1678e-06	1.4024e-05	0.002122	7	4	-2.4998	1.0	1.0	0.999995	1054	0	-2.4998
KIF11	4	3.7494e-06	2.3373e-05	0.003094	8	4	-3.0104	1.0	1.0	0.999995	1053	0	-3.0104
RPS19	4	8.2699e-06	4.2072e-05	0.00495	9	4	-2.2532	0.99999	1.0	0.999995	1052	0	-2.2532
RRM2	4	9.9794e-06	6.0771e-05	0.005776	10	2	-1.5123	0.4695	0.71228	0.999995	726	2	-1.5123
PPP4C	4	1.0245e-05	6.0771e-05	0.005776	11	4	-2.1961	0.99974	0.99972	0.999995	1026	0	-2.1961
POLR2L	4	1.6003e-05	7.947e-05	0.005776	12	4	-3.2044	0.99998	1.0	0.999995	1051	0	-3.2044
MED18	8	1.7547e-05	9.8168e-05	0.005776	13	6	-1.3068	0.71042	0.92775	0.999995	829	2	-1.3068
TOP2A	4	1.7731e-05	7.947e-05	0.005776	14	4	-1.7702	0.99998	1.0	0.999995	1050	0	-1.7702
RPP21	4	2.3763e-05	8.8819e-05	0.005776	15	4	-2.943	0.99998	1.0	0.999995	1049	0	-2.943
SF3B3	4	2.893e-05	8.8819e-05	0.005776	16	4	-1.9832	0.99997	1.0	0.999995	1048	0	-1.9832
NAA10	4	3.3637e-05	9.8168e-05	0.005776	17	4	-1.8371	0.99997	1.0	0.999995	1047	0	-1.8371
CDK7	4	3.4053e-05	9.8168e-05	0.005776	18	4	-2.0783	0.99997	1.0	0.999995	1046	0	-2.0783
MRPL38	4	4.3729e-05	0.00011687	0.006514	19	4	-1.2072	0.99996	0.99998	0.999995	1045	0	-1.2072
RIC8A	4	5.2382e-05	0.00018231	0.009653	20	4	-1.2391	0.99995	0.99998	0.999995	1044	0	-1.2391
VMP1	4	5.5938e-05	0.00019166	0.009665	21	4	-1.7316	0.99994	0.99997	0.999995	1043	0	-1.7316
CPSF3	4	6.4259e-05	0.00021971	0.010576	22	4	-1.7589	0.99994	0.99996	0.999995	1042	0	-1.7589
RPL36	4	9.0414e-05	0.00041605	0.017624	23	4	-1.3328	0.99991	0.99991	0.999995	1041	0	-1.3328
ISCA2	4	9.6663e-05	0.0004441	0.018088	24	4	-1.7084	0.9999	0.99991	0.999995	1040	0	-1.7084
CHORDC1	3	0.0001011	0.00026646	0.012269	25	3	-2.9146	0.9999	0.99988	0.999995	1039	0	-2.9146
COPA	4	0.00010614	0.00048149	0.018885	26	4	-2.7296	0.99989	0.99989	0.999995	1038	0	-2.7296
INTS6	3	0.00011716	0.0003319	0.014645	27	3	-2.8235	0.99988	0.99986	0.999995	1037	0	-2.8235
ATP6V1B2	4	0.0001474	0.00068718	0.025094	28	4	-1.4329	0.99985	0.99987	0.999995	1036	0	-1.4329
RPA1	4	0.00014866	0.00068718	0.025094	29	4	-1.6808	0.99985	0.99987	0.999995	1035	0	-1.6808
SMC1A	4	0.00015378	0.00072458	0.025578	30	4	-1.2596	0.99985	0.99987	0.999995	1034	0	-1.2596
ATP6V1C1	4	0.00016994	0.00081807	0.026186	31	4	-1.0629	0.99983	0.99985	0.999995	1033	0	-1.0629
