gene	OMM23.D28A	OMM23.D28B	OMM23.D28C	OMM23.D35A	OMM23.D35B	OMM23.D35C
ABCA3	0.598424782745679	0.341698965552099	0.458957135328539	0.490372119838886	0.536251157171727	0.494559990958098
ABCB1	0.536396967448749	0.714049762899311	0.618954793153504	0.712063324017669	0.674930879007132	0.701197753475332
ABCC3	0.397670070505251	0.569434986068328	0.29457924231378	0.356312938992112	0.549762500389939	0.357166182330054
ABCG2	0.403958482895698	0.668904593569578	0.592421639932329	0.693060096474367	0.543378815615526	0.724395543504936
ABL1	0.420621034842683	0.864841600276114	0.614365681668006	0.507749845915006	0.782318283391906	0.621755417632326
ABL2	0.404789421273558	0.373731066295076	0.384436609164636	0.450901850651469	0.288833415403964	0.406867128847886
ABT1	-1.42693082731198	-1.20707568566742	-0.99802828478764	-0.896669078908137	-1.35208164484602	-1.1221523639966
ABTB2	0.363258978045527	0.734204323132498	0.129144284573305	0.363676604167001	1.03893226407923	0.326881825510825
ACACA	-0.337857123344143	-0.790304153651411	-0.682162279673948	-0.587103870132282	-1.06219401892957	-0.94361034977813
ACACB	0.350537053013635	0.475776986969987	0.487901935365914	0.39539330736734	0.538538713882398	0.586912837553592
ACTL6A	-1.5499347008044	-1.95895423084439	-1.68928229476147	-1.17186379324128	-2.5649997366364	-1.47932587657586
ACTL6B	0.48037409583832	0.236123447816345	0.216499870272901	0.449872877937859	0.0870124713900505	0.253051689990598
ACTL7A	0.534536844232102	0.363959808562114	0.134405088511406	0.333914237794988	0.417326200156506	0.277261022351127
ADAM19	0.518068978021136	0.517366244342043	0.681742151988089	0.489988742648795	0.43098249378013	0.985968979695443
ADAP1	0.548745584314045	0.619515252076232	0.496216617548387	0.984710830191868	0.505607061581519	0.534193585734698
ADAP2	0.776478642336303	0.288368247407553	0.661763132892334	0.528121697341703	0.287171737301696	0.493957043730358
ADARB1	0.633580336040052	0.538381682169751	0.612477739359144	0.601106493944822	0.377853863237694	0.615487628297336
ADARB2	0.480667547649804	0.616111406934868	0.624571831158972	0.400099477657514	0.69962589786468	0.795715521105848
ADGRG7	0.73968664800011	0.599101192623409	0.158304387726114	0.714228303276572	0.212941489782146	0.185835536522351
ADM	0.38443892328929	0.518264211251146	0.19169059252683	0.321662985840977	0.551435869587227	0.413851465717523
ADSS	0.506981078418377	0.80604607451065	0.729252435305514	0.907129711393034	0.320906168472945	0.803520631648409
ADSSL1	0.262456224218114	0.197387567883184	0.118013922935182	0.0456871297476598	0.326365975913248	0.306352878675684
AFG3L2	-1.08668204903432	-1.08110111113519	-0.726141655796393	-0.953549324696976	-1.10290610837282	-1.01143189785126
AHCYL1	-1.23363115535392	-1.47994999345399	-0.896706832648537	-1.19996720899447	-1.34482162025573	-1.34842116228617
AHCYL2	0.666615658180056	0.589385410057345	0.782778771229227	0.555349835758622	0.564679854239613	0.800232602345077
AIPL1	0.685135816351515	0.525565375740016	0.643027467814801	0.766345653408378	0.566809234000779	0.405239706003851
AKAP11	0.291452234731817	0.285054801990119	0.358187190565461	0.425858829056485	0.417250184523652	0.551608461988998
AKIRIN1	-0.136601505838619	-0.0088744581534845	0.1017313777637	0.314336343342091	0.119431871664096	0.1701969126942
AKIRIN2	-0.655394038938139	-0.952149334842338	-0.767054730606037	-0.768083706582693	-0.943789730941303	-1.04441559356278
ALAS1	0.286832489120075	0.391612028987951	0.336479667907287	0.370693710687227	0.331088273038996	0.270834832783903
ALAS2	0.739244469889335	0.634807660524988	0.712208724832855	0.777747107150163	0.578257291737601	0.659817916185229
ALDOA	-1.76055121032982	-1.46255031753556	-1.07141673438431	-2.329512413506	-1.59714559553763	-1.41193409953595
ALDOC	0.334450358087645	0.334617724226499	0.563566008791353	0.359057325906067	0.387802099499573	0.686215790477373
ALG14	0.615253966349227	0.498206486428227	0.228833507897069	0.414288855324263	0.408418850163849	0.134545730387338
AMELX	0.808368657179464	0.494152985494073	0.598973374313123	0.808843339715171	0.298021448873338	0.0707141464320994
ANAPC4	0.0644788272323973	0.198439832987378	0.18600152659764	0.0772421472738233	0.138583529161336	0.200051693381723
ANKRD10	0.691014561798906	0.689274710629289	0.568744526423122	0.748913258053753	0.678808638035109	0.672049930041665
ANKRD37	0.606486086106205	0.51682845560382	0.629175354170365	0.583661129678451	0.650424634333767	0.750974629802933
ANXA1	0.848592404733265	0.967099673742072	0.750318022312587	0.907218290883647	0.892811697370052	0.791300820619962
AOX1	0.60048397557658	0.52938763554778	0.518119203183898	0.592186335756224	0.420188204359894	0.599147212887509
AP1G1	0.57581490331243	0.39683067842957	0.263841287437595	0.703778824071312	0.531563132585377	0.271532153256896
AP1G2	0.364175483855714	0.353925348338229	0.614793805514419	0.619569397377788	0.112231448160817	0.577541359448865
AP2A1	0.193119301792572	0.406753286793779	0.483645535733156	0.287774550734509	0.358533870307537	0.671689401839534
AP2A2	0.473906643457081	0.544677832964881	0.728144173073684	0.795944342975266	0.521184485433794	0.990396753054945
AP3M1	0.257876461697986	0.000294758420128938	0.367432178859585	0.345560588920114	0.129338230385039	0.50224221726474
AP5M1	0.208491468162922	0.576074153735759	0.27618971821071	0.0676200120798494	0.908653484904127	0.369220012389739
APH1A	-0.026024588449745	0.427073445144677	-0.150974006369149	-0.154834717114226	0.202035656452386	-0.230269737802407
APH1B	0.091691899302639	0.477473594175239	0.252992550861972	0.222560920257599	0.230907217124374	0.422885334241539
APOBEC1	0.474702155996198	0.500276564603787	0.352189301234968	0.306456162944787	0.716381749512039	0.449081585340927
APOBEC3C	-0.225541532918863	0.0938768465225631	0.044219369537564	-0.139794900423072	-0.272018942179099	-0.0330384351506608
AQP8	0.569436185022306	0.753574285234148	0.658889602112631	0.542521318649182	1.0254371605905	0.950904740166124
ARFGEF1	0.428615757088281	0.35773655349844	0.490816892086832	0.398843530743951	0.578306092534613	0.549960743613552
ARFGEF2	0.573001811650523	0.549887302746106	0.569947898686484	0.391784287341824	0.676094300111154	0.487767207452818
ARFIP1	0.851433996763252	0.936663506681027	0.743289383105132	0.990345578854531	0.835016340053787	0.798080445338221
ARFIP2	0.526470474107884	0.557037341425849	0.48880920970381	0.5026305919759	0.605978504435761	0.497359314291506
ARHGEF3	0.698820087761488	0.397349821481057	0.311784131816947	0.747903918026099	0.458198675846506	0.349328701025755
ARHGEF6	0.745734963722586	0.868340153111262	0.610042279911573	0.889551514617086	0.933533555158907	0.595572468618599
ARHGEF7	0.453170368047407	0.242684829015255	-0.0279535373352763	0.63735772307634	0.343841390010012	-0.0380932634220245
ARID1A	0.0882866210967838	-0.246445523832901	-0.124499508018446	-0.0182917140585455	-0.141940721524435	-0.107013885397649
ARID1B	0.384271117761643	0.477437490175045	0.597612344379156	0.454650615097121	0.624018264227432	0.497552201286086
ARID4A	0.354060608227818	0.24920226083242	0.373180244466948	0.426273402262552	0.011653543819006	0.339254572224944
ARPC5	0.389920822237567	0.327174551376969	0.786717604682298	0.525203661969697	0.296068567109124	0.674124216939206
ARPC5L	0.717913627127871	0.540623876325349	0.504120642986559	0.845908196030564	0.840909927199129	0.52721134358949
ARSJ	0.452817603197252	0.548989880946568	0.381750353884206	0.676374188677404	0.590227066044589	0.280710525226151
ASCL1	0.306480451693103	0.553832042845997	0.350317465815606	0.242305820177098	0.532931115475543	0.532577763611265
ASF1A	0.392027984591271	0.395190057153549	0.408549956396818	0.486122321111435	0.358107818367732	0.274525710460163
ASF1B	0.148847294745035	0.259853540575797	0.199999403820997	-0.0714070432164563	0.23325193814809	-0.0215428564740062
ATAD2	0.605470588389473	0.462118469338904	0.609898418291795	0.718840526309437	0.333785033078243	0.745389672507464
ATAD2B	0.611054042533549	0.836615025527752	0.657432232836752	0.660347395176226	0.761993356507528	0.651406487596148
ATM	0.728223060244434	0.710985007677037	0.538223176534636	0.25620084845038	0.616949770315663	0.42005496147044
ATOH1	0.847629414574639	0.309054388575057	0.535562976372442	1.11369417291411	0.633393378041397	0.438984081216087
ATP5F1A	-1.64856850952393	-1.31269358852672	-1.57514014041736	-1.15805028605361	-1.43507524969152	-2.11609650383196
ATP5F1B	-1.71130749192588	-1.71438132002716	-1.25059098389715	-2.15232363637796	-1.64356966684053	-0.975339594902192
ATP5F1D	-0.620475573105211	-0.526638085346682	-0.915762000500507	-0.602576162063941	-0.834188836663526	-1.24110712695078
ATP5PB	-0.799183648662595	-0.333007729652695	-0.372895954451836	-0.521347762042759	-0.512583801325305	-0.443243627824317
ATP6V1B1	0.531381901607108	0.223993146644203	0.221235246314398	0.683913753435222	0.215249701546212	0.298828400260849
ATP6V1B2	-1.32341410040942	-1.5226977799889	-1.2071460157577	-1.43532657989915	-1.98154978209327	-1.3156832135885
ATP6V1C1	-1.23117773438299	-0.869042771310705	-0.761822718241679	-1.5226845194085	-1.60406345341781	-0.903723123487933
ATP6V1C2	0.282842518744793	0.364761834998808	0.550449895608965	0.255203042307688	0.327109176613628	0.507613774555338
ATP6V1D	-1.06337659262449	-0.581446513780409	-0.791947866878976	-1.12723110186725	-0.97772906718167	-0.914463892113901
ATP6V1E1	0.311114957872911	0.11140279278649	0.356348519389684	0.088960849805259	0.138857813501726	0.332251431350429
ATP6V1E2	0.565696557996946	0.519392000513086	0.578884772537474	0.266444031554373	0.488678183430122	0.434887806044507
ATP7A	-0.325785877318798	-0.315489899667415	0.0520774778300461	-0.468291004577804	-0.341187449108132	-0.168673895819047
ATP7B	0.452050270243439	1.00789090132377	0.676670489941272	0.422894418809373	1.03787527911197	0.685448036784984
ATP8B3	0.596904285709717	0.697819111442761	0.527223495352828	0.715483520215924	0.663011762064838	0.574135639964233
ATR	-0.290156781194927	-0.269691568570428	-0.343970407643655	-0.199023796822337	-0.429781880911118	-0.379835815502706
AXL	0.144528094623797	0.406512629503758	0.602237744707329	0.110949223393528	0.291292690987789	0.412946728283462
BAP1	-0.235845370772359	-0.0878851309120627	-0.353117388147469	-0.415995013333198	-0.265710216447798	-0.39714544636982
BARHL1	0.331372690773449	0.420836495517146	0.479743133268931	0.363659707099429	0.377784867705381	0.565004873860158
BATF3	0.595995869897837	0.663164422929276	0.51455164204726	0.835388907899207	0.641424986789752	0.492798036466401
BCAP31	0.270465750370557	0.11552134531655	0.0521596607669501	-0.00373525003398164	0.166435715262898	-0.0314118879877027
BECN1	-0.427397166132492	-0.131249319057471	0.0980809030438538	-0.24267372125256	-0.122893102260985	-0.55006794544601
BECN2	0.565773574276961	0.400605658103686	0.542709868277136	0.486625515020069	0.327370092599582	0.733813471943972
BICD1	0.345161702988048	0.250471391719888	0.0605827736484091	0.179401487107473	0.0280615053645388	-0.194915293155374
BICD2	0.226313075255931	0.290330753881373	0.327039495097416	0.140178767151963	0.331284830277275	0.28080593625125
BRD8	-0.0115179181245043	-0.158095177084348	-0.46636469626957	-0.0396414469912048	-0.374917813957115	-0.519202104286172
BRSK1	0.465327739559026	0.278114633394946	0.654954870344498	0.451411821513726	0.36805899829363	0.403959578479094
BRSK2	0.402569882110352	0.294315245887706	0.200888345432477	0.376364534663139	0.398821185490928	0.190624149807339
BTBD11	0.423689689644875	0.428186206498307	0.378466284594207	0.359073846358821	0.350964049877912	0.321138423240998
BTG1	0.518118606610426	0.249462543712782	0.450477131967555	0.320979009571214	0.555928399368157	0.590806642420511
BUB1B	-1.51775827076111	-1.30909407059752	-1.39014298646781	-1.55830138483635	-1.45940800199372	-1.36677978403531
BUB3	-2.77131340114297	-2.7370194155783	-2.68663234559451	-2.90918482073976	-2.75873634141352	-3.04951950436964
BZW1	0.155316588599883	0.253747573706035	0.0469058943347325	0.205746522282406	0.250541508944501	0.0588688074039722
BZW2	0.313687429254777	0.206731734929136	0.279318561926758	0.134835711137048	0.199856475122872	0.178214696749987
CAB39	0.881631499589624	0.533835806140293	0.889477616240755	1.00534534828357	0.801025522121391	1.1741159034063
CAB39L	0.657132117923258	0.643393542092078	0.406505278992028	0.86255787061789	0.764757060855961	0.464304503039377
CABP5	0.195691615301819	-0.040264186507814	0.388619170754621	0.18496804448955	0.157680516016772	0.149003056304594
CADPS	0.2716699229432	0.441068845946167	0.513558706266677	0.250765500119721	0.646305321623197	0.585353666056934
CADPS2	0.569573626131151	0.731927972984066	0.626579192320807	0.965186025794355	0.824539777747195	0.626974259638083
CALY	0.406299312650662	0.186495759440867	0.441402111084013	0.402177123533147	0.154219651067901	0.462789999157711
CAND1	-0.112295899961025	-0.0510350172315156	-0.206998457308226	-0.456263874917017	-0.287326214233838	-0.633204046621075
CAND2	0.361936864211904	0.777500285107201	0.545842212465655	0.529279021473399	0.738717709314591	0.498039327497775
CAP1	-0.0419798365541369	0.0216685351940534	-0.0270909458653121	-0.182819259013089	-0.38169040466034	-0.193651247652229
CAP2	0.544454320968471	0.307299704037527	0.160595594699574	0.297976317789999	0.3871819696181	0.23833747696722
CAPN2	0.24983856676297	0.666315730581535	0.404861448616136	0.33928775707631	0.538755215037043	0.506483212248515
CASP4	0.254675476282865	0.359919985967513	0.385340268138167	0.438483411048449	0.446980845108217	0.402901024919323
CAT	0.504203582699772	0.891349939712317	0.390621565690682	0.767052367752128	0.697886780722221	0.566292213056447
CAV1	0.638371821597236	0.56673463057763	0.553695691745048	0.73859114997077	0.33650610168341	0.481096188157799
CAVIN1	0.624113511543952	0.494173657151616	0.199500293575041	0.574462486202517	0.50875792109943	0.247629961800558
CBLL1	0.522137607620756	0.698624616844289	0.636033239653167	0.720407800926555	0.589815358436316	0.611912568433153
CBLL2	0.381158613405	0.579270019181465	0.442776899072832	0.442841127931151	0.742288139145211	0.464713308359526
CCDC69	0.520485398210958	0.670118494940499	0.693701511731167	0.499412639668866	0.848308902744619	0.759522403947736
CCND1	-0.70384971616689	-0.429548116823881	-0.446287664036583	-0.995576107630714	-0.595285511823895	-0.775958082728619
CCND3	-0.0299360563287087	-0.135405331955353	-0.0390468098365657	0.0283928470386725	-0.0724680666731378	-0.235186419873381
CCNE1	0.264211234037102	0.419415610223672	0.229779337233275	0.468771394161269	0.365208052951292	0.254708870716761
CCNE2	0.449510043492638	0.390842905919133	0.332861198198831	0.600135510084805	0.43483737946927	0.242629131779831
CCNL1	-0.24491540503037	-0.264889673108577	0.15215297618459	-0.396732196408313	-0.454013579458285	-0.0521584685548085
CCNL2	0.320219595128119	0.295625410957349	0.457209703651738	0.427617032262137	0.379549870252592	0.491739957257681
CCNT1	-0.0887700351860593	0.209679777609573	-0.0179643080610008	-0.115564018994704	0.299029970599323	-0.0958032921749613
CCNT2	-0.115921372589587	-0.0108159699065667	0.126524853884863	-0.0711128789928402	-0.0773424194388614	0.0372402847015089
CCT6A	-0.907109327894194	-1.52389517583331	-1.31433724589637	-1.08656606476547	-1.1920258382978	-1.46682898344508
CCT6B	0.537867475024029	0.717912224205527	0.587169504591573	0.9687105502707	0.52902781934763	0.806974000490163
CD163L1	0.798811189319523	0.729732975163659	0.685495864341842	0.78853709879542	0.759636364460327	0.740580100983537
CD44	0.506833562154397	0.867680198693894	0.745862815004695	0.728932440233806	0.75057036401316	0.652469501476642
CD72	0.501125640937392	0.424698179063767	0.284988792632998	0.4930127716783	0.521529265828322	0.226462968009323
CDC34	0.516795688342676	0.714844370599229	0.630431243386527	0.65956477749624	0.653373729456739	0.557626699012721
CDIPT	-1.40989093758077	-1.45473656856214	-1.29069755135585	-1.64128026699027	-1.58770698973757	-1.27379992421821
CDK16	0.523682352099188	0.930357884424874	0.529922207350875	0.589206377815417	0.786513745488712	0.581396431487934
CDK17	0.209411983116155	0.619230618407221	0.283662280668688	-0.0793973383483103	0.403567403152157	0.324296656125744
CDK19	0.399572454579901	0.589902301881586	0.440256024358313	0.580103355212332	0.509364249185403	0.429619920813049
