id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	4.6882e-15	4.6703e-06	0.000225	1	16	-1.9512	1.0	1.0	0.999995	1060	0	-1.9512
RRM1	16	3.1728e-14	4.6703e-06	0.000225	2	16	-2.1277	1.0	1.0	0.999995	1059	0	-2.1277
POLR2L	8	2.0185e-10	4.6703e-06	0.000225	3	8	-2.1674	1.0	1.0	0.999995	1058	0	-2.1674
BUB3	8	5.5002e-09	4.6703e-06	0.000225	4	8	-1.7128	1.0	1.0	0.999995	1045	0	-1.7128
RPP21	8	9.3051e-09	4.6703e-06	0.000225	5	8	-1.3595	1.0	1.0	0.999995	1057	0	-1.3595
MTG2	8	2.48e-08	4.6703e-06	0.000225	6	8	-1.0284	1.0	1.0	0.999995	1056	0	-1.0284
SF3B3	8	3.0201e-08	4.6703e-06	0.000225	7	8	-1.1704	1.0	1.0	0.999995	1055	0	-1.1704
CCND1	8	3.2477e-08	4.6703e-06	0.000225	8	8	-1.5465	1.0	1.0	0.999995	1054	0	-1.5465
ALDOA	8	7.4247e-08	4.6703e-06	0.000225	9	7	-1.6136	1.0	1.0	0.999995	1037	0	-1.6136
COPA	8	9.9122e-08	4.6703e-06	0.000225	10	8	-1.1875	1.0	1.0	0.999995	1053	0	-1.1875
RPS23	6	1.0754e-07	4.6703e-06	0.000225	11	6	-1.4267	1.0	1.0	0.999995	1052	0	-1.4267
PRPF8	8	1.3586e-07	4.6703e-06	0.000225	12	8	-1.5601	1.0	1.0	0.999995	1051	0	-1.5601
RPL8	8	2.1595e-07	4.6703e-06	0.000225	13	6	-1.4223	0.99416	0.9941	0.999995	931	0	-1.4223
RPL3	14	2.5823e-07	4.6703e-06	0.000225	14	9	-1.3401	0.46689	0.46607	0.999995	406	0	-1.3401
NAA10	8	3.2669e-07	4.6703e-06	0.000225	15	8	-1.1442	1.0	1.0	0.999995	1050	0	-1.1442
INTS6	6	3.8395e-07	4.6703e-06	0.000225	16	6	-1.7219	1.0	1.0	0.999995	1049	0	-1.7219
ZNF407	8	3.883e-07	4.6703e-06	0.000225	17	8	-0.82189	1.0	1.0	0.999995	1048	0	-0.82189
RPS11	7	7.8132e-07	4.6703e-06	0.000225	18	7	-2.2729	1.0	1.0	0.999995	1047	0	-2.2729
TIMM10	8	8.0272e-07	4.6703e-06	0.000225	19	8	-1.1603	1.0	1.0	0.999995	1046	0	-1.1603
RPL14	6	8.9765e-07	4.6703e-06	0.000225	20	6	-1.9446	0.99999	1.0	0.999995	1032	0	-1.9446
RPL36	8	9.8638e-07	4.6703e-06	0.000225	21	7	-1.4885	0.99999	1.0	0.999995	1030	0	-1.4885
HSCB	8	1.081e-06	4.6703e-06	0.000225	22	7	-1.2456	0.99991	0.99989	0.999995	1009	0	-1.2456
TOMM40	14	1.1034e-06	1.4011e-05	0.000571	23	11	-0.97719	0.99941	0.99943	0.999995	980	0	-0.97719
UQCRC1	8	1.3445e-06	1.4011e-05	0.000571	24	8	-1.0851	1.0	1.0	0.999995	1044	0	-1.0851
MRPL38	8	1.6012e-06	1.4011e-05	0.000571	25	8	-1.0197	1.0	1.0	0.999995	1043	0	-1.0197
RPS19	8	1.6331e-06	1.4011e-05	0.000571	26	8	-1.6375	1.0	1.0	0.999995	1042	0	-1.6375
HMGCS1	7	1.9934e-06	2.3351e-05	0.000854	27	7	-1.1556	1.0	1.0	0.999995	1041	0	-1.1556
RRM2	7	2.4071e-06	2.3351e-05	0.000854	28	5	-1.8172	0.85856	0.85715	0.999995	751	0	-1.8172
MRPL41	8	2.4556e-06	2.3351e-05	0.000854	29	7	-1.3045	0.99999	1.0	0.999995	1033	0	-1.3045
KIF11	8	2.6429e-06	3.2692e-05	0.001118	30	7	-1.2431	1.0	1.0	0.999995	1040	0	-1.2431
RNF113A	8	4.1445e-06	4.2033e-05	0.001238	31	7	-0.97414	0.90844	0.9077	0.999995	803	0	-0.97414
EIF3B	8	4.4477e-06	4.2033e-05	0.001238	32	7	-1.2924	0.99998	0.99999	0.999995	1024	0	-1.2924
PSMB3	7	5.0526e-06	4.2033e-05	0.001238	33	6	-1.4217	0.99986	0.99989	0.999995	1004	0	-1.4217
CDIPT	8	5.0727e-06	4.2033e-05	0.001238	34	7	-1.7075	0.9997	0.99962	0.999995	990	0	-1.7075
RPS8	5	5.6911e-06	3.2692e-05	0.001118	35	3	-2.1936	0.99801	0.99807	0.999995	959	0	-2.1936
SNRPD3	8	6.7247e-06	5.1373e-05	0.001433	36	6	-1.634	0.7827	0.78272	0.999995	688	0	-1.634
DYNLRB1	7	6.8782e-06	4.2033e-05	0.001238	37	7	-1.3678	0.99999	1.0	0.999995	1031	0	-1.3678
RBBP4	7	8.4996e-06	5.1373e-05	0.001433	38	6	-1.3464	0.94006	0.93939	0.999995	844	0	-1.3464
PPP4C	8	9.9212e-06	7.0054e-05	0.001856	39	7	-1.4001	0.99981	0.99972	0.999995	1001	0	-1.4001
SF3B1	8	1.0199e-05	7.0054e-05	0.001856	40	7	-1.3437	0.99978	0.99971	0.999995	998	0	-1.3437
SF3A1	8	1.2174e-05	9.8076e-05	0.002475	41	7	-0.81575	0.99999	1.0	0.999995	1028	0	-0.81575
PDCD6IP	8	1.3736e-05	0.00010742	0.002588	42	7	-0.92656	0.99986	0.9998	0.999995	1005	0	-0.92656
RFC2	8	1.5621e-05	0.00010742	0.002588	43	6	-1.2338	0.68946	0.69011	0.999995	611	0	-1.2338
HUS1	8	1.6521e-05	0.00011676	0.00269	44	7	-0.91041	0.99963	0.99955	0.999995	988	0	-0.91041
ATP6V1B2	8	1.6858e-05	0.00011676	0.00269	45	7	-0.91411	1.0	1.0	0.999995	1039	0	-0.91411
POLR2B	8	1.929e-05	0.00013544	0.003055	46	7	-1.0388	0.97244	0.97168	0.999995	890	0	-1.0388
