gene	Mel202.D28A	Mel202.D28B	Mel202.D28C
ABCA3	-0.0585414634452518	-0.0567424074113781	-0.105084843016948
ABCB1	-0.0031707472722536	-0.0178421405136685	-0.112916909129663
ABCC3	-0.0995886392913578	-0.12060969347543	-0.0800575952850809
ABCG2	-0.0631685076248989	-0.0531475177944663	-0.00447405441302462
ABL1	0.00493934348930042	-0.0373613984912409	-0.0275492965198082
ABL2	-0.176247476604408	-0.149837279065674	-0.143742517087878
ABT1	-0.890331000999765	-0.789996336445505	-0.618437538311613
ABTB2	-0.119407318777347	-0.125035837867588	-0.109838660598456
ACACA	-0.350669635114484	-0.149135857051215	-0.291038395374654
ACACB	-0.0763257569906185	-0.116254282589768	-0.208926961064984
ACTL6A	-1.00087189440089	-0.766107443450489	-0.947049263876604
ACTL6B	-0.244196419152388	-0.28585002792379	-0.207150840437434
ACTL7A	-0.114440558897362	-0.0333524613836856	-0.105575815243118
ADAM19	-8.90506076787075e-05	-0.17833039987617	-0.0507127507597241
ADAP1	-0.243867256794308	-0.2199918501964	-0.233140478093264
ADAP2	-0.00937282426552369	0.0177065176444501	-0.151409954617316
ADARB1	0.0139011515032347	-0.0354728758678658	0.132015259269175
ADARB2	-0.0483857977915238	-0.00713158299165466	0.0304475231687755
ADGRG7	0.0549151120590247	-0.125570106069122	-0.177380959986798
ADM	-0.0185229531969768	-0.0666702008736774	-0.126354199894724
ADSS	-0.287276223996201	-0.400624070618488	-0.208428032896119
ADSSL1	-0.174230260211233	-0.151300391892189	-0.229017480643485
AFG3L2	-1.32316997751593	-1.03314537671048	-1.06847057466982
AHCYL1	-0.356775046694246	-0.423255347602906	-0.410155386870143
AHCYL2	-0.116913547441209	-0.140196998556314	-0.156050159305078
AIPL1	-0.104682433680107	0.057628705273511	-0.0612491586492203
AKAP11	-0.104472613868831	-0.0900280059510745	-0.0811650589598205
AKIRIN1	-0.301834301155724	-0.21878615273863	-0.228896343797013
AKIRIN2	-0.727396453830242	-0.563003318529972	-0.705375988114801
ALAS1	-0.523120407954768	-0.440833924362836	-0.521929362525712
ALAS2	-0.0223503040948977	-0.102168612181884	-0.0454858694553024
