gene	BF
ABCA3	-0.53090625
ABCB1	-0.52434375
ABCC3	-0.29234375
ABCG2	-0.867010416666667
ABL1	-0.967177083333333
ABL2	-0.765364583333333
ABT1	2.99778125
ABTB2	-0.689614583333333
ACACA	0.495302083333334
ACACB	-0.893927083333333
ACTL6A	5.24696875
ACTL6B	-0.00538541666666648
ACTL7A	-0.748510416666667
ADAM19	-0.51490625
ADAP1	-0.29490625
ADAP2	-0.62434375
ADARB1	-0.84159375
ADARB2	-1.07026041666667
ADGRG7	-0.95396875
ADM	-0.676177083333333
ADSS	2.93514136904762
ADSSL1	-0.339260416666667
AFG3L2	2.24273263888889
AHCYL1	1.53898958333333
AHCYL2	0.205552083333334
AIPL1	-0.98115625
AKAP11	-0.656572916666667
AKIRIN1	0.250239583333334
AKIRIN2	4.11417708333333
ALAS1	-0.8568125
ALAS2	-0.993322916666667
ALDOA	6.28638541666667
ALDOC	0.350072916666667
ALG14	0.976635416666667
AMELX	-1.71105208333333
ANAPC4	2.43434375
ANKRD10	-0.466447916666667
ANKRD37	-1.05871875
ANXA1	-1.44407291666667
AOX1	-0.63546875
AP1G1	-1.19280208333333
AP1G2	-0.322427083333333
AP2A1	-0.125510416666667
AP2A2	-1.02257291666667
AP3M1	-1.24894791666667
AP5M1	-0.713239583333333
APH1A	-0.17521875
APH1B	-0.45003125
APOBEC1	-0.65459375
APOBEC3C	-1.12365625
AQP8	-0.71703125
ARFGEF1	-1.22646875
ARFGEF2	-1.06015625
ARFIP1	-0.92871875
ARFIP2	-0.43821875
ARHGEF3	-1.00494791666667
ARHGEF6	-1.79632291666667
ARHGEF7	-0.803864583333333
ARID1A	1.85544791666667
ARID1B	-0.676947916666667
ARID4A	0.50346875
ARPC5	-0.238010416666667
ARPC5L	0.47309375
ARSJ	-0.455072916666666
ASCL1	-0.71296875
ASF1A	3.95826041666667
ASF1B	1.62860416666667
ATAD2	-1.05251041666667
ATAD2B	-0.34271875
ATM	-0.444947916666667
ATOH1	-0.69815625
ATP5F1A	-0.0310729166666666
ATP5F1B	-0.479135416666667
ATP5F1D	-0.0175729166666665
ATP5PB	-0.806885416666667
ATP6V1B1	0.21978125
ATP6V1B2	4.46346875
ATP6V1C1	2.36044791666667
ATP6V1C2	-0.0162604166666666
ATP6V1D	2.85038541666667
