gene	Mel270.D28A	Mel270.D28B	Mel270.D28C	Mel270.D35A	Mel270.D35B	Mel270.D35C
ABCA3	-0.19770801001004	-0.322598324195684	-0.17957282640079	-0.221551471057741	-0.321433772989841	-0.206238458860382
ABCB1	-0.294757049551246	-0.243427493934732	-0.119278080966453	-0.332541549691335	-0.276094430804579	-0.0765768303695582
ABCC3	-0.265623340770472	-0.337063840203213	-0.227281115035649	-0.297662041813898	-0.270669117906985	-0.279475608992064
ABCG2	-0.150721610564392	-0.166683516604895	-0.101653065649112	-0.128413155101584	-0.140414648689729	-0.0523006502938001
ABL1	-0.143502938244177	-0.130068787691139	-0.0893878169987356	-0.153262044469698	-0.138146754178273	-0.04645923631287
ABL2	-0.122740561610415	-0.146898875010493	-0.150666703102271	-0.198041007976803	-0.0832381581810682	-0.190605525807873
ABT1	-1.07686499169656	-0.954601746630014	-0.956713043307856	-1.15120318295588	-1.05167793528018	-1.08145830787909
ABTB2	-0.211780904324758	-0.0531653216695709	-0.279476701049012	-0.29017165653031	-0.0234255597613315	-0.297611257210712
ACACA	-0.437808368970714	-0.417763195985	-0.505300858809753	-0.466009252289505	-0.487937755326513	-0.510648686274054
ACACB	-0.0830937139155663	-0.223434461173132	-0.161663761737061	-0.0935801841880926	-0.21143030488966	-0.179690270884917
ACTL6A	-1.66843258053425	-1.5393563427497	-1.59475663177673	-1.55347000643358	-1.78405778921983	-1.62428092254273
ACTL6B	-0.27638927034547	-0.397057661822364	-0.350659293380984	-0.228511562157761	-0.399532771529963	-0.407603460959744
ACTL7A	-0.148836234101582	-0.0843323599605382	-0.21282322725607	-0.197943754675581	-0.136411275894776	-0.229586637423263
ADAM19	-0.227974617213012	-0.171711813169987	-0.246105032154022	-0.245192110379258	-0.242761100273409	-0.222011531681312
ADAP1	-0.208055967681825	-0.265745214039811	-0.294239235382455	-0.210420984399184	-0.28800193348372	-0.36850317885714
ADAP2	-0.312188311725378	-0.201955722394611	-0.119821538793396	-0.287245810025009	-0.149713224326727	-0.126281254982841
ADARB1	-0.134014222114134	-0.0238209376127868	-0.0362690121589762	-0.166352250575947	0.00118275743372226	-0.0804639690356165
ADARB2	-0.161045150182904	-0.249215243388716	0.0766195331316878	-0.152088559896381	-0.208258266988939	0.0758873949918491
ADGRG7	-0.0417494700195696	-0.238105737234277	-0.0216348315202866	-0.0634624562045339	-0.281987444350979	-0.0213792254554816
ADM	-0.192966537060444	-0.0850209387163603	-0.212570744128409	-0.214152481243337	-0.168372100480911	-0.202771789300517
ADSS	-1.13857636327321	-1.03986655034116	-1.20195158754607	-1.22260091187338	-1.01223883003682	-1.4006901610679
ADSSL1	-0.253150370015478	-0.28542566218754	-0.28489358455534	-0.243977450046107	-0.281711016386527	-0.361851719562787
AFG3L2	-1.11545283378296	-0.828010996674946	-1.04134647249418	-1.26287150535007	-0.748620888266672	-1.07125206576049
AHCYL1	-0.630435687009426	-0.789680850107755	-0.702280662968746	-0.77194504104192	-0.909084914652589	-0.879788686369156
AHCYL2	-0.380763465393729	-0.331839072105933	-0.369937430076212	-0.460606692519722	-0.349464512589853	-0.416255552054241
AIPL1	-0.175598150747702	-0.095379869314201	-0.150210871342675	-0.0873745845830032	-0.0885941056510092	-0.236312535819188
AKAP11	-0.211358033687665	-0.11351698528984	-0.155779245701994	-0.279770846382842	-0.107116482500811	-0.187548645558344
AKIRIN1	-0.450564794492526	-0.384091543794591	-0.297246604541652	-0.48751234063577	-0.458491418170785	-0.312417322952326
AKIRIN2	-1.31381527766348	-1.1067378456446	-1.56411420751949	-1.30274341218072	-1.11720027243361	-1.69811924709384
ALAS1	-0.0787245357327208	-0.141931578839592	-0.0797426040770092	-0.0314714512109864	-0.100347047710543	-0.0708228485552686
ALAS2	-0.0893685405912611	-0.169901135042687	-0.0370677840143693	-0.0697483919655355	-0.186566299340491	-0.0939767089596313
ALDOA	-1.81873799390145	-1.42838691147587	-2.01998833370998	-1.8497579280203	-1.43948876240079	-2.21137493231091
ALDOC	-0.369084074912218	-0.495472759159971	-0.366705478661822	-0.433674502584151	-0.514439485146063	-0.393221931700154
ALG14	-0.490382258702155	-0.484310404881404	-0.674557935263697	-0.53147619908361	-0.588121243882765	-0.728931890246695
AMELX	0.17855278435578	0.0156863626099947	-0.0389624095060636	0.186337933211935	0.073938122620169	0.0267787265002058
ANAPC4	-1.00226221834676	-0.887392275945317	-0.846905388043091	-1.12033473897768	-1.03642768192412	-0.839773533096896
ANKRD10	-0.126884618671546	-0.186994586544627	-0.209242907044979	-0.135343790363601	-0.205827355789828	-0.21843308770281
ANKRD37	-0.07013537540665	-0.167740286937272	-0.090756215868106	-0.0596878430421527	-0.153491653692187	-0.0926716218875693
ANXA1	0.0599326447577151	-0.0135890187233456	-0.0780092589406799	0.0956710421709582	0.0443408822179749	-0.0861427148037025
AOX1	-0.242076370656512	-0.182494479083227	-0.154063138816767	-0.245223566089882	-0.194191929753146	-0.117396634188544
AP1G1	-0.0560061707039666	-0.127422157362423	-0.148363443741005	-0.0106041157302937	-0.0716123717776013	-0.1302389144098
AP1G2	-0.292726849987112	-0.237663196255505	-0.317446081885409	-0.286044843891178	-0.240825244086939	-0.299598331226698
AP2A1	-0.306186863305549	-0.244822052854785	-0.320541177407894	-0.304251511096692	-0.250988494989002	-0.456703736511999
AP2A2	-0.0979403060920864	-0.0931921364070983	-0.0807667789294055	-0.0643088896927646	-0.118034404004484	-0.149118325170824
AP3M1	-0.0192763070148375	-0.229192164783499	0.0180998090895271	0.0314098464999899	-0.178807863119588	0.110431707178554
AP5M1	-0.225716296135606	-0.0608976664149278	-0.112962383879544	-0.234021200966951	-0.0308078109347648	-0.0852310227284879
APH1A	-0.294815812222011	-0.423428286918091	-0.223400623033487	-0.275826877856704	-0.447918851150997	-0.195293879419025
APH1B	-0.249159443858459	-0.229909547842419	-0.102042302252983	-0.209640178414393	-0.229337200005574	-0.0727975784841149
APOBEC1	-0.13853613733269	-0.249848496724804	-0.246677170264752	-0.269007223986231	-0.149235142932158	-0.226676357064861
APOBEC3C	-0.129678548226832	-0.105984044948283	-0.0289445386602765	-0.235073966223738	-0.0973891257604376	-0.0416582044419153
AQP8	-0.0904459488225043	-0.204659899276259	0.0327836548322367	-0.0830292048027157	-0.309504387527803	0.0551338207831737
ARFGEF1	-0.0614236217897116	-0.108459386943751	-0.0366697341307489	0.00970134068563499	-0.0442622391291039	-0.0274437723940917
ARFGEF2	-0.0389256019472048	-0.147253293127042	-0.126432745160892	-0.0861816971848769	-0.151893192304274	-0.0816617933747075
ARFIP1	-0.0561032722086215	-0.0703142603552858	-0.0664190340357816	-0.0702189601646589	-0.0624519324229429	-0.0539326360869639
ARFIP2	-0.256300864846373	-0.113733030836846	-0.177341973397326	-0.275497371669509	-0.113388741279734	-0.222521002258266
ARHGEF3	-0.15515825066502	-0.083151159526722	-0.112644341453335	-0.154688925391731	-0.0604593391317742	-0.063277223545193
ARHGEF6	0.0137787869817024	-0.00414901799652555	0.118170795930421	0.0555461894712726	0.0298895084534723	0.0675492586202687
ARHGEF7	-0.152328272057233	-0.0295312686922102	-0.117537336347037	-0.139131156583836	-0.0306387523877358	-0.124894593855136
ARID1A	-0.737349461940224	-0.747913701780888	-0.834394886813586	-0.79463326251729	-0.80159894868569	-0.834444041863489
ARID1B	-0.108336354653924	-0.126050096777073	-0.0891819403872672	-0.102952116592313	-0.181078851795282	-0.0661862624399751
ARID4A	-0.198872554593409	-0.56902076797544	-0.531518910349571	-0.245335583593182	-0.647058573580347	-0.647584401744209
ARPC5	-0.193614527433553	-0.323811953310611	-0.25019591822111	-0.177757141175606	-0.336118800825047	-0.217875933776264
ARPC5L	-0.585829726366145	-0.337580091114649	-0.414549996375312	-0.647950003908808	-0.382243057439897	-0.430279535373637
ARSJ	-0.0523964019053953	-0.176468455191814	-0.35196924933156	-0.0506959858934771	-0.120495997736039	-0.351426657907144
ASCL1	-0.0483176829517923	-0.0684796029238878	-0.256172263216716	-0.0390728425152221	-0.0405392892397764	-0.216351165647826
ASF1A	-1.15911818047705	-1.11285149293182	-1.29618639311556	-1.31580556725203	-1.37249394348747	-1.46372311582408
ASF1B	-0.708176574432943	-0.738070060523413	-0.771366261982862	-0.893424555678116	-0.853061163896028	-0.94145097018139
