gene	BF
ABCA3	-0.60896875
ABCB1	-0.568447916666667
ABCC3	-0.224489583333333
ABCG2	-0.51328125
ABL1	-0.461614583333333
ABL2	-0.247135416666667
ABT1	-0.0885729166666667
ABTB2	-0.570010416666667
ACACA	-0.180052083333333
ACACB	-0.498447916666667
ACTL6A	0.21959375
ACTL6B	-0.27740625
ACTL7A	-0.387927083333333
ADAM19	-0.578239583333333
ADAP1	0.0380520833333333
ADAP2	-0.301885416666667
ADARB1	-0.31353125
ADARB2	-0.566364583333333
ADGRG7	-0.316197916666667
ADM	-0.486364583333333
ADSS	0.326099702380952
ADSSL1	-0.537677083333333
AFG3L2	0.0570243055555555
AHCYL1	0.0240520833333333
AHCYL2	-0.200885416666667
AIPL1	-0.408614583333333
AKAP11	-0.379239583333333
AKIRIN1	-0.237072916666667
AKIRIN2	0.114614583333333
ALAS1	-0.251104166666667
ALAS2	-0.401239583333333
ALDOA	0.159135416666667
ALDOC	-0.139260416666667
ALG14	-0.18259375
AMELX	-0.682510416666667
ANAPC4	0.0351770833333333
ANKRD10	-0.384677083333333
ANKRD37	-0.48734375
ANXA1	-0.551572916666667
AOX1	-0.144864583333333
AP1G1	-0.572239583333333
AP1G2	-0.145177083333333
AP2A1	-0.309947916666667
AP2A2	-0.493927083333333
AP3M1	-0.393447916666667
AP5M1	-0.620802083333333
APH1A	-0.160864583333333
APH1B	-0.37453125
APOBEC1	-0.75971875
APOBEC3C	0.0219895833333333
AQP8	-0.478510416666667
ARFGEF1	-0.155552083333333
ARFGEF2	-0.282927083333333
ARFIP1	-0.280927083333333
ARFIP2	-0.496135416666667
ARHGEF3	-0.519697916666667
ARHGEF6	-0.694635416666667
ARHGEF7	-0.28609375
ARID1A	-0.511177083333333
ARID1B	-0.493697916666667
ARID4A	-0.180635416666667
ARPC5	-0.233260416666667
ARPC5L	-0.40634375
ARSJ	-0.574822916666667
ASCL1	-0.486427083333333
ASF1A	-0.12878125
ASF1B	-0.189614583333333
ATAD2	-0.15521875
ATAD2B	-0.425510416666667
ATM	-0.579260416666667
ATOH1	-0.391677083333333
ATP5F1A	0.16428125
ATP5F1B	-0.0237395833333334
ATP5F1D	0.0620520833333333
ATP5PB	-0.05228125
ATP6V1B1	-0.535864583333333
ATP6V1B2	0.37784375
ATP6V1C1	-0.11840625
ATP6V1C2	-0.195020833333333
ATP6V1D	0.143114583333333
ATP6V1E1	-0.55278125
ATP6V1E2	-0.308864583333333
ATP7A	-0.339822916666667
ATP7B	-0.306614583333333
ATP8B3	-0.319760416666667
ATR	-0.118614583333333
