id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	6.6927e-10	4.6703e-06	0.00495	1	14	-1.6433	1.0	1.0	0.999995	1060	0	-1.6433
RRM1	16	4.7066e-07	1.4011e-05	0.00495	2	13	-1.7213	0.9997	0.99969	0.999995	1054	0	-1.7213
RPL14	6	3.0336e-06	1.4011e-05	0.00495	3	5	-2.4822	0.89878	0.9002	0.999995	918	0	-2.4822
PSMB3	7	5.6993e-06	4.2033e-05	0.009076	4	6	-2.2635	0.99212	0.99176	0.999995	1030	0	-2.2635
POLR2L	8	6.6345e-06	5.1373e-05	0.009076	5	5	-2.4862	0.8281	0.8279	0.999995	833	0	-2.4862
DYNLRB1	7	9.9248e-06	5.1373e-05	0.009076	6	6	-1.9824	0.99454	0.99419	0.999995	1035	0	-1.9824
TSG101	8	1.4292e-05	0.0001261	0.014356	7	8	-0.88851	0.99999	1.0	0.999995	1059	0	-0.88851
RPL8	8	1.4842e-05	0.00013544	0.014356	8	6	-2.0964	0.42342	0.49505	0.999995	502	1	-2.0964
VCP	8	1.5734e-05	0.00013544	0.014356	9	6	-2.1568	0.98856	0.98831	0.999995	1022	0	-2.1568
RPL5	7	1.6492e-05	6.0714e-05	0.009194	10	7	-2.2895	0.99998	0.99999	0.999995	1058	0	-2.2895
CKAP5	16	2.182e-05	0.00022884	0.020215	11	10	-1.088	0.97847	0.97903	0.999995	1009	0	-1.088
RPL31	5	2.9697e-05	0.00015412	0.014851	12	5	-2.3459	0.99992	0.99992	0.999995	1055	0	-2.3459
PRPF38A	8	3.6296e-05	0.00032225	0.023824	13	6	-2.0665	0.11775	0.22054	0.999995	225	1	-2.0665
ATP6V1B2	8	3.7622e-05	0.00032225	0.023824	14	8	-1.5537	0.99996	0.99997	0.999995	1057	0	-1.5537
CCND1	8	4.329e-05	0.00035961	0.023824	15	7	-2.1189	0.99945	0.99931	0.999995	1053	0	-2.1189
EIF3B	8	6.0434e-05	0.00048104	0.028128	16	7	-2.0955	0.99992	0.9999	0.999995	1056	0	-2.0955
RPS11	7	6.2443e-05	0.00034093	0.023824	17	6	-1.386	0.96033	0.95992	0.999995	987	0	-1.386
ATP6V1D	8	7.4387e-05	0.0005651	0.028128	18	7	-1.2515	0.99941	0.99927	0.999995	1052	0	-1.2515
CLTC	8	7.4978e-05	0.00057444	0.028128	19	6	-1.7673	0.99119	0.99097	0.999995	1026	0	-1.7673
GSDMD	8	7.7059e-05	0.00058378	0.028128	20	6	-1.6264	0.99459	0.99461	0.999995	1036	0	-1.6264
RPL11	7	9.8522e-05	0.0005184	0.028128	21	5	-1.9361	0.053714	0.12225	0.989472	124	1	-1.9361
PRKDC	16	0.00010626	0.0010135	0.042841	22	11	-1.1821	0.49753	0.66038	0.999995	553	2	-1.1821
RAN	7	0.00011192	0.0005651	0.028128	23	4	-1.6943	0.41551	0.46392	0.999995	497	1	-1.6943
CHORDC1	6	0.00012042	0.00067719	0.03121	24	4	-2.3062	0.3467	0.39251	0.999995	465	1	-2.3062
BUB3	8	0.00015788	0.00095741	0.042285	25	6	-1.7356	0.90106	0.90074	0.999995	920	0	-1.7356
SNRPD3	8	0.0001813	0.0011255	0.044024	26	7	-1.6445	0.6348	0.64126	0.999995	653	1	-1.6445
SF3B3	8	0.00018948	0.0011629	0.044024	27	6	-1.557	0.96235	0.96166	0.999995	990	0	-1.557
EIF4A3	8	0.0002115	0.0012283	0.044896	28	4	-1.2675	0.91161	0.91097	0.999995	926	0	-1.2675
RPS15	4	0.00028509	0.0010508	0.042841	29	2	-1.7792	0.47819	0.47539	0.999995	535	0	-1.7792
CDS2	8	0.00031793	0.0019101	0.067492	30	6	-1.6305	0.92226	0.92167	0.999995	938	0	-1.6305
NRBP2	8	0.00043914	0.002648	0.08453	31	7	-1.0241	0.93015	0.92929	0.999995	950	0	-1.0241
RRM2	7	0.00047144	0.0024706	0.084478	32	5	-1.5429	0.23364	0.34559	0.999995	366	1	-1.5429
DDX5	8	0.00051948	0.0029283	0.08453	33	4	-0.73477	0.36083	0.46122	0.999995	469	1	-0.73477
CDK2	8	0.00052205	0.0029563	0.08453	34	5	-1.6643	0.76205	0.7618	0.999995	777	0	-1.6643
RPS8	5	0.00054161	0.0026761	0.08453	35	3	-2.3953	0.9736	0.97354	0.999995	1002	0	-2.3953
NAA10	8	0.00054437	0.0030777	0.08453	36	4	-0.36157	0.10437	0.20538	0.999995	209	2	-0.36157
POLR2F	8	0.00054712	0.0030964	0.08453	37	6	-1.2716	0.87376	0.87303	0.999995	894	0	-1.2716
TUBB	6	0.0005501	0.0028722	0.08453	38	4	-1.7957	0.99864	0.99865	0.999995	1047	0	-1.7957
MBTD1	8	0.00055972	0.0031711	0.08453	39	6	-1.4639	0.99157	0.99143	0.999995	1027	0	-1.4639
CTR9	8	0.00056184	0.0031898	0.08453	40	6	-1.1661	0.87269	0.87198	0.999995	891	0	-1.1661
MED13L	8	0.00060366	0.003386	0.085455	41	6	-1.5156	0.87037	0.86973	0.999995	886	0	-1.5156
CLNS1A	7	0.00062575	0.0032925	0.085124	42	6	-1.9247	0.99939	0.99941	0.999995	1051	0	-1.9247
DDI2	8	0.00073568	0.0040538	0.097997	43	3	-0.25961	0.93625	0.93553	0.999995	955	0	-0.25961
PPP4C	8	0.00074042	0.0040678	0.097997	44	4	-0.59463	0.58887	0.60426	0.999995	609	1	-0.59463
RPP21	8	0.00083254	0.0044881	0.102064	45	6	-1.3724	0.99639	0.99632	0.999995	1039	0	-1.3724
POLD1	8	0.00084783	0.0045255	0.102064	46	5	-1.092	0.72261	0.72224	0.999995	739	0	-1.092
