gene	MP46.D28A	MP46.D28B	MP46.D28C	MP46.D64A	MP46.D64B	MP46.D64C
ABCA3	0.609732492199791	0.915944228924013	0.381738905315986	-0.729170795230395	0.819659026628352	-0.657896791510795
ABCB1	0.375010021787022	0.969819367077309	0.316228032056797	-0.387936537136014	0.964482151279703	-1.39892825774653
ABCC3	0.260772778190097	0.212635713571757	-0.29508199940052	-0.880889316708436	-1.15691666955807	-2.55590235774833
ABCG2	0.706432130409221	0.385914554569147	0.251027280952495	0.391222867694063	-1.35434830581651	-0.766189598605963
ABL1	0.464691972452273	0.288971716504419	0.312586568777301	-0.743090867967753	-0.887280076409829	-0.402517874973127
ABL2	-0.0871081848762181	0.275112154924066	0.214380450718662	-2.19416622210439	-1.36487173893257	-1.05039781345685
ABT1	-0.580669892303818	-0.367231453461497	-0.140172700092317	-1.43914744770724	-1.75822349428418	-2.08863406181811
ABTB2	0.48355013655613	0.743306071059257	-0.0984196318658832	-0.0917353858875788	1.56184166055171	-2.00769063785604
ACACA	-0.0533608576567494	-0.0517895174218567	-0.309859646538864	-0.87467640767365	-1.96119388275846	-2.13864682085961
ACACB	0.538669940566872	0.753089752392859	0.471449566503936	-1.14871153428594	-0.378862395356867	-0.54975595356568
ACTL6A	-0.684745340647519	-0.92412611424739	-0.715301743849171	-2.53779157318741	-2.76393467453451	-3.22515942454004
ACTL6B	0.0458130741934651	0.07204899601457	0.281648475666123	-2.03673804153032	-0.563804561324476	-1.43008073495759
ACTL7A	0.493038166450572	1.05332257719068	0.111690105612309	-1.08504923322892	-0.3546213669586	-2.20059005487671
ADAM19	0.835163711069378	0.410263880200863	0.472410150272429	0.483701937504636	0.067894018433116	-1.45379203453542
ADAP1	0.194802887199746	0.0474567177578095	-0.260255602509868	-2.38964594545961	-2.55578233080951	-3.18605380777717
ADAP2	0.509112529132428	0.182082860906376	0.0829890799437197	-0.368740010947751	-1.68727914593246	-1.86873715968272
ADARB1	0.0399327673029733	0.139393807257671	0.363886329502552	-1.40400072630468	-0.81938042580672	-1.40263838022574
ADARB2	0.555857217223294	0.610619440462177	0.418893512784995	-0.761555737700401	-0.484178306181892	0.0707750067418534
ADGRG7	0.713900574994201	0.149679749085073	0.195699318721276	-0.100259521418806	-1.73634788396339	-2.2805152722333
ADM	0.119598274282439	0.636769372924687	0.411327306308661	-0.746029991442886	-0.0257077780433799	-0.991793211469196
ADSS	-1.07807295381204	-0.756754956405036	-0.632002412060066	-3.77425663953089	-3.60234114102698	-2.44719957201483
ADSSL1	0.308911743794465	0.517764445587675	0.636205381200776	-0.5728450430835	-0.107329655162389	-0.497075781266301
