gene	BF
ABCA3	-0.763864583333333
ABCB1	-0.57234375
ABCC3	-0.687072916666667
ABCG2	-0.294489583333333
ABL1	-0.739739583333333
ABL2	-0.420572916666667
ABT1	3.08096875
ABTB2	-0.673927083333333
ACACA	6.47815625
ACACB	-0.640927083333333
ACTL6A	7.11026041666667
ACTL6B	-0.128177083333333
ACTL7A	-1.14571875
ADAM19	-0.775427083333333
ADAP1	-0.32859375
ADAP2	-0.64259375
ADARB1	-0.85484375
ADARB2	-1.42557291666667
ADGRG7	-1.06171875
ADM	-0.73965625
ADSS	0.923364583333333
ADSSL1	0.44590625
AFG3L2	6.44475347222222
AHCYL1	4.21426041666667
AHCYL2	-0.29290625
AIPL1	-0.671114583333333
AKAP11	-0.767052083333333
AKIRIN1	1.22192708333333
AKIRIN2	4.08971875
ALAS1	-1.09913541666667
ALAS2	-0.722489583333333
ALDOA	7.04676041666667
ALDOC	0.539802083333333
ALG14	2.09398958333333
AMELX	-1.45115625
ANAPC4	3.96746875
ANKRD10	-1.00965625
ANKRD37	-1.40046875
ANXA1	-0.77921875
AOX1	-0.127822916666667
AP1G1	-0.37303125
AP1G2	0.655864583333333
AP2A1	1.59028125
AP2A2	-0.281447916666667
AP3M1	-1.26126041666667
AP5M1	-0.81878125
APH1A	1.24592708333333
APH1B	0.424510416666667
APOBEC1	-0.979260416666667
APOBEC3C	0.0943437499999999
AQP8	-1.20898958333333
ARFGEF1	-0.662739583333333
ARFGEF2	-0.351260416666667
ARFIP1	-0.226302083333333
ARFIP2	-0.34696875
ARHGEF3	-1.58496875
ARHGEF6	-1.26515625
ARHGEF7	-0.833177083333333
ARID1A	2.52998958333333
ARID1B	-0.673552083333333
ARID4A	0.404177083333333
ARPC5	-0.267052083333333
ARPC5L	1.72661458333333
ARSJ	-0.911614583333333
ASCL1	-1.25101041666667
ASF1A	1.28498958333333
ASF1B	0.790104166666667
ATAD2	-0.49534375
ATAD2B	-0.396322916666667
ATM	-0.225302083333333
ATOH1	-1.16036458333333
ATP5F1A	6.08492708333333
ATP5F1B	5.17376041666667
ATP5F1D	4.15048958333333
ATP5PB	2.31346875
ATP6V1B1	-0.0505729166666666
ATP6V1B2	5.39232291666667
ATP6V1C1	5.15217708333333
ATP6V1C2	-0.242291666666667
ATP6V1D	5.62236458333333
ATP6V1E1	2.98557886904762
ATP6V1E2	0.419572916666667
ATP7A	3.13565625
ATP7B	-0.604239583333333
ATP8B3	-0.641864583333333
ATR	4.74015625
AXL	-0.631552083333333
BAP1	4.52228125
BARHL1	-1.55926041666667
BATF3	-0.549239583333333
BCAP31	0.29196875
BECN1	2.27161458333333
BECN2	-0.95353125
BICD1	-0.554260416666667
BICD2	0.724114583333333
BRD8	1.85944791666667
BRSK1	-0.969572916666666
BRSK2	-0.66340625
BTBD11	-0.795677083333334
BTG1	-1.59557291666667
BUB1B	5.32855208333333
BUB3	11.03321875
BZW1	0.128225694444444
BZW2	0.446927083333333
CAB39	-3.15926041666667
CAB39L	-0.65765625
CABP5	-0.19209375
CADPS	-1.34005208333333
CADPS2	0.102947916666667
CALY	-0.86665625
CAND1	2.93559375
CAND2	-0.0706979166666666
CAP1	1.67686458333333
CAP2	-0.67640625
CAPN2	-0.619802083333333
CASP4	-1.15965625
CAT	-0.557010416666667
CAV1	-0.54303125
CAVIN1	-0.35415625
CBLL1	2.40492708333333
CBLL2	-1.66478125
CCDC69	-0.814947916666667
CCND1	6.02109375
CCND3	-0.12671875
CCNE1	-0.122135416666667
CCNE2	-1.26076041666667
CCNL1	2.71519791666667
CCNL2	-0.97990625
CCNT1	-0.56278125
CCNT2	-0.196802083333333
CCT6A	7.25893601190476
CCT6B	0.558510416666667
CD163L1	-1.02048958333333
CD44	-0.97784375
CD72	-0.469197916666666
CDC34	0.46640625
CDIPT	8.47155208333333
