id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RRM1	16	3.9711e-15	4.6703e-06	0.00015	1	16	-1.8691	1.0	1.0	0.999995	1060	0	-1.8691
NAE1	16	7.1451e-14	4.6703e-06	0.00015	2	15	-1.145	0.99927	0.99937	0.999995	973	0	-1.145
MYC	16	1.6778e-12	4.6703e-06	0.00015	3	16	-0.96425	1.0	1.0	0.999995	1059	0	-0.96425
CKAP5	16	1.1695e-10	4.6703e-06	0.00015	4	15	-1.2823	1.0	1.0	0.999995	1053	0	-1.2823
BUB3	8	1.413e-10	4.6703e-06	0.00015	5	8	-1.6738	1.0	1.0	0.999995	1058	0	-1.6738
KIF11	8	3.6888e-09	4.6703e-06	0.00015	6	8	-1.6338	1.0	1.0	0.999995	1057	0	-1.6338
RPL3	14	6.0376e-09	4.6703e-06	0.00015	7	11	-1.1775	0.17124	0.23414	0.999995	172	1	-1.1775
POLR2L	8	1.1928e-08	4.6703e-06	0.00015	8	8	-1.8738	1.0	1.0	0.999995	1052	0	-1.8738
TOMM40	14	1.2855e-08	4.6703e-06	0.00015	9	13	-1.0486	0.76634	0.7656	0.999995	711	0	-1.0486
MTG2	8	1.6185e-08	4.6703e-06	0.00015	10	8	-0.8591	1.0	1.0	0.999995	1056	0	-0.8591
SF3B3	8	2.585e-08	4.6703e-06	0.00015	11	8	-1.6805	1.0	1.0	0.999995	1055	0	-1.6805
PRPF8	8	2.7631e-08	4.6703e-06	0.00015	12	8	-1.3935	1.0	1.0	0.999995	1054	0	-1.3935
SF3B1	8	2.9853e-08	4.6703e-06	0.00015	13	8	-1.2557	1.0	1.0	0.999995	1049	0	-1.2557
NAA10	8	3.0238e-08	4.6703e-06	0.00015	14	8	-1.7146	1.0	1.0	0.999995	1027	0	-1.7146
CDIPT	8	4.0253e-08	4.6703e-06	0.00015	15	7	-1.5449	0.84065	0.84044	0.999995	774	0	-1.5449
TOP2A	8	5.841e-08	4.6703e-06	0.00015	16	8	-1.6395	1.0	1.0	0.999995	1048	0	-1.6395
CDK7	7	1.3783e-07	4.6703e-06	0.00015	17	7	-1.4642	1.0	1.0	0.999995	1051	0	-1.4642
RPL36	8	1.3862e-07	4.6703e-06	0.00015	18	8	-1.1725	1.0	1.0	0.999995	1050	0	-1.1725
ALDOA	8	1.7018e-07	4.6703e-06	0.00015	19	8	-1.1773	1.0	1.0	0.999995	1047	0	-1.1773
CCND1	8	2.0654e-07	4.6703e-06	0.00015	20	8	-0.96887	1.0	1.0	0.999995	1046	0	-0.96887
PPP4C	8	2.6866e-07	4.6703e-06	0.00015	21	8	-1.103	1.0	1.0	0.999995	1043	0	-1.103
INTS6	6	2.7413e-07	4.6703e-06	0.00015	22	6	-1.8417	1.0	1.0	0.999995	1045	0	-1.8417
COPA	8	2.7882e-07	4.6703e-06	0.00015	23	8	-1.5781	1.0	1.0	0.999995	1042	0	-1.5781
AKIRIN2	8	2.9651e-07	4.6703e-06	0.00015	24	8	-0.7087	1.0	1.0	0.999995	1044	0	-0.7087
MED18	16	3.5442e-07	1.4011e-05	0.000391	25	14	-1.0402	0.42324	0.43215	0.999995	403	1	-1.0402
ATP5F1B	8	5.7088e-07	4.6703e-06	0.00015	26	8	-0.92928	1.0	1.0	0.999995	1041	0	-0.92928
RRM2	7	6.0471e-07	4.6703e-06	0.00015	27	5	-1.2999	0.68724	0.68618	0.999995	648	0	-1.2999
CLTC	8	6.2196e-07	4.6703e-06	0.00015	28	8	-1.2175	1.0	1.0	0.999995	1034	0	-1.2175
ATP5F1A	8	6.3121e-07	4.6703e-06	0.00015	29	8	-0.85085	1.0	1.0	0.999995	1040	0	-0.85085
ILF3	8	6.3747e-07	4.6703e-06	0.00015	30	7	-1.203	0.96272	0.96212	0.999995	888	0	-1.203
MED20	8	6.6341e-07	4.6703e-06	0.00015	31	8	-1.1516	1.0	1.0	0.999995	1039	0	-1.1516
CTR9	8	6.8191e-07	4.6703e-06	0.00015	32	8	-1.2972	1.0	1.0	0.999995	1038	0	-1.2972
COX6B1	16	8.3688e-07	1.4011e-05	0.000391	33	13	-0.80008	0.85822	0.85793	0.999995	793	0	-0.80008
TIMM10	8	8.7006e-07	4.6703e-06	0.00015	34	8	-1.3685	1.0	1.0	0.999995	1036	0	-1.3685
STT3B	8	1.0624e-06	4.6703e-06	0.00015	35	8	-0.79966	1.0	1.0	0.999995	1037	0	-0.79966
TOP1	8	1.4938e-06	1.4011e-05	0.000391	36	8	-0.58686	1.0	1.0	0.999995	1035	0	-0.58686
RIC8A	8	1.5861e-06	1.4011e-05	0.000391	37	8	-0.89106	1.0	1.0	0.999995	1028	0	-0.89106
PSMB3	7	1.8007e-06	2.3351e-05	0.000619	38	7	-1.6661	1.0	1.0	0.999995	1033	0	-1.6661
RPP21	8	1.8797e-06	1.4011e-05	0.000391	39	8	-1.1909	0.99997	0.99999	0.999995	1006	0	-1.1909
UQCRC1	8	2.4216e-06	2.3351e-05	0.000619	40	8	-0.73921	1.0	1.0	0.999995	1032	0	-0.73921
DYNLRB1	7	2.7364e-06	3.2692e-05	0.00077	41	7	-0.97545	1.0	1.0	0.999995	1031	0	-0.97545
TOMM22	7	2.7504e-06	3.2692e-05	0.00077	42	7	-0.66391	1.0	1.0	0.999995	1030	0	-0.66391
CPSF3	8	2.7967e-06	3.2692e-05	0.00077	43	8	-1.2661	1.0	1.0	0.999995	1029	0	-1.2661
HSCB	8	2.937e-06	3.2692e-05	0.00077	44	7	-0.99034	0.85326	0.85306	0.999995	787	0	-0.99034
LONP1	8	3.0543e-06	3.2692e-05	0.00077	45	7	-1.2085	0.79742	0.79715	0.999995	741	0	-1.2085
SMC1A	8	3.3252e-06	4.2033e-05	0.00081	46	8	-1.0921	1.0	1.0	0.999995	1026	0	-1.0921
ACACA	8	4.0267e-06	4.2033e-05	0.00081	47	8	-1.1915	1.0	1.0	0.999995	1025	0	-1.1915
RPS19	8	4.0802e-06	4.2033e-05	0.00081	48	8	-1.2011	1.0	1.0	0.999995	1024	0	-1.2011
TRAPPC3	8	4.1703e-06	4.2033e-05	0.00081	49	7	-0.87113	0.9999	0.99987	0.999995	999	0	-0.87113
RPS11	7	4.3838e-06	4.2033e-05	0.00081	50	7	-1.4646	1.0	1.0	0.999995	1023	0	-1.4646
HMGCS1	7	4.84e-06	4.2033e-05	0.00081	51	7	-1.5565	1.0	1.0	0.999995	1022	0	-1.5565
EIF3B	8	4.9599e-06	4.2033e-05	0.00081	52	8	-1.1372	1.0	1.0	0.999995	1021	0	-1.1372
RBBP4	7	5.2735e-06	4.2033e-05	0.00081	53	6	-1.2748	0.27606	0.27593	0.999995	269	1	-1.2748
SNRPD3	8	5.702e-06	4.2033e-05	0.00081	54	7	-1.4341	0.50926	0.50959	0.999995	493	0	-1.4341
PRPF38A	8	7.0535e-06	5.1373e-05	0.000908	55	7	-1.9672	0.14977	0.16544	0.999995	156	1	-1.9672
RPL8	8	7.4171e-06	5.1373e-05	0.000908	56	7	-1.9995	0.99761	0.99761	0.999995	952	0	-1.9995
BAP1	8	7.5542e-06	5.1373e-05	0.000908	57	7	-0.52152	0.99906	0.99899	0.999995	967	0	-0.52152
