gene	OMM25.D28A	OMM25.D28B	OMM25.D28C	OMM25.D42A	OMM25.D42B	OMM25.D42C
ABCA3	-0.0830391834345929	-0.0359339554456793	0.0303317312411119	-0.0976257862565271	-0.0602092362375194	-0.0436057790154334
ABCB1	-0.118581555032267	-0.0705756172124278	-0.0375138650711587	-0.193247831102395	-0.0175283875684476	-0.0402894608425186
ABCC3	-0.0961280795647457	-0.0503366785563222	-0.0712049971420715	-0.180700227847451	0.111831587307327	-0.108984970103715
ABCG2	-0.166865932181719	-0.139249595064865	-0.141280112267544	-0.0455277182422379	-0.149908280941563	-0.138583716770486
ABL1	-0.0509763544225819	-0.0811701207488912	-0.0777966976974015	-0.0210326976385901	-0.00249052122546329	-0.078482048624259
ABL2	-0.0711020541666636	-0.158971721810945	-0.113243647183592	0.00422969370227385	-0.175549665796071	-0.12131949660508
ABT1	-0.72645137932199	-0.54806973876299	-0.525504863368372	-0.725619919470955	-0.609158602179783	-0.557795418901154
ABTB2	-0.0446504805448123	-0.00521981270237214	-0.111182271307486	-0.173791314387169	-0.0484179180307532	-0.0283504721346916
ACACA	-0.92794546559242	-0.995659225541123	-1.00963642486366	-1.16233616355246	-1.24013482650908	-1.336366346951
ACACB	-0.131532860734854	-0.0620333545753406	-0.0251350708860278	-0.151302563544735	-0.0701337582599507	-0.000683294346633552
ACTL6A	-1.02893242745794	-1.13496629135851	-1.29240367673461	-0.976717111690516	-1.22290601401823	-1.56982809514154
ACTL6B	-0.136705869315028	-0.0958877360768678	-0.193576378242738	-0.166160272883413	-0.0538345015863999	-0.217464840919107
ACTL7A	-0.0179864418057293	0.0394968364824829	0.0124408935233978	-0.108951631543485	0.130885483884253	-0.0997480152567873
ADAM19	0.0311087100079155	-0.0399687098265913	-0.0567143745842376	0.0348693751345328	-0.119948580211797	-0.129011477598246
ADAP1	-0.0666368382843575	-0.117016126808094	-0.0910913434321121	-0.0510641816429695	-0.236481440421128	-0.131123004170651
ADAP2	-0.124741504991948	-0.0217021539812219	-0.0137022406844038	-0.112707407216196	-0.0640660143750633	-0.0857263752738353
ADARB1	-0.0386205344769882	-0.0253605981199987	-0.0047384254598888	-0.0404099982353228	-0.109686738088078	-0.00497246965692757
ADARB2	0.0653820658158388	0.0356520017153438	0.0225493154666028	0.00564382240882989	0.0615990731610416	0.0629747443949361
ADGRG7	-0.102901516102251	0.0460454188688762	-0.0275139179778668	-0.0548698722210759	0.115256445336074	-0.0433581172264399
ADM	-0.0408638460030331	-0.0997625349684211	-0.0521287953656123	0.0295444002348593	-0.102346620855688	-0.0640665183231486
ADSS	-0.313031247604905	-0.285603085542658	-0.231158217812215	-0.235352655345771	-0.387263994130305	-0.353806629415768
ADSSL1	-0.189355441063822	-0.234702617474989	-0.191183882912214	-0.218770570465631	-0.273259282852333	-0.272610858123008
AFG3L2	-0.959283651186341	-1.1532104264637	-0.922003319091964	-1.13821915342616	-1.3467379595998	-1.12337195959758
AHCYL1	-0.538426397273844	-0.660053057759608	-0.61962498000687	-0.891445731093343	-1.04875751624548	-0.923136398129949
AHCYL2	-0.114515902052486	-0.0864590317190922	-0.0769796710801336	-0.150417276001537	-0.146728678928969	-0.165635423641418
AIPL1	0.0632125338862467	-0.118440428799673	-0.0796950532228132	0.0800824944779533	-0.202476869219257	-0.156783305414827
AKAP11	-0.107010370676585	-0.0248016478183806	-0.00274396989344965	-0.0984498716183119	-0.0425223278363527	-0.0498984607141042
AKIRIN1	-0.301563573255977	-0.313804153585871	-0.303829635391766	-0.347671037932352	-0.413888656360847	-0.414352628645534
AKIRIN2	-0.698129717309307	-0.735339210251924	-0.629112620228675	-0.975024393217466	-0.976754405175187	-0.654840407470104
ALAS1	-0.0140753009156771	-0.0526355612029459	-0.0106264896278104	0.0293063765031555	-0.020447258522043	-0.0158349389599175
ALAS2	-0.0486142290967542	-0.0524017437528066	-0.0717612330493605	0.0380533570887772	-0.00572587189684343	-0.20122868454101
ALDOA	-1.05412337028095	-1.22052986871212	-1.09314723114991	-1.46495293547555	-1.21448890746311	-1.1994487867728
ALDOC	-0.243324409392112	-0.342249472658413	-0.140719436748248	-0.26809151808711	-0.363640022019486	-0.128122376354107
ALG14	-0.42744473880537	-0.458529123831198	-0.357848341182373	-0.467402501729742	-0.698409444237814	-0.421818297813095
AMELX	-0.0345632741218402	0.110481153758149	0.0611964544239953	-0.019809930348762	0.0550914156200168	0.104100938398501
ANAPC4	-0.739658010028571	-0.761275554685858	-0.620401716193487	-0.858579822777463	-0.679108802725579	-0.823011702412393
ANKRD10	-0.0592579530841131	-0.0354012317636849	-0.0193876971330696	-0.0656165528761974	0.0706998811966914	0.00950542651247201
ANKRD37	-0.0116756296420613	0.0574837970547817	0.0595252736191926	0.000149734919198474	0.0432762656763376	0.080644130005172
