gene	BF
ABCA3	-1.64922916666667
ABCB1	-2.05852083333333
ABCC3	-0.898770833333333
ABCG2	-2.15135416666667
ABL1	-1.7195625
ABL2	-1.023375
ABT1	0.791520833333333
ABTB2	-1.22179166666667
ACACA	-1.2556875
ACACB	-1.69247916666667
ACTL6A	2.90810416666667
ACTL6B	-1.1854375
ACTL7A	-1.361625
ADAM19	-1.54072916666667
ADAP1	-0.559458333333333
ADAP2	-1.143625
ADARB1	-2.19414583333333
ADARB2	-1.48597916666667
ADGRG7	-1.54364583333333
ADM	-0.929458333333333
ADSS	1.24715178571429
ADSSL1	-1.00177083333333
AFG3L2	0.902381944444444
AHCYL1	-0.261229166666667
AHCYL2	-1.48370833333333
AIPL1	-2.04152083333333
AKAP11	-1.50716666666667
AKIRIN1	0.165291666666667
AKIRIN2	1.49283333333333
ALAS1	-2.51923958333333
ALAS2	-2.22308333333333
ALDOA	3.55122916666667
ALDOC	-0.577291666666667
ALG14	-0.287708333333333
AMELX	-2.45208333333333
ANAPC4	0.903583333333333
ANKRD10	-0.783229166666667
ANKRD37	-1.64729166666667
ANXA1	-2.0165625
AOX1	-1.9555625
AP1G1	-0.896833333333333
AP1G2	-0.4649375
AP2A1	1.844375
AP2A2	-0.8343125
AP3M1	-1.25435416666667
AP5M1	-1.69508333333333
APH1A	-1.0110625
APH1B	-2.33722916666667
APOBEC1	-1.22575
APOBEC3C	-1.05477083333333
AQP8	-1.85889583333333
ARFGEF1	-1.35172916666667
ARFGEF2	-1.46845833333333
ARFIP1	-1.771875
ARFIP2	-1.75722916666667
ARHGEF3	-1.95372916666667
ARHGEF6	-2.79485416666667
ARHGEF7	-0.601583333333333
ARID1A	-0.56425
ARID1B	-0.408354166666667
ARID4A	-1.92270833333333
ARPC5	-0.202604166666667
ARPC5L	0.434875
ARSJ	-1.99997916666667
ASCL1	-1.35972916666667
ASF1A	-0.273958333333333
ASF1B	0.0859479166666666
ATAD2	-0.770520833333333
ATAD2B	-1.73314583333333
ATM	-1.53054166666667
ATOH1	-1.97360416666667
ATP5F1A	1.81902083333333
ATP5F1B	3.27916666666667
ATP5F1D	2.212
ATP5PB	0.322666666666667
ATP6V1B1	-1.50275
ATP6V1B2	3.835125
ATP6V1C1	1.91820833333333
ATP6V1C2	-0.710666666666667
ATP6V1D	2.811875
ATP6V1E1	0.542794642857143
ATP6V1E2	-1.408375
ATP7A	-6.247125
ATP7B	-2.14520833333333
ATP8B3	-1.08329166666667
ATR	1.363375
AXL	-1.06995833333333
BAP1	-0.5035
BARHL1	-0.698645833333333
BATF3	-0.934270833333333
BCAP31	-1.08620833333333
BECN1	-0.661395833333333
BECN2	-1.03483333333333
BICD1	-0.714604166666667
BICD2	-0.642083333333333
BRD8	0.582625
BRSK1	-1.10325
BRSK2	-0.137416666666667
BTBD11	-0.976625
BTG1	-0.8808125
BUB1B	0.581854166666667
BUB3	5.32339583333333
BZW1	-1.33861805555556
BZW2	-0.0879375000000001
CAB39	-1.1898125
CAB39L	-1.47095833333333
CABP5	-0.563395833333333
CADPS	-1.8475
CADPS2	-1.67529166666667
CALY	-1.01547916666667
CAND1	-0.5439375
CAND2	-1.13920833333333
CAP1	-0.561229166666667
CAP2	-0.956
CAPN2	-0.377395833333333
CASP4	-1.66139583333333
CAT	-1.81304166666667
CAV1	-1.92445833333333
CAVIN1	0.192895833333333
CBLL1	-0.280291666666667
CBLL2	-2.26364583333333
CCDC69	-1.6378125
CCND1	5.627125
CCND3	0.587791666666667
CCNE1	-1.54964583333333
CCNE2	-0.970833333333333
CCNL1	-1.19741666666667
CCNL2	-1.3369375
CCNT1	0.788479166666667
CCNT2	0.0634583333333332
CCT6A	3.30796130952381
CCT6B	-0.66075
CD163L1	-2.64477083333333
CD44	-1.31054166666667
CD72	-2.0153125
CDC34	-0.69525
CDIPT	3.01460416666667
CDK16	-2.7590625
CDK17	-3.22702083333333
CDK19	-1.87925
CDK2	2.35716666666667
CDK5R1	-0.0187083333333334
CDK5R2	-0.58875
CDK7	2.34855654761905
CDK8	0.157395833333333
CDNF	-1.865625
CDS1	-2.32470833333333
CDS2	2.66283333333333
CEACAM1	-0.690333333333333
CELA2A	-1.84285416666667
CFL1	0.222333333333333
CHM	-3.02877083333333
CHML	-1.95014583333333
CHMP1A	0.3659375
CHMP1B	-1.65139583333333
CHORDC1	3.51785416666667
CHRNB3	-0.230083333333333
