id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	4.6882e-15	4.6703e-06	0.000413	1	16	-1.8925	1.0	1.0	0.999995	1060	0	-1.8925
NAE1	16	3.8038e-10	4.6703e-06	0.000413	2	15	-0.89626	0.37951	0.38604	0.999995	339	1	-0.89626
PRKDC	16	4.6671e-10	4.6703e-06	0.000413	3	15	-0.97692	0.99846	0.99863	0.999995	1022	0	-0.97692
RRM1	16	2.3584e-09	4.6703e-06	0.000413	4	16	-1.7264	1.0	1.0	0.999995	1056	0	-1.7264
PRPF8	8	1.45e-08	4.6703e-06	0.000413	5	8	-1.6664	1.0	1.0	0.999995	1059	0	-1.6664
BUB3	8	2.2086e-08	4.6703e-06	0.000413	6	8	-1.7194	1.0	1.0	0.999995	1057	0	-1.7194
CCND1	8	4.2777e-08	4.6703e-06	0.000413	7	8	-1.473	1.0	1.0	0.999995	1055	0	-1.473
PPP4C	8	4.6663e-08	4.6703e-06	0.000413	8	7	-1.3551	0.97992	0.97943	0.999995	948	0	-1.3551
POLR2L	8	8.9493e-08	4.6703e-06	0.000413	9	8	-2.1308	1.0	1.0	0.999995	1058	0	-2.1308
LDB1	16	3.3277e-07	1.4011e-05	0.001142	10	15	-1.2342	0.99663	0.99718	0.999995	1010	0	-1.2342
PCGF1	8	3.6536e-07	4.6703e-06	0.000413	11	7	-0.77882	0.82162	0.82152	0.999995	763	0	-0.77882
RRM2	7	4.7199e-07	4.6703e-06	0.000413	12	6	-2.1459	0.76163	0.76058	0.999995	707	0	-2.1459
MTG2	8	8.745e-07	4.6703e-06	0.000413	13	8	-0.96378	1.0	1.0	0.999995	1054	0	-0.96378
CLTC	8	2.3424e-06	2.3351e-05	0.001768	14	8	-1.2599	0.99992	0.9999	0.999995	1043	0	-1.2599
SF3B1	8	2.5907e-06	3.2692e-05	0.002038	15	7	-1.1607	0.76834	0.76827	0.999995	714	0	-1.1607
KIF11	8	2.6214e-06	3.2692e-05	0.002038	16	8	-1.2471	1.0	1.0	0.999995	1053	0	-1.2471
MRPL38	8	3.0095e-06	3.2692e-05	0.002038	17	8	-0.98337	1.0	1.0	0.999995	1052	0	-0.98337
ALDOA	8	4.4477e-06	4.2033e-05	0.002475	18	7	-1.276	0.90374	0.90325	0.999995	842	0	-1.276
NMT1	8	6.128e-06	5.1373e-05	0.002593	19	8	-0.97644	0.99999	1.0	0.999995	1051	0	-0.97644
HUS1	8	7.6035e-06	5.1373e-05	0.002593	20	7	-1.4232	0.95053	0.95009	0.999995	897	0	-1.4232
NAA10	8	1.0318e-05	7.0054e-05	0.003375	21	8	-0.89242	0.99991	0.99989	0.999995	1041	0	-0.89242
E2F3	7	1.1329e-05	5.1373e-05	0.002593	22	6	-1.4801	0.86817	0.86733	0.999995	808	0	-1.4801
CKAP5	16	1.2204e-05	0.0001728	0.007327	23	15	-1.1236	0.99988	0.99986	0.999995	1039	0	-1.1236
HRAS	8	1.2304e-05	0.00010742	0.00495	24	7	-0.73381	0.99488	0.99488	0.999995	1000	0	-0.73381
RPP21	8	1.7525e-05	0.00015412	0.006807	25	8	-1.4185	0.99998	1.0	0.999995	1050	0	-1.4185
MED18	16	2.4357e-05	0.00031291	0.010699	26	14	-0.85453	0.74248	0.74134	0.999995	689	0	-0.85453
NXT1	8	2.5086e-05	0.00022884	0.008984	27	6	-0.90314	0.8819	0.88142	0.999995	822	0	-0.90314
MDM4	8	2.623e-05	0.00024752	0.009076	28	8	-1.0172	0.99997	0.99999	0.999995	1049	0	-1.0172
ATP5F1B	8	2.7456e-05	0.00025687	0.009076	29	8	-1.3193	0.99955	0.99945	0.999995	1032	0	-1.3193
UQCRC1	8	2.87e-05	0.00025687	0.009076	30	8	-0.86109	0.99997	0.99999	0.999995	1048	0	-0.86109
RPL10A	7	3.9324e-05	0.0002195	0.008949	31	6	-1.3205	0.58002	0.58001	0.999995	539	0	-1.3205
RPL3	14	4.2592e-05	0.00039697	0.012306	32	12	-1.0205	0.86459	0.86376	0.999995	801	0	-1.0205
GTF3C1	8	4.5378e-05	0.00037829	0.012306	33	8	-0.90057	0.99995	0.99995	0.999995	1047	0	-0.90057
SF1	8	4.8017e-05	0.00039697	0.012306	34	7	-1.3706	0.52356	0.52353	0.999995	480	0	-1.3706
TACC3	8	4.9171e-05	0.00040631	0.012306	35	7	-1.2005	0.8281	0.8279	0.999995	770	0	-1.2005
RPL36	8	5.381e-05	0.00045302	0.013339	36	8	-1.0559	0.99995	0.99995	0.999995	1046	0	-1.0559
ELL	8	6.5386e-05	0.00049972	0.014316	37	8	-1.1961	0.99993	0.99994	0.999995	1045	0	-1.1961
TLN1	8	7.7125e-05	0.00058378	0.016285	38	8	-1.2198	0.99985	0.99978	0.999995	1038	0	-1.2198
TUBB4B	16	7.8138e-05	0.0009107	0.019307	39	15	-0.78464	0.99981	0.99981	0.999995	1035	0	-0.78464
MTHFD1	8	8.4012e-05	0.00062115	0.016882	40	8	-0.77226	0.99992	0.9999	0.999995	1042	0	-0.77226
COPA	8	8.8143e-05	0.00064917	0.017203	41	8	-1.015	0.99991	0.99989	0.999995	1040	0	-1.015
ATP6V1B2	8	9.5676e-05	0.00071455	0.017542	42	8	-1.2541	0.99945	0.99933	0.999995	1029	0	-1.2541
TOP2A	8	9.8793e-05	0.00072389	0.017542	43	7	-1.1477	0.99535	0.99533	0.999995	1005	0	-1.1477
COX6B1	16	0.00011021	0.0011909	0.022542	44	13	-0.84549	0.65059	0.64907	0.999995	610	0	-0.84549
SF3B3	8	0.00011206	0.00076126	0.017542	45	8	-1.1291	0.9997	0.99963	0.999995	1034	0	-1.1291
TIMM10	8	0.00011334	0.00076126	0.017542	46	8	-1.0967	0.9972	0.99716	0.999995	1013	0	-1.0967
SF3B2	8	0.0001144	0.00076126	0.017542	47	6	-1.277	0.50576	0.50603	0.999995	464	0	-1.277
RPL13	6	0.00012854	0.00072389	0.017542	48	6	-1.3422	0.99982	0.99984	0.999995	1036	0	-1.3422
RPL8	8	0.00012971	0.00082664	0.018461	49	8	-1.5415	0.99884	0.99882	0.999995	1024	0	-1.5415
HSCB	8	0.00013231	0.00083598	0.018461	50	7	-1.086	0.99537	0.99534	0.999995	1006	0	-1.086
TUBB	6	0.00016575	0.0009107	0.019307	51	5	-1.3828	0.25943	0.2587	0.999995	226	0	-1.3828
TNPO1	6	0.0001697	0.00092939	0.019317	52	6	-1.1913	0.99934	0.99931	0.999995	1028	0	-1.1913
MED20	8	0.00017503	0.0011442	0.022232	53	7	-1.2086	0.99522	0.99523	0.999995	1004	0	-1.2086
SLC25A37	8	0.00017564	0.0011442	0.022232	54	7	-1.4695	0.93791	0.93722	0.999995	877	0	-1.4695
UMPS	8	0.00017742	0.0011536	0.022232	55	5	-1.201	0.63902	0.64	0.999995	598	0	-1.201
RRM2B	16	0.00018313	0.0019242	0.030941	56	15	-0.61842	0.99985	0.99984	0.999995	1037	0	-0.61842
CDIPT	8	0.00018729	0.0012189	0.022668	57	7	-1.2768	0.778	0.77777	0.999995	724	0	-1.2768
ERBB3	16	0.00019006	0.0019849	0.030941	58	15	-0.58664	0.99993	0.99991	0.999995	1044	0	-0.58664
TOMM40	14	0.000197	0.0019195	0.030941	59	11	-0.79762	0.63926	0.63938	0.999995	599	0	-0.79762
CHORDC1	6	0.00019738	0.0010602	0.021611	60	6	-1.1992	0.99515	0.9951	0.999995	1003	0	-1.1992
PRPF38A	8	0.00022384	0.0013777	0.025179	61	7	-1.719	0.60896	0.60949	0.999995	568	0	-1.719
RPS19	8	0.00025741	0.0016112	0.028795	62	8	-1.3815	0.99841	0.9984	0.999995	1021	0	-1.3815
AKIRIN2	8	0.00025963	0.0016299	0.028795	63	8	-0.97086	0.99726	0.99718	0.999995	1014	0	-0.97086
RIC8A	8	0.00027119	0.0017514	0.030433	64	7	-1.2234	0.99498	0.995	0.999995	1001	0	-1.2234
GDI2	16	0.00028967	0.002975	0.04231	65	13	-0.9539	0.30807	0.32704	0.999995	266	1	-0.9539
GATAD2A	8	0.00029178	0.0018821	0.030941	66	6	-1.2499	0.17999	0.18556	0.999995	157	1	-1.2499
MRPL41	8	0.00029808	0.0019568	0.030941	67	8	-0.99946	0.99947	0.99938	0.999995	1030	0	-0.99946
RFC2	8	0.00029962	0.0019662	0.030941	68	6	-1.4463	0.69213	0.69294	0.999995	645	0	-1.4463
LONP1	8	0.00032093	0.002153	0.033075	69	7	-1.1531	0.79206	0.79193	0.999995	734	0	-1.1531
NDUFB4	8	0.00032846	0.0022464	0.034017	70	8	-0.66975	0.99967	0.99956	0.999995	1033	0	-0.66975
FDPS	8	0.00034501	0.0023678	0.03486	71	7	-0.9546	0.42342	0.42323	0.999995	387	0	-0.9546
RPL14	6	0.00035415	0.0019195	0.030941	72	5	-1.6529	0.86307	0.86465	0.999995	800	0	-1.6529
DYNLRB1	7	0.00040506	0.0023118	0.034514	73	7	-1.1275	0.99951	0.99953	0.999995	1031	0	-1.1275
CLNS1A	7	0.00045315	0.0026013	0.037773	74	6	-1.5882	0.99018	0.99004	0.999995	982	0	-1.5882
CTR9	8	0.00045551	0.0029936	0.04231	75	8	-0.80206	0.99813	0.99809	0.999995	1020	0	-0.80206
ACTL6A	8	0.00051665	0.0032458	0.044364	76	7	-1.3587	0.77549	0.77522	0.999995	721	0	-1.3587
AP2A1	8	0.00051849	0.0032645	0.044364	77	7	-0.94822	0.92344	0.92295	0.999995	860	0	-0.94822
GAPDH	8	0.00052004	0.0032645	0.044364	78	7	-1.0475	0.43426	0.43466	0.999995	400	0	-1.0475
CCNT1	8	0.00061137	0.0038343	0.051448	79	7	-0.75679	0.73683	0.73624	0.999995	684	0	-0.75679
FAM50A	8	0.00063507	0.0039277	0.052042	80	8	-0.75461	0.99625	0.99618	0.999995	1008	0	-0.75461
CCND3	8	0.00068147	0.0041519	0.054333	81	7	-0.76109	0.92354	0.92309	0.999995	861	0	-0.76109
ATP5F1D	8	0.00072174	0.0044695	0.05597	82	8	-1.0224	0.99928	0.99916	0.999995	1027	0	-1.0224
MAT2A	8	0.00072399	0.0044788	0.05597	83	7	-0.76475	0.98837	0.98812	0.999995	972	0	-0.76475
IPO5	8	0.00073	0.0044881	0.05597	84	6	-0.8868	0.5863	0.58651	0.999995	547	0	-0.8868
ATP6V1C1	8	0.00081825	0.0049645	0.06119	85	8	-1.0295	0.99918	0.99907	0.999995	1026	0	-1.0295
RPL19	6	0.00083192	0.0043667	0.05597	86	4	-1.4522	0.52947	0.53098	0.999995	486	0	-1.4522
RNF40	8	0.00088142	0.0053008	0.064584	87	8	-1.0031	0.99912	0.99902	0.999995	1025	0	-1.0031
TRRAP	8	0.00093673	0.0056183	0.067676	88	8	-1.3823	0.99757	0.99755	0.999995	1016	0	-1.3823
CCT6A	7	0.0010007	0.0059079	0.069802	89	6	-1.7302	0.45154	0.45122	0.999995	415	0	-1.7302
ADSS	7	0.0010084	0.0059266	0.069802	90	5	-1.0794	0.28098	0.28091	0.999995	242	0	-1.0794
CDK7	7	0.0010316	0.0060293	0.070114	91	6	-1.2082	0.97585	0.97588	0.999995	938	0	-1.2082
CDK2	8	0.0010377	0.0060854	0.070114	92	7	-1.1114	0.7885	0.78832	0.999995	732	0	-1.1114
TRAPPC3	8	0.0011274	0.0066458	0.073896	93	6	-0.97216	0.28891	0.28957	0.999995	250	0	-0.97216
TOP1MT	8	0.0011344	0.0066925	0.073896	94	7	-0.92895	0.77574	0.77548	0.999995	722	0	-0.92895
SOX9	8	0.0011348	0.0066925	0.073896	95	7	-0.66041	0.96883	0.96822	0.999995	925	0	-0.66041
ATP6V1D	8	0.0011765	0.006898	0.074557	96	6	-1.0634	0.84306	0.8426	0.999995	782	0	-1.0634
ERH	8	0.0011995	0.0069634	0.074557	97	4	-1.1846	0.7171	0.71698	0.999995	668	0	-1.1846
EIF3B	8	0.0012735	0.0075145	0.079653	98	7	-1.2965	0.84652	0.84624	0.999995	785	0	-1.2965
RPS23	6	0.0012842	0.0063749	0.07266	99	5	-1.5262	0.97103	0.97123	0.999995	929	0	-1.5262
MYBL2	8	0.0013323	0.0077854	0.081708	100	8	-0.64111	0.99867	0.99861	0.999995	1023	0	-0.64111
INTS6	6	0.0013808	0.0068513	0.074557	101	6	-1.1264	0.98961	0.98972	0.999995	976	0	-1.1264
SFPQ	8	0.0013958	0.008131	0.084498	102	5	-0.72884	0.42629	0.42612	0.999995	392	0	-0.72884
NKAP	8	0.0014456	0.0084485	0.08611	103	7	-0.80985	0.94771	0.94712	0.999995	893	0	-0.80985
GSTP1	8	0.0015257	0.0089249	0.090099	104	7	-0.63689	0.98832	0.98807	0.999995	971	0	-0.63689
UCHL5	8	0.0015762	0.0093359	0.091997	105	7	-0.69286	0.87767	0.87691	0.999995	818	0	-0.69286
