gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
ABCA3	-0.23938474616306	-0.27069098332746	-0.195499524853201	-0.290008375282731	-0.269784396450664	-0.223808810766443
ABCB1	-0.153486072231424	-0.15248056592359	-0.19575974377351	-0.107190507427512	-0.154608548902386	-0.198071141732476
ABCC3	-0.332086331937374	-0.45242669375496	-0.344806681741211	-0.460241292983826	-0.508247359713277	-0.379903791468916
ABCG2	-0.0874058331519223	-0.165896763577228	-0.103818296346654	-0.178075231720953	-0.235026202886823	-0.0437100512541145
ABL1	-0.159753172036249	-0.2796997282687	-0.197708205177128	-0.186974006320773	-0.293204702769733	-0.208759251735671
ABL2	-0.322082898586645	-0.352848623205005	-0.341038932841499	-0.528265239741667	-0.392509333324542	-0.369006700014551
ABT1	-0.732629117258658	-0.674681501393167	-0.745174240976933	-0.823427326690078	-0.827385004984648	-0.921131658264498
ABTB2	-0.294482205457456	-0.323322853658882	-0.453395761022299	-0.315675909522467	-0.276015833799569	-0.4187156862194
ACACA	-0.485106053630198	-0.393979272575676	-0.311931540829646	-0.352868606971592	-0.207214587031227	-0.248488355787748
ACACB	-0.189380719407917	-0.1585203680584	-0.265389644289165	-0.281450601556561	-0.142205999100375	-0.377519718257548
ACTL6A	-1.09400999693367	-1.05680339828097	-1.16100351393329	-1.21863680939868	-1.47812014884282	-1.57207584296639
ACTL6B	-0.337211967809577	-0.250665439969059	-0.421984860291189	-0.393795214698077	-0.148100099811494	-0.552095509300491
ACTL7A	-0.284452515385612	-0.296402752908123	-0.352025451940329	-0.105040377777467	-0.364218072028763	-0.477405066757583
ADAM19	-0.204457104850154	-0.270089237757685	-0.226976824959837	-0.203958701348553	-0.370980625210122	-0.291133073498881
ADAP1	-0.381252203532101	-0.455840928452742	-0.496586532502729	-0.559107552212487	-0.530760360230448	-0.511191972075528
ADAP2	-0.282421013365205	-0.424894404033524	-0.299188018872892	-0.325358213709708	-0.40179814466868	-0.441161093091448
ADARB1	-0.0690068087457899	-0.105237983576925	-0.0979730882199298	-0.0960114874322144	-0.184587581603924	-0.186105094594674
ADARB2	-0.308821127529382	-0.226978805571012	-0.337728661572577	-0.244196799365586	-0.220781744435006	-0.365281396530892
ADGRG7	-0.165920365916635	-0.259353022752222	-0.2416762661644	-0.308866660307438	-0.418754575132962	-0.247225520304466
ADM	-0.397741814007465	-0.316746184885289	-0.384466816808966	-0.654970117772259	-0.279234336427212	-0.397835009734845
ADSS	-0.770624671943054	-0.659306582541647	-0.700344811876287	-1.26964062537267	-0.962343255265699	-0.973113382859091
ADSSL1	-0.447375292252373	-0.408373924619903	-0.357903295744808	-0.512300491198624	-0.361418381808256	-0.272028290499039
AFG3L2	-0.674702604777366	-0.882163902332358	-0.681617964813566	-0.867408099933541	-1.12306127976422	-0.6061459194251
AHCYL1	-0.469819769649148	-0.477650835341603	-0.467542089289794	-0.47477710366979	-0.656478909632278	-0.750597206214737
AHCYL2	-0.289270731599273	-0.257254690974454	-0.353014677243493	-0.262161760196529	-0.19539395310257	-0.28754481484355
AIPL1	-0.162309806360426	-0.165567582504167	-0.191979331721894	-0.119486006427605	-0.135162655845424	-0.255083133871501
AKAP11	-0.295144599132205	-0.291316560062092	-0.268245652152133	-0.342918121276892	-0.321044936791441	-0.150457866452841
AKIRIN1	-0.438195156965292	-0.509848794780003	-0.639038820610634	-0.801712156210168	-0.676315838508623	-0.871604431881179
AKIRIN2	-0.740554130169464	-0.893237532509804	-0.878365461708436	-1.13386602725275	-1.10306835340851	-0.974669573341831
ALAS1	-0.110069528212736	-0.105852151187631	-0.0804430424262972	-0.0526667492166796	-0.0135514926277432	-0.0057177653558689
ALAS2	-0.072252329826088	-0.172887232815022	-0.0913532255495167	-0.190060561814878	-0.144516116454157	-0.0465409876524386
ALDOA	-1.1262369138893	-1.26283342088053	-1.20804753036389	-1.51311268961956	-1.55202765825553	-1.54445191621892
ALDOC	-0.392051788686428	-0.357802512491642	-0.550619700658295	-0.456336177850727	-0.456016150999859	-0.692278394923855
ALG14	-0.535842427506534	-0.476264945578034	-0.404647666610339	-0.595574785489126	-0.637277569742397	-0.677194114383528
AMELX	-0.0797121868881512	-0.0480327770963946	-0.0202112159187704	-0.0422631915676852	-0.0673273322375024	-0.0785022326365786
ANAPC4	-0.69311038038486	-0.755545438112288	-0.715952413014211	-0.986836046654327	-0.778745996889984	-0.906414650973351
ANKRD10	-0.456006761746597	-0.459565169832132	-0.398681902202052	-0.496397541281143	-0.456802242284959	-0.37689449598854
ANKRD37	-0.186040104650293	-0.280011820280423	-0.242854813438228	-0.191993769089037	-0.311610345236096	-0.270357152964662
ANXA1	-0.0730432915785511	-0.175741057042153	-0.168085918309505	-0.086836576539949	-0.238544749431194	-0.282219227304152
AOX1	-0.132630513738252	-0.291119657161544	-0.140127023554091	0.00748905668233053	-0.231340335591023	-0.219385286601664
AP1G1	-0.39829753465682	-0.36673240488547	-0.362895436132701	-0.496036678448928	-0.483413061815775	-0.399492436529457
AP1G2	-0.51921862400872	-0.50346527823888	-0.337554322865135	-0.765205988925756	-0.501906355991184	-0.44206257965502
AP2A1	-0.908999890511639	-0.971707199259746	-0.802827953111288	-1.3188440432312	-1.19765202510735	-0.958066508824282
AP2A2	-0.402015418554053	-0.391404981611255	-0.351156663094336	-0.581372324835627	-0.481406184394036	-0.362008585350236
AP3M1	-0.335016958604635	-0.321277955590133	-0.260285429546288	-0.374377862553315	-0.333640067035443	-0.330081282550001
AP5M1	-0.185287547733549	-0.205937128896026	-0.346594389616446	-0.127542172001015	-0.235852739416071	-0.341059519087003
APH1A	-0.352604438679676	-0.357408849400069	-0.302176303916458	-0.478547259838334	-0.269203533272751	-0.562084433899858
APH1B	-0.0325773232962891	-0.107925517769401	-0.157475047417852	-0.0375115860289677	-0.121435270050171	-0.120097220212159
APOBEC1	-0.302005098833714	-0.318325282674029	-0.306050493246628	-0.423763418384263	-0.451438690150766	-0.255295129855917
APOBEC3C	-0.467851842011131	-0.585394103855432	-0.374406407113547	-0.368638739500937	-0.377414920482244	-0.120645985015314
AQP8	-0.167595235697549	-0.135138723087449	-0.156891476111865	-0.28974672666498	-0.239287218980867	-0.212954691065801
ARFGEF1	-0.299761653263583	-0.351149427052435	-0.27559715089196	-0.321768847143233	-0.36308502261842	-0.281089984672518
ARFGEF2	-0.270917773242027	-0.246266127159618	-0.333358211787144	-0.14353442227561	-0.286150126519192	-0.43362504828014
ARFIP1	-0.214669971335799	-0.218869873837819	-0.206946140698194	-0.219225077593505	-0.339003381945447	-0.176915965811264
ARFIP2	-0.156488686987031	-0.220654045120512	-0.259146326206434	-0.289927689321885	-0.185765642265002	-0.213824208633099
ARHGEF3	-0.170048000565784	-0.192368573133057	-0.134896083013705	-0.141020961882212	-0.129378488688801	-0.33891338815178
ARHGEF6	-0.0408101326681197	-0.0570678197980977	0.0826658251368885	-0.039979545846226	0.0184043499391529	0.163840647305189
ARHGEF7	-0.384562602820758	-0.344051207093305	-0.416932303108971	-0.718362785621475	-0.470145057987788	-0.502808573084241
ARID1A	-0.534371507883381	-0.530123755872348	-0.472959313012423	-0.430231017904806	-0.509698778325417	-0.40996151267927
ARID1B	-0.479210446485675	-0.464648282332068	-0.576161036838022	-0.452037317128824	-0.581385326355997	-0.580575899948557
ARID4A	-0.173020449053038	-0.25489458635388	-0.262568016415541	-0.0651354236654863	-0.170077300159703	-0.177775798683069
ARPC5	-0.423064277383357	-0.495051884645058	-0.478484520156388	-0.704981704084319	-0.771624573311232	-0.533617601431158
ARPC5L	-0.546783068360605	-0.642371544140188	-0.820175822330186	-0.709441811572926	-0.72203503963472	-0.807418378362367
ARSJ	-0.200422404169061	-0.116038469433932	-0.197551042746114	-0.165246496436618	-0.147234580990925	-0.195477322368822
