gene	BF
ABCA3	-0.564572916666667
ABCB1	-0.810260416666666
ABCC3	-0.0303645833333333
ABCG2	-1.21259375
ABL1	-1.18265625
ABL2	-0.52621875
ABT1	1.89907291666667
ABTB2	-1.16353125
ACACA	1.73792708333333
ACACB	-0.980739583333333
ACTL6A	5.13648958333333
ACTL6B	-0.35309375
ACTL7A	-0.756989583333333
ADAM19	-0.570697916666666
ADAP1	-0.26421875
ADAP2	-0.25471875
ADARB1	-1.28740625
ADARB2	-0.863614583333333
ADGRG7	-0.255385416666666
ADM	-0.755947916666666
ADSS	-0.606465773809524
ADSSL1	0.11015625
AFG3L2	3.37162152777778
AHCYL1	1.91480208333333
AHCYL2	-0.52984375
AIPL1	-0.96284375
AKAP11	-0.80496875
AKIRIN1	1.15690625
AKIRIN2	2.58913541666667
ALAS1	-0.92871875
ALAS2	-1.05657291666667
ALDOA	4.58384375
ALDOC	0.28453125
ALG14	1.54551041666667
AMELX	-1.35021875
ANAPC4	1.65309375
ANKRD10	-1.14059375
ANKRD37	-0.75809375
ANXA1	-0.64609375
AOX1	-0.626760416666666
AP1G1	-0.107677083333333
AP1G2	-0.0698437499999998
AP2A1	0.31046875
AP2A2	-1.32578125
AP3M1	-0.501489583333333
AP5M1	-0.439072916666666
APH1A	-0.441072916666666
APH1B	-1.20265625
APOBEC1	-0.989177083333333
APOBEC3C	-0.440239583333333
AQP8	-1.18836458333333
ARFGEF1	-0.46646875
ARFGEF2	-0.851489583333333
ARFIP1	-0.817677083333333
ARFIP2	-1.08582291666667
ARHGEF3	-1.09303125
ARHGEF6	-1.60173958333333
ARHGEF7	-0.390947916666667
ARID1A	0.75903125
ARID1B	-0.793114583333333
ARID4A	0.226447916666667
ARPC5	-0.757572916666666
ARPC5L	0.144302083333333
ARSJ	-0.90109375
ASCL1	-0.47615625
ASF1A	1.84832291666667
ASF1B	0.77859375
ATAD2	-0.79146875
ATAD2B	-0.624802083333333
ATM	-1.00557291666667
ATOH1	-0.84578125
ATP5F1A	4.89367708333333
ATP5F1B	5.42711458333333
