id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	1.0935e-15	4.6703e-06	0.000291	1	16	-1.6166	1.0	1.0	0.999995	1059	0	-1.6166
RRM1	16	3.1885e-10	4.6703e-06	0.000291	2	15	-1.6803	0.997	0.99743	0.999995	1008	0	-1.6803
MTG2	8	1.8434e-09	4.6703e-06	0.000291	3	8	-1.082	1.0	1.0	0.999995	1060	0	-1.082
NAE1	16	1.4187e-08	4.6703e-06	0.000291	4	15	-0.73409	0.74508	0.74406	0.999995	746	0	-0.73409
PPP4C	8	1.7521e-08	4.6703e-06	0.000291	5	7	-1.4181	0.98851	0.98824	0.999995	993	0	-1.4181
POLR2L	8	2.0167e-08	4.6703e-06	0.000291	6	8	-2.0045	1.0	1.0	0.999995	1052	0	-2.0045
CCND1	8	3.9296e-08	4.6703e-06	0.000291	7	8	-1.805	1.0	1.0	0.999995	1058	0	-1.805
BUB3	8	4.4466e-08	4.6703e-06	0.000291	8	8	-1.5159	0.99996	0.99995	0.999995	1043	0	-1.5159
PRPF8	8	4.7699e-08	4.6703e-06	0.000291	9	8	-1.8675	1.0	1.0	0.999995	1057	0	-1.8675
KIF11	8	4.8066e-08	4.6703e-06	0.000291	10	8	-1.3301	1.0	1.0	0.999995	1056	0	-1.3301
COX6B1	16	1.8511e-07	1.4011e-05	0.000675	11	13	-1.1306	0.91641	0.91679	0.999995	901	0	-1.1306
CDIPT	8	2.3494e-07	4.6703e-06	0.000291	12	7	-1.6637	0.86691	0.86633	0.999995	853	0	-1.6637
MRPL38	8	2.772e-07	4.6703e-06	0.000291	13	8	-0.92541	1.0	1.0	0.999995	1055	0	-0.92541
TOP2A	8	3.4076e-07	4.6703e-06	0.000291	14	8	-1.2987	0.99999	1.0	0.999995	1049	0	-1.2987
RPS19	8	3.5316e-07	4.6703e-06	0.000291	15	8	-1.6101	1.0	1.0	0.999995	1054	0	-1.6101
COPA	8	4.5719e-07	4.6703e-06	0.000291	16	8	-1.3409	1.0	1.0	0.999995	1053	0	-1.3409
UQCRC1	8	6.0677e-07	4.6703e-06	0.000291	17	8	-1.072	0.99986	0.99978	0.999995	1038	0	-1.072
RPL3	14	8.6057e-07	1.4011e-05	0.000675	18	12	-1.3661	0.99002	0.99012	0.999995	995	0	-1.3661
MED18	16	8.7056e-07	1.4011e-05	0.000675	19	14	-0.9349	0.56664	0.56466	0.999995	557	0	-0.9349
PRPF38A	8	9.2012e-07	4.6703e-06	0.000291	20	7	-1.5359	0.9365	0.93572	0.999995	917	0	-1.5359
TOMM40	14	1.2896e-06	2.3351e-05	0.001031	21	13	-0.97044	0.96592	0.96559	0.999995	956	0	-0.97044
SF3B3	8	1.6331e-06	1.4011e-05	0.000675	22	8	-1.3375	1.0	1.0	0.999995	1051	0	-1.3375
ATP5F1B	8	1.7321e-06	1.4011e-05	0.000675	23	8	-1.311	1.0	1.0	0.999995	1050	0	-1.311
ALDOA	8	2.6924e-06	3.2692e-05	0.001386	24	7	-1.2589	0.70993	0.71007	0.999995	708	0	-1.2589
RRM2B	16	2.8672e-06	2.3351e-05	0.001031	25	15	-0.55053	0.9998	0.99979	0.999995	1035	0	-0.55053
SF3B1	8	3.322e-06	4.2033e-05	0.001714	26	7	-1.0015	0.30736	0.30774	0.999995	310	0	-1.0015
PRKDC	16	6.8452e-06	7.9395e-05	0.002338	27	14	-0.53044	0.99957	0.99958	0.999995	1030	0	-0.53044
