gene	MP41.D28A	MP41.D28B	MP41.D28C	MP41.D32A	MP41.D32B	MP41.D32C
ABCA3	-0.21828763380597	-0.275310305692234	-0.239823375362976	-0.219848175706655	-0.259054260058533	-0.234589592302546
ABCB1	-0.122876585900589	-0.221367768275791	-0.26370758698115	-0.106514679052415	-0.161826047484764	-0.255788673699705
ABCC3	-0.337230221055676	-0.337433608034133	-0.35834964775614	-0.306424017605409	-0.341323262076941	-0.344901902812031
ABCG2	-0.0869627568688675	-0.172802757233186	-0.188333503904444	-0.061179020480047	-0.0971930430830302	-0.10799283358409
ABL1	-0.153094769414863	-0.169925898470368	-0.180338578519205	-0.162898754998082	-0.0988404218719209	-0.118692729856485
ABL2	-0.243424022086868	-0.22534038564275	-0.22363740147156	-0.264453349688251	-0.251653644663045	-0.288199937851401
ABT1	-0.649423231271686	-0.746325809375461	-0.770512361400397	-0.591834153750933	-0.689439132805857	-0.774078721241966
ABTB2	-0.142632854360461	-0.228998504034497	-0.0716442132378118	-0.155848899558654	-0.174365571854438	-0.0249027052494151
ACACA	-0.568237096047171	-0.610518961848597	-0.645308434409919	-0.759362029393783	-0.614073990787869	-0.832731891621291
ACACB	-0.125067557743781	-0.174263087391047	-0.197642132637764	-0.116353003134416	-0.153775659542561	-0.175677557778465
ACTL6A	-1.10479948337278	-1.41117928467523	-1.37062086878245	-1.13878517395084	-1.3477833817699	-1.49280046704353
ACTL6B	-0.262886543027467	-0.362136982184417	-0.271413178439846	-0.277399503443423	-0.277304783066446	-0.268089144798878
ACTL7A	-0.28546024174366	-0.194258960237199	-0.133534144913566	-0.258391630160609	-0.223364899072269	-0.110453354877012
ADAM19	-0.201707118303484	-0.194877497241941	-0.312744568611313	-0.204622588779644	-0.18030181142399	-0.33000451809657
ADAP1	-0.258074083610033	-0.23985059614263	-0.235260563920361	-0.374410368600334	-0.271393382389045	-0.208366297666077
ADAP2	-0.418615349447536	-0.209009658915921	-0.323564015803454	-0.302552168010997	-0.189435876002862	-0.350965896907814
ADARB1	-0.161821250847206	-0.0946541211956056	-0.13800797537038	-0.159973304960616	-0.0669253996218734	-0.051723748726185
ADARB2	-0.0975640345570099	-0.256973670924703	-0.155640663365557	-0.169342803642317	-0.274790445130411	-0.193261297006413
ADGRG7	-0.35578444907749	-0.252247302413881	-0.302808068316955	-0.430560176874976	-0.211264369948876	-0.240848886132742
ADM	-0.169125872307683	-0.0801222850732463	-0.265900580928167	-0.224913058833083	-0.133668048494477	-0.214962840518274
