gene	BF
ABCA3	0.128739583333333
ABCB1	-1.29776041666667
ABCC3	-0.24784375
ABCG2	-1.18223958333333
ABL1	-1.35244791666667
ABL2	-0.172510416666667
ABT1	4.40665625
ABTB2	-0.924989583333333
ACACA	0.647177083333333
ACACB	-1.14057291666667
ACTL6A	6.69732291666667
ACTL6B	-1.09876041666667
ACTL7A	-1.13055208333333
ADAM19	-0.699802083333333
ADAP1	-0.280364583333333
ADAP2	-0.813364583333333
ADARB1	-1.03894791666667
ADARB2	-1.25484375
ADGRG7	-0.830489583333333
ADM	-0.315197916666667
ADSS	0.464296130952381
ADSSL1	-0.303010416666667
AFG3L2	4.54392708333333
AHCYL1	3.25484375
AHCYL2	-0.58778125
AIPL1	-1.49732291666667
AKAP11	-0.71321875
AKIRIN1	-0.0231979166666667
AKIRIN2	3.25926041666667
ALAS1	-1.94679166666667
ALAS2	-1.91671875
ALDOA	7.92830208333333
ALDOC	-0.0090937499999999
ALG14	2.15411458333333
AMELX	-1.47094791666667
ANAPC4	2.17134375
ANKRD10	-0.88334375
ANKRD37	-1.28088541666667
ANXA1	-1.42848958333333
AOX1	-1.08284375
AP1G1	0.17903125
AP1G2	2.68109375
AP2A1	1.38469791666667
AP2A2	-0.353552083333333
AP3M1	-0.210447916666667
AP5M1	-1.26744791666667
APH1A	-0.0318437499999999
APH1B	-0.539947916666667
APOBEC1	-0.928864583333333
APOBEC3C	-0.67490625
AQP8	-1.26780208333333
ARFGEF1	-1.24744791666667
ARFGEF2	1.23388541666667
ARFIP1	-1.21315625
ARFIP2	-1.17794791666667
ARHGEF3	-1.32767708333333
ARHGEF6	-1.59223958333333
ARHGEF7	0.658614583333333
ARID1A	0.0748229166666667
ARID1B	-0.87659375
ARID4A	0.246677083333333
ARPC5	-0.157072916666667
ARPC5L	0.678927083333333
ARSJ	-1.16990625
ASCL1	-1.03651041666667
ASF1A	2.75953125
ASF1B	1.20216666666667
ATAD2	-0.705072916666666
ATAD2B	-0.14684375
ATM	-1.17296875
ATOH1	-1.23542708333333
ATP5F1A	7.54186458333333
ATP5F1B	7.73015625
ATP5F1D	5.33382291666667
ATP5PB	2.59988541666667
ATP6V1B1	-0.495760416666667
ATP6V1B2	5.62292708333333
ATP6V1C1	4.16398958333333
ATP6V1C2	-0.18303125
ATP6V1D	3.76776041666667
ATP6V1E1	4.2745818452381
ATP6V1E2	-0.0271145833333333
ATP7A	5.92440625
ATP7B	-1.45109375
ATP8B3	-0.363802083333333
ATR	4.00440625
AXL	-0.86509375
BAP1	3.72448958333333
BARHL1	-0.732239583333333
BATF3	-1.01840625
BCAP31	2.64621875
BECN1	2.42838541666667
BECN2	-0.917322916666667
BICD1	-0.21840625
BICD2	-0.444739583333333
BRD8	1.53555208333333
BRSK1	-0.91415625
BRSK2	-0.380614583333333
BTBD11	-0.636989583333333
BTG1	-0.397760416666667
BUB1B	2.40430208333333
BUB3	8.93180208333333
BZW1	-0.134072916666667
BZW2	1.00544791666667
CAB39	-2.14692708333333
CAB39L	-0.953489583333333
CABP5	-0.35015625
CADPS	-0.60565625
CADPS2	-1.11182291666667
CALY	-1.16951041666667
CAND1	1.65738541666667
CAND2	-0.185635416666666
CAP1	2.41796875
CAP2	-0.753822916666667
CAPN2	-0.79384375
CASP4	-0.984447916666666
CAT	-1.00457291666667
CAV1	-1.37321875
CAVIN1	-0.541114583333333
CBLL1	0.273697916666667
CBLL2	-1.21071875
CCDC69	-0.49590625
CCND1	9.92326041666667
CCND3	-0.44721875
CCNE1	-0.982802083333333
CCNE2	-0.337364583333333
CCNL1	3.58276041666667
CCNL2	-0.516989583333333
CCNT1	-0.0651770833333332
CCNT2	-1.19459375
CCT6A	6.53503422619048
CCT6B	-0.0831145833333333
CD163L1	-1.71838541666667
CD44	-0.872864583333333
CD72	-1.24767708333333
CDC34	-0.536427083333333
CDIPT	8.21407291666667
CDK16	-2.05211458333333
CDK17	-1.27163541666667
CDK19	-1.1484375
CDK2	5.75148958333333
CDK5R1	-0.863614583333333
CDK5R2	-0.581864583333333
CDK7	7.60403422619048
CDK8	2.59867708333333
CDNF	-1.22880208333333
CDS1	-1.36236458333333
CDS2	4.84511458333333
CEACAM1	-0.235697916666667
CELA2A	-0.274989583333333
CFL1	0.129760416666667
CHM	-2.07888541666667
CHML	-0.981114583333333
CHMP1A	1.93761458333333
CHMP1B	-1.41976041666667
CHORDC1	6.91439930555556
CHRNB3	-0.69784375
CHSY1	-0.731177083333333
CHSY3	-0.0828229166666665
CHUK	-0.226916666666667
CKAP5	7.15764583333333
CLASP1	0.49678125
CLASP2	-0.513447916666667
CLCA1	-0.92478125
CLDN4	-0.05190625
CLIP4	-1.44719791666667
CLNS1A	8.07108184523809
CLTA	-0.88471875
CLTB	-0.29109375
CLTC	6.05369791666667
CLTCL1	-0.235385416666667
CNOT6	0.33796875
CNOT6L	-0.534989583333333
CNOT7	2.83603422619048
CNOT8	-0.259561011904762
COPA	7.15934375
COPG1	2.54073958333333
COPG2	-1.15661458333333
COPS7A	0.236864583333333
COPS7B	-0.408947916666667
COPZ1	1.89611458333333
COPZ2	-0.64728125
COQ10A	-0.335114583333333
COQ10B	-1.22717708333333
COX4I1	4.49211458333333
COX4I2	-0.02659375
COX6B1	4.83238541666667
COX6B2	-0.78121875
CPS1	-1.21282291666667
CPSF3	5.88644791666667
CREBBP	2.87011458333333
CRK	0.73078125
CRKL	1.74613541666667
CRNN	-0.782114583333333
CRX	-1.20851041666667
CRY1	-0.612739583333333
CRY2	-0.912635416666667
CRYBB2	-0.292061011904762
CSTF2	-1.84692708333333
CSTF2T	0.121072916666667
CTCFL	-2.33657291666667
CTNNB1	1.80409375
CTPS1	5.74569791666667
CTPS2	-0.98134375
CTR9	6.72023958333333
CTSZ	-0.166927083333333
CWF19L1	-0.0494270833333332
CYFIP1	-0.576072916666666
CYFIP2	-0.654427083333333
CYP26C1	-1.07828125
CYP2A6	-1.45003125
CYP2C8	-0.700052083333333
CYP7A1	-1.29471875
DBT	-0.467072916666667
DCAF4L2	-0.936385416666667
DCAF8L1	-1.90984375
DDI1	-0.871854166666667
DDI2	2.63109375
DDX17	-0.767135416666667
DDX39A	0.0533020833333333
DDX39B	-0.415072916666667
DDX5	3.50782291666667
DEGS1	-1.53896875
DEGS2	-1.38263541666667
DENND5A	-1.27696875
DENND5B	-1.41303125
DGAT1	0.93840625
DGAT2L6	-1.08569791666667
DGKI	-1.29826041666667
DGKZ	2.02489930555556
DHX29	2.33022470238095
DHX9	6.04109375
DLL1	-0.783760416666667
DLL4	-0.11678125
DMD	-1.51338541666667
DMP1	-0.242927083333333
DMXL1	-1.17117708333333
DMXL2	-0.260572916666667
DNAJC15	-1.06348958333333
DNAJC19	-1.62979513888889
DPCR1	-1.15761458333333
DRD3	-0.784864583333333
DST	-1.17984375
DUOX1	-0.212197916666667
DUOX2	-0.689385416666667
DUSP10	-0.59859375
DYNC1LI1	1.05815327380952
DYNC1LI2	-0.418114583333333
DYNLRB1	7.53929613095238
DYNLRB2	-1.38430208333333
DYNLT1	-0.43521875
DYNLT3	-1.55421180555556
DZIP1L	-1.11919791666667
DZIP3	-1.15582291666667
E2F3	4.83786755952381
E2F4	-0.426072916666667
EAF1	-0.0981562499999999
EAF2	-0.75696875
EEFSEC	3.06878125
EFNB1	-1.37923958333333
EFR3A	2.08555208333333
EFR3B	-0.743927083333333
EGFR	-0.90715625
EIF3B	5.50398958333333
EIF3J	2.36431994047619
EIF3L	2.87678125
EIF4A3	6.61126041666667
ELL	5.13211458333333
ELL2	-0.621013392857143
ENOX1	-1.44136458333333
ENOX2	-1.82846875
EP300	0.232197916666667
EPC1	0.650677083333333
EPC2	1.78221875
EPHA2	-1.14719791666667
EPHA3	-1.18892708333333
EPS15	-0.19121875
EPS15L1	0.75715625
ERBB3	-0.4654375
ERC1	-0.771447916666667
ERC2	-0.702260416666667
ERH	6.56213541666667
ERN1	-0.70115625
ERN2	-0.191760416666667
ERO1A	-1.64046875
ERO1B	-1.48242708333333
ESRP1	-0.70478125
ESRP2	-0.68028125
EXOC6	-0.38534375
EXOC6B	-0.49509375
EZH1	-0.0336770833333331
EZH2	0.57753125
FAM126A	-0.767677083333334
FAM126B	-0.93378125
FAM50A	-1.14998958333333
FAM50B	-0.634010416666667
FAM71A	-0.888822916666666
FAM71B	-0.809197916666667
FANCF	0.131510416666667
FANCM	2.07311458333333
FARS2	3.85796875
FBLN1	-1.09692708333333
FCRL3	-0.84709375
FDPS	0.33334375
FEZ1	-1.65463541666667
FEZ2	-0.22215625
FKBP10	-0.563510416666667
FKBP4	-0.52078125
FKBP5	0.394197916666667
FKBP9	-0.579061011904762
FLNB	-1.55220386904762
FLNC	-0.957697916666667
FLOT1	-0.732989583333333
FLOT2	-0.163635416666667
FLT1	-1.43248958333333
FMR1	-1.68678125
FNIP1	-0.738322916666667
FNIP2	-1.00634375
FOSL1	-1.38335069444444
FOXA1	0.12996875
FOXB1	-0.940322916666667
FOXE3	-0.66271875
FOXK1	0.78028125
FOXK2	0.944572916666667
FRS2	-0.972677083333333
FRS3	-0.506010416666667
FRY	-1.10086458333333
FRYL	-2.95880208333333
FSD1	-0.45240625
FSD1L	-1.10926041666667
FUT5	-0.765697916666667
FXR1	0.33984375
FXR2	-0.398947916666667
FZD8	-1.27596875
FZR1	3.36123958333333
G3BP1	0.898796130952381
G3BP2	-1.90848958333333
G6PC	-0.772614583333333
GABPB1	3.36436458333333
GABPB2	-0.179052083333333
GALNT2	-1.08726041666667
GALNT5	-0.90609375
GALR3	-0.437114583333333
GAPDH	7.98730208333333
GATAD2A	2.59844791666667
GBP3	-0.658489583333333
GBX1	-1.20003125
GBX2	-0.99321875
GCM2	-0.388052083333333
GDF15	-0.156010416666667
GDI1	-1.28357291666667
GDI2	3.9013125
GFM1	4.95809375
GIT1	-1.30498958333333
GIT2	-0.206822916666667
GJA8	0.0376562500000002
GLIS3	-1.32061458333333
GLT6D1	-0.65990625
GMPR	-0.55371875
GMPR2	0.956697916666667
GNB3	-0.262635416666667
GOLPH3	-1.04811458333333
