id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RRM1	16	1.7967e-14	4.6703e-06	0.00013	1	16	-1.9098	1.0	1.0	0.999995	1060	0	-1.9098
NAE1	16	4.5107e-13	4.6703e-06	0.00013	2	15	-0.93361	0.99952	0.99954	0.999995	977	0	-0.93361
MYC	16	1.2063e-11	4.6703e-06	0.00013	3	16	-0.95657	1.0	1.0	0.999995	1059	0	-0.95657
PRPF8	8	1.8206e-11	4.6703e-06	0.00013	4	8	-1.3947	1.0	1.0	0.999995	1058	0	-1.3947
CKAP5	16	5.6939e-10	4.6703e-06	0.00013	5	16	-1.1566	1.0	1.0	0.999995	1056	0	-1.1566
MED18	16	5.9285e-10	4.6703e-06	0.00013	6	15	-1.166	0.97857	0.97915	0.999995	906	0	-1.166
BUB3	8	6.5829e-10	4.6703e-06	0.00013	7	8	-1.3727	1.0	1.0	0.999995	1057	0	-1.3727
CDIPT	8	8.2985e-10	4.6703e-06	0.00013	8	7	-1.4988	0.81235	0.81241	0.999995	736	0	-1.4988
MTG2	8	2.3867e-09	4.6703e-06	0.00013	9	8	-1.1177	1.0	1.0	0.999995	1055	0	-1.1177
KIF11	8	2.7603e-09	4.6703e-06	0.00013	10	8	-1.6087	1.0	1.0	0.999995	1054	0	-1.6087
TOP2A	8	4.4045e-09	4.6703e-06	0.00013	11	8	-1.3006	1.0	1.0	0.999995	1053	0	-1.3006
TOMM40	14	5.5033e-09	4.6703e-06	0.00013	12	13	-1.1542	0.58741	0.5869	0.999995	528	0	-1.1542
RPS19	8	1.2054e-08	4.6703e-06	0.00013	13	8	-1.3068	1.0	1.0	0.999995	1052	0	-1.3068
COX6B1	16	1.5216e-08	4.6703e-06	0.00013	14	15	-1.1041	0.99385	0.99454	0.999995	939	0	-1.1041
MRPL38	8	1.5626e-08	4.6703e-06	0.00013	15	8	-0.93574	1.0	1.0	0.999995	1051	0	-0.93574
RPL3	14	2.7588e-08	4.6703e-06	0.00013	16	13	-1.0218	0.98829	0.98858	0.999995	922	0	-1.0218
POLR2L	8	5.3061e-08	4.6703e-06	0.00013	17	8	-1.5096	1.0	1.0	0.999995	1050	0	-1.5096
PPP4C	8	5.4226e-08	4.6703e-06	0.00013	18	8	-1.2739	1.0	1.0	0.999995	1025	0	-1.2739
SF3B1	8	6.4802e-08	4.6703e-06	0.00013	19	8	-1.1213	0.99805	0.99803	0.999995	958	0	-1.1213
RIC8A	8	7.9573e-08	4.6703e-06	0.00013	20	8	-0.85837	1.0	1.0	0.999995	1049	0	-0.85837
NAA10	8	8.2994e-08	4.6703e-06	0.00013	21	8	-1.2971	1.0	1.0	0.999995	1048	0	-1.2971
PRKDC	16	1.567e-07	1.4011e-05	0.000345	22	15	-0.46938	0.99613	0.99672	0.999995	948	0	-0.46938
ATP5F1B	8	1.6797e-07	4.6703e-06	0.00013	23	8	-1.1332	1.0	1.0	0.999995	1047	0	-1.1332
MRPL41	8	1.8162e-07	4.6703e-06	0.00013	24	8	-1.3492	1.0	1.0	0.999995	1046	0	-1.3492
COPA	8	2.344e-07	4.6703e-06	0.00013	25	8	-1.3525	1.0	1.0	0.999995	1045	0	-1.3525
SMC1A	8	2.4953e-07	4.6703e-06	0.00013	26	8	-0.86252	1.0	1.0	0.999995	1044	0	-0.86252
CDK7	7	2.5025e-07	4.6703e-06	0.00013	27	7	-1.3745	1.0	1.0	0.999995	1043	0	-1.3745
SF3B3	8	2.5109e-07	4.6703e-06	0.00013	28	8	-1.2417	1.0	1.0	0.999995	1042	0	-1.2417
BAP1	8	3.4897e-07	4.6703e-06	0.00013	29	8	-0.5333	1.0	1.0	0.999995	1041	0	-0.5333
UQCRC1	8	3.5316e-07	4.6703e-06	0.00013	30	8	-0.8236	1.0	1.0	0.999995	1040	0	-0.8236
HMGCS1	7	4.6607e-07	4.6703e-06	0.00013	31	7	-1.1335	1.0	1.0	0.999995	1039	0	-1.1335
