gene	OMM23.D28A	OMM23.D28B	OMM23.D28C	OMM23.D35A	OMM23.D35B	OMM23.D35C
ABCA3	-0.103006316327847	-0.0894087488594393	-0.127854102911541	-0.0724415094262441	-0.0484201024704114	-0.137457531089193
ABCB1	-0.094277921329423	-0.0650895103293293	-0.0800808938281521	-0.0641942670821518	-0.0619828783512681	-0.0740984525134326
ABCC3	-0.144535482868667	-0.157016346072467	-0.175074712964241	-0.121208078980526	-0.221469881583932	-0.215354063460067
ABCG2	-0.0896269500602999	-0.0344581323125425	-0.0783906541315973	-0.0634688560459974	-0.0785789805885102	-0.080287345829677
ABL1	-0.138597123779091	-0.0324575628179779	-0.0905014297408944	-0.07463847077521	-0.0365626829244579	-0.0878529800136014
ABL2	-0.0775333122471818	-0.043525268784291	-0.0875134764016012	-0.0673333768583434	-0.0621503189913324	-0.0983316652865252
ABT1	-0.705352923813861	-0.690905666549061	-0.634985642710368	-0.59846650912249	-0.733939035945905	-0.627703943907755
ABTB2	-0.0756898601745125	-0.032357078216103	-0.169249306500554	-0.0400735752237868	0.0117591964915888	-0.139124499905399
ACACA	-0.452924382584908	-0.546632131204796	-0.56928153499925	-0.516122243643034	-0.641881488163588	-0.638276957841414
ACACB	-0.17805816381586	-0.106553734815849	-0.132256238008466	-0.172407782131416	-0.101051440606146	-0.140965719402252
ACTL6A	-1.12211439065427	-1.20907181194831	-1.16737962764878	-1.06576371730675	-1.29047318614391	-1.17049287653847
ACTL6B	-0.15419741686311	-0.162808177391658	-0.183815008172763	-0.149085748689114	-0.199373538962169	-0.166694508924342
ACTL7A	-0.111692628774605	-0.10732064039486	-0.181060338616675	-0.151804330136272	-0.124378542243732	-0.131502284954944
ADAM19	-0.0922584795026468	-0.101180527566649	-0.0596524299373824	-0.0778265957411496	-0.120497550943689	-0.0209289258870852
ADAP1	-0.143476518494631	-0.0623855840560497	-0.124336877258189	-0.0224772377738551	-0.0801201613632851	-0.124348762875673
ADAP2	-0.0424175488303449	-0.120722744656106	-0.107030985496298	-0.104560782932866	-0.145573268034523	-0.153094877089587
ADARB1	-0.105073996912548	-0.0662307535608083	-0.0852896054924957	-0.0691333103195226	-0.117887066432352	-0.0730398234600198
ADARB2	-0.141694386216484	-0.0443886828220066	-0.0640858345374626	-0.11298214155048	-0.0035777807389894	-0.00068633758215708
ADGRG7	-0.0841005552087266	-0.0998427094588349	-0.172055145485463	-0.0587164620962374	-0.154899255145042	-0.165750617112122
ADM	-0.108330503873642	-0.0901623832293824	-0.167724386728924	-0.129137524698695	-0.0618231393170904	-0.14564308975908
ADSS	-0.279645660410859	-0.235472603922179	-0.262291128094552	-0.183700194423762	-0.382405807309517	-0.249862587483059
ADSSL1	-0.201990924359919	-0.216064418685496	-0.230297123044515	-0.215033179580817	-0.269821071452119	-0.204107525576352
AFG3L2	-0.766780660879557	-0.940827718780235	-0.696718550462792	-0.794326592114554	-0.973542525845319	-0.89050061038261
AHCYL1	-0.793997443885166	-0.87147452962245	-0.660637584160328	-0.840678286516935	-0.920700893014463	-0.831391375687988
AHCYL2	-0.132929171619314	-0.0911389557923722	-0.0757508822188246	-0.16683892002557	-0.107040479785648	-0.0669334191489579
AIPL1	-0.096610170293099	-0.08934141527925	-0.109486534765906	-0.0455814993525431	-0.0723420568716008	-0.147554997972382
AKAP11	-0.119159164259889	-0.13311893652482	-0.119991747499201	-0.09988856620885	-0.0915967924600948	-0.0870161889848743
AKIRIN1	-0.32839327675336	-0.333314433414857	-0.302440358123728	-0.216864669659177	-0.328048383093265	-0.310048023687433
AKIRIN2	-0.728315169106994	-0.705238261182177	-0.741012956729199	-0.80426748646251	-0.701516520127546	-0.828280543626985
ALAS1	-0.218438966224586	-0.199062120196747	-0.247650516894963	-0.184594015395716	-0.212370107794883	-0.26021269681309
ALAS2	-0.0424729275683028	-0.0522077109306153	-0.0121447605624303	0.00320750021070961	-0.069444683304465	-0.0522020319439885
ALDOA	-0.907801681793826	-0.911829390143163	-0.801365054553601	-1.05416628539491	-1.0007309650634	-0.944627628774809
ALDOC	-0.229205938902862	-0.208066641807071	-0.176947817626684	-0.227706228316698	-0.215840060930279	-0.166295750067993
ALG14	-0.512645927158949	-0.416180045297173	-0.441407544016297	-0.498743076907342	-0.473351093535868	-0.475353123325833
AMELX	-0.0416347058660616	-0.0339860844220712	-0.0264364394382846	-0.00645655709546536	-0.0772893750719366	-0.0915114787025524
ANAPC4	-0.635197681938841	-0.512499643828884	-0.600076987355839	-0.599195466288887	-0.548187930113523	-0.713009085781068
ANKRD10	-0.143617077407558	-0.0968233551477331	-0.117194818086601	-0.0966995097392815	-0.104158363940551	-0.130787473824377
ANKRD37	-0.0650551939189439	-0.137293041227512	-0.0699296684243717	-0.0654833622939889	-0.116683079271856	-0.0712436196239991
ANXA1	-0.0675175239811362	-0.0243714720536694	-0.140574860463679	-0.0412249200647441	-0.0311510627621524	-0.12084514110785
AOX1	-0.12541482213974	-0.105252493580598	-0.177467047366645	-0.0438482692560528	-0.127735205897278	-0.128105962937063
AP1G1	-0.106318300445326	-0.140335292266781	-0.17287381021299	-0.0840420941600527	-0.0688244483151377	-0.147905064805871
AP1G2	-0.206375583533229	-0.271789230041519	-0.255678483053502	-0.166927024531196	-0.329497843462877	-0.309293799119954
AP2A1	-0.193047650890106	-0.148318004597038	-0.154206968316811	-0.184995514395882	-0.209471115269817	-0.12654895800584
AP2A2	-0.0931035028097054	-0.0511517797737812	-0.0443008472971217	-0.00558817650703156	-0.0790804553777915	-0.0415121265394752
AP3M1	-0.168675774597375	-0.207416025889501	-0.106678012051729	-0.0869894880461332	-0.135923146755075	-0.0984840985514316
AP5M1	-0.129247801943604	-0.108263193417738	-0.212753784111751	-0.200283816894828	-0.0922327029911187	-0.217530585764845
APH1A	-0.331526884979213	-0.226744240662874	-0.428427372879603	-0.358513813696553	-0.331463649670702	-0.464718265867742
APH1B	-0.191784104996538	-0.0620277369454877	-0.135805331005431	-0.10702316237101	-0.157164489239483	-0.124997571142444
APOBEC1	-0.153271036335551	-0.127958176981572	-0.201663218234999	-0.156931676903361	-0.0661920622050602	-0.187774504865338
APOBEC3C	-0.420185753728132	-0.329109964096904	-0.372498503060171	-0.396005691376297	-0.392192241665695	-0.449052767593024
