id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	2.9906e-15	4.6703e-06	0.000261	1	16	-1.9512	1.0	1.0	0.999995	1060	0	-1.9512
RRM1	16	2.1947e-14	4.6703e-06	0.000261	2	16	-2.1277	1.0	1.0	0.999995	1059	0	-2.1277
POLR2L	8	1.0056e-10	4.6703e-06	0.000261	3	8	-2.1674	1.0	1.0	0.999995	1058	0	-2.1674
RPP21	8	5.7342e-09	4.6703e-06	0.000261	4	8	-1.3595	1.0	1.0	0.999995	1057	0	-1.3595
RPS23	6	4.0018e-08	4.6703e-06	0.000261	5	6	-1.4267	1.0	1.0	0.999995	1056	0	-1.4267
BUB3	8	4.3931e-08	4.6703e-06	0.000261	6	8	-1.7128	0.99999	1.0	0.999995	1041	0	-1.7128
SF3B3	8	6.6355e-08	4.6703e-06	0.000261	7	8	-1.1704	1.0	1.0	0.999995	1055	0	-1.1704
ALDOA	8	7.7646e-08	4.6703e-06	0.000261	8	8	-1.6136	1.0	1.0	0.999995	1047	0	-1.6136
COPA	8	1.1783e-07	4.6703e-06	0.000261	9	8	-1.1875	1.0	1.0	0.999995	1054	0	-1.1875
CCND1	8	1.2872e-07	4.6703e-06	0.000261	10	8	-1.5465	1.0	1.0	0.999995	1053	0	-1.5465
RPS11	7	1.7737e-07	4.6703e-06	0.000261	11	7	-2.2729	1.0	1.0	0.999995	1052	0	-2.2729
RPL14	6	2.8044e-07	4.6703e-06	0.000261	12	6	-1.9446	1.0	1.0	0.999995	1049	0	-1.9446
RPL3	14	2.8756e-07	4.6703e-06	0.000261	13	11	-1.3401	0.82922	0.82837	0.999995	761	0	-1.3401
RPL36	8	3.9287e-07	4.6703e-06	0.000261	14	8	-1.4885	0.99997	0.99998	0.999995	1026	0	-1.4885
ZNF407	8	4.1662e-07	4.6703e-06	0.000261	15	8	-0.82189	1.0	1.0	0.999995	1051	0	-0.82189
RPS8	5	4.9007e-07	4.6703e-06	0.000261	16	5	-2.1936	0.99759	0.99765	0.999995	967	0	-2.1936
RPS19	8	5.5913e-07	4.6703e-06	0.000261	17	8	-1.6375	1.0	1.0	0.999995	1046	0	-1.6375
HMGCS1	7	7.3059e-07	4.6703e-06	0.000261	18	7	-1.1556	1.0	1.0	0.999995	1050	0	-1.1556
TOMM40	14	1.0173e-06	1.4011e-05	0.000594	19	13	-0.97719	0.99893	0.99897	0.999995	979	0	-0.97719
PSMB3	7	1.2216e-06	1.4011e-05	0.000594	20	7	-1.4217	0.99974	0.99979	0.999995	1004	0	-1.4217
PRPF8	8	1.2717e-06	1.4011e-05	0.000594	21	8	-1.5601	1.0	1.0	0.999995	1048	0	-1.5601
MTG2	8	1.6171e-06	1.4011e-05	0.000594	22	8	-1.0284	1.0	1.0	0.999995	1045	0	-1.0284
EIF3B	8	1.6222e-06	1.4011e-05	0.000594	23	8	-1.2924	0.99999	1.0	0.999995	1035	0	-1.2924
INTS6	6	1.8562e-06	4.6703e-06	0.000261	24	6	-1.7219	1.0	1.0	0.999995	1044	0	-1.7219
SF3A1	8	1.8633e-06	1.4011e-05	0.000594	25	8	-0.81575	1.0	1.0	0.999995	1043	0	-0.81575
KIF11	8	2.937e-06	3.2692e-05	0.001333	26	8	-1.2431	0.99999	1.0	0.999995	1040	0	-1.2431
CDIPT	8	3.3434e-06	4.2033e-05	0.001437	27	7	-1.7075	0.98453	0.98444	0.999995	912	0	-1.7075
VMP1	8	4.9386e-06	4.2033e-05	0.001437	28	8	-0.82939	1.0	1.0	0.999995	1042	0	-0.82939
RBBP4	7	5.0165e-06	4.2033e-05	0.001437	29	6	-1.3464	0.92736	0.9267	0.999995	824	0	-1.3464
MRPL41	8	5.2908e-06	4.2033e-05	0.001437	30	8	-1.3045	0.99997	0.99998	0.999995	1025	0	-1.3045
PPP4C	8	5.5499e-06	4.2033e-05	0.001437	31	7	-1.4001	0.99563	0.99554	0.999995	953	0	-1.4001
HSCB	8	6.0647e-06	5.1373e-05	0.001513	32	8	-1.2456	0.99986	0.99978	0.999995	1011	0	-1.2456
MED13L	8	7.469e-06	5.1373e-05	0.001513	33	8	-0.58298	0.99999	1.0	0.999995	1039	0	-0.58298
RPL8	8	7.6302e-06	5.1373e-05	0.001513	34	7	-1.4223	0.99515	0.99517	0.999995	947	0	-1.4223
TIMM10	8	7.6846e-06	5.1373e-05	0.001513	35	8	-1.1603	0.99999	1.0	0.999995	1038	0	-1.1603
XAB2	8	9.6526e-06	6.0714e-05	0.001694	36	8	-0.97247	0.99999	1.0	0.999995	1037	0	-0.97247
SF3B5	8	9.689e-06	6.0714e-05	0.001694	37	8	-1.3399	0.99996	0.99995	0.999995	1022	0	-1.3399
DYNLRB1	7	9.8617e-06	5.1373e-05	0.001513	38	7	-1.3678	0.99998	0.99999	0.999995	1032	0	-1.3678
