gene	Mel202.D28A	Mel202.D28B	Mel202.D28C
ABCA3	-0.0680974910449403	-0.104856447271917	-0.108188586899294
ABCB1	-0.0522301101741679	-0.0647365661859176	-0.136617512960011
ABCC3	-0.11722837463334	-0.156474093849884	-0.0852100095546228
ABCG2	-0.0791497579016047	-0.102859031756227	-0.0907303487866405
ABL1	-0.0249668943458649	-0.0754936055980324	-0.0522238365011445
ABL2	-0.202909956514462	-0.161272838065141	-0.172233520542952
ABT1	-0.89435703771278	-0.802884743757263	-0.627935118143083
ABTB2	-0.140768780481715	-0.138001812041118	-0.124945180507668
ACACA	-0.350841640450512	-0.194200599902005	-0.311359244438065
ACACB	-0.135906275770999	-0.145696834045478	-0.242328853290767
ACTL6A	-1.03281203556236	-0.795299306171421	-0.97100864591777
ACTL6B	-0.244196419152388	-0.28585002792379	-0.207150840437434
ACTL7A	-0.142090986307235	-0.0897967106322909	-0.137685882991624
ADAM19	-0.0954111975743347	-0.186722895254849	-0.0992885337748037
ADAP1	-0.260370249819821	-0.23299794901689	-0.254865948267814
ADAP2	-0.0500526122738063	-0.0627579086616016	-0.154851701708974
ADARB1	-0.0323118305617287	-0.0745012007400181	-0.0250007154533658
ADARB2	-0.0648598046770462	-0.0719378125040171	-0.0548388140485313
ADGRG7	-0.0394143765132789	-0.129846263225287	-0.2143826008482
ADM	-0.0522268798744116	-0.121266458180489	-0.129539210315546
ADSS	-0.304514794069588	-0.400624070618488	-0.264921257281988
ADSSL1	-0.176354236926693	-0.161850810812998	-0.248049618265329
AFG3L2	-1.32316997751593	-1.03314537671048	-1.06847057466982
AHCYL1	-0.368616260159374	-0.423255347602906	-0.423847616557012
AHCYL2	-0.142067297287166	-0.167925912596817	-0.169258695482842
AIPL1	-0.152878828979706	-0.0503983280358055	-0.087531153590012
AKAP11	-0.120436767049826	-0.106850759787808	-0.114837664427805
AKIRIN1	-0.301834301155724	-0.223124950465716	-0.234705844738041
AKIRIN2	-0.727396453830242	-0.563003318529972	-0.705375988114801
ALAS1	-0.523120407954768	-0.440833924362836	-0.527938415248993
