gene	BF
ABCA3	-0.640854166666667
ABCB1	-0.506208333333333
ABCC3	-0.439333333333334
ABCG2	-0.992125
ABL1	-1.19866666666667
ABL2	-1.16652083333333
ABT1	3.83195833333333
ABTB2	-0.844333333333333
ACACA	0.678104166666667
ACACB	-0.97425
ACTL6A	7.08022916666667
ACTL6B	-0.0146875000000002
ACTL7A	-0.812208333333333
ADAM19	-0.622791666666667
ADAP1	-0.279041666666667
ADAP2	-0.8229375
ADARB1	-1.20635416666667
ADARB2	-1.04614583333333
ADGRG7	-0.993666666666667
ADM	-0.9829375
ADSS	4.53134821428571
ADSSL1	-0.3260625
AFG3L2	3.64809027777778
AHCYL1	2.41779166666667
AHCYL2	0.103541666666667
AIPL1	-0.847833333333333
AKAP11	-0.980354166666667
AKIRIN1	0.238458333333333
AKIRIN2	5.42770833333333
ALAS1	-1.15628125
ALAS2	-1.23033333333333
ALDOA	7.92483333333333
ALDOC	0.423583333333333
ALG14	1.33052083333333
AMELX	-1.62795833333333
ANAPC4	3.2641875
ANKRD10	-0.7296875
ANKRD37	-1.31041666666667
ANXA1	-1.46854166666667
AOX1	-0.934979166666667
AP1G1	-1.17497916666667
AP1G2	-0.2351875
AP2A1	-0.272916666666667
AP2A2	-1.04635416666667
AP3M1	-1.32952083333333
AP5M1	-1.04447916666667
APH1A	-0.227020833333333
APH1B	-0.834
APOBEC1	-0.628083333333333
APOBEC3C	-1.166
AQP8	-1.0213125
ARFGEF1	-1.36366666666667
ARFGEF2	-1.33516666666667
ARFIP1	-1.3625625
ARFIP2	-0.608291666666667
ARHGEF3	-1.0875625
ARHGEF6	-1.72675
ARHGEF7	-1.19072916666667
ARID1A	2.38595833333333
ARID1B	-1.26785416666667
ARID4A	0.604416666666667
ARPC5	-0.5435625
ARPC5L	0.676979166666666
ARSJ	-0.757604166666667
ASCL1	-1.22997916666667
ASF1A	4.98958333333333
ASF1B	2.50554166666667
ATAD2	-1.139875
ATAD2B	-0.541854166666667
ATM	-0.613625
ATOH1	-1.0144375
ATP5F1A	-0.0500625000000001
ATP5F1B	-0.6824375
ATP5F1D	0.1439375
ATP5PB	-0.850729166666667
ATP6V1B1	0.149958333333333
ATP6V1B2	5.90064583333333
ATP6V1C1	3.70870833333333
ATP6V1C2	-0.00550000000000006
ATP6V1D	3.7550625
ATP6V1E1	2.99958630952381
ATP6V1E2	-0.157520833333334
ATP7A	3.4868125
ATP7B	-0.831395833333334
ATP8B3	-0.695708333333334
ATR	3.89802083333333
AXL	-0.793958333333334
BAP1	4.2526875
BARHL1	-0.758125
BATF3	-0.860958333333333
BCAP31	-0.6825
BECN1	0.714520833333333
BECN2	-1.026
BICD1	-0.126354166666667
BICD2	-0.768666666666667
BRD8	2.74308333333333
BRSK1	0.0574583333333333
BRSK2	-1.4156875
BTBD11	-0.509145833333333
BTG1	-0.973
BUB1B	1.68910416666667
BUB3	9.50725
BZW1	-0.432826388888889
BZW2	1.24797916666667
CAB39	-1.91766666666667
CAB39L	-1.1833125
CABP5	-0.929833333333334
CADPS	-0.91425
CADPS2	-0.379541666666667
CALY	-1.08289583333333
CAND1	3.17752083333333
CAND2	0.0103541666666666
CAP1	0.445791666666667
CAP2	-0.1548125
CAPN2	-1.21420833333333
CASP4	-0.820541666666667
CAT	-1.50829166666667
CAV1	-0.379625
CAVIN1	-0.508875
CBLL1	1.775625
CBLL2	-1.30939583333333
CCDC69	-1.1543125
CCND1	11.1209791666667
CCND3	1.32010416666667
CCNE1	-0.126479166666667
CCNE2	-0.306854166666667
CCNL1	1.31708333333333
CCNL2	-1.17747916666667
CCNT1	-0.0722083333333334
CCNT2	-1.23114583333333
CCT6A	6.65513392857143
CCT6B	-1.0590625
CD163L1	-1.042875
CD44	-1.08845833333333
CD72	-1.65589583333333
CDC34	-0.2265625
CDIPT	7.3714375
CDK16	-1.36316666666667
CDK17	-0.428541666666667
CDK19	-1.12320833333333
CDK2	6.61804166666667
CDK5R1	-0.21025
CDK5R2	-0.0732291666666667
CDK7	5.0393244047619
CDK8	-0.0164375000000001
CDNF	-0.658125
CDS1	-1.20020833333333
CDS2	4.51804166666667
CEACAM1	-0.0626875000000002
CELA2A	-0.0178541666666668
CFL1	1.12677083333333
CHM	-1.40020833333333
CHML	-1.21758333333333
CHMP1A	-0.144145833333333
CHMP1B	-1.0875
CHORDC1	7.60186805555556
CHRNB3	-0.3875
CHSY1	-1.39477083333333
CHSY3	-1.01277083333333
CHUK	-0.742260416666667
CKAP5	4.43585416666667
CLASP1	-1.02985416666667
CLASP2	-0.715104166666667
CLCA1	-1.02183333333333
CLDN4	0.4183125
CLIP4	-1.40672916666667
CLNS1A	8.39994345238095
CLTA	-1.4583125
CLTB	-0.970583333333333
CLTC	4.39629166666667
CLTCL1	-0.857895833333334
CNOT6	-1.344875
