gene	Mel285.D28A	Mel285.D28B	Mel285.D28C	Mel285.D49A	Mel285.D49B	Mel285.D49C
ABCA3	-0.00282203789383177	0	0	-0.784434027292502	-0.659228135192229	-0.883116734597787
ABCB1	-0.0222852384811766	0	-0.0273373817280035	-0.680564343926644	-0.811473268933785	-0.710929906831129
ABCC3	0	0	-0.0835412794017678	-0.579992993283842	-0.693485129827465	-1.01744245606378
ABCG2	-0.0375722837660766	-0.0296557189150955	-0.0502529512696873	-0.650589262350301	-1.0910552934682	-0.80518193935974
ABL1	0	-0.026019630143461	0	-0.379016223137999	-0.590417812079438	-0.567140365358488
ABL2	-0.000319396089659695	0	0	-0.836620352244483	-0.819774227291315	-0.955635607354532
ABT1	-0.23762091630442	-0.430716954919955	-0.471037497933276	-0.941024391418107	-1.25163562605824	-1.43683583899715
ABTB2	-0.131868547170168	-0.102721720779332	0	-0.927074596185751	-0.889269385072254	-0.878594847175607
ACACA	-0.311827007997971	-0.343206746845539	-0.397632799858902	-0.942497344973175	-1.08938723061957	-1.3339979408339
ACACB	-0.0381276985566601	-0.0234892861023206	-0.055032989190969	-0.835843174724437	-0.952450569989121	-0.778177118784313
ACTL6A	-0.536990714300962	-0.401490766925571	-0.399620592054404	-1.05672468707835	-1.04985619597905	-1.06598714456403
ACTL6B	-0.0113511566461108	0	-0.0824716454659651	-0.710726018280489	-0.521355859358082	-0.94228013122441
ACTL7A	-0.0111821583832958	-0.228053992496398	-0.00483630685586001	-0.725651615862547	-1.0073491596357	-0.786023934984645
ADAM19	0	-0.112373872582377	-0.040429717943621	-0.453471171544195	-0.931592224528769	-0.869203706633189
ADAP1	-0.0529120898417333	-0.0481145340374342	0	-0.980167689011401	-0.822014362415446	-0.612930307336917
ADAP2	-0.0337251594254074	-0.00359531215602272	-0.097613264087786	-1.10560387035012	-0.7922378563098	-0.837160759054821
ADARB1	-0.0279529784196917	-0.0141124295983454	0	-0.636725014438081	-0.847193423415588	-0.816977562988978
ADARB2	0	-0.0187659380061344	-0.00297730535494867	-0.597452094840336	-0.908851749705542	-0.997553940185361
ADGRG7	-0.0249191680233448	-0.045752376558889	-0.0828268829732633	-0.710658998775637	-0.821214504943791	-0.679233037426963
ADM	-0.0603719395629955	0	-0.0596757795128427	-0.626819017225344	-0.756100762345335	-0.940551543078518
ADSS	-0.0734946314312338	-0.0210044029429571	-0.0460665906875561	-0.750795970728951	-1.01157713860769	-1.11558276976329
ADSSL1	-0.0375221136952637	-0.145289505489253	-0.123454200914062	-0.799902026804194	-0.848898323382196	-0.838399224274528
AFG3L2	-0.720604337096288	-0.564992132840747	-0.64999645962208	-1.18670906328837	-1.21266740942857	-1.36384447647098
AHCYL1	-0.115995876988556	-0.0891681391031483	-0.0703647258838952	-0.687802502171264	-1.02685614966186	-0.727308462368113
AHCYL2	-0.00316718746593925	-0.032816926638096	0	-0.786751549605237	-0.948262485200939	-0.729416949969024
AIPL1	0	0	-0.0861449024193283	-0.629111258785153	-0.861135801881529	-0.885959961728726
AKAP11	-0.0358680070748726	0	0	-0.469974171473787	-0.766220054079624	-0.741216665793816
AKIRIN1	-0.188762320071456	-0.0677475913468519	-0.249208346203701	-1.26096876803428	-0.974914009749662	-1.12389180719344
AKIRIN2	-0.352843195228827	-0.40083160709745	-0.318553796918162	-1.20500718027193	-1.13084905926211	-1.34861080766324
ALAS1	-0.0269997296136968	-0.0140159091376483	-0.0210785982850338	-0.721516180658667	-0.878044392332562	-0.726405801331006
ALAS2	-0.0333826929122754	-0.0370828627847551	0	-0.644638222117273	-0.81378292884809	-0.493464571001299
ALDOA	-0.571415976847074	-0.64546673161345	-0.640147306876483	-1.36445270167995	-1.30565208004441	-1.39313497984989
ALDOC	-0.0225767282585166	-0.0860164451076181	-0.0503431828539551	-0.621268904757119	-0.971579919008781	-0.906450529426311
ALG14	-0.410808459826366	-0.185430526710757	-0.570048882144633	-0.999834198260341	-1.1450209917468	-1.31643839004552
AMELX	-0.0742803990045499	-0.0814958494582046	-0.026208990478735	-0.699198571345129	-0.764375129623026	-0.764874866440909
ANAPC4	-0.48578959641669	-0.480521845935502	-0.549266395908109	-1.13319536662955	-1.32005534377685	-1.38436151339077
ANKRD10	-0.0772841131800054	-0.0893327616238397	-0.0802796542807128	-0.857027012403379	-0.906430899749387	-0.884758417442232
ANKRD37	0	0	0	-0.500813672076785	-0.918095135824707	-0.640813779511377
ANXA1	0	-0.0231919253149613	-0.0333425893264558	-0.638367262953336	-0.962772861765801	-0.60077531470408
AOX1	-0.0688499571486842	-0.0446298953471989	0	-0.815583775070543	-1.06150688322576	-0.385472697326971
AP1G1	-0.158137957208593	-0.164892223830919	-0.403680226887649	-1.18689968557593	-0.993464433442725	-1.28724804920728
AP1G2	0	-0.139673451109662	-0.128206892413223	-0.933010522109737	-0.994674298452218	-0.993676068597707
AP2A1	0	0	0	-0.556868200917865	-0.772064589897883	-0.201709933575087
AP2A2	0	0	-0.0117486816068892	-0.576888064412581	-0.870455643028406	-0.638284868881189
AP3M1	-0.0494264772317947	-0.00419258306751031	-0.0309121833022088	-0.792581809733714	-0.936346223684019	-0.717511666462866
AP5M1	-0.104416397956549	-0.00705178830213004	-0.0390936334559912	-0.812957087192668	-0.864093829016678	-0.692764642572369
APH1A	-0.0740564070940752	-0.155737950511048	-0.00422117406157902	-0.770775262817803	-1.12266458794742	-0.908984200839119
APH1B	-0.0461764944909012	0	-0.086021044869506	-1.05024658615366	-0.815443390211741	-0.994326231788419
APOBEC1	-0.1681518317501	-0.0584493240297612	-0.0898097314783459	-0.851751782781212	-0.913568231386653	-0.9284710028373
APOBEC3C	-0.0518186164313026	-0.0817075239188756	-0.0654723244053208	-0.454539347661118	-0.933488370569179	-0.800594487907012
AQP8	0	-0.051100406832502	-0.00610502215524381	-0.471265395026011	-0.884640123848131	-0.468139892058972
ARFGEF1	-0.0158996339367836	-0.0692354313662613	-0.0772379875238486	-0.937604714402545	-0.791029036060156	-0.789472129250007
ARFGEF2	-0.0373356670040242	0	-0.120142526008673	-0.893339800476164	-0.816385411186253	-0.909782383269546
ARFIP1	0	0	0	-0.573846539063983	-0.553777265270384	-0.872400693827501
ARFIP2	-0.0207661147393528	0	-0.0291997214817578	-0.470812821990243	-0.956836752997099	-1.00964701580422
ARHGEF3	0	-0.00377653252946285	-0.00740515428317593	-0.699751695514076	-0.702543687249354	-0.761099823480316
ARHGEF6	0	-0.0260147802832856	-0.050578679957519	-0.525900004963924	-0.935279407207838	-0.872049535577607
ARHGEF7	-0.389935394202358	-0.402093263562268	-0.519737692154913	-1.03390067995848	-1.04251893921732	-1.04669338651578
ARID1A	-0.151937659148071	-0.116677209512507	-0.234836139933074	-1.3321297310601	-1.31218894029927	-1.14218885016244
ARID1B	-0.129178516806311	-0.0227487984784382	-0.0499390056938846	-1.19157291255755	-0.998852305668982	-0.938401846007441
ARID4A	-0.00845778410767747	0	-0.0857191333512939	-0.634213790039832	-0.92410154184839	-0.98333432108313
ARPC5	-0.0684847974934469	0	0	-0.709218985078355	-0.855927520948975	-0.680206208979837
ARPC5L	-0.271383615978461	-0.0782577119516714	-0.169627574044777	-0.87059555368947	-0.919961868022801	-0.801167971012097
ARSJ	-0.00623977513288698	0	0	-1.08794007292496	-0.735600969187146	-0.756879319076294
ASCL1	0	0	-0.0528120796639523	-0.574259502249151	-0.624506455038482	-0.877904674200166
ASF1A	-0.0238139345699235	-0.0518371658277126	-0.0436121020784138	-0.909842466238524	-0.846930489267246	-0.941845045616233
ASF1B	-0.144633497615113	-0.0809279439287334	-0.0893709946223455	-0.816995881143538	-0.95653920954267	-0.8272409688298
ATAD2	0	0	-0.195703378339851	-0.493931760130748	-0.717618994512588	-1.12886392670637
ATAD2B	-0.0804871240923618	-0.0586094895230775	-0.0747548824800482	-0.891136628139664	-0.886506025570774	-0.795019365029639
ATM	0	-0.0292800454151424	-0.0189264734161846	-0.655118521362972	-1.04878169831664	-0.955420770787922
