gene	BF
ABCA3	-0.780770833333333
ABCB1	-0.7359375
ABCC3	-0.381375
ABCG2	-0.682770833333333
ABL1	-0.677895833333333
ABL2	-0.401541666666667
ABT1	-0.258333333333333
ABTB2	-0.641791666666667
ACACA	-0.2013125
ACACB	-0.632020833333333
ACTL6A	0.2336875
ACTL6B	-0.441333333333333
ACTL7A	-0.390270833333333
ADAM19	-0.553541666666667
ADAP1	-0.0408958333333334
ADAP2	-0.477729166666667
ADARB1	-0.430395833333333
ADARB2	-0.772375
ADGRG7	-0.369458333333333
ADM	-0.677645833333333
ADSS	0.351532738095238
ADSSL1	-0.668166666666667
AFG3L2	-0.0692013888888889
AHCYL1	-0.0771458333333334
AHCYL2	-0.4000625
AIPL1	-0.52825
AKAP11	-0.584979166666667
AKIRIN1	-0.38625
AKIRIN2	0.0783125
ALAS1	-0.38815625
ALAS2	-0.559729166666667
ALDOA	0.0625208333333333
ALDOC	-0.190166666666667
ALG14	-0.247541666666667
AMELX	-0.630104166666667
ANAPC4	-0.041
ANKRD10	-0.496875
ANKRD37	-0.698
ANXA1	-0.63675
AOX1	-0.267916666666667
AP1G1	-0.6636875
AP1G2	-0.267520833333333
AP2A1	-0.415645833333333
AP2A2	-0.615416666666667
AP3M1	-0.4836875
AP5M1	-0.6331875
APH1A	-0.319041666666667
APH1B	-0.604416666666667
APOBEC1	-0.711083333333333
APOBEC3C	-0.051125
AQP8	-0.618333333333333
ARFGEF1	-0.257979166666667
ARFGEF2	-0.494770833333333
ARFIP1	-0.4263125
ARFIP2	-0.583333333333333
ARHGEF3	-0.690625
ARHGEF6	-0.833854166666667
ARHGEF7	-0.480916666666667
ARID1A	-0.692458333333333
ARID1B	-0.58675
ARID4A	-0.324770833333333
ARPC5	-0.386479166666667
ARPC5L	-0.506395833333333
ARSJ	-0.646895833333333
ASCL1	-0.718166666666667
ASF1A	-0.247291666666667
ASF1B	-0.337052083333333
ATAD2	-0.340729166666667
ATAD2B	-0.528
ATM	-0.63075
ATOH1	-0.537
ATP5F1A	0.172395833333333
ATP5F1B	-0.0716666666666667
ATP5F1D	-0.0300208333333334
ATP5PB	-0.147104166666667
ATP6V1B1	-0.625958333333333
ATP6V1B2	0.374958333333333
ATP6V1C1	-0.139145833333333
ATP6V1C2	-0.296802083333333
ATP6V1D	0.0727708333333333
ATP6V1E1	-0.631705357142857
ATP6V1E2	-0.415083333333333
ATP7A	-0.502
ATP7B	-0.415875
ATP8B3	-0.463833333333333
ATR	-0.309541666666667
AXL	-0.439520833333333
BAP1	-0.788354166666667
BARHL1	-0.350625
BATF3	-0.459458333333333
BCAP31	-0.601625
BECN1	-0.321916666666667
BECN2	-0.395416666666667
BICD1	-0.5923125
BICD2	-0.572104166666667
BRD8	-0.384520833333333
BRSK1	-0.458083333333333
BRSK2	-0.601604166666667
