id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	9.0822e-11	4.6703e-06	0.002475	1	14	-1.6433	1.0	1.0	0.999995	1059	0	-1.6433
NAE1	16	8.0402e-09	4.6703e-06	0.002475	2	10	-0.48447	0.94734	0.94768	0.999995	978	0	-0.48447
RRM1	16	4.3764e-07	1.4011e-05	0.00495	3	13	-1.7213	0.94734	0.94768	0.999995	975	0	-1.7213
PRKDC	16	2.3145e-06	2.3351e-05	0.00495	4	13	-1.1821	0.94734	0.94768	0.999995	969	0	-1.1821
POLR2L	8	2.5529e-06	3.2692e-05	0.00495	5	6	-2.4862	0.99355	0.99348	0.999995	1032	0	-2.4862
CLTC	8	2.6659e-06	3.2692e-05	0.00495	6	6	-1.7673	0.97027	0.96964	0.999995	995	0	-1.7673
DYNLRB1	7	3.4389e-06	3.2692e-05	0.00495	7	6	-1.9824	0.9935	0.99324	0.999995	1031	0	-1.9824
PCGF1	8	7.1304e-06	5.1373e-05	0.005446	8	5	-0.53509	0.77053	0.77045	0.857855	185	0	-0.53509
RPL8	8	8.0258e-06	5.1373e-05	0.005446	9	6	-2.0964	0.77053	0.77045	0.857855	115	0	-2.0964
BUB3	8	9.9996e-06	7.0054e-05	0.006751	10	6	-1.7356	0.77053	0.77045	0.857855	723	0	-1.7356
RPL11	7	1.0442e-05	5.1373e-05	0.005446	11	5	-1.9361	0.72418	0.7224	0.857855	45	0	-1.9361
RPL14	6	1.3668e-05	7.9395e-05	0.007013	12	5	-2.4822	0.99423	0.99405	0.999995	1036	0	-2.4822
CCND1	8	1.3879e-05	0.0001261	0.010282	13	7	-2.1189	0.99884	0.99883	0.999995	1049	0	-2.1189
VCP	8	1.8549e-05	0.00016346	0.011448	14	6	-2.1568	0.99418	0.99411	0.999995	1035	0	-2.1568
CDS2	8	2.0264e-05	0.0001728	0.011448	15	6	-1.6305	0.96426	0.96378	0.999995	992	0	-1.6305
CKAP5	16	2.155e-05	0.00023818	0.013614	16	12	-1.088	0.94734	0.94768	0.999995	973	0	-1.088
TSG101	8	2.7251e-05	0.00025687	0.013614	17	8	-0.88851	0.99997	0.99999	0.999995	1058	0	-0.88851
RPL5	7	2.9651e-05	0.00015412	0.011448	18	7	-2.2895	0.99997	0.99998	0.999995	1057	0	-2.2895
TUBB	6	4.2446e-05	0.00025687	0.013614	19	6	-1.7957	0.99786	0.99786	0.999995	1046	0	-1.7957
ATP6V1B2	8	5.0151e-05	0.00040631	0.019577	20	8	-1.5537	0.99994	0.99994	0.999995	1056	0	-1.5537
RPL31	5	5.3176e-05	0.0002195	0.013614	21	5	-2.3459	0.99972	0.99971	0.999995	1055	0	-2.3459
E2F3	7	5.6767e-05	0.00031291	0.015794	22	6	-1.7331	0.72418	0.7224	0.857855	55	0	-1.7331
