gene	MP46.D28A	MP46.D28B	MP46.D28C	MP46.D64A	MP46.D64B	MP46.D64C
ABCA3	-0.0289852730585106	0	-0.0671109284378663	-1.04514276946183	-0.327877804309645	-1.03492097836215
ABCB1	-0.142376329764996	-0.0638692186950404	-0.239341567075642	-0.680354738111328	-0.0175156997889163	-1.51793533604239
ABCC3	-0.259194113455699	-0.182556031506541	-0.457131484395295	-1.47063181141443	-1.42080044263925	-2.55590235774833
ABCG2	0	-0.106655995111863	-0.120546154039752	-0.610652861402925	-1.50565542772691	-1.11112568947224
ABL1	-0.0826023521698366	-0.114775660636104	-0.136741814712946	-1.01726531151327	-1.19616890344626	-0.953059355807351
ABL2	-0.341409937246371	-0.199007531906942	-0.289716422391653	-2.1988055679474	-1.56946761506972	-1.43178180434451
ABT1	-0.699909710632445	-0.499847554385174	-0.413644113441683	-1.88628559855179	-1.82071600814173	-2.08863406181811
ABTB2	-0.0897015672697803	-0.219578895231854	-0.445739278803534	-0.574547923344144	-0.331320363188959	-2.02137459272755
ACACA	-0.583972801302897	-0.380825192448643	-0.334752187631	-1.87293696989415	-2.53655121271395	-2.16826940409718
ACACB	-0.163217447797097	0	-0.139024484736477	-1.53809583207522	-0.70441519014568	-1.11377592750705
ACTL6A	-0.980420765527509	-1.0815942380209	-1.11892340543089	-2.73333897350626	-2.76393467453451	-3.4933705888
ACTL6B	-0.151232699729052	-0.210029356707705	-0.202801297532941	-2.07714692937011	-1.36818002262009	-1.70049181566455
ACTL7A	-0.230360953906992	-0.119347542718014	-0.369123941667963	-2.00038834172571	-0.880064841090574	-2.62447261099896
ADAM19	-0.00376131854931928	-0.285263168910862	-0.0906960413335356	-0.748912353668446	-1.36563884640181	-2.05024906490789
ADAP1	-0.161463513096374	-0.246399020902625	-0.745488364674819	-2.53569135560624	-2.61665528338616	-3.18605380777717
ADAP2	-0.121474991833778	-0.155785538719653	-0.350465553440607	-0.814259513237246	-1.69310249338015	-2.04297991760059
ADARB1	-0.262547222149696	-0.314707239666731	-0.19627355746732	-1.62184456043727	-1.40180001351619	-1.99298070732571
ADARB2	-0.106045445745434	0	-0.140336130306408	-0.882198854909899	-1.02682407641115	-0.427723022378612
ADGRG7	-0.304172395891246	-0.302903374993322	-0.111903871605667	-1.55502808185672	-1.78874352255242	-2.2805152722333
ADM	-0.129165476524312	-0.0639736599477891	-0.0374856991838384	-1.034980118458	-0.839364955998022	-1.42697946620789
ADSS	-1.1834412430198	-0.870232630426031	-0.682908594610662	-4.14611023186063	-3.67648010423991	-2.5904626707673
ADSSL1	-0.234787275604249	-0.122069930771835	-0.00203323939743167	-1.43536656659096	-0.721506495656681	-1.05103108583853
AFG3L2	-0.589123707815573	-0.307028961770897	-0.728956907024459	-2.82876425958102	-2.88025476279053	-1.92425392951075
AHCYL1	-0.534280957433826	-0.620618327508555	-0.514130967036668	-2.97289636741161	-2.20597363166438	-2.27262594683715
AHCYL2	-0.0596156157707296	-0.100799298447823	-0.286730422348911	-2.13066896293892	-1.80368125523818	-1.66221662827072
AIPL1	-0.0839901160559773	-0.512500149467013	-0.16495207174399	-1.65504625111011	-1.56372606359153	-0.988674545408435
AKAP11	-0.064818736794852	-0.0753103755195445	-0.0719467669691825	-1.59440990723703	-1.23565883835915	-1.29290629800736
AKIRIN1	-0.22156090082084	-0.448702525529922	-0.190068480029341	-1.90216821728261	-2.38180525111523	-1.06430453979807
AKIRIN2	-0.823807511421108	-0.807404839224043	-0.648382553849032	-2.41102423074005	-2.86678119445677	-3.29914479591701
ALAS1	-0.129091208467468	-0.139216018130385	-0.222661334470538	-1.96424117589305	-2.02414838168891	-1.57477722803398
ALAS2	-0.39108827330604	-0.18751120991249	-0.351557177124749	-1.11447820095619	-1.57932522585191	-0.859758066268448
ALDOA	-0.698356395549515	-0.354516349522412	-0.541358152281829	-2.91055744708305	-2.93011362756003	-2.99391537572191
ALDOC	-0.40635004724368	-0.388716455094162	-0.392180915286856	-2.1291141353099	-2.95047401531501	-1.9555580792703
ALG14	-0.289587169061283	-0.613713100506922	-0.565656932559384	-1.17846412250623	-2.5490823392396	-2.40319863653129
AMELX	-0.100029550934737	-0.13508578936461	-0.176690118319764	-0.941289999328471	-0.617756426541744	-1.7068388154688
ANAPC4	-0.624556909613377	-0.891874184776949	-1.04992849320142	-1.70549067951129	-2.66689102877226	-2.5520088903182
ANKRD10	-0.188913943076748	-0.0978729547969534	-0.29118153121837	-1.57395966226673	-1.51629442299301	-1.32467111778992
ANKRD37	0	-0.153194138034742	0	-1.0082977982829	-1.51881269908802	-0.655457008069709
ANXA1	-0.299775618234938	-0.0371463089243284	0	-1.82306403643923	-1.19675312677776	-0.533549693152823
AOX1	-0.208228734034692	-0.381285404061099	-0.338363272293217	-2.15835857632451	-1.98474491029178	-2.26387815154671
AP1G1	-0.454246716254319	-0.209098641167931	0	-0.971113839649812	-1.4095024324182	-0.591059301470845
AP1G2	-0.352727053201476	-0.2773916475363	-0.222585559785565	-1.58771424980638	-2.97728875186281	-1.99476340853844
AP2A1	-0.0991913606871516	-0.448848264984587	-0.172553589614074	-1.75659506357234	-2.33468517370643	-1.24083448174357
AP2A2	-0.161651338322042	-0.390693600687901	-0.00303143398613286	-1.44496639540335	-0.96074486144166	-0.987328949011199
AP3M1	0	-0.0496367562860716	-0.320939287254955	-1.49314069355704	-1.16489319416665	-2.35944522778327
AP5M1	-0.0780275192271993	-0.106196188418999	-0.355157889538107	-0.98169160446171	-0.767776397846417	-1.63515103453432
APH1A	-0.21456699659809	-0.431071628017226	-0.312989440757727	-2.4042463233665	-1.71447065317181	-1.65096401700653
APH1B	-0.256582201798688	-0.0504162225792448	-0.433156513682824	-1.07165210062578	-0.415531590211564	-2.02900451657163
APOBEC1	-0.235826212195154	-0.0830646310599006	-0.109357444948702	-1.20988977336076	-1.19273420417521	-0.317898890896393
APOBEC3C	-0.505904663302379	-0.262891813434856	-0.575598554884844	-2.24632284250303	-2.79592511539193	-2.95652868974786
AQP8	-0.0199109885031045	-0.0654509450829082	-0.0405731625730842	-1.61157642553328	-1.50793133637388	-0.562584771183914
ARFGEF1	-0.498926818414201	-0.385680678811536	-0.461576455202114	-1.92501402752467	-1.80509334614741	-2.49370531950747
ARFGEF2	-0.29628920268316	-0.133189557654885	-0.116942796759783	-0.892465783188659	-1.61413229588511	-2.2384372222439
ARFIP1	-0.319313120836948	-0.0406442310305191	-0.175752409832005	-2.41267512275531	-1.50329195604886	-1.23023948887594
ARFIP2	-0.0666960250925106	-0.446295352852317	-0.0677182276882639	-1.39245460222177	-1.39041598388772	-0.949589921676426
ARHGEF3	-0.0203031136842195	-0.192535611712551	0	-1.91780156379301	-0.761144082209244	-0.557246696419281
ARHGEF6	-0.0282284326646407	-0.0257382264573751	-0.0356946337470352	-0.474225867895031	-0.287389160970976	-1.17774885094675
ARHGEF7	-0.376771487043844	-0.396814762605988	-0.219665497367231	-1.22117490381799	-1.58123902427189	-1.50255049066849
ARID1A	-0.0554933778880381	-0.00736516949351854	-0.101437879096346	-0.647793734484654	-0.617211851091983	-1.752147154874
ARID1B	-0.0804492932594241	-0.114684453193159	-0.0319167204937563	-1.44584085280884	-1.00632526927649	-1.60092748217303
ARID4A	-0.551325580181658	-0.215992806593648	-0.508756655394541	-2.33543863055023	-1.59510161841686	-1.60477954327393
ARPC5	-0.417943700935908	-0.174590730664864	-0.194788060548435	-2.53145031885133	-1.0400675865382	-1.86978253581796
ARPC5L	-0.633130582753073	-0.330976638019325	-0.376994115676228	-1.42965736657762	-1.29810498960335	-0.984066619564129
ARSJ	-0.129146887599554	-0.0312398967538151	-0.0171302475393179	-0.881556432976635	-1.23856487882235	-1.23164420605812
ASCL1	-0.0640856865207897	-0.0899534118919618	-0.0205723907470253	-0.825565587934735	-1.09327521406989	-0.842292794510757
ASF1A	-0.0951194618111409	-0.290445595460438	-0.497016025033467	-1.64658115366951	-2.22822372737147	-2.85714193442281
ASF1B	-0.283751039273718	-0.122370623609756	-0.420999968021054	-1.61927211413394	-1.7292577041481	-2.55180952107509
ATAD2	-0.394967636019808	-0.380961135468752	-0.310293449821407	-0.945370612598689	-2.58107623994222	-2.01070918147736
ATAD2B	-0.298106291494567	-0.066032882211873	-0.218201286685211	-2.27427167049931	-1.0316686319305	-1.08449772125716
ATM	-0.0813121553672744	0	0	-1.05410370063512	-2.16707058000142	-0.707246511691715
ATOH1	-0.088692960199763	-0.0631650751871482	-0.204977273770336	-1.39380953752462	-1.58328083959059	-1.42479186928756
ATP5F1A	-0.7612597922858	-0.559426214389513	-1.28807784912324	-2.70877832338875	-2.58356635763852	-3.62189833334198
ATP5F1B	-0.730142486539158	-0.92772702265379	-0.855899741505452	-2.14050191314217	-1.56821814727838	-3.0263456567492
ATP5F1D	-0.29177050266649	-0.992961222780394	-1.08035492986898	-2.19894592762364	-1.85091974527084	-3.3632886824218
ATP5PB	-0.33015260576041	-0.499849895403993	-0.881418732098958	-1.58921956363127	-2.10804852263429	-3.2031240732656
ATP6V1B1	-0.131114118078645	-0.0454891529695811	-0.239067458137776	-1.25520568767951	-1.12660680016915	-1.25714313337388
ATP6V1B2	-1.27696273750148	-0.921763491657104	-1.0722568627439	-3.78739883710724	-2.94673435535397	-3.42793151709096
ATP6V1C1	-0.555605393627224	-0.384383286813162	-1.0681520179435	-1.08684434567101	-2.36778498771902	-3.13066650021632
ATP6V1C2	-0.338170267764143	-0.12510434558685	-0.338342307304213	-2.07975098532859	-1.59072216417074	-2.57540013574678
ATP6V1D	-0.406509020011129	-0.898799072668517	-0.489256807646381	-2.82968680747949	-3.24296210396124	-2.72833219795553
ATP6V1E1	-0.120582455709035	0	-0.369851782506328	-1.41829139999866	-0.844657145533831	-0.908231456906493
ATP6V1E2	-0.241302396587479	-0.108541417094209	-0.269502937959284	-2.35919922364811	-1.68633942903168	-1.3239083345034
ATP7A	-0.134014590765475	-0.126511722113461	-0.155530127207898	-1.84410082446497	-1.18680606446081	-1.68972588269015
ATP7B	-0.269375485010215	-0.00463085125722934	-0.297420383739767	-1.8192172915431	-1.23766616172718	-2.26105699872921
ATP8B3	-0.260138641712017	-0.0979565440885698	-0.261632671233059	-2.08046645879173	-1.79402675259726	-0.819846803848598
ATR	-0.437973918793743	-0.498554866794569	-0.813132209533732	-1.12657071256591	-1.82918508768998	-2.24125011420573
AXL	-0.112110484591941	-0.238157140762238	-0.230803186437355	-2.14585578354196	-1.38972043091858	-1.43570299261472
BAP1	-0.0771519144366798	-0.00703397272243651	-0.201907997081965	-0.372075469094238	-0.622266909444194	-1.15200928900168
BARHL1	-0.302508976539002	-0.477659599578689	-0.197211844226391	-1.85692661411892	-1.80243101340497	-1.79097704829601
BATF3	-0.138168603229892	-0.0886277874921235	-0.0745917120179903	-2.21492768539146	-1.66205792906851	-1.18066837235054
BCAP31	-0.0342398663311726	-0.118624717146164	-0.227422787095057	-0.990203658443181	-1.34519612479215	-1.35866230829622
BECN1	-0.915288841112529	-0.0119827705917032	-0.40642218662585	-2.33167304127731	-0.963160066884837	-2.18215090807867
BECN2	-0.285725491914351	-0.172825667759231	-0.137135019069552	-1.91835551093454	-2.66959568197497	-0.955723500864917
BICD1	-0.133039288508506	-0.0499428141141104	-0.147455664171616	-1.72456111005856	-1.01985386840337	-1.10416981094192
BICD2	-0.142135401115779	-0.172084401363197	0	-1.80974559407271	-1.3875450890141	-0.867312418656571
BRD8	-0.237502809487605	-0.381665746753125	-0.275195355148131	-2.31053130750481	-2.05182259825394	-0.991127064378389
BRSK1	-0.319737195200285	-0.500721410247799	-0.160250088270762	-1.62434888265507	-1.63877318005503	-1.27239518769375
BRSK2	-0.291504004356769	-0.0762782357803311	-0.240375046563844	-1.20028340442797	-1.24270418386122	-1.02396891417877
BTBD11	-0.175035722106515	-0.0255759419719597	-0.263554052177771	-1.5167404955371	-1.20404640547036	-1.60060394370057
BTG1	0	0	-0.181422026689558	-0.590058682407206	-0.95103560649809	-2.24283597566976
BUB1B	-0.419920085717913	-0.441372601157729	-0.54501571915642	-1.0561456088818	-1.60329867993155	-1.92245092497034
BUB3	-1.39280892241423	-1.68123155899705	-1.17148071340412	-4.41097672236571	-3.45800557491018	-2.76624509783567
BZW1	-0.0606992709215576	-0.0065655235463946	-0.0717107554490293	-1.62553791720623	-0.142324968572696	-0.781959883591175
BZW2	-0.26672040464163	-0.301430188795559	-0.435032540135215	-2.22201985279509	-2.87492702196562	-1.7394400921778
CAB39	-0.0546710243453586	-0.356286320939895	-0.0281054448707685	-0.926070830114879	-1.45050466405679	-0.826722762208992
CAB39L	-0.133305531805085	-0.183765894191645	-0.0767334066990759	-1.51761738990476	-2.0428932162621	-1.66807867224677
CABP5	-0.253417382331064	-0.261860760560143	-0.0802870466711314	-2.28890520742223	-2.12012585617792	-1.20686065856153
CADPS	-0.102154722361863	-0.38123389908187	-0.170138552095066	-1.44625846873574	-1.77982551478314	-1.26810581668156
CADPS2	-0.278414544838653	-0.19797158612943	-0.51123967214219	-1.51097782697629	-1.75769144276379	-2.35936503900765
CALY	-0.023516256264058	-0.100084332720374	-0.0475351466002899	-0.909517877308278	-1.16993873652315	-1.57468860593118
CAND1	-0.645851928400065	-0.160408694511966	-0.446514846030902	-2.8370745004964	-1.33039633101878	-1.71563713209064
CAND2	-0.142430039879388	-0.0358719130062877	-0.247052194826676	-0.993207035240828	-0.967955198152301	-1.8042038014959
CAP1	-0.5713292082358	-0.526367894936555	-0.579050719930419	-2.83103553867598	-2.15539535442397	-2.62593302605119
CAP2	-0.331601714699012	-0.0567632284187275	-0.273584480661731	-2.05906730475546	-1.15274576713201	-1.56934012121578
CAPN2	-0.113062411006787	-0.0983616580084195	-0.119817019089963	-1.20528750875933	-0.753072942220261	-1.81615151166043
CASP4	-0.35315398223194	-0.0425490861381017	-0.452361749877634	-1.00950146473469	-1.16795446867138	-2.29219049609752
CAT	-0.11005058914908	-0.254332228619439	-0.1770028120225	-1.41667483808655	-1.48859355209201	-1.12700369847313
CAV1	-0.145711853670059	-0.0492445149572641	-0.155444807960231	-0.566840219713962	-1.45990667654343	-0.883326078534091
CAVIN1	-0.597668425298921	-0.907018785478691	-0.857526229665279	-2.85539293434107	-2.46198951586409	-3.29604402147706
CBLL1	-0.261743539940838	-0.287057613517759	-0.623726091753137	-1.59083809226377	-1.53837553273018	-3.16088225044671
CBLL2	-0.147977687108705	-0.181766011249015	-0.0628310192326024	-0.97931734693108	-0.786695336225767	-1.43281480170129
CCDC69	-0.147474660432967	0	-0.0804978671460977	-1.3558699511007	-0.383733625651281	-0.706471259169783
CCND1	-0.674544276210678	-1.17423691355511	-1.22046002124788	-3.36168435409896	-3.62905447397542	-3.84624185553492
CCND3	-0.151503384881238	-0.189196360004855	-0.465436860875561	-2.1533491346733	-1.15964728516568	-1.29282584548095
