gene	OMM25.D28A	OMM25.D28B	OMM25.D28C	OMM25.D42A	OMM25.D42B	OMM25.D42C
ABCA3	-0.124033109935702	-0.0552210577477091	-0.0683488627432957	-0.154551516117996	-0.0844104831822964	-0.0967398450321633
ABCB1	-0.13548429565476	-0.114661429840267	-0.0762989216504969	-0.205613735004976	-0.121790618936299	-0.093798269421616
ABCC3	-0.112802430526121	-0.0930299750604489	-0.119547080970479	-0.182759846065573	-0.0488427225101019	-0.228781321196905
ABCG2	-0.209125607477236	-0.148300146778649	-0.146602015223298	-0.147464576357337	-0.158899048664015	-0.14830236233557
ABL1	-0.087237440764721	-0.106955149320985	-0.103999307739414	-0.0786813818466337	-0.0484277363064136	-0.108594859475506
ABL2	-0.0925028577222882	-0.158971721810945	-0.114868130946315	-0.119030381965444	-0.178692550121811	-0.122054616406011
ABT1	-0.72645137932199	-0.54806973876299	-0.525504863368372	-0.781510048953373	-0.609158602179783	-0.557795418901154
ABTB2	-0.127927816223303	-0.0952881819557251	-0.134599226455245	-0.237571949963492	-0.142814998914649	-0.0933646109875538
ACACA	-0.92794546559242	-0.995659225541123	-1.00963642486366	-1.16233616355246	-1.24013482650908	-1.336366346951
ACACB	-0.148889878117624	-0.107750727683914	-0.112661298953045	-0.21262707654429	-0.165749251119787	-0.117249504585382
ACTL6A	-1.04818381455081	-1.15629839720447	-1.29676462291673	-1.0200211875883	-1.32209633107081	-1.56982809514154
ACTL6B	-0.16944011958478	-0.128277625594829	-0.203423230888003	-0.198797804029218	-0.120025967859981	-0.238608942141402
ACTL7A	-0.0715583737584283	-0.103935608491858	-0.0916970170910396	-0.193523945331666	-0.121884593989945	-0.193290498998959
ADAM19	-0.0667282323930348	-0.126865555085643	-0.100737699816493	-0.0524498893421682	-0.215025517507859	-0.179541156226325
ADAP1	-0.120321537774448	-0.176732141770029	-0.136717736801376	-0.135486262757485	-0.250884300148777	-0.151994087947247
ADAP2	-0.173246952905204	-0.0491988741224896	-0.107576428801532	-0.170175286377668	-0.182762013554609	-0.222887812244276
ADARB1	-0.0725526392211976	-0.0784435167088152	-0.0745468275147207	-0.0895115421429991	-0.174036184646514	-0.0937192394302273
ADARB2	-0.0250336091897534	-0.0601739616324696	-0.0133445422414871	-0.0922614503468038	-0.075336536323385	-0.0278098213205626
ADGRG7	-0.167305017485247	-0.0516270220604746	-0.0786062637705154	-0.132741890201926	-0.0827963386239919	-0.117054348443741
ADM	-0.0946484928246736	-0.125782096297056	-0.138956577463095	-0.0709339923183156	-0.137692358535899	-0.172471799045445
ADSS	-0.313031247604905	-0.298045157058038	-0.244429840806343	-0.244398692677671	-0.387774265296812	-0.372575247031983
ADSSL1	-0.209150406700461	-0.256688203615168	-0.19477202163154	-0.252650721754796	-0.290442556599234	-0.272610858123008
AFG3L2	-0.966391751358148	-1.15598588039159	-0.922003319091964	-1.15937023215692	-1.35787733871174	-1.12337195959758
AHCYL1	-0.538426397273844	-0.660053057759608	-0.61962498000687	-0.891445731093343	-1.04875751624548	-0.923136398129949
AHCYL2	-0.138156275557325	-0.132047039549628	-0.107176497780486	-0.161609506975743	-0.194754868159754	-0.181462012543031
AIPL1	-0.0516524686011647	-0.169723002344729	-0.13503446242458	-0.0492964527777864	-0.243265632511278	-0.23299121881483
AKAP11	-0.116339755077941	-0.0505858192902818	-0.0677223323212375	-0.109430290194096	-0.0864066915053795	-0.147897429205409
AKIRIN1	-0.301563573255977	-0.313804153585871	-0.303829635391766	-0.347671037932352	-0.416558401255184	-0.414352628645534
AKIRIN2	-0.698129717309307	-0.735339210251924	-0.629112620228675	-0.975024393217466	-0.976754405175187	-0.654840407470104
ALAS1	-0.084894741504162	-0.113158978257842	-0.0859565449993808	-0.106197671069846	-0.114067936622235	-0.107940372588169
ALAS2	-0.0910756309678759	-0.107051683497992	-0.108877988374896	-0.0991856945911429	-0.0787428538253817	-0.250358413471203
ALDOA	-1.05412337028095	-1.22052986871212	-1.09314723114991	-1.46495293547555	-1.21448890746311	-1.1994487867728
ALDOC	-0.261424703378748	-0.348682770886185	-0.16764980538717	-0.298918347117648	-0.367990163666521	-0.203457308971804
ALG14	-0.439834501734124	-0.481582620310673	-0.366937572599026	-0.472699392861611	-0.730087325577663	-0.426533638876902
AMELX	-0.0952375815042527	-0.0465992957469807	-0.0382635195345492	-0.130931076319076	-0.117314753520327	-0.0587147994566419
ANAPC4	-0.739658010028571	-0.761275554685858	-0.620401716193487	-0.858579822777463	-0.679108802725579	-0.823011702412393
ANKRD10	-0.13102803682193	-0.134600586690359	-0.101451424448753	-0.167867240334027	-0.061323404483794	-0.14031022884028
ANKRD37	-0.0694329654768091	-0.0200368964233608	-0.0201348425457872	-0.0709322502514967	-0.0599722634343736	-0.0291844113877663
ANXA1	-0.176439522149129	-0.114883417307141	-0.0244854402541435	-0.17297076215325	-0.109899291473247	-0.0531380557237142
AOX1	-0.113753726612651	-0.152845559375398	-0.0942235056719707	-0.182007613140463	-0.214069161150621	-0.131837747545013
AP1G1	-0.157653394387989	-0.105783302593161	-0.117393067916616	-0.210518017031043	-0.108182114375168	-0.182739861299712
AP1G2	-0.216684876755459	-0.286185304758635	-0.265600580062445	-0.21774364575511	-0.345785532140377	-0.44277663737769
AP2A1	-0.407309185195013	-0.293239343902208	-0.317153531872226	-0.538218496027684	-0.443011323300049	-0.481459606119214
AP2A2	-0.110284089969102	-0.260577215526718	-0.10715193391338	-0.148968492085552	-0.308196582378543	-0.11959372317671
AP3M1	-0.109391122552558	-0.0257491088434099	-0.0513351564677677	-0.0988607599658879	-0.0591587504538904	-0.0479709083224378
AP5M1	-0.118438025841267	-0.128771924846129	-0.038112708147949	-0.146275947183108	-0.195490887811136	-0.0706654762296914
APH1A	-0.264241755894741	-0.320559896959618	-0.304733668437208	-0.400981310036852	-0.470076023180509	-0.34563202175765
APH1B	-0.275323690607178	-0.217111345591763	-0.170914163542644	-0.296307505309457	-0.20509351097662	-0.255935638918812
APOBEC1	-0.0864553113564415	-0.0709161502686767	-0.0514108076428656	-0.132901525719532	-0.106139575800012	-0.101944671855317
APOBEC3C	-0.128756260226796	-0.220635769970873	-0.188113620081597	-0.185795150712234	-0.311933550034614	-0.296513844779222
AQP8	-0.129517609707441	-0.0331538558549415	-0.110887004412227	-0.149018913388307	-0.0371591108236807	-0.111052735316587
ARFGEF1	-0.0836862471514202	-0.129491863702715	-0.149351116934064	-0.0598622454013831	-0.126409891357117	-0.238623257877902
ARFGEF2	-0.0962273208967203	-0.0995589334585009	-0.0818038382126688	-0.193611254781911	-0.196757736598273	-0.21079968823703
ARFIP1	-0.189924589943756	-0.154387286619263	-0.0428080572089049	-0.266974702511592	-0.257101302541577	-0.091687316723333
ARFIP2	-0.144900683175903	-0.18960031275277	-0.0934441918243857	-0.137473700546118	-0.29748761493107	-0.229786878977877
ARHGEF3	-0.022737457893136	-0.0160635185311463	-0.0207733259234079	-0.0520289380770921	-0.0371420305339083	-0.0460069006598437
ARHGEF6	-0.0582886075746389	-0.0405110686484083	-0.0618062698084033	-0.108669083852049	-0.0625545007522769	-0.123505589683106
ARHGEF7	-0.12252734245407	-0.099606832700431	-0.127734712695808	-0.112048932188167	-0.0988001540215654	-0.216657580382652
ARID1A	-0.374766886126441	-0.430831634785596	-0.513304345717284	-0.502075087722143	-0.499351822454221	-0.902762694076058
ARID1B	-0.117759705130308	-0.133482554544453	-0.0758634258122545	-0.17404538883893	-0.201068317098078	-0.169623857377339
ARID4A	-0.246278815316142	-0.174222927932373	-0.184507096154147	-0.298424749990423	-0.359973165508544	-0.270101632486482
ARPC5	-0.241581549020173	-0.125780659819029	-0.0975624606296145	-0.274209637917122	-0.139691381391499	-0.113741895310815
ARPC5L	-0.375653494874542	-0.496629209147566	-0.431389325081209	-0.40546766106347	-0.550309129216535	-0.479634807267001
ARSJ	-0.109416775612552	-0.0918422652540939	-0.0686296417832686	-0.141079463923077	-0.147155999775347	-0.127415959633167
ASCL1	-0.0647253931864062	-0.0628604574794773	-0.0610137780040213	-0.136797408552748	-0.0665681117676719	-0.142002112189939
ASF1A	-0.303930209507213	-0.30487675627127	-0.305266678704598	-0.42869959747373	-0.4190050564235	-0.453071870966044
ASF1B	-0.193916351452882	-0.277362651650362	-0.269602765149755	-0.262010922307003	-0.361948063434292	-0.457093133868006
ATAD2	-0.152747228019433	-0.11656917434983	-0.103910260181352	-0.138529155617821	-0.1330082588284	-0.133880412436583
ATAD2B	-0.139343431627729	-0.191384894779522	-0.103545032230908	-0.15689417875356	-0.285101090534241	-0.145185263417917
ATM	-0.125831638103355	-0.117750638809527	-0.0445408423015052	-0.207678587581759	-0.194283037605865	-0.172657274328746
ATOH1	-0.117060435016131	-0.0800251845842721	-0.14650321742676	-0.0786906064374407	-0.0339409392257435	-0.145680205848397
ATP5F1A	-0.976581160470735	-0.831100121911484	-0.812032827133715	-1.40225603490624	-1.12125152125117	-1.25203641348178
ATP5F1B	-0.711605784097873	-0.796934214825192	-0.847023808039445	-0.885753182611897	-1.14892994540993	-1.18034470754557
ATP5F1D	-0.729249550431105	-0.58148875138421	-0.749086948394095	-0.892260834083299	-0.863867660832598	-1.1045007844404
ATP5PB	-0.442243889483908	-0.463700902167104	-0.442409285468323	-0.640708931303053	-0.605562905576598	-0.591562263211878
ATP6V1B1	-0.167319672076819	-0.191162044418692	-0.148163600934621	-0.177578830166596	-0.197826961843828	-0.192877845124398
ATP6V1B2	-0.811851662487516	-0.843172396272999	-1.0502988311823	-0.960624221162452	-0.78315797854369	-1.24959592262524
ATP6V1C1	-0.848459451943395	-0.815516877761115	-0.849411419006541	-0.982595797942867	-1.02749034471231	-1.02004230164447
ATP6V1C2	-0.180933514642197	-0.174634483075324	-0.118048379601115	-0.232521052733913	-0.247166460228674	-0.16673553032156
ATP6V1D	-0.887220930660758	-0.953798230695531	-0.796901046017283	-1.17970920386789	-1.1459194432232	-0.996026958083369
ATP6V1E1	-0.566412137727574	-0.739858898772471	-0.424217538398777	-0.564207871930574	-0.923038612331556	-0.607850910718357
ATP6V1E2	-0.205376236542561	-0.212591399478729	-0.232048190589065	-0.311959628763704	-0.314919287795184	-0.280093133711105
ATP7A	-0.529622148280364	-0.592637256983988	-0.601572795049462	-0.618330805174404	-0.622470484610297	-0.835723125625057
ATP7B	-0.131465546371532	-0.100803393172472	-0.130386320525382	-0.14270212787017	-0.0990262415044986	-0.148363972550172
ATP8B3	-0.149935296716716	-0.210800215898802	-0.104699594504414	-0.175164608173292	-0.248004916486236	-0.184037406693594
ATR	-0.752132458367251	-0.860752029208914	-0.813588989674462	-0.848314008976858	-0.971711343487604	-1.00954952807775
AXL	-0.0889221070259561	-0.116109853572287	-0.0852486452046695	-0.0875258906929148	-0.136901237612868	-0.203334018576801
BAP1	-0.644596868578909	-0.787331508869109	-0.707280985618993	-0.841414181819999	-1.09764700807073	-0.97229064300344
BARHL1	-0.0169116484533415	-0.082474924960221	-0.125130661533147	-0.00468188599734202	-0.0806165543367341	-0.172107452854048
BATF3	-0.149120799288046	-0.1115351147498	-0.0867001852205609	-0.108473100843212	-0.11134079968703	-0.0990807736318649
BCAP31	-0.179311527306311	-0.214619429393914	-0.132426818603325	-0.262801204147336	-0.262904823617426	-0.309506546603481
BECN1	-0.548612665289169	-0.449301909341079	-0.403443421846652	-0.796079818560826	-0.493212689332331	-0.420940404788829
BECN2	-0.0561312139269381	-0.0526925666916474	-0.171273415081289	-0.0766075404391776	-0.0689517346435772	-0.238894392745601
BICD1	-0.0904665108945911	-0.127004570451038	-0.101072513198508	-0.123788865015334	-0.235171392437431	-0.224693105190767
BICD2	-0.28450506127637	-0.242145524905589	-0.304861533109367	-0.246078524774605	-0.298268880286831	-0.457701149086106
BRD8	-0.36586534370792	-0.430717434020613	-0.387470101676141	-0.399964604632938	-0.56951802231016	-0.558007429071395
BRSK1	-0.0900644861371759	-0.13647306792377	-0.0465391059141489	-0.055217478501883	-0.184639470821459	-0.052945449732242
BRSK2	-0.0639061063629233	-0.124902743183267	-0.0858334114210696	-0.155570342846879	-0.18488771686144	-0.103570343537575
BTBD11	-0.133645757637622	-0.0774841814989859	-0.0968443329948419	-0.207155214645955	-0.0426789425227753	-0.102434953868304
BTG1	-0.0223048481738093	-0.060063868521998	-0.059627060115964	-0.061826628792999	-0.0896074226851421	-0.0726162368110041
BUB1B	-0.903998494199915	-0.81277853510888	-0.880556905042792	-0.986903981826472	-0.932740602049802	-1.12249425864816
BUB3	-1.64377302397386	-1.81779510168699	-1.51371044828446	-1.86125126736684	-2.12156247621896	-1.86277694054729
BZW1	-0.187863155812402	-0.110443639544175	-0.190165798060042	-0.152307454206093	-0.215735725532999	-0.31555322617872
BZW2	-0.241746479533379	-0.192909183832296	-0.214452063992953	-0.35252994007362	-0.245020561617464	-0.285039369694801
CAB39	-0.0347543065926763	-0.0155016826163541	-0.00440581907513806	-0.0185015971078092	0	0
CAB39L	-0.149989072493189	-0.128699339049766	-0.0799333064868714	-0.130184494779751	-0.196540442356046	-0.0458465238617622
CABP5	-0.102972129526752	-0.246591210612921	-0.118159791039728	-0.111160619988647	-0.327708817673027	-0.213066099820892
CADPS	-0.0317008359685319	-0.0769895985558667	-0.023407690263781	-0.0559365458580706	-0.0863433611804016	-0.0157361549486856
CADPS2	-0.204498152659973	-0.21451760321978	-0.18077874534114	-0.169301526261914	-0.242655712497403	-0.174382343415357
CALY	-0.0556115355439517	-0.0801694189831333	-0.079122819731227	-0.107358034450336	-0.106255597395412	-0.09762213235778
CAND1	-0.550141268517526	-0.659922779741408	-0.435944455285061	-0.698537361728729	-0.798074901562499	-0.490142348109951
CAND2	-0.239544997680426	-0.136407173153436	-0.15015658429569	-0.318432988513236	-0.179078227715335	-0.225303707198772
CAP1	-0.303070901393235	-0.464993529894525	-0.358581526990703	-0.382632170355281	-0.500688717359002	-0.550005368306775
CAP2	-0.0570549789249132	-0.138896481381902	-0.0940641685832082	-0.114116517825513	-0.158253975970704	-0.0853406156431129
CAPN2	-0.0913882767794282	-0.143387194532241	-0.112037105107618	-0.107185607903536	-0.214430665436852	-0.097224404161977
CASP4	-0.0855525609149216	-0.0736246180709393	-0.0788939065222965	-0.123233883125383	-0.0445985481939795	-0.11311775549659
CAT	-0.150208748528147	-0.0962459812415644	-0.079713297950403	-0.170716234196551	-0.0896891168842885	-0.116418913720327
CAV1	-0.129023095322213	-0.195724430357047	-0.119688000304177	-0.0996260830926445	-0.202295431602358	-0.0728209298028335
CAVIN1	-0.244450910862448	-0.0871708336261988	-0.156976555715584	-0.233874120776843	-0.130499944553565	-0.15402563739724
CBLL1	-0.47082590899302	-0.399480634270548	-0.448981029075474	-0.665416153529933	-0.556200070498714	-0.683463806110084
CBLL2	-0.0497026456561339	-0.0263408849419262	-0.0523935020146283	-0.0264346759223107	-0.017262394066268	-0.17741053204295
CCDC69	-0.0951651105437599	-0.102938626050814	-0.0791848996652134	-0.0978126935028166	-0.139329100611428	-0.12677991126798
CCND1	-0.983933781525106	-0.817434296164437	-0.883626001948875	-1.2876624311964	-1.11157307646672	-1.32751340209025
CCND3	-0.162204107106252	-0.122250804996078	-0.222528532073413	-0.196349331021173	-0.242883609213564	-0.338159709312738
CCNE1	-0.108861654128002	-0.238254722660991	-0.176814929261952	-0.0869593025455478	-0.269743138345235	-0.169457901385245
CCNE2	-0.0830385936020173	-0.0850327807211322	-0.106856985863965	-0.0235571960840041	-0.0963142538841619	-0.103387659372613
CCNL1	-0.543038016425796	-0.496737971631113	-0.398063072294719	-0.640403169026653	-0.65396173136358	-0.591982152783919
CCNL2	-0.098361045339602	-0.112196049353099	-0.0677446992165631	-0.0776282809788976	-0.132221960400568	-0.0728358160823649
CCNT1	-0.175299527584332	-0.100380262949053	-0.113678343815623	-0.20583115388103	-0.0826894282893079	-0.10433418271358
CCNT2	-0.220036916996994	-0.165384336454326	-0.133358360049156	-0.283450189066555	-0.218143413542064	-0.194359730781316
