gene	BF
ABCA3	-1.62002083333333
ABCB1	-1.74572916666667
ABCC3	-0.915895833333333
ABCG2	-1.753125
ABL1	-1.6659375
ABL2	-1.01445833333333
ABT1	0.723145833333334
ABTB2	-1.13627083333333
ACACA	-1.17852083333333
ACACB	-1.61677083333333
ACTL6A	2.93127083333333
ACTL6B	-1.17360416666667
ACTL7A	-1.08516666666667
ADAM19	-1.39289583333333
ADAP1	-0.563583333333333
ADAP2	-1.03066666666667
ADARB1	-2.000875
ADARB2	-1.48333333333333
ADGRG7	-1.48170833333333
ADM	-0.737104166666666
ADSS	1.34897321428571
ADSSL1	-0.928583333333333
AFG3L2	0.874965277777778
AHCYL1	-0.316291666666666
AHCYL2	-1.3024375
AIPL1	-1.78202083333333
AKAP11	-1.4905625
AKIRIN1	0.1296875
AKIRIN2	1.4534375
ALAS1	-2.23258333333333
ALAS2	-2.03777083333333
ALDOA	3.37358333333333
ALDOC	-0.619833333333333
ALG14	-0.231333333333333
AMELX	-2.25254166666667
ANAPC4	0.8734375
ANKRD10	-0.759479166666666
ANKRD37	-1.56916666666667
ANXA1	-1.90354166666667
AOX1	-1.79595833333333
AP1G1	-0.756645833333333
AP1G2	-0.455958333333333
AP2A1	1.77708333333333
AP2A2	-0.845645833333333
AP3M1	-1.24564583333333
AP5M1	-1.50302083333333
APH1A	-0.993354166666666
APH1B	-1.98708333333333
APOBEC1	-1.12989583333333
APOBEC3C	-0.9714375
AQP8	-1.75439583333333
ARFGEF1	-1.16664583333333
ARFGEF2	-1.417875
ARFIP1	-1.61070833333333
ARFIP2	-1.53152083333333
ARHGEF3	-1.766125
ARHGEF6	-2.43277083333333
ARHGEF7	-0.5450625
ARID1A	-0.603583333333333
ARID1B	-0.387729166666666
ARID4A	-1.63029166666667
ARPC5	-0.202791666666666
ARPC5L	0.4108125
ARSJ	-1.726375
ASCL1	-1.30877083333333
ASF1A	-0.0372708333333329
ASF1B	0.0165312500000004
ATAD2	-0.750833333333333
ATAD2B	-1.63177083333333
ATM	-1.4220625
ATOH1	-1.78320833333333
ATP5F1A	1.9836875
ATP5F1B	3.15072916666667
ATP5F1D	2.10983333333333
ATP5PB	0.361104166666667
