id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	1.0263e-14	4.6703e-06	0.000381	1	16	-1.8925	1.0	1.0	0.999995	1060	0	-1.8925
NAE1	16	1.9061e-11	4.6703e-06	0.000381	2	15	-0.89626	0.58538	0.58343	0.999995	557	0	-0.89626
PRKDC	16	5.2687e-10	4.6703e-06	0.000381	3	15	-0.97692	0.9991	0.99932	0.999995	1026	0	-0.97692
RRM1	16	1.103e-08	4.6703e-06	0.000381	4	16	-1.7264	1.0	1.0	0.999995	1055	0	-1.7264
PRPF8	8	3.0696e-08	4.6703e-06	0.000381	5	8	-1.6664	1.0	1.0	0.999995	1059	0	-1.6664
BUB3	8	4.0834e-08	4.6703e-06	0.000381	6	8	-1.7194	1.0	1.0	0.999995	1058	0	-1.7194
PCGF1	8	5.0609e-08	4.6703e-06	0.000381	7	7	-0.77882	0.83419	0.83402	0.999995	778	0	-0.77882
PPP4C	8	5.1336e-08	4.6703e-06	0.000381	8	7	-1.3551	0.97701	0.97642	0.999995	938	0	-1.3551
CCND1	8	9.1604e-08	4.6703e-06	0.000381	9	8	-1.473	1.0	1.0	0.999995	1053	0	-1.473
POLR2L	8	1.9855e-07	4.6703e-06	0.000381	10	8	-2.1308	1.0	1.0	0.999995	1057	0	-2.1308
LDB1	16	5.2785e-07	1.4011e-05	0.001061	11	15	-1.2342	0.99735	0.99774	0.999995	1017	0	-1.2342
MTG2	8	7.6052e-07	4.6703e-06	0.000381	12	8	-0.96378	1.0	1.0	0.999995	1056	0	-0.96378
RRM2	7	9.2197e-07	4.6703e-06	0.000381	13	6	-2.1459	0.76869	0.76742	0.999995	717	0	-2.1459
MRPL38	8	1.0847e-06	4.6703e-06	0.000381	14	8	-0.98337	1.0	1.0	0.999995	1054	0	-0.98337
SF3B1	8	2.3583e-06	2.3351e-05	0.00165	15	7	-1.1607	0.75371	0.7534	0.999995	698	0	-1.1607
CLTC	8	2.5393e-06	3.2692e-05	0.002166	16	8	-1.2599	0.9999	0.99988	0.999995	1041	0	-1.2599
KIF11	8	5.4243e-06	4.2033e-05	0.002475	17	8	-1.2471	0.99999	1.0	0.999995	1052	0	-1.2471
HRAS	8	5.6497e-06	4.2033e-05	0.002475	18	7	-0.73381	0.99586	0.99582	0.999995	1009	0	-0.73381
ALDOA	8	7.2345e-06	5.1373e-05	0.002593	19	7	-1.276	0.88957	0.88935	0.999995	830	0	-1.276
NMT1	8	7.53e-06	5.1373e-05	0.002593	20	8	-0.97644	0.99999	1.0	0.999995	1051	0	-0.97644
HUS1	8	1.0238e-05	7.0054e-05	0.003375	21	7	-1.4232	0.94475	0.94402	0.999995	887	0	-1.4232
E2F3	7	1.1049e-05	5.1373e-05	0.002593	22	6	-1.4801	0.86337	0.8623	0.999995	803	0	-1.4801
NAA10	8	1.4951e-05	0.00013544	0.006242	23	8	-0.89242	0.99993	0.99994	0.999995	1044	0	-0.89242
SF1	8	2.2216e-05	0.00019148	0.008119	24	7	-1.3706	0.35609	0.35612	0.704273	242	0	-1.3706
MED18	16	2.2673e-05	0.00030357	0.011846	25	14	-0.85453	0.58538	0.58343	0.999995	547	0	-0.85453
CKAP5	16	2.3519e-05	0.00031291	0.011846	26	15	-1.1236	0.99976	0.99976	0.999995	1036	0	-1.1236
MDM4	8	3.4027e-05	0.00030357	0.011846	27	8	-1.0172	0.99997	0.99998	0.999995	1050	0	-1.0172
RPL10A	7	3.4462e-05	0.00018214	0.008045	28	6	-1.3205	0.61438	0.61386	0.999995	576	0	-1.3205
TACC3	8	4.1736e-05	0.00035027	0.012706	29	7	-1.2005	0.82428	0.82407	0.999995	766	0	-1.2005
ATP5F1B	8	4.2542e-05	0.00035961	0.012706	30	8	-1.3193	0.99964	0.99955	0.999995	1034	0	-1.3193
RPL36	8	4.6571e-05	0.00039697	0.013351	31	8	-1.0559	0.99995	0.99995	0.999995	1049	0	-1.0559
NXT1	8	4.9719e-05	0.00040631	0.013351	32	6	-0.90314	0.88318	0.88289	0.999995	822	0	-0.90314
RPP21	8	5.1131e-05	0.00041565	0.013351	33	8	-1.4185	0.99995	0.99995	0.999995	1048	0	-1.4185
ELL	8	5.7693e-05	0.0004717	0.014706	34	8	-1.1961	0.99994	0.99995	0.999995	1047	0	-1.1961
TUBB4B	16	6.3508e-05	0.00075191	0.019213	35	15	-0.78464	0.99986	0.99984	0.999995	1040	0	-0.78464
UQCRC1	8	6.3979e-05	0.00049972	0.015134	36	8	-0.86109	0.99994	0.99994	0.999995	1046	0	-0.86109
TOP2A	8	7.8056e-05	0.00058378	0.017189	37	7	-1.1477	0.99599	0.99594	0.999995	1011	0	-1.1477
GTF3C1	8	9.2451e-05	0.00066785	0.01889	38	8	-0.90057	0.99991	0.99989	0.999995	1042	0	-0.90057
RRM2B	16	9.2807e-05	0.0010415	0.023999	39	15	-0.61842	0.99993	0.99991	0.999995	1045	0	-0.61842
TLN1	8	9.8793e-05	0.00072389	0.019213	40	8	-1.2198	0.99985	0.99978	0.999995	1039	0	-1.2198
MED20	8	0.00010165	0.00073323	0.019213	41	7	-1.2086	0.99222	0.99215	0.999995	991	0	-1.2086
ERBB3	16	0.00010883	0.0011816	0.025917	42	15	-0.58664	0.99993	0.99991	0.999995	1043	0	-0.58664
ATP6V1B2	8	0.00011293	0.00076126	0.019213	43	8	-1.2541	0.99937	0.99924	0.999995	1029	0	-1.2541
RPL13	6	0.0001213	0.00067719	0.01889	44	6	-1.3422	0.99968	0.99972	0.999995	1035	0	-1.3422
RPL3	14	0.00012568	0.0012283	0.025917	45	12	-1.0205	0.84449	0.84391	0.999995	785	0	-1.0205
SF3B2	8	0.00013899	0.000864	0.021299	46	6	-1.277	0.35609	0.35612	0.704273	232	0	-1.277
TIMM10	8	0.00015673	0.0010041	0.023999	47	7	-1.0967	0.99393	0.99393	0.999995	998	0	-1.0967
MTHFD1	8	0.00016047	0.0010321	0.023999	48	8	-0.77226	0.99984	0.99976	0.999995	1038	0	-0.77226
COX6B1	16	0.00017448	0.0018074	0.030901	49	13	-0.84549	0.58538	0.58343	0.999995	554	0	-0.84549
TOMM40	14	0.00017767	0.0017327	0.030433	50	11	-0.79762	0.53715	0.53702	0.999995	540	0	-0.79762
HSCB	8	0.00018948	0.0012283	0.025917	51	7	-1.086	0.99593	0.99588	0.999995	1010	0	-1.086
