gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
ABCA3	-0.23938474616306	-0.27069098332746	-0.208740147115082	-0.296100674082568	-0.281208200040027	-0.231379744926827
ABCB1	-0.202977999649793	-0.203313036066684	-0.211746064190549	-0.229275018818916	-0.236353404766968	-0.26088234798168
ABCC3	-0.332086331937374	-0.45242669375496	-0.346994764415423	-0.460241292983826	-0.520422211961019	-0.399960231569203
ABCG2	-0.198952397201228	-0.205451055992466	-0.159027744702836	-0.307050059107931	-0.299791689082005	-0.164191663068017
ABL1	-0.171520655267191	-0.293502371683381	-0.227104134399032	-0.193668434160992	-0.320025800742712	-0.236575321549602
ABL2	-0.322082898586645	-0.361997176813145	-0.341038932841499	-0.528265239741667	-0.414196169832484	-0.374563132618038
ABT1	-0.741094043192757	-0.674681501393167	-0.745174240976933	-0.823427326690078	-0.827385004984648	-0.921131658264498
ABTB2	-0.294482205457456	-0.325628559423331	-0.461397093878358	-0.346714237031978	-0.310124744190531	-0.431161952355341
ACACA	-0.485106053630198	-0.393979272575676	-0.311931540829646	-0.371446979669633	-0.264940026698039	-0.292297042892419
ACACB	-0.217185529602169	-0.163574921831137	-0.265389644289165	-0.346123669318723	-0.1682015561578	-0.377519718257548
ACTL6A	-1.09400999693367	-1.05680339828097	-1.16282685405616	-1.21863680939868	-1.47812014884282	-1.57207584296639
ACTL6B	-0.337211967809577	-0.256457308853576	-0.421984860291189	-0.393795214698077	-0.204099685981699	-0.552095509300491
ACTL7A	-0.317571038329495	-0.338305347883832	-0.381822395999916	-0.264920599813403	-0.408182970450609	-0.536342794496465
ADAM19	-0.266062730235528	-0.270896475644679	-0.234878536023729	-0.352500763520243	-0.370980625210122	-0.326130488321023
ADAP1	-0.387195421692497	-0.460095803348695	-0.499025442718822	-0.559107552212487	-0.530760360230448	-0.547484552235565
ADAP2	-0.327211799579396	-0.425525355651436	-0.324067486026918	-0.370491485650082	-0.40179814466868	-0.466304639476945
ADARB1	-0.11225957946074	-0.120464994875164	-0.14701109950861	-0.205255032689552	-0.208685450788438	-0.306120041990548
ADARB2	-0.308821127529382	-0.228896768873694	-0.337728661572577	-0.261845609722793	-0.254383319165615	-0.365281396530892
ADGRG7	-0.198152910914539	-0.262982566070897	-0.266081534354638	-0.309569886740858	-0.418754575132962	-0.300449145981075
ADM	-0.420985030165123	-0.381786518000441	-0.419811617967511	-0.666363977529627	-0.381747101164719	-0.453021774310314
ADSS	-0.834595529977752	-0.692264509140326	-0.733258148907669	-1.2761224710202	-1.0110929805219	-1.02614866596762
ADSSL1	-0.447375292252373	-0.408373924619903	-0.357903295744808	-0.529878149667391	-0.367222083935176	-0.350358793628181
AFG3L2	-0.674702604777366	-0.882163902332358	-0.681617964813566	-0.867408099933541	-1.12306127976422	-0.616810221090849
AHCYL1	-0.469819769649148	-0.477650835341603	-0.467542089289794	-0.47477710366979	-0.656478909632278	-0.750597206214737
AHCYL2	-0.32523463726302	-0.30217766360548	-0.362916445732105	-0.295152220738318	-0.295533154281139	-0.368815686891866
AIPL1	-0.178768798533523	-0.190331986170819	-0.193231112430548	-0.229108274189017	-0.179443572510083	-0.31518361041798
AKAP11	-0.295144599132205	-0.291316560062092	-0.268245652152133	-0.369289339173959	-0.324821763338309	-0.150657682709236
AKIRIN1	-0.440747019433931	-0.509848794780003	-0.639038820610634	-0.801712156210168	-0.676315838508623	-0.871604431881179
AKIRIN2	-0.740554130169464	-0.893237532509804	-0.878365461708436	-1.13386602725275	-1.10306835340851	-0.974669573341831
ALAS1	-0.13060560486989	-0.125767718690604	-0.113647451643345	-0.0980172871424414	-0.116925597717678	-0.120888485598766
ALAS2	-0.111023034871508	-0.189202975784468	-0.157220658806955	-0.19229362797492	-0.186414494200679	-0.176540237729577
ALDOA	-1.1262369138893	-1.26283342088053	-1.21062304717586	-1.51311268961956	-1.55202765825553	-1.58046692282573
ALDOC	-0.392051788686428	-0.357802512491642	-0.550619700658295	-0.458397164472875	-0.456016150999859	-0.692278394923855
ALG14	-0.54765999298951	-0.476264945578034	-0.404647666610339	-0.632655110387708	-0.670535215728208	-0.677194114383528
AMELX	-0.132325278242603	-0.0709757879304271	-0.0669431803443338	-0.136851564469168	-0.127482758433206	-0.151784555940341
ANAPC4	-0.69311038038486	-0.755545438112288	-0.715952413014211	-0.986836046654327	-0.808981297934905	-0.906414650973351
ANKRD10	-0.459688443458701	-0.459565169832132	-0.401391994725109	-0.539429458311147	-0.469057673866614	-0.392073511266992
ANKRD37	-0.201436616941703	-0.280011820280423	-0.266330562828108	-0.193724888882388	-0.327282095398835	-0.316903077120558
ANXA1	-0.135769432632739	-0.185896381151726	-0.17564341839169	-0.167591545216392	-0.245059284522755	-0.282219227304152
AOX1	-0.178592083085717	-0.291119657161544	-0.146438857066579	-0.148407943155214	-0.252289962748272	-0.25000689898178
AP1G1	-0.411179509677818	-0.375745838947742	-0.395090281871486	-0.519973091932816	-0.483413061815775	-0.490393687191124
AP1G2	-0.520794209395697	-0.50346527823888	-0.338488804163308	-0.797531021789913	-0.527704511080645	-0.44206257965502
AP2A1	-0.908999890511639	-0.971707199259746	-0.802827953111288	-1.3188440432312	-1.19765202510735	-0.968066478144374
AP2A2	-0.402015418554053	-0.391404981611255	-0.351156663094336	-0.581372324835627	-0.481406184394036	-0.367140018531326
AP3M1	-0.335016958604635	-0.32359731764574	-0.280196552217403	-0.374377862553315	-0.350268690206045	-0.355907744066545
AP5M1	-0.223145592587771	-0.224649458123052	-0.373810032261705	-0.224774857091525	-0.279028135338409	-0.402323801227831
APH1A	-0.352604438679676	-0.370930228592363	-0.302176303916458	-0.478547259838334	-0.306351231395209	-0.562084433899858
APH1B	-0.0883040176013428	-0.132812751022001	-0.238356675360608	-0.131458583456522	-0.222287565356026	-0.215708254208679
APOBEC1	-0.307648570212125	-0.318325282674029	-0.318754587634009	-0.439124060068985	-0.461699748772654	-0.33264399227635
APOBEC3C	-0.467851842011131	-0.585394103855432	-0.392495516188753	-0.377891907180229	-0.377414920482244	-0.189053867708208
AQP8	-0.180114260050196	-0.152815123949775	-0.202193823364477	-0.28974672666498	-0.2651627539158	-0.273499933070979
ARFGEF1	-0.319342071330067	-0.36136740253744	-0.313958261931174	-0.383486478202613	-0.40334154308543	-0.395541736545834
ARFGEF2	-0.273335975813141	-0.246266127159618	-0.333358211787144	-0.184960573594381	-0.303642140855409	-0.441327304012355
ARFIP1	-0.222465565161347	-0.22373022748126	-0.22832377091214	-0.243076865002649	-0.371243681033286	-0.240057794032249
ARFIP2	-0.203327097145299	-0.255816261841204	-0.260859682787595	-0.379985597706223	-0.299228002574379	-0.292654662696143
ARHGEF3	-0.200081006890192	-0.203955625237386	-0.13928842236472	-0.217774038752418	-0.205003823187728	-0.33891338815178
ARHGEF6	-0.113462147137527	-0.102602816660503	-0.00182887260303138	-0.183337059907091	-0.0997164365604244	-0.00298466597461747
ARHGEF7	-0.386210372066699	-0.353761884573507	-0.41773635134977	-0.724209121936962	-0.504721094589388	-0.549647394355572
ARID1A	-0.534371507883381	-0.530123755872348	-0.472959313012423	-0.430231017904806	-0.509698778325417	-0.40996151267927
ARID1B	-0.493326688678008	-0.464648282332068	-0.576161036838022	-0.491045344890751	-0.591071099188072	-0.580575899948557
ARID4A	-0.235199404691936	-0.25489458635388	-0.262568016415541	-0.248597262544207	-0.260540266458062	-0.257694897086868
ARPC5	-0.443377600161927	-0.499736239251137	-0.478484520156388	-0.71504688139369	-0.776446426318295	-0.533617601431158
ARPC5L	-0.546783068360605	-0.642371544140188	-0.820175822330186	-0.709441811572926	-0.72203503963472	-0.815669099828049
ARSJ	-0.236255966849661	-0.172769706214886	-0.251690338963578	-0.221489366531792	-0.277509615901521	-0.227596446124721
ASCL1	-0.332898015356579	-0.322337621301244	-0.371995048377165	-0.233621623674031	-0.254662503780454	-0.42168208580185
ASF1A	-0.500589606519043	-0.444752686980734	-0.429228566333962	-0.785218699073169	-0.70856506052339	-0.76422200587065
ASF1B	-0.508686009539183	-0.541335536737742	-0.643881151151988	-0.591164124028673	-0.64209882033024	-0.833513872412051
ATAD2	-0.482840862235636	-0.365152160089228	-0.391898100175903	-0.556520555119863	-0.426006686400083	-0.46098298226475
ATAD2B	-0.268361958165236	-0.225345395377483	-0.299796604968314	-0.372795642680759	-0.144219767811655	-0.182328741865347
ATM	-0.156653213257284	-0.155040591714465	-0.145711299542625	-0.406705332722288	-0.522760351180807	-0.399917876790483
ATOH1	-0.168133048106407	-0.256510562596487	-0.229501658798866	-0.193503938214113	-0.212073890427455	-0.293246755884937
ATP5F1A	-1.03005246742009	-0.899929076089774	-0.77169675684535	-1.26424632929668	-0.976929820752617	-1.18360847833577
ATP5F1B	-1.23517636940565	-1.14746510051923	-1.15921490287758	-1.64851121384066	-1.46041154499524	-1.38621629006543
ATP5F1D	-1.03872918321947	-0.905451557296892	-0.972162195233612	-1.10803218695311	-1.25428270793735	-1.20957616275062
ATP5PB	-0.572254269966835	-0.659168867265922	-0.678524198658708	-0.699996654756434	-0.759790398288226	-0.853804968807958
ATP6V1B1	-0.242154470433598	-0.315535193838936	-0.258926460890384	-0.225083782715273	-0.320521421312322	-0.341977484686734
ATP6V1B2	-1.16772614833865	-1.42790901028789	-1.31405460186472	-1.53704155332181	-1.67799506243828	-1.75194695696
ATP6V1C1	-0.986714026634041	-0.964934152477241	-0.850514582789517	-1.25103805631133	-1.03708699513837	-1.02086105681152
ATP6V1C2	-0.341024588825156	-0.415225994464249	-0.458487180116713	-0.44325101511365	-0.500080300513284	-0.637883975725972
ATP6V1D	-1.1472310074665	-1.08682496003461	-0.934192641543142	-1.43630094436613	-1.59465188595039	-1.21668591582611
ATP6V1E1	-0.763531473599709	-0.767758381201578	-0.62277639051161	-0.958050000699227	-0.799112829758885	-0.566300176178344
ATP6V1E2	-0.354077966407399	-0.265635018332888	-0.282671574481561	-0.392875470851702	-0.338616996610355	-0.323369334558969
ATP7A	0	0	0	0	0	0
ATP7B	-0.0978198165518491	-0.177453483841752	-0.127052402356051	-0.202554969929801	-0.280957124325528	-0.139732279728579
ATP8B3	-0.346568448698408	-0.32970994196451	-0.367593411673215	-0.379243586070981	-0.455967291098211	-0.413308182214371
ATR	-0.771257890613656	-0.73335195175066	-0.910905644667604	-1.0210093608247	-1.11334820082727	-1.05819832786779
AXL	-0.330475267111695	-0.294907261321448	-0.388885389095433	-0.503554872340614	-0.329131313671484	-0.534584728367457
BAP1	-0.641691058340109	-0.569385912162956	-0.528595455814382	-0.549917126802094	-0.491844771638578	-0.313549548409132
BARHL1	-0.493811526169493	-0.420368069684244	-0.392215185052107	-0.658951766028788	-0.458617104339205	-0.51981213668392
BATF3	-0.39197877532823	-0.447616431963748	-0.317499073450977	-0.517432689784299	-0.443634129264422	-0.323791410236752
BCAP31	-0.270616890118522	-0.340516161314701	-0.367151821013904	-0.396922364670787	-0.470624537670939	-0.529979891498622
BECN1	-0.373732940400427	-0.468873247539014	-0.468175970479312	-0.401305384181048	-0.599221411913931	-0.548988602176577
BECN2	-0.368743569434234	-0.349143707045233	-0.414383597725713	-0.527203181367383	-0.336418796309945	-0.368549698280224
BICD1	-0.411947144479557	-0.289346902372651	-0.51438531722792	-0.535741001878535	-0.502245006416994	-0.499571236720311
BICD2	-0.314304646056402	-0.463740348229651	-0.500248305824324	-0.31995674712226	-0.613226179345039	-0.654001378562724
BRD8	-0.738857191257503	-0.600775132812762	-0.573030514482869	-1.04709819382277	-0.95507547056661	-0.56813650256261
BRSK1	-0.308898683202537	-0.365563800394485	-0.367531438540675	-0.417245770692642	-0.506608003480722	-0.389424052502338
BRSK2	-0.516052350398	-0.599867749467805	-0.476315683891126	-0.583478992821696	-0.744640703163459	-0.587270510103808
BTBD11	-0.386855022200878	-0.328669513189096	-0.405536490992846	-0.441905768268627	-0.404494798048092	-0.422541281377364
BTG1	-0.422736905184188	-0.361080988941101	-0.368377994333965	-0.472680830925515	-0.442927082207316	-0.473023034338527
BUB1B	-0.744481303618949	-0.698967371294488	-0.723764563417953	-0.738083703382086	-0.704643345084265	-0.887527896361185
BUB3	-1.66584976267198	-1.51372038497529	-1.66301840644308	-1.96956417598293	-1.69857956378393	-2.24950654549287
BZW1	-0.350189492178269	-0.358885901778347	-0.278940474589002	-0.345826750460897	-0.287778655118925	-0.371532567844211
BZW2	-0.443088706538829	-0.404979052861424	-0.473020733629398	-0.657232895704661	-0.777866176891347	-0.775261470456204
CAB39	-0.296061457372133	-0.333960088683922	-0.342280216263257	-0.385100009242354	-0.62932095567644	-0.322286516569939
CAB39L	-0.22908985593909	-0.232289302355731	-0.292432856734379	-0.443820328677587	-0.244391826415529	-0.33624972799598
CABP5	-0.455886770356538	-0.525946919477255	-0.506756030271304	-0.54959084070876	-0.54713749943013	-0.485969415099252
CADPS	-0.205111867170844	-0.193412690589524	-0.333547838351532	-0.177753498848463	-0.185248826445667	-0.329384429361274
CADPS2	-0.26864935791265	-0.222700580603718	-0.32456181858488	-0.452541721909211	-0.279872904378762	-0.342398186471178
CALY	-0.291232823563793	-0.356230114597801	-0.354432246428173	-0.521575904083342	-0.463909095469953	-0.357088478500725
CAND1	-0.408119732389494	-0.485289274065037	-0.445785596691219	-0.516204139023772	-0.582021076299441	-0.594798506049331
CAND2	-0.361585145206502	-0.446312444322138	-0.299604464752549	-0.539836111882773	-0.390271648911301	-0.290216142158645
CAP1	-0.458224665023578	-0.438839239955193	-0.539039968576294	-0.483487123577144	-0.519815847644966	-0.627347125162389
CAP2	-0.380631572089503	-0.38385862451711	-0.415201333440995	-0.456791547689301	-0.419795540904277	-0.440288396609283
CAPN2	-0.464003803232894	-0.547457004928595	-0.436005951561656	-0.627907099852922	-0.594887810286795	-0.546960508522522
CASP4	-0.275834978198114	-0.308176518917188	-0.269646938663394	-0.235744284400516	-0.232525255627633	-0.296435834684147
CAT	-0.219623948743357	-0.181147428653255	-0.260827500630041	-0.302394717974808	-0.158911259057244	-0.266652459589965
CAV1	-0.228934611677366	-0.235236977495764	-0.158023920561111	-0.248876986641993	-0.216668429349232	-0.219441159933295
CAVIN1	-0.605934437854255	-0.539714634925939	-0.558055357536952	-0.860192245541513	-0.759592698105129	-0.653835604195432
CBLL1	-0.490195288536894	-0.455609681055204	-0.39574423293686	-0.760410526043146	-0.629824623310705	-0.577952744208196
CBLL2	-0.12613499296225	-0.17177630270381	-0.0841162976908862	-0.220548047573676	-0.219721544194118	-0.115711220490514
CCDC69	-0.255416010719844	-0.302517507773178	-0.258990269241606	-0.383854523214435	-0.31528416199456	-0.233588450493514
CCND1	-1.79722708187508	-1.61212672926481	-1.6998151024069	-2.09276565589873	-1.98870699216618	-1.97408773980363
CCND3	-0.632455109189725	-0.727446525321129	-0.730836614449259	-0.785805407643095	-0.760527485268582	-0.834182166193969
CCNE1	-0.23530399381333	-0.299136676396998	-0.209467344512965	-0.382765582783174	-0.369686056149892	-0.201738933612489
CCNE2	-0.35250635169668	-0.365143967928703	-0.373616128610502	-0.559455138685444	-0.409175301282558	-0.480646333559061
CCNL1	-0.346782847842832	-0.375286225094471	-0.316221945019057	-0.313510186388274	-0.494085621073197	-0.336335880329021
CCNL2	-0.296384002116854	-0.295158813822056	-0.377620191962631	-0.349204284618396	-0.329292064927543	-0.34576081658366
CCNT1	-0.72738190521948	-0.664117824648563	-0.649862286444842	-0.974503731401248	-0.850819450914775	-0.803947523264406
CCNT2	-0.51881304949738	-0.565740881682286	-0.564567015369194	-0.743474912369116	-0.73246269457513	-0.666954221994473
CCT6A	-1.30561355056248	-1.05273344321714	-1.34584937241966	-1.5782526721356	-1.25741283517756	-1.66606744499256
CCT6B	-0.358843306861544	-0.381629284317495	-0.481112197514936	-0.501907213100023	-0.505231025473169	-0.644391567009813
CD163L1	-0.131674875879096	-0.073548458117773	-0.0596755343855018	-0.328295491073503	-0.0619248561986262	-0.104534513290249
CD44	-0.339508884427392	-0.266391920633074	-0.285734432378093	-0.549684792777507	-0.331525052105986	-0.321773431133343
CD72	-0.232302566816406	-0.254643514793998	-0.198426214419865	-0.267031373717143	-0.22096817276241	-0.211359827547513
CDC34	-0.474286872523225	-0.416831185006154	-0.483952659134138	-0.586147459359735	-0.383493812177111	-0.461944075459579
CDIPT	-1.16899922017412	-1.0034976205415	-1.31607807010733	-1.58273764187125	-1.15797860912277	-1.62022406233361
CDK16	-0.121133572760587	-0.0444767306473823	-0.0657233500127749	-0.202852043260058	-0.0604526793218324	-0.0879820937163592
CDK17	-0.0516080246433754	-0.0419415483910464	-0.0678928375507044	-0.0301868683938609	-0.0204218833672862	-0.0957731392797875
CDK19	-0.217535730776169	-0.167692839121734	-0.220869043490018	-0.298176176641658	-0.281022240946645	-0.295022635216585
CDK2	-0.948671244488942	-1.12002979751064	-0.969164786993731	-1.38168373761525	-1.22399397966412	-1.20717662386951
CDK5R1	-0.439212256994878	-0.600353283941648	-0.621510028910848	-0.352851411403377	-0.858907211289143	-0.791774523406554
CDK5R2	-0.398520711764974	-0.451913289846106	-0.421632749084689	-0.508993683227286	-0.53264519045192	-0.585086673571739
CDK7	-0.980453158951209	-0.901760571248766	-1.0176110183521	-1.40182104288342	-1.21817423293289	-1.20310826936928
CDK8	-0.522280448952109	-0.524530166322463	-0.559711108647843	-0.714172014137711	-0.635137772758447	-0.970269594083674
CDNF	-0.142319892429689	-0.195404201523734	-0.324807259876243	-0.125974586272981	-0.332213503161045	-0.343664380232136
CDS1	-0.170965587948735	-0.0927370969679123	-0.140633882308158	-0.196844064666602	-0.178582479188416	-0.199693533716297
CDS2	-0.940625457400029	-1.12962876313459	-1.04931763373586	-1.07876999677345	-1.5177593788198	-1.61936547460191
CEACAM1	-0.408249291481249	-0.448664331169169	-0.413810365561319	-0.47811550857113	-0.550479879986214	-0.480068695460147
CELA2A	-0.299250120519985	-0.23255360577147	-0.206124210624862	-0.408411191228794	-0.145263329848104	-0.233846778297723
CFL1	-0.673905108828001	-0.533487161522521	-0.606438556729199	-0.861497344104415	-0.648809618159354	-0.73945166798428
CHM	-0.0900493555365807	-0.0689541871878674	-0.0726398349772576	-0.0956265749524881	-0.0846157340257763	-0.0168734954770389
CHML	-0.208917663676954	-0.21112558778194	-0.174067370452912	-0.292278583488556	-0.240362388124942	-0.217710612544959
CHMP1A	-0.693258836297142	-0.666934840727973	-0.69522904729665	-0.615172366458042	-0.722478956212307	-0.784880389820709
