id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NAE1	16	8.4957e-14	4.6703e-06	0.000206	1	15	-0.74171	0.99901	0.99925	0.999995	990	0	-0.74171
MYC	16	6.2042e-12	4.6703e-06	0.000206	2	16	-1.1853	1.0	1.0	0.999995	1058	0	-1.1853
RRM1	16	1.0817e-11	4.6703e-06	0.000206	3	16	-1.7503	1.0	1.0	0.999995	1054	0	-1.7503
PRPF8	8	5.9183e-11	4.6703e-06	0.000206	4	8	-1.5615	1.0	1.0	0.999995	1060	0	-1.5615
CCND1	8	9.7278e-11	4.6703e-06	0.000206	5	8	-1.9201	1.0	1.0	0.999995	1059	0	-1.9201
BUB3	8	9.4183e-10	4.6703e-06	0.000206	6	8	-1.8638	1.0	1.0	0.999995	1057	0	-1.8638
PPP4C	8	2.343e-09	4.6703e-06	0.000206	7	8	-1.3119	1.0	1.0	0.999995	1046	0	-1.3119
RPL3	14	3.024e-09	4.6703e-06	0.000206	8	13	-1.3029	0.98835	0.98865	0.999995	933	0	-1.3029
COPA	8	1.1e-08	4.6703e-06	0.000206	9	8	-1.8598	1.0	1.0	0.999995	1056	0	-1.8598
POLR2L	8	1.7813e-08	4.6703e-06	0.000206	10	8	-1.9618	1.0	1.0	0.999995	1055	0	-1.9618
CDIPT	8	3.0046e-08	4.6703e-06	0.000206	11	8	-1.691	0.99676	0.99661	0.999995	965	0	-1.691
PPP2CA	16	2.0348e-07	1.4011e-05	0.000479	12	14	-1.0284	0.99906	0.99929	0.999995	992	0	-1.0284
SF3B1	8	2.246e-07	4.6703e-06	0.000206	13	8	-1.1974	0.99888	0.99887	0.999995	987	0	-1.1974
TOP2A	8	2.4929e-07	4.6703e-06	0.000206	14	8	-1.459	1.0	1.0	0.999995	1050	0	-1.459
MED18	16	2.5345e-07	1.4011e-05	0.000479	15	14	-1.1469	0.76714	0.76618	0.999995	672	0	-1.1469
KIF11	8	2.6223e-07	4.6703e-06	0.000206	16	8	-1.1253	1.0	1.0	0.999995	1053	0	-1.1253
SF3B3	8	2.8936e-07	4.6703e-06	0.000206	17	8	-1.4263	1.0	1.0	0.999995	1052	0	-1.4263
ATP6V1B2	8	3.2669e-07	4.6703e-06	0.000206	18	8	-1.6066	1.0	1.0	0.999995	1051	0	-1.6066
AHCYL1	8	3.6602e-07	4.6703e-06	0.000206	19	8	-1.1651	0.99997	0.99998	0.999995	1026	0	-1.1651
NKAP	8	4.5719e-07	4.6703e-06	0.000206	20	8	-0.73525	1.0	1.0	0.999995	1049	0	-0.73525
TOMM40	14	4.7655e-07	4.6703e-06	0.000206	21	12	-0.66526	0.99949	0.99951	0.999995	999	0	-0.66526
MAT2A	8	5.7255e-07	4.6703e-06	0.000206	22	8	-1.1457	1.0	1.0	0.999995	1044	0	-1.1457
ALDOA	8	6.0677e-07	4.6703e-06	0.000206	23	7	-1.6982	0.92719	0.92638	0.999995	830	0	-1.6982
MTHFD1	8	6.1734e-07	4.6703e-06	0.000206	24	8	-1.0099	1.0	1.0	0.999995	1048	0	-1.0099
ATP5F1B	8	6.4892e-07	4.6703e-06	0.000206	25	8	-0.86829	1.0	1.0	0.999995	1047	0	-0.86829
UQCRC1	8	1.0016e-06	4.6703e-06	0.000206	26	8	-0.75463	0.99987	0.99982	0.999995	1014	0	-0.75463
CKAP5	16	1.2225e-06	1.4011e-05	0.000479	27	15	-0.93501	0.99706	0.99753	0.999995	967	0	-0.93501
RPS19	8	1.4232e-06	1.4011e-05	0.000479	28	8	-1.5168	0.99999	1.0	0.999995	1040	0	-1.5168
NDUFB4	8	1.6012e-06	1.4011e-05	0.000479	29	8	-0.92925	1.0	1.0	0.999995	1045	0	-0.92925
RPA1	8	1.8666e-06	1.4011e-05	0.000479	30	8	-1.2414	0.99981	0.99972	0.999995	1012	0	-1.2414
ELL	8	2.0431e-06	1.4011e-05	0.000479	31	8	-1.0541	0.99996	0.99995	0.999995	1024	0	-1.0541
MRPL38	8	2.1622e-06	2.3351e-05	0.00075	32	8	-0.68984	1.0	1.0	0.999995	1043	0	-0.68984
VCP	8	3.1476e-06	3.2692e-05	0.001019	33	7	-2.0094	0.97083	0.97024	0.999995	878	0	-2.0094
VMP1	8	5.2431e-06	4.2033e-05	0.001204	34	8	-1.1566	0.99999	1.0	0.999995	1042	0	-1.1566
RPL13	6	5.8857e-06	2.3351e-05	0.00075	35	6	-1.322	0.99999	1.0	0.999995	1041	0	-1.322
KIF4A	8	5.9938e-06	5.1373e-05	0.00121	36	8	-1.1394	0.99999	1.0	0.999995	1037	0	-1.1394
MRPL41	8	6.231e-06	5.1373e-05	0.00121	37	8	-0.7558	0.99999	1.0	0.999995	1039	0	-0.7558
RPS5	8	6.3185e-06	5.1373e-05	0.00121	38	7	-1.2256	0.9852	0.98513	0.999995	926	0	-1.2256
HMGCS1	7	6.8172e-06	4.2033e-05	0.001204	39	7	-1.6944	0.99999	1.0	0.999995	1038	0	-1.6944
RIC8A	8	7.1745e-06	5.1373e-05	0.00121	40	8	-0.94457	0.99833	0.9983	0.999995	978	0	-0.94457
MED20	8	7.342e-06	5.1373e-05	0.00121	41	8	-0.94562	0.99947	0.99938	0.999995	997	0	-0.94562
CDK2	8	8.5987e-06	6.0714e-05	0.001369	42	7	-1.4275	0.93247	0.93165	0.999995	835	0	-1.4275
INTS6	6	8.6704e-06	4.2033e-05	0.001204	43	6	-1.282	0.99999	1.0	0.999995	1036	0	-1.282
PRKDC	16	9.3941e-06	0.00010742	0.002324	44	14	-0.5289	0.95557	0.95562	0.999995	865	0	-0.5289
RPL10A	7	1.0116e-05	5.1373e-05	0.00121	45	7	-1.2269	0.99624	0.99587	0.999995	960	0	-1.2269
TUFM	7	1.0327e-05	5.1373e-05	0.00121	46	7	-1.1799	0.99999	1.0	0.999995	1035	0	-1.1799
CDK7	7	1.2429e-05	5.1373e-05	0.00121	47	7	-1.4488	0.99997	0.99998	0.999995	1027	0	-1.4488
CLTC	8	1.2633e-05	0.00010742	0.002324	48	8	-1.1	0.99998	0.99999	0.999995	1028	0	-1.1
SMC1A	8	1.5623e-05	0.00013544	0.002871	49	8	-0.88429	0.99998	1.0	0.999995	1034	0	-0.88429
DYNLRB1	7	1.6273e-05	6.0714e-05	0.001369	50	7	-1.3987	0.99991	0.99993	0.999995	1017	0	-1.3987
ATP5F1A	8	1.7115e-05	0.00014478	0.003009	51	8	-0.9289	0.99904	0.99899	0.999995	991	0	-0.9289
TOP1	8	1.7397e-05	0.00015412	0.003082	52	8	-0.88318	0.99998	1.0	0.999995	1033	0	-0.88318
XAB2	8	1.7815e-05	0.00015412	0.003082	53	7	-1.3272	0.51745	0.51769	0.825184	258	0	-1.3272
COX6B1	16	1.8041e-05	0.00025687	0.004464	54	12	-0.8042	0.76714	0.76618	0.999995	674	0	-0.8042
ZNF407	8	1.8175e-05	0.00016346	0.00315	55	8	-0.8262	0.99985	0.99978	0.999995	1013	0	-0.8262
MTG2	8	1.8725e-05	0.00016346	0.00315	56	8	-0.51154	0.99998	1.0	0.999995	1031	0	-0.51154
RNF40	8	1.99e-05	0.0001728	0.003271	57	8	-1.1165	0.99998	1.0	0.999995	1032	0	-1.1165
POLR2A	8	2.1076e-05	0.00019148	0.003499	58	8	-0.88162	0.99998	0.99999	0.999995	1030	0	-0.88162
SMARCA4	8	2.1152e-05	0.00019148	0.003499	59	8	-0.81069	0.99998	0.99999	0.999995	1029	0	-0.81069
CAND1	8	2.3214e-05	0.00020082	0.003608	60	7	-0.9087	0.51745	0.51769	0.825184	490	0	-0.9087
MED12	8	2.5538e-05	0.00023818	0.004208	61	7	-1.0518	0.97288	0.97212	0.999995	883	0	-1.0518
NAA10	8	3.2229e-05	0.00029423	0.00495	62	8	-0.7834	0.99992	0.99991	0.999995	1020	0	-0.7834
UTP14A	8	3.2674e-05	0.00029423	0.00495	63	7	-0.76461	0.92794	0.92721	0.999995	831	0	-0.76461
TRRAP	8	3.4257e-05	0.00030357	0.005028	64	8	-1.1937	0.99997	0.99997	0.999995	1025	0	-1.1937
CDS2	8	5.0366e-05	0.00040631	0.006242	65	8	-0.9782	0.99955	0.99945	0.999995	1001	0	-0.9782
ACTL6A	8	5.0798e-05	0.00040631	0.006242	66	7	-1.1059	0.91271	0.91218	0.999995	813	0	-1.1059
PSMB3	7	6.1534e-05	0.00034093	0.00556	67	7	-1.7599	0.99994	0.99997	0.999995	1023	0	-1.7599
PRPF38A	8	6.3008e-05	0.00049972	0.007158	68	7	-1.2769	0.82038	0.8203	0.999995	713	0	-1.2769
ATR	8	6.3435e-05	0.00049972	0.007158	69	7	-0.89486	0.80266	0.80255	0.999995	705	0	-0.89486
INTS2	8	6.3979e-05	0.00049972	0.007158	70	8	-0.9033	0.99994	0.99994	0.999995	1022	0	-0.9033
PFAS	8	6.4242e-05	0.00049972	0.007158	71	8	-1.3198	0.99958	0.99948	0.999995	1002	0	-1.3198
