gene	MP38.D28A	MP38.D28B	MP38.D28C	MP38.D65A	MP38.D65B	MP38.D65C
ABCA3	-0.155598769855907	-0.123042073451454	-0.129936035089938	-0.312051116344451	-0.185381436662939	-0.305012820828234
ABCB1	-0.0666615859930449	-0.101079915963387	-0.00809988979736781	-0.0591664807611703	-0.182274683098403	-0.0885907831770372
ABCC3	-0.129447382221337	-0.190715106633404	-0.185855542880712	-0.158725281989083	-0.325548055765879	-0.354497694510898
ABCG2	-0.115475652638962	-0.11912230481302	-0.118877649098844	-0.166018432503797	-0.13372787649785	-0.0153223430935507
ABL1	-0.0471668534518958	-0.0608506869155852	-0.0618520917297303	-0.0186848331815974	-0.0873168239160386	-0.103091611197985
ABL2	-0.0958221787823647	-0.12400052523854	-0.132330691132414	-0.197745004984045	-0.246764228398739	-0.282359103866935
ABT1	-0.717369607305313	-0.737835918079558	-0.720706772562424	-1.17672536053929	-1.3891054619667	-1.02022993506998
ABTB2	-0.0780188617538826	-0.203395389374863	-0.126655651473522	-0.22730534690283	-0.340042882938001	-0.311515361612035
ACACA	-0.120640212463535	-0.243863294841874	-0.211862084162668	-0.502159708127977	-0.539150745106231	-0.580818586806283
ACACB	-0.122548791005261	-0.094456390698713	-0.111138221577878	-0.170363888171988	-0.227304294695768	-0.171620773738171
ACTL6A	-0.939901804840752	-0.927611219306017	-0.750521979355465	-1.88850335762526	-1.82065419741572	-1.03133474177786
ACTL6B	-0.100665780839727	-0.0750446636130011	-0.0766265383684379	-0.263306108511941	-0.0610324391961411	-0.150466769420977
ACTL7A	-0.211036677024023	-0.133594269903487	-0.134680505094515	-0.350786351942569	-0.223417460679626	-0.170670951319828
ADAM19	-0.0490625854764693	-0.0707998486580409	-0.0568148725711837	-0.0940194582974662	-0.0560154437920287	-0.067197999010541
ADAP1	-0.293115118353288	-0.240505122881464	-0.227023305639817	-0.492754442211498	-0.327198531444841	-0.364305207437463
ADAP2	-0.194794471880646	-0.169794849212808	-0.125102514546288	-0.409270290562874	-0.270833266717616	-0.1380593647531
ADARB1	-0.0694734382693094	-0.0949684119634421	-0.0663447444543733	-0.139372211990367	-0.265080009131251	-0.0913158375392034
ADARB2	-0.144400212185151	-0.0998705780823032	-0.130178290478764	-0.189890335865327	-0.179954686330065	-0.33474090317762
ADGRG7	-0.0822514442645887	-0.114337801046309	-0.124074123835602	-0.0991246584530308	-0.133374111900468	-0.0400846806023686
ADM	-0.0772742451238271	-0.136504854310594	-0.0741671720351696	-0.0655849321883309	-0.202202585888126	-0.184395106252141
ADSS	-0.293250937385295	-0.348045568783682	-0.27106453351675	-0.74885813695826	-0.907679562959106	-0.731585950510466
ADSSL1	-0.135699273985474	-0.0921539684748551	-0.140646259083914	-0.408778719341838	-0.356795625336701	-0.183295774986871
AFG3L2	-0.846074606931486	-0.748545146718764	-0.892596524210668	-1.80924095010128	-1.34204335973171	-1.43994490125691
AHCYL1	-0.863619114708662	-0.788332752185553	-0.809262797673364	-1.65602950163358	-1.47861228860479	-1.77391373202727
AHCYL2	-0.07591445500247	-0.111844812395795	-0.104843876510706	-0.360043724652761	-0.417532851793413	-0.209062347614378
AIPL1	-0.13087794540075	-0.136603609946532	-0.0954243100032199	-0.299132090064723	-0.273626659328967	-0.247618153242051
AKAP11	-0.118424261017274	-0.0811136620200799	-0.0915538702429468	-0.18238652528498	-0.11822851555918	-0.138190439074273
AKIRIN1	-0.236074680201004	-0.293190820600994	-0.296264789298329	-0.496597820986404	-0.519897620682097	-0.469258397449362
AKIRIN2	-0.68899207415587	-0.733395594465398	-0.73011123690501	-0.756489240880425	-1.10233176232022	-1.00186724069861
ALAS1	-0.150713443905861	-0.158662165768567	-0.114950396943403	-0.534729501358429	-0.444731006190583	-0.503719760643025
ALAS2	-0.095338637261006	-0.0782514955260909	-0.0798278532837836	-0.188332567642145	-0.0332845080523511	-0.120427180520824
ALDOA	-0.956054147744569	-0.943314024820651	-0.979615326573025	-2.09249080428134	-2.54120584622125	-2.05982346624271
ALDOC	-0.237766264395876	-0.309593755216995	-0.225396127155513	-0.627979535282968	-0.362679323048127	-0.236633040493366
ALG14	-0.341035039557921	-0.357808219862296	-0.307129588417846	-0.738429068583042	-0.627085700931151	-0.542088401227197
AMELX	-0.0824520808007454	-0.0852922445256593	-0.0335157203754121	-0.15270905937006	-0.271351667457341	-0.0502320449745204
ANAPC4	-0.513056550666737	-0.664251305608582	-0.536407860323126	-0.699982150642552	-1.10333126590521	-0.861975343575966
ANKRD10	-0.0686682852072851	-0.041379341825684	-0.064094462604226	-0.149042173000717	-0.0741376609617486	-0.119986097591776
ANKRD37	-0.0725813270199769	-0.053623651547767	-0.0613072748239169	-0.134229832893081	-0.0236081337544794	-0.104172539250286
ANXA1	-0.155805137099868	-0.0767440489906595	-0.104424191977451	-0.286763985194241	-0.12125303705228	-0.0710475875198082
AOX1	-0.111082042158542	-0.128764918926874	-0.128169462213877	-0.383796656102696	-0.201547331892749	-0.100966877711135
AP1G1	-0.125858489976467	-0.0825822132632846	-0.115514746828176	-0.298517252235649	-0.296162013424278	-0.239877346026001
AP1G2	-0.213910360799507	-0.18467446382002	-0.240671756235042	-0.437862112822896	-0.350714977900269	-0.322251708395783
AP2A1	-0.16337073127499	-0.133467864192838	-0.209883190273495	-0.212893990800086	-0.249745729645988	-0.241587469281737
AP2A2	-0.0380907073684255	-0.0193354259578008	-0.0350210564769828	-0.0525054433229597	-0.0471390594148751	-0.000388009226879651
AP3M1	-0.130235493789805	-0.0927672548128413	-0.156563205697746	-0.257279543094309	-0.21545026689132	-0.175729973046766
AP5M1	-0.140153812088604	-0.165205274166305	-0.102034208433916	-0.290295216934096	-0.227172207111485	-0.135985457842615
APH1A	-0.200229906446473	-0.240827780867948	-0.168781162775736	-0.76261903659669	-0.691319627458939	-0.703468746728061
APH1B	-0.140827069708116	-0.143679817673964	-0.0869547745970644	-0.110438403197892	-0.200554177761213	-0.0991364156467018
APOBEC1	-0.225542792411955	-0.215032225063699	-0.1934744290089	-0.307105755461902	-0.353839250343494	-0.422441055901394
APOBEC3C	-0.165674857064597	-0.0857960640244322	-0.0882314950793885	-0.328063368947393	-0.191550210494059	-0.0906412580199084
AQP8	-0.170489743206952	-0.0942716964012101	-0.176623100672869	-0.244083192795958	-0.151545445306055	-0.393700184217702
ARFGEF1	-0.130144511822518	-0.15624353555693	-0.131027139554857	-0.195832832191386	-0.338552270453908	-0.254530868641636
ARFGEF2	-0.183167290321981	-0.201266166532398	-0.210430003910491	-0.327373219555728	-0.487114524424459	-0.459461607866638
ARFIP1	-0.078994245092446	-0.0711972727756363	-0.0678589826888185	-0.122304996123075	-0.0836856194848904	-0.161404533118297
ARFIP2	0	-0.0257506734734309	-0.0336760253448462	-0.0598887587407342	-0.05128921343524	-0.0630259326203388
ARHGEF3	-0.098442822263375	-0.18826600000634	-0.0598035241332672	-0.140159701070508	-0.269495181420885	-0.07692390643745
ARHGEF6	-0.0793489739767149	-0.103909074493771	-0.0731052617750291	-0.151487329194859	-0.209590182450053	-0.142567018287159
ARHGEF7	-0.159788477896694	-0.121169929755317	-0.11262906417953	-0.305780818653767	-0.320485397984711	-0.254146219772149
ARID1A	-0.500520918893302	-0.587025409054339	-0.475446805728331	-0.844196066850245	-0.982729434786158	-1.00974877498945
ARID1B	-0.140692499764403	-0.12003981282873	-0.115938985304988	-0.240963883495878	-0.346879599267732	-0.289999603463255
ARID4A	-0.17086106155791	-0.191466710581337	-0.207311606416699	-0.516777876233834	-0.538349226600292	-0.476421619322238
ARPC5	-0.132379108354871	-0.148735543477109	-0.0779490647119791	-0.0803258128455428	-0.155218733346201	-0.101740430674849
ARPC5L	-0.351415092883905	-0.36601746897626	-0.26061736372215	-0.678539118728803	-0.388109306229192	-0.596236791625565
ARSJ	-0.0780982628053954	-0.100743065354404	-0.124873659295523	-0.0832306057530235	-0.091163471043449	-0.248168581999832
ASCL1	-0.175832544261225	-0.129882751357184	-0.100950209197533	-0.216558987377402	-0.176833279993792	-0.216176675505385
ASF1A	-0.166615697572421	-0.17421968958798	-0.12814717908778	-0.308833452624959	-0.199121511053423	-0.150630233224045
ASF1B	-0.119783267817494	-0.186004432521404	-0.130500723515098	-0.178975233363875	-0.199192341743985	-0.138107853478663
ATAD2	-0.137447104855257	-0.137855042153925	-0.186549843406789	-0.461280741476194	-0.346255416429631	-0.302465379569217
ATAD2B	-0.0828538821462679	-0.0583729031126134	-0.0679286835235828	-0.275937403020919	-0.0770828460431756	-0.148540165056855
ATM	-0.0620268921704284	-0.0717752677907522	-0.0177414297203081	-0.256373411994893	-0.254272330567107	-0.0989041237912582
ATOH1	-0.0969158773414541	-0.0875763560926681	-0.150997057263188	-0.103634022646434	-0.298581783228804	-0.202169655464667
ATP5F1A	-0.479316002448862	-0.479866863261552	-0.512167133248738	-1.78636071360021	-1.98467534339998	-2.02474824099761
ATP5F1B	-0.518863708691064	-0.569796874962365	-0.500698621069502	-1.8731459224508	-1.74722478575129	-1.56007062570666
ATP5F1D	-0.429020344753419	-0.446411292144544	-0.442222916974735	-1.74022738679099	-1.06088724762515	-1.34198985409958
ATP5PB	-0.313312992661639	-0.299740925736178	-0.35676657923593	-0.904421451386934	-0.757093383436417	-0.878037714885364
ATP6V1B1	-0.119105412855758	-0.162928100557409	-0.174075268500036	-0.264694964334138	-0.208191967453087	-0.245496473098227
ATP6V1B2	-1.40619619313846	-1.48727184923668	-1.3348402946917	-2.03055287577389	-2.1120600459488	-1.86235291572239
ATP6V1C1	-0.532283946264869	-0.731317645107227	-0.658765130044637	-0.995487441587592	-0.934903063225273	-0.927944827832555
ATP6V1C2	-0.0896447425676072	-0.116729951289811	-0.157133308974638	-0.106205973495869	-0.192660481386374	-0.276257801893306
ATP6V1D	-0.88489553837897	-0.917414251517478	-0.965144880882819	-1.20185673202426	-1.54830676139728	-1.3394279952633
ATP6V1E1	-0.814798153972124	-0.798329844336685	-0.893225610887308	-1.37453108478817	-1.31306083539986	-1.16842041420349
ATP6V1E2	-0.123964519345933	-0.13962860326225	-0.155240448775247	-0.335902364758372	-0.383681457764576	-0.207407404885295
ATP7A	-0.380209730433713	-0.277345361119346	-0.449728299647063	-1.25744308891513	-0.903144164445521	-1.56810947530924
ATP7B	-0.0276178380454922	-0.0746755713398947	-0.0194256341704543	-0.111194191086347	-0.121969320924258	-0.0681556526553847
ATP8B3	-0.177819604756314	-0.2377607489646	-0.134676451745134	-0.297288749612928	-0.526771632254091	-0.142686541913922
ATR	-0.660341859618235	-0.653601374923603	-0.6505773499161	-1.53242887703048	-1.16179827697902	-1.38079675198477
AXL	-0.0524074495908751	-0.0595933698743252	-0.0924625651381082	-0.0769650698254476	-0.11310978673446	-0.151490664117067
BAP1	-0.0594687811889307	-0.145364162959281	-0.0790556154266148	-0.0961090551186538	-0.220847671991231	-0.146363409356728
BARHL1	-0.153144656136471	-0.12244721031269	-0.169077314645552	-0.397050799882931	-0.258816317942577	-0.248061450937441
BATF3	-0.0927131684508839	-0.166197437726331	-0.113386705559049	-0.0864257571804531	-0.249070869957824	-0.0266037705086764
BCAP31	-0.18601049612844	-0.209787609693836	-0.190150781685827	-0.459829488354638	-0.412108415335957	-0.433489318412303
BECN1	-0.312965990840301	-0.332730514878645	-0.339541249491589	-0.693170596585259	-0.717733906479482	-0.848323367327972
BECN2	-0.0585813148824772	-0.0616351668798118	-0.0921876723381461	-0.158392147144961	-0.127265887665341	-0.212508447305323
BICD1	-0.18493884024967	-0.11615285660272	-0.18552169339824	-0.386079607914448	-0.19135741130504	-0.321113221258719
BICD2	-0.259420589156426	-0.289914222222945	-0.215719162559018	-0.686140409612773	-0.504510209416766	-0.607621924487558
BRD8	-0.174214406511884	-0.15924953837131	-0.187639062698491	-0.407585005117702	-0.377775928895624	-0.6270240366942
BRSK1	-0.102758101280124	-0.110519232441693	-0.0642534267137258	-0.206917488664956	-0.288748854062324	-0.139247024086983
BRSK2	-0.112681642335113	-0.1007258098747	-0.159996062404259	-0.294179921383103	-0.192438163230724	-0.236058724176795
BTBD11	-0.0890751864068349	-0.109665198165531	-0.10947656428559	-0.310843223754346	-0.143361000147848	-0.142029656998769
BTG1	-0.163839940381446	-0.19094595334376	-0.162843061972532	-0.151717030118912	-0.219837267811518	-0.126161200225145
BUB1B	-0.533317886504213	-0.585986662342334	-0.443095681168084	-1.33040467504615	-1.36648866100811	-1.10738675401458
BUB3	-1.23034268392598	-1.28640028373155	-1.23976005684179	-2.73855268112366	-2.82747243220978	-2.71398622707772
