id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	4.8785e-15	4.6703e-06	0.000177	1	16	-1.1704	1.0	1.0	0.999995	1060	0	-1.1704
RRM1	16	4.8057e-13	4.6703e-06	0.000177	2	16	-1.7149	1.0	1.0	0.999995	1059	0	-1.7149
NAE1	16	4.3826e-11	4.6703e-06	0.000177	3	15	-0.81939	0.99991	0.99989	0.999995	992	0	-0.81939
TOP2A	8	5.1834e-10	4.6703e-06	0.000177	4	8	-1.3981	1.0	1.0	0.999995	1058	0	-1.3981
CKAP5	16	7.8148e-10	4.6703e-06	0.000177	5	16	-1.2373	1.0	1.0	0.999995	1054	0	-1.2373
TOMM40	14	1.068e-09	4.6703e-06	0.000177	6	14	-0.9453	1.0	1.0	0.999995	1049	0	-0.9453
CCND1	8	1.1063e-09	4.6703e-06	0.000177	7	8	-1.6509	1.0	1.0	0.999995	1057	0	-1.6509
RPL3	14	1.8246e-09	4.6703e-06	0.000177	8	12	-1.2967	0.98848	0.98871	0.999995	906	0	-1.2967
BUB3	8	4.0539e-09	4.6703e-06	0.000177	9	8	-1.4504	1.0	1.0	0.999995	1056	0	-1.4504
POLR2L	8	6.7166e-09	4.6703e-06	0.000177	10	8	-1.9059	1.0	1.0	0.999995	1055	0	-1.9059
PRPF8	8	9.5707e-09	4.6703e-06	0.000177	11	8	-1.4362	1.0	1.0	0.999995	1053	0	-1.4362
KIF11	8	1.5218e-08	4.6703e-06	0.000177	12	8	-1.4639	1.0	1.0	0.999995	1052	0	-1.4639
NAA10	8	1.6044e-08	4.6703e-06	0.000177	13	8	-1.2451	1.0	1.0	0.999995	1051	0	-1.2451
RPS19	8	2.0965e-08	4.6703e-06	0.000177	14	8	-1.7647	1.0	1.0	0.999995	1050	0	-1.7647
PPP4C	8	2.2086e-08	4.6703e-06	0.000177	15	8	-1.3145	1.0	1.0	0.999995	1040	0	-1.3145
CDIPT	8	9.4638e-08	4.6703e-06	0.000177	16	7	-1.5354	0.94401	0.94321	0.999995	840	0	-1.5354
SF3B3	8	1.3225e-07	4.6703e-06	0.000177	17	8	-1.3742	1.0	1.0	0.999995	1048	0	-1.3742
RPL8	8	1.4819e-07	4.6703e-06	0.000177	18	8	-1.6001	1.0	1.0	0.999995	1047	0	-1.6001
CTR9	8	1.8399e-07	4.6703e-06	0.000177	19	8	-1.0492	1.0	1.0	0.999995	1046	0	-1.0492
