gene	BF
ABCA3	-1.51003125
ABCB1	-1.72805208333333
ABCC3	-0.608364583333333
ABCG2	-1.62313541666667
ABL1	-1.68588541666667
ABL2	-1.44832291666667
ABT1	4.27846875
ABTB2	-1.48790625
ACACA	3.24294791666667
ACACB	-1.03611458333333
ACTL6A	9.51530208333333
ACTL6B	-0.777864583333333
ACTL7A	-1.08409375
ADAM19	-1.47986458333333
ADAP1	-1.45790625
ADAP2	-1.36223958333333
ADARB1	-1.67309375
ADARB2	-1.75609375
ADGRG7	-1.16209375
ADM	-1.14505208333333
ADSS	0.445558035714286
ADSSL1	-0.342677083333333
AFG3L2	6.18962152777778
AHCYL1	5.82994791666667
AHCYL2	-1.38223958333333
AIPL1	-1.50803125
AKAP11	-1.43967708333333
AKIRIN1	0.606072916666667
AKIRIN2	5.37388541666667
ALAS1	-0.264354166666666
ALAS2	-2.03307291666667
ALDOA	7.14967708333333
ALDOC	-0.513635416666666
ALG14	2.35390625
AMELX	-1.58536458333333
ANAPC4	3.60723958333333
ANKRD10	-1.26890625
ANKRD37	-1.63298958333333
ANXA1	-1.54736458333333
AOX1	-1.19738541666667
AP1G1	-1.10648958333333
AP1G2	0.141822916666667
AP2A1	-0.815510416666667
AP2A2	-1.68482291666667
AP3M1	-1.15582291666667
AP5M1	-0.798052083333333
APH1A	1.14313541666667
APH1B	-1.08609375
APOBEC1	-0.925760416666666
APOBEC3C	1.46609375
AQP8	-2.05230208333333
ARFGEF1	-1.32207291666667
ARFGEF2	-1.15751041666667
ARFIP1	-1.46201041666667
ARFIP2	-1.56888541666667
ARHGEF3	-1.70063541666667
ARHGEF6	-1.89971875
ARHGEF7	-0.532989583333333
ARID1A	1.53655208333333
ARID1B	-0.74884375
ARID4A	0.380447916666667
ARPC5	-1.34953125
ARPC5L	0.608177083333333
ARSJ	-1.53151041666667
ASCL1	-1.34294791666667
ASF1A	-0.0104479166666664
ASF1B	0.513864583333334
ATAD2	-1.48986458333333
ATAD2B	-1.65007291666667
ATM	-0.983239583333333
ATOH1	-1.68353125
ATP5F1A	9.48084375
ATP5F1B	9.58621875
ATP5F1D	6.01261458333333
ATP5PB	6.33813541666667
ATP6V1B1	-0.539239583333333
ATP6V1B2	7.59951041666667
ATP6V1C1	5.48842708333333
ATP6V1C2	-0.808885416666667
ATP6V1D	7.69909375
ATP6V1E1	4.67141517857143
ATP6V1E2	-0.84590625
ATP7A	2.23905208333333
ATP7B	-1.75028125
ATP8B3	-1.04596875
ATR	5.52332291666667
AXL	-0.85296875
BAP1	4.51103125
BARHL1	-1.28034375
BATF3	-1.52388541666667
BCAP31	0.83340625
BECN1	1.89338541666667
BECN2	-1.37882291666667
BICD1	-0.502427083333333
BICD2	-0.124885416666667
BRD8	2.78605208333333
BRSK1	-0.997260416666667
BRSK2	-1.40896875
BTBD11	-0.749989583333333
BTG1	-0.745114583333333
BUB1B	6.62603125
BUB3	13.8221979166667
BZW1	-0.244295138888889
BZW2	-0.379072916666666
CAB39	-2.26726041666667
CAB39L	-1.73805208333333
CABP5	-0.193260416666666
CADPS	-1.39294791666667
CADPS2	-0.643052083333333
CALY	-1.06757291666667
CAND1	3.45698958333333
CAND2	-0.779989583333333
CAP1	1.56259375
CAP2	-0.976510416666667
CAPN2	-1.41903125
CASP4	-0.80040625
CAT	-1.25867708333333
CAV1	-1.38234375
CAVIN1	-0.95940625
CBLL1	-0.196510416666666
CBLL2	-1.58101041666667
CCDC69	-1.42265625
CCND1	4.59698958333333
CCND3	1.46171875
CCNE1	-0.77396875
CCNE2	-1.38619791666667
CCNL1	1.68576041666667
CCNL2	-1.12519791666667
CCNT1	0.59959375
CCNT2	0.572614583333333
CCT6A	10.2496056547619
CCT6B	-1.46740625
CD163L1	-1.82119791666667
CD44	-1.28003125
CD72	-1.03094791666667
CDC34	-0.51765625
CDIPT	11.4163854166667
CDK16	-1.67698958333333
CDK17	-0.0801562499999999
CDK19	-0.86803125
CDK2	4.92986458333333
CDK5R1	-0.650927083333333
CDK5R2	-0.774052083333333
CDK7	10.114462797619
CDK8	1.31744791666667
CDNF	-1.38807291666667
CDS1	-0.962010416666667
CDS2	7.27869791666667
CEACAM1	0.00446875000000002
CELA2A	-0.02971875
CFL1	3.17853125
CHM	-1.88844791666667
CHML	-1.76430208333333
CHMP1A	2.59448958333333
CHMP1B	-1.65203125
CHORDC1	10.7080104166667
CHRNB3	-1.45003125
CHSY1	-1.58736458333333
CHSY3	-0.407635416666666
CHUK	-0.373041666666666
CKAP5	10.4855520833333
CLASP1	-0.0296354166666666
CLASP2	-2.05203125
CLCA1	-0.95059375
CLDN4	-1.39873958333333
CLIP4	-1.55753125
CLNS1A	11.9354151785714
CLTA	-0.606989583333333
CLTB	-1.31255208333333
CLTC	8.13344791666667
CLTCL1	0.430489583333334
CNOT6	-1.62188541666667
CNOT6L	-1.75051736111111
CNOT7	-1.19725148809524
CNOT8	-0.993870535714286
COPA	12.01903125
COPG1	2.73430208333333
COPG2	-0.895364583333333
COPS7A	-1.78190625
COPS7B	-0.752489583333333
COPZ1	4.07371875
COPZ2	-1.48765625
COQ10A	-0.0100520833333331
COQ10B	0.612135416666667
COX4I1	7.47915625
COX4I2	-0.52740625
COX6B1	7.52180208333333
COX6B2	-1.21794791666667
CPS1	-1.85767708333333
CPSF3	9.91486458333333
CREBBP	-1.07876041666667
CRK	-1.00832291666667
CRKL	5.60296875
CRNN	-1.13961458333333
CRX	-1.41905208333333
CRY1	-0.827427083333333
CRY2	-0.591010416666666
CRYBB2	-1.53829910714286
CSTF2	-1.06840625
CSTF2T	-0.52596875
CTCFL	-1.52636458333333
CTNNB1	-1.03451041666667
CTPS1	2.56515625
