gene	OMM23.D28A	OMM23.D28B	OMM23.D28C	OMM23.D35A	OMM23.D35B	OMM23.D35C
ABCA3	-0.111186327914858	-0.0985132771450788	-0.132103257997547	-0.105049536482017	-0.0631371702349941	-0.137457531089193
ABCB1	-0.102165987122195	-0.075619517802739	-0.083820318923114	-0.0893538877068367	-0.0964481996026723	-0.0873210322983212
ABCC3	-0.153095366824436	-0.166287714504076	-0.181399672329986	-0.147714196535035	-0.231737417970612	-0.256084644532026
ABCG2	-0.112396568602259	-0.0715026347646009	-0.0935306610787046	-0.097528978864859	-0.100367311062069	-0.119529012334235
ABL1	-0.138597123779091	-0.0584672593393176	-0.0905014297408944	-0.0804006182043433	-0.0551632500230032	-0.0991641978452334
ABL2	-0.0849728873536566	-0.0934212249011968	-0.118570094017055	-0.0959379188387569	-0.118615361650228	-0.134923878300349
ABT1	-0.705352923813861	-0.70025000463891	-0.634985642710368	-0.59846650912249	-0.741335276527371	-0.627703943907755
ABTB2	-0.111344143448174	-0.0631814072526562	-0.182156526508559	-0.105781311507115	-0.0516507916496447	-0.144482770083701
ACACA	-0.464656841284048	-0.546632131204796	-0.56928153499925	-0.537610464106657	-0.641881488163588	-0.638276957841414
ACACB	-0.17805816381586	-0.122581742845186	-0.150082354367099	-0.176828108991751	-0.118991410857849	-0.184610364185523
ACTL6A	-1.13700435793419	-1.2097025900968	-1.17390492431324	-1.07538859708476	-1.29047318614391	-1.17049287653847
ACTL6B	-0.167993880941178	-0.171458655960546	-0.183815008172763	-0.158773373378327	-0.204551181277189	-0.172341164532831
ACTL7A	-0.137033227437869	-0.116728126021103	-0.183472820082338	-0.172977489010672	-0.1389754608267	-0.154434884549857
ADAM19	-0.106548614939901	-0.122924234716057	-0.0728784906274239	-0.103157661455716	-0.145428822605673	-0.0887342830379951
ADAP1	-0.164800427897471	-0.092120590123408	-0.129982794839561	-0.0829329211499906	-0.100864744115115	-0.130506661593655
ADAP2	-0.0545498285016087	-0.13225047298563	-0.123574218819564	-0.121193476897872	-0.147775247013569	-0.164970507368191
ADARB1	-0.114892520569361	-0.0820831203608441	-0.0852896054924957	-0.111935787004604	-0.117887066432352	-0.0763402429210699
ADARB2	-0.141694386216484	-0.0675930394313044	-0.0793669622001159	-0.143014224781309	-0.0507161787267358	-0.0488012357070864
ADGRG7	-0.127691832646817	-0.101723791011438	-0.182902329879751	-0.0940741724693629	-0.16501655686143	-0.187578040873413
ADM	-0.118219877939255	-0.119002483067588	-0.178682039980134	-0.151921505793372	-0.116835634629555	-0.167199290980968
ADSS	-0.285898565979414	-0.283929617348946	-0.286126863632729	-0.251103506254175	-0.385502977595719	-0.287372703556958
ADSSL1	-0.201990924359919	-0.22035558704382	-0.230297123044515	-0.215033179580817	-0.269821071452119	-0.204107525576352
AFG3L2	-0.766780660879557	-0.940827718780235	-0.696718550462792	-0.794326592114554	-0.973542525845319	-0.89050061038261
AHCYL1	-0.793997443885166	-0.87147452962245	-0.660637584160328	-0.840678286516935	-0.920700893014463	-0.831391375687988
AHCYL2	-0.148278719043625	-0.0935378502500158	-0.091680352669895	-0.182998704672101	-0.116257407417318	-0.084071244309707
AIPL1	-0.115481445208989	-0.114116492470619	-0.113724875735756	-0.0733006694907508	-0.100640144200587	-0.15542316529828
AKAP11	-0.137739781972693	-0.144027110976718	-0.122436779149964	-0.117180162689737	-0.101954743627952	-0.0882698360576881
AKIRIN1	-0.32839327675336	-0.333314433414857	-0.302440358123728	-0.226845643381845	-0.328048383093265	-0.310048023687433
AKIRIN2	-0.728315169106994	-0.705238261182177	-0.741012956729199	-0.80426748646251	-0.701516520127546	-0.828280543626985
ALAS1	-0.218438966224586	-0.202004598388589	-0.250398066301249	-0.187154063406198	-0.214330593470998	-0.26021269681309
ALAS2	-0.0576064802607522	-0.0666527934008732	-0.045695842612741	-0.0326876616441138	-0.0848308456907051	-0.0637294361257874
ALDOA	-0.907801681793826	-0.911829390143163	-0.801365054553601	-1.05416628539491	-1.0007309650634	-0.944627628774809
ALDOC	-0.229205938902862	-0.208066641807071	-0.176947817626684	-0.227706228316698	-0.215840060930279	-0.166870761242068
ALG14	-0.523296898382514	-0.430457589442911	-0.444746099200829	-0.514565943079478	-0.474343434183243	-0.485772455170768
AMELX	-0.0740690396853522	-0.0941970439578885	-0.0636361671779157	-0.0704314368117302	-0.135359057417047	-0.140304350033952
ANAPC4	-0.635197681938841	-0.512499643828884	-0.600076987355839	-0.602797359572088	-0.548187930113523	-0.713009085781068
ANKRD10	-0.162255576303616	-0.114518515801377	-0.126581286326286	-0.139058571103818	-0.12382298163206	-0.142793796849862
ANKRD37	-0.0806734973761539	-0.137293041227512	-0.0700427416255526	-0.0750511103439945	-0.126708713205812	-0.0811825403090779
ANXA1	-0.0888647547159002	-0.0738381323690051	-0.150725678576761	-0.08041670918093	-0.0654794154023071	-0.141185715597015
AOX1	-0.136191163859016	-0.124795954899089	-0.179091140728757	-0.0928775316565136	-0.134267356809697	-0.130912426048439
AP1G1	-0.114215809304985	-0.16394447017339	-0.178263083678103	-0.135210433899006	-0.106796207262344	-0.182777043140184
AP1G2	-0.219451685406421	-0.271789230041519	-0.259351507665661	-0.202839179676029	-0.329497843462877	-0.321379441562098
AP2A1	-0.193047650890106	-0.148318004597038	-0.157273311015902	-0.184995514395882	-0.218413841287977	-0.147706653490195
AP2A2	-0.111153103267221	-0.0915520697824026	-0.0616833226897599	-0.0457138122791699	-0.109400911374933	-0.100436867599907
AP3M1	-0.168675774597375	-0.21292776828151	-0.108126321140845	-0.107363706114828	-0.149889961376927	-0.105622024229674
AP5M1	-0.141145823745958	-0.112271755416503	-0.212753784111751	-0.224034805069315	-0.120386533715757	-0.217530585764845
APH1A	-0.331526884979213	-0.243252097835675	-0.428427372879603	-0.358513813696553	-0.34117729710525	-0.464718265867742
APH1B	-0.194653658560344	-0.107760268244249	-0.156219582169026	-0.15368266184803	-0.167670254067995	-0.133290824977618
APOBEC1	-0.161008805951097	-0.145388683194168	-0.201732987905446	-0.159861859972985	-0.0777703053172366	-0.205777033288803
APOBEC3C	-0.420185753728132	-0.329109964096904	-0.372498503060171	-0.396005691376297	-0.398667915697805	-0.449052767593024
AQP8	-0.0736024854679695	-0.0444986226362498	-0.0838070749662979	-0.0766665701653325	-0.0351757952735039	-0.0485272166367412
ARFGEF1	-0.116196203550483	-0.125982035457174	-0.120855843159557	-0.126226286311905	-0.151798695588259	-0.126281319409775
