gene	BF
ABCA3	-0.409666666666667
ABCB1	-0.445979166666667
ABCC3	-0.256020833333333
ABCG2	-0.838208333333333
ABL1	-0.687229166666667
ABL2	-0.783354166666667
ABT1	2.8241875
ABTB2	-0.640083333333333
ACACA	0.4529375
ACACB	-0.737833333333333
ACTL6A	5.08554166666667
ACTL6B	0.0904791666666666
ACTL7A	-0.656625
ADAM19	-0.429708333333333
ADAP1	-0.151541666666667
ADAP2	-0.611625
ADARB1	-1.1228125
ADARB2	-1.0758125
ADGRG7	-0.883520833333334
ADM	-0.646479166666667
ADSS	3.32544345238095
ADSSL1	-0.234645833333333
AFG3L2	2.68461805555556
AHCYL1	1.73329166666667
AHCYL2	0.233229166666667
AIPL1	-0.815333333333333
AKAP11	-0.670770833333334
AKIRIN1	0.192708333333333
AKIRIN2	4.05285416666667
ALAS1	-1.07747916666667
ALAS2	-0.716958333333333
ALDOA	5.83
ALDOC	0.3229375
ALG14	0.957166666666666
AMELX	-1.66204166666667
ANAPC4	2.45395833333333
ANKRD10	-0.611520833333334
ANKRD37	-0.724770833333333
ANXA1	-1.51977083333333
AOX1	-0.4369375
AP1G1	-1.05216666666667
AP1G2	-0.129354166666667
AP2A1	-0.1495
AP2A2	-1.00958333333333
AP3M1	-1.16764583333333
AP5M1	-0.878
APH1A	-0.135604166666667
APH1B	-0.6125
APOBEC1	-0.555125
APOBEC3C	-0.995125
AQP8	-0.74325
ARFGEF1	-1.24941666666667
ARFGEF2	-1.06552083333333
ARFIP1	-1.24139583333333
ARFIP2	-0.636979166666667
ARHGEF3	-1.00214583333333
ARHGEF6	-1.607875
ARHGEF7	-0.934083333333333
ARID1A	1.81660416666667
ARID1B	-0.962125
ARID4A	0.561833333333333
ARPC5	-0.403125
ARPC5L	0.487
ARSJ	-0.606125
ASCL1	-0.969229166666667
ASF1A	3.84027083333333
ASF1B	1.898875
ATAD2	-1.02977083333333
ATAD2B	-0.446833333333333
ATM	-0.43125
ATOH1	-0.973625
ATP5F1A	-0.0598125
ATP5F1B	-0.498270833333333
ATP5F1D	-0.0143125000000002
ATP5PB	-0.627604166666667
ATP6V1B1	0.184166666666667
ATP6V1B2	4.3715625
ATP6V1C1	2.48122916666667
ATP6V1C2	-0.0125208333333334
ATP6V1D	2.78997916666667
ATP6V1E1	2.07475297619048
ATP6V1E2	-0.0505208333333335
ATP7A	2.60210416666667
ATP7B	-0.653708333333333
ATP8B3	-0.575104166666667
ATR	2.884375
AXL	-0.784083333333333
BAP1	3.17575
BARHL1	-0.666395833333334
BATF3	-0.6893125
BCAP31	-0.650145833333333
BECN1	0.439375
BECN2	-0.809958333333333
BICD1	-0.160958333333333
BICD2	-0.361416666666667
BRD8	1.95339583333333
BRSK1	-0.126083333333333
BRSK2	-0.977229166666667
BTBD11	-0.286229166666667
BTG1	-0.845458333333333
BUB1B	1.330375
BUB3	5.99652083333333
BZW1	-0.336298611111111
BZW2	1.01279166666667
CAB39	-2.2231875
CAB39L	-0.943479166666667
