id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYC	16	1.4864e-14	4.6703e-06	0.000275	1	16	-1.8907	1.0	1.0	0.999995	1060	0	-1.8907
RRM1	16	1.4419e-12	4.6703e-06	0.000275	2	15	-2.5376	1.0	1.0	0.999995	1059	0	-2.5376
NAE1	16	6.5201e-10	4.6703e-06	0.000275	3	13	-0.71763	0.9046	0.99077	0.999995	898	1	-0.71763
CCND1	8	8.9611e-09	4.6703e-06	0.000275	4	8	-2.6261	1.0	1.0	0.999995	1058	0	-2.6261
ALDOA	8	1.5233e-08	4.6703e-06	0.000275	5	7	-2.4108	0.99998	1.0	0.999995	1037	0	-2.4108
RPP21	8	1.6908e-08	4.6703e-06	0.000275	6	8	-1.6231	1.0	1.0	0.999995	1057	0	-1.6231
POLR2L	8	2.6386e-08	4.6703e-06	0.000275	7	8	-3.6225	1.0	1.0	0.999995	1055	0	-3.6225
COPA	8	2.9715e-08	4.6703e-06	0.000275	8	8	-1.7571	1.0	1.0	0.999995	1056	0	-1.7571
BUB3	8	5.1336e-08	4.6703e-06	0.000275	9	8	-2.5889	1.0	1.0	0.999995	1046	0	-2.5889
RPL3	14	6.4458e-08	4.6703e-06	0.000275	10	11	-1.2379	0.55706	0.87837	0.999995	762	3	-1.2379
SF3B3	8	1.0193e-07	4.6703e-06	0.000275	11	8	-1.9384	1.0	1.0	0.999995	1054	0	-1.9384
PRPF8	8	3.3065e-07	4.6703e-06	0.000275	12	8	-1.9712	1.0	1.0	0.999995	1053	0	-1.9712
ATP6V1B2	8	4.9266e-07	4.6703e-06	0.000275	13	8	-1.024	1.0	1.0	0.999995	1052	0	-1.024
RRM2	7	4.9878e-07	4.6703e-06	0.000275	14	5	-1.8418	0.66524	0.87678	0.999995	800	2	-1.8418
E2F3	7	8.8793e-07	4.6703e-06	0.000275	15	6	-1.4737	0.95179	0.98102	0.999995	922	1	-1.4737
NKAP	8	1.1131e-06	4.6703e-06	0.000275	16	8	-1.1405	1.0	1.0	0.999995	1051	0	-1.1405
NAA10	8	1.1599e-06	4.6703e-06	0.000275	17	8	-1.9217	1.0	1.0	0.999995	1050	0	-1.9217
HSCB	8	1.3621e-06	1.4011e-05	0.000743	18	7	-1.5862	0.99736	0.99783	0.999995	980	1	-1.5862
INTS6	6	1.5319e-06	4.6703e-06	0.000275	19	6	-2.4071	1.0	1.0	0.999995	1049	0	-2.4071
RPS19	8	1.7406e-06	1.4011e-05	0.000743	20	8	-1.49	1.0	1.0	0.999995	1048	0	-1.49
TOMM40	14	2.0463e-06	2.3351e-05	0.00099	21	9	-1.4004	0.78968	0.96589	0.999995	842	3	-1.4004
KIF11	8	2.0713e-06	2.3351e-05	0.00099	22	8	-2.0976	1.0	1.0	0.999995	1047	0	-2.0976
HUS1	8	2.0715e-06	2.3351e-05	0.00099	23	7	-1.6097	0.99878	0.99877	0.999995	994	0	-1.6097
PPP2CA	16	3.7799e-06	2.3351e-05	0.00099	24	12	-0.65025	0.80819	0.97422	0.999995	848	2	-0.65025
TOMM22	7	4.3218e-06	4.2033e-05	0.001536	25	7	-0.62832	1.0	1.0	0.999995	1044	0	-0.62832
DYNLRB1	7	4.8174e-06	4.2033e-05	0.001536	26	7	-1.5778	1.0	1.0	0.999995	1043	0	-1.5778
