gene	Mel285.D28A	Mel285.D28B	Mel285.D28C	Mel285.D49A	Mel285.D49B	Mel285.D49C
ABCA3	-1.16080801846045	0.310436072621813	-0.455453202106459	-5.03300625279328	-4.30041151558046	-5.46293474956166
ABCB1	-0.362033302607828	-0.315631527751487	-0.400501791478872	-4.62427558803606	-5.25672601419958	-4.87847372315814
ABCC3	-0.210907466146316	-0.759656304913565	-1.77214272307925	-4.36174635364576	-4.70473346798491	-5.86897938037232
ABCG2	-0.447128477971457	-0.864677613203653	-0.245445296777386	-4.63954307457296	-6.22202784856233	-4.93013995716037
ABL1	0.597315572994184	0.110379485549835	-0.134914236837216	-2.97778857304709	-4.46259672274726	-4.39707074393492
ABL2	-0.578263680044236	-0.448241846657589	-0.344523967408844	-5.28557611633799	-5.15873805833703	-5.71517938271182
ABT1	-2.12930187268528	-3.81128312041971	-3.95925834167098	-5.4349438039367	-6.73396284309444	-7.3212933925953
ABTB2	-1.77028710830199	-1.30433896166375	-0.108907810618605	-5.53853893686467	-5.36690614065921	-5.44740573976169
ACACA	-2.12664999658427	-2.81441854381198	-3.53079357148113	-5.49283126904036	-6.17602418733937	-6.9482752393314
ACACB	-0.973584163129917	-1.24572673506951	-1.00636265509025	-5.19440070107393	-5.72428931976579	-4.97981998419572
ACTL6A	-4.03733485902912	-2.87472036688494	-2.84569238389041	-6.01962263029199	-6.02363432964758	-6.02544308663029
ACTL6B	-0.447520763996823	0.282377996323238	-1.11231182682078	-4.58753898019582	-4.07709284392043	-5.68968918439078
ACTL7A	-0.445655655191539	-2.81515865744734	-0.286415504351864	-4.74995320686066	-5.82508698801866	-4.35202246237825
ADAM19	0.484934696029979	-1.55147517485499	-0.832248474924775	-3.75353678926549	-5.61309959930538	-5.06987802894043
ADAP1	-1.58095632635464	-1.63063931806653	0.25478586960625	-5.76990687224167	-5.2428711600521	-4.15231833446606
ADAP2	-1.69011992452173	-0.65559098139024	-1.20074468336114	-6.19837388499455	-5.14561756908058	-5.2656293277332
ADARB1	-0.416933401023737	-0.616739799045746	-0.182578723868365	-4.29234774027065	-5.32612274052404	-5.00917306206478
ADARB2	-0.681282750912758	-0.870601545510376	-1.38250281370966	-4.04393105391684	-5.55297086694111	-5.84074334272797
ADGRG7	-1.12179244749751	-1.42433786614756	-0.82208602290457	-4.67295573696608	-5.20374681023215	-4.67016686853114
ADM	-0.286475177129324	-0.474480270144973	-1.06725669533081	-4.30425590020731	-4.93296408364992	-5.50031424808393
ADSS	-0.818207448492405	-0.835796558042644	-1.4596849358943	-4.6595780479616	-5.90791561399058	-5.8781726602358
ADSSL1	-0.911736493326436	-1.07945957090979	-1.2336350190604	-5.11027690688989	-5.26023027671991	-5.11110267486917
AFG3L2	-4.82706680634367	-4.22207444226102	-4.36045059852855	-6.45255984891869	-6.56935010516544	-7.02637170162041
AHCYL1	-1.06793673378548	-1.44331813344018	-0.705026187513507	-4.75626489209446	-5.93940809048464	-4.74870423322293
AHCYL2	-1.15056031959556	-0.960716168521637	0.0730258244865839	-5.13208946049702	-5.68992237165084	-4.93720326276973
AIPL1	0.0734545770767511	-0.294905004218283	-1.03402354982774	-4.24255901036604	-5.37018252310486	-5.35958699889857
AKAP11	-0.176821099888522	-0.387075378084085	-0.194151696698565	-4.03559059018355	-5.09633886324237	-4.97219758194344
AKIRIN1	-2.74134904126334	-1.57358583242776	-2.01336280962022	-6.72345480013762	-5.77902499346043	-6.27046478064261
AKIRIN2	-3.25189347828988	-3.1401431019209	-3.20527097088907	-6.55070495916984	-6.13062729079843	-7.00872696367794
ALAS1	-0.725876950353492	-0.776761520493446	-0.455346610068937	-4.74092997782495	-5.44224601984288	-4.84729001484541
ALAS2	0.139409417139467	-0.883533670783933	0.161917350675047	-3.64878400530444	-5.23458687682988	-3.1319890245296
ALDOA	-4.38704728980467	-4.64710087165387	-4.62649555291084	-7.08081954649433	-6.90489209976247	-7.16250777744045
ALDOC	-0.590097625950974	-1.76707374380379	-1.03165921454908	-4.54245969671515	-5.75467238071854	-5.49072816218878
ALG14	-3.04036975752573	-2.40409532356762	-3.92879339489766	-5.80778453765622	-6.37494718271523	-6.89684666146679
AMELX	-0.53333571566777	-1.34283597400091	-0.803382326968347	-4.77552674189724	-5.00514174623337	-4.98513399741969
ANAPC4	-3.99926989795221	-4.06114050809679	-4.04110407338578	-6.30014592363842	-6.95211523770011	-7.1208627228429
ANKRD10	-1.58607001039535	-1.33367473377767	-1.19687223511393	-5.4028816629971	-5.55901975156117	-5.49474727399464
ANKRD37	0.138371623469728	-0.328605022397832	0.24042485838618	-4.15070987798272	-5.63269110295205	-4.65196318054677
ANXA1	0.00718917011306203	-1.01922515829983	-0.274410439667121	-4.11789409585176	-5.76161299150155	-4.47563160501761
AOX1	-1.13327742664345	-1.69687517537048	0.589031075822681	-5.15073582728691	-6.06057950585769	-3.69972690338294
AP1G1	-2.17538704045664	-2.42119817089714	-3.5153426432803	-6.46485272494326	-5.83147135970463	-6.7702390929065
AP1G2	-1.51156033127523	-2.35158096799193	-1.77115676806776	-5.60652093328697	-5.84248528973416	-5.82653558058548
AP2A1	0.448054678614547	0.112929650694225	1.46408308466289	-4.20179367200404	-5.09626004813628	-2.50716096228217
AP2A2	-0.169925867369385	-0.633926419759907	-0.197305268758043	-4.34483116182486	-5.43395545465042	-4.55244073781754
AP3M1	-0.975006593462554	-1.1985966525353	-0.7518581933072	-4.95513015040062	-5.41930672581603	-4.77394216913614
AP5M1	-0.797508458745365	-1.15447616384791	-0.275472950520956	-4.93583563860246	-5.21237476537623	-4.56201048420089
APH1A	-1.24552269236801	-2.48735166883083	-0.79664009268521	-4.88920459137226	-6.3055303999192	-5.53931244262431
APH1B	-1.35324854238633	-0.13857068023315	-1.51795718081836	-6.01227318204686	-5.22482183171203	-5.79884903104269
APOBEC1	-1.72726156482047	-1.14760361935802	-1.05699897112464	-5.15619987964722	-5.54574496537654	-5.55739129023676
APOBEC3C	-0.192156293400107	-1.96743328510887	-0.702058531949239	-3.52583157902427	-5.62911278644702	-5.17121283693342
AQP8	0.475288627147921	-1.21641093101416	0.542199621528229	-3.37288130131896	-5.41857492933828	-3.38986818382366
ARFGEF1	-1.41007663765701	-1.50779802804751	-0.834079033144672	-5.60150512674855	-5.12513411253499	-4.77520744228446
ARFGEF2	-1.05874509440342	-0.253603849289275	-1.41871183068036	-5.47034463480116	-5.24649836892169	-5.53913763643581
ARFIP1	0.148286856712961	0.184052522414268	-0.952040989415895	-3.83820692582121	-4.31599062973201	-5.43633066979216
ARFIP2	-0.590235261577121	-1.07095339560054	-1.24846635740099	-3.92795892194748	-5.68737922446193	-5.82519536004267
ARHGEF3	-0.311457677766791	-0.342756768926433	-0.0541726061268602	-4.85455389872565	-3.77441427131694	-4.6711613729676
ARHGEF6	0.0243856982555262	-0.841555633271556	-1.02936682004488	-3.98882842527127	-5.65532730937321	-5.42050015473745
ARHGEF7	-2.84650742736264	-2.75377234021632	-3.02959998982208	-5.69642527468545	-5.99977101724918	-5.69796862177897
ARID1A	-2.81169468044393	-2.37102732330651	-2.39955068131602	-7.01557900081014	-6.95839544679418	-6.34106780688471
ARID1B	-2.27478672185616	-1.58128934326168	-1.26506001186783	-6.50140845512825	-5.88160131295779	-5.64292787724615
ARID4A	-0.386848310791571	-0.875475799772659	-1.4766912355761	-4.49898769886016	-5.59605932548995	-5.75774893420893
ARPC5	-1.18703340369137	0.0111837145586858	-0.292514471996519	-4.79767195869968	-5.389964062921	-4.73683665750253
ARPC5L	-2.03949461096524	-1.16969034519305	-1.355026836848	-5.246130369429	-5.60158628855152	-4.97459260313826
ARSJ	-1.37146501586746	0.0817487392968952	-0.42973223774884	-6.15955296852185	-4.45791820883626	-4.98539012579269
ASCL1	-0.25493574702547	-0.292134938529409	-0.797327000392822	-4.41921166138646	-4.57908294008525	-5.44179429519849
ASF1A	-1.07617268659791	-0.899245384442639	-0.632403946898964	-5.5282624987739	-5.33843665697581	-5.34826586695035
ASF1B	-1.59050296807159	-1.81165230472764	-1.19032296252079	-5.21945082645819	-5.71173521564466	-5.20805373523882
ATAD2	-0.0314431770820349	-0.0912452723775175	-2.39667929394732	-3.46448602484805	-4.82775719090566	-6.29491360358396
ATAD2B	-1.94303673283898	-1.3739801334106	-0.717451774480033	-5.4600720735112	-5.45217673792476	-4.77719266049275
ATM	0.628910867907303	-0.81827326147631	-0.415804139938323	-4.62839794648486	-6.03340629332708	-5.71092985629716
ATOH1	0.544388058700572	-1.26502344922495	-1.16517860339374	-3.81838883646575	-5.15650054298611	-5.85232007381908
ATP5F1A	-3.37907661366464	-4.24507110659559	-3.97924984216403	-5.77063988249559	-6.80712403831883	-7.10350788036435
ATP5F1B	-3.78647720629303	-3.87627283847512	-2.30385399039584	-7.38876688833661	-7.15416855939536	-5.56130767595943
ATP5F1D	-3.07131694486393	-3.19275039580371	-2.86043621494606	-6.11413133750543	-6.47253787398339	-6.36377413497507
ATP5PB	-3.00193889369325	-2.24948531470701	-2.69950884503185	-6.05691458844297	-6.64675385790522	-6.40074175218243
ATP6V1B1	-0.408919852615982	-1.63727926491171	-1.89550555431716	-4.18758328669183	-6.22304561748169	-5.21105745724386
ATP6V1B2	-5.04683994409257	-4.79558282219439	-4.43890621856323	-6.79370478506077	-6.6704538256573	-6.78355011883509
ATP6V1C1	-2.68370073973799	-2.65333564424113	-3.95488571819394	-5.81115239923223	-5.57750898500948	-6.28049027722421
ATP6V1C2	-1.07869623273391	-0.713517703022982	-0.444511385520872	-5.13519983694679	-5.00548723485468	-5.05726238575473
ATP6V1D	-3.56164355214108	-3.80566053149244	-3.93402876468749	-6.09235760406364	-6.35699775216946	-6.61045671467591
ATP6V1E1	-3.24626920821241	-3.06870961654801	-3.12889494158648	-5.80561587780888	-6.53792076580129	-6.1284835967912
ATP6V1E2	-0.64242774023957	-1.13252280206263	-1.2840992924816	-4.20674510469774	-5.18362521514177	-4.83937593768331
ATP7A	-0.554347744798173	-0.123518358917374	-0.252832612487034	-5.09116648651679	-4.61145721541103	-4.34880555780263
ATP7B	0.0794474922051828	-0.212287857008053	-0.41170390092239	-3.93085320354587	-4.71186589449184	-5.45625709127881
ATP8B3	-1.23116814178583	-0.766860882578275	-2.15024466330847	-5.23459827812897	-5.23398128137335	-6.25437569571414
ATR	-2.65898566167185	-2.35044899444448	-3.19027168183804	-6.80889885156761	-6.94776577556033	-6.96187153401781
AXL	-0.937132006062566	-0.502289679461913	0.225140546771486	-4.8166391810024	-5.15672102508301	-4.26404953629521
BAP1	-1.22239841591582	-1.78667138514766	-1.91538759619721	-5.95215721713155	-7.46834303538526	-6.29623098277321
BARHL1	-0.293430592673805	-1.89730678169709	-0.927059200290666	-3.89696435271635	-5.52852138168733	-5.19609849538827
BATF3	-1.14779405773151	0.230195686636958	-0.0849872665857486	-5.97155159478332	-4.57189446238725	-4.15921705637694
BCAP31	-1.83049844110418	-1.62656516757594	-2.38943326309168	-6.20031896514384	-6.11737408353039	-6.82014011937628
BECN1	-1.80551207059567	-1.22335529274052	-2.03324212916417	-5.57290307705857	-5.28846929177732	-5.99827451091557
BECN2	-1.04141133442921	-1.45817958111162	-0.280501611030492	-4.98502620664964	-6.22330759749617	-5.42548034025882
BICD1	-2.2468046915102	-1.06009265188592	-1.39159312308191	-6.46033018199713	-5.6397880704333	-5.2893455404256
BICD2	-2.20432482581534	-2.12175625779256	-2.75808357273499	-5.58292747296845	-6.44904205480956	-6.16204893130327
BRD8	-2.05759428899013	-3.09176555095545	-2.47824472273665	-5.56154122676046	-6.16322275643054	-5.93325958965886
BRSK1	-0.11418124531718	-1.29097972743482	-0.888053500248882	-4.56800840754995	-5.71335513922401	-6.06395216829183
BRSK2	-1.5417462688606	-1.49367148035376	-0.576617293653586	-5.54702412032061	-5.47962469103625	-5.53044762482339
BTBD11	-0.789884802640041	-1.66895831003472	-1.17578563101797	-4.52426468765537	-6.07749319290035	-6.14479383283073
BTG1	-0.760129449435292	-1.75060629615133	-1.11522780152097	-5.35008548477386	-6.2217677591103	-6.52724896979794
BUB1B	-3.17494655823746	-4.68248616527354	-2.81988026905335	-5.79222254569869	-7.11351064373823	-6.19588606593165
BUB3	-3.93351000464387	-5.86698185020425	-5.59743769133374	-6.49359402132304	-7.07148687077468	-7.26934508745215
BZW1	-0.111348466139968	-0.450692166900959	-0.541254897643952	-3.84258154921524	-4.84647212243075	-4.95697032508797
BZW2	-0.334928267447139	-0.640929765634999	-1.17311446239268	-4.44234708600711	-5.09293282347511	-5.10158833286572
CAB39	0.99648833310691	1.66974691062627	1.41451367297842	-2.09239321155051	-2.25068027478546	-1.43725299983919
CAB39L	-0.00469511298973227	-0.748034179309129	-0.364329608699531	-3.90050420960485	-5.41762445931408	-4.98356578271119
CABP5	-0.388594050685278	-1.30217078209964	-1.27187141548187	-4.15589185023237	-5.57087281817059	-5.19623180035961
CADPS	-0.262771073459263	-0.670114282772533	-1.28049388189851	-4.74508344561776	-5.04189430899096	-5.63531346915761
CADPS2	-0.31050694907771	-0.471163703029646	-0.603623394782839	-4.50503962739747	-5.19567933297715	-5.00528033959153
CALY	-0.474075908613589	-0.116624892597946	-0.973149359832177	-5.09012742859063	-5.26632962116203	-6.13438356514425
CAND1	-0.496440609021042	-2.18477416038647	-1.48678839922227	-3.68819932542331	-5.99649665771658	-5.64448226654625
CAND2	-0.524551453131001	-0.605627941957562	-1.93919580163028	-4.76370493301233	-5.72046295606172	-4.80469718037947
CAP1	-1.92763337780333	-1.93337394976774	-3.03567780818995	-5.24010420956571	-6.3956367755714	-5.75568579665102
CAP2	0.195436517889063	-0.639170262584534	-1.14452266398919	-3.43032012466952	-6.01492114397452	-5.69292622898054
CAPN2	-0.297100130886478	-1.24784741430953	-0.526968436293597	-4.66941233981275	-5.64003928073365	-4.71678112769309
CASP4	-0.828958792936312	-0.560985686351247	0.100381581223873	-4.86157683022966	-4.58492528962188	-4.17732369763321
CAT	-0.324481593923458	-1.73365144114924	-0.928403614018059	-4.50781616102993	-5.74366963475373	-4.77168729117838
CAV1	-0.222238211437522	-0.307523981879823	-0.920581346441425	-4.6957274055437	-5.39697726554065	-5.29331752267119
CAVIN1	-1.04380769839258	-0.89849904986297	-1.11305005486752	-5.12776429469628	-5.31792940510286	-5.61430125482509
CBLL1	-0.556376773343982	-0.0637943737302826	1.01451496946601	-4.38701015820074	-4.82645371128581	-2.97743436908373
CBLL2	0.0350219872693371	-1.06046214470878	-0.435102005782901	-3.44126936815264	-5.82251230203031	-5.40064005822578
CCDC69	-0.766490033165422	-1.03709366987371	0.132432040769556	-5.28598638303207	-6.44744179559266	-3.9915173501869
CCND1	-5.13604913266016	-5.00996432364225	-5.27670488564014	-6.75402948027445	-7.08100468287879	-7.0983207938604
CCND3	-1.3905920299678	-1.00433886222543	-0.66330524075187	-5.03112172815052	-5.33813034119587	-5.01115155794783
CCNE1	-0.673727773851012	-0.222802002483918	0.140969321601267	-5.12098080346061	-4.81325750815589	-4.3059387859562
CCNE2	-1.87061870743621	-1.79291709891026	-2.2810797522639	-5.64854954825676	-6.0817488912059	-6.36895230789165
CCNL1	-4.66043761930121	-4.13199659572709	-4.55855490896631	-6.98841368790806	-6.79668139763299	-6.98155213359273
CCNL2	-0.885582433439189	-0.79600833536427	-0.318299915323969	-5.41530738255581	-5.56313683826944	-4.81453193828953
CCNT1	-1.84360284232551	-2.8877520842218	-3.11951406325738	-5.92557360191796	-6.4122467330457	-7.1609164017235
CCNT2	-1.14808453830204	-2.17703914827329	-1.72982457223783	-5.746884728559	-6.14340396634147	-6.01089893419527
CCT6A	-3.30471633353151	-3.03105716928279	-5.33717856024166	-6.16918086736913	-6.35485775145933	-7.25534328138334
CCT6B	-1.17120317854714	-0.160631999275398	-1.54835502126421	-5.20698639858893	-4.85716400315094	-5.32433344015494
CD163L1	0.331908903064341	-0.714405436718856	0.131373995668623	-3.7909462567572	-4.98546157226489	-4.61472619282977
CD44	0.681704791185622	-0.335823463870367	0.195537253993632	-2.24570429679133	-4.54977372283556	-3.63846411973534
CD72	-0.967626583611494	-0.812985007883547	-1.07532892727872	-5.16886271589955	-5.52734640978219	-5.36018771908504
CDC34	-0.610533663285007	-1.8709027262995	-1.29777159230504	-4.9456984522894	-6.06937518045863	-6.19732519493816
CDIPT	-3.46370710936591	-3.92326385257914	-4.03048660736804	-6.54108842426667	-6.61631120133444	-6.41311234267991
CDK16	-1.02934274335898	-0.947950674425135	0.14352977856124	-5.49313376879497	-5.02539808372515	-4.27135584528161
CDK17	-0.5785181871595	-1.60406572981479	-2.39486964785186	-4.13719756026925	-6.26042639026154	-5.75499621338106
CDK19	-0.230373329640387	-0.175733334044217	-0.057421259443468	-4.58064158535822	-4.88180406110943	-4.90565972525438
CDK2	-4.01222017647065	-3.22963308118882	-3.93245702383306	-6.13066891207053	-5.9486635054551	-6.48213320484211
CDK5R1	-1.26484116486782	-1.12009176509237	-0.0749830077238374	-5.28762404816564	-5.66849587726726	-4.55342816765222
CDK5R2	-1.42839610012079	-1.00117390505773	-1.26493858964374	-5.10160321354356	-6.16427167711203	-5.7501683913152
CDK7	-4.4854371753727	-5.17494350724711	-5.02747718194628	-6.55394813360158	-6.8644399373547	-7.3571958430108
CDK8	-0.0871784735562186	0.191289468026096	-0.720442501703262	-3.57088262185785	-4.54916151509405	-4.98213737925245
CDNF	-1.30725577185366	-1.04077577963033	-0.182522497176314	-5.38814545988416	-5.59625007973291	-4.54572220714765
CDS1	-0.36036334836777	-0.278245681537388	0.464448909971854	-5.01233876491729	-4.934031084772	-3.59619127968474
CDS2	-3.25327116046115	-3.3023409670347	-2.29907513759501	-6.59534487269234	-5.84988537150726	-6.08999876873235
CEACAM1	-0.602358772727107	-1.99984668230377	-0.939130434390111	-4.04643681693338	-6.43154431699873	-5.54484731576981
CELA2A	-0.488102692330599	-1.08313322915542	-0.479895734868235	-3.5615132991484	-5.23830097085845	-4.18807888406943
CFL1	-1.82638493969916	-1.45319932018978	-0.976561813884646	-6.1921190196998	-6.15038316998652	-4.87997846914618
CHM	0.05385310768327	0.0101207475959802	0.497692492586469	-3.81396823865497	-5.24343595386319	-4.16138301498101
CHML	-1.65240289248393	-0.922711992086597	-0.157112769463702	-6.44752337334951	-5.76850649813993	-4.77109680912938
CHMP1A	-2.3796371929135	-1.47574138949822	-1.91107192362732	-6.03280761760066	-5.75108665719521	-6.31518962523476
CHMP1B	0.108892647780279	-0.489877802833248	-0.508465449745838	-3.98305492384904	-5.62314700863604	-4.60457813577501
CHORDC1	-3.71273208400366	-3.63476149385976	-3.59211728219695	-5.89517732938401	-5.83785996865349	-6.8164523774605
CHRNB3	-1.23050328755832	-2.62816352713777	-0.857610597226891	-4.14052915432687	-5.72523401030839	-4.51624507941156
CHSY1	-0.0902323244456993	0.382335843761727	-0.397204487065537	-3.74140143572815	-4.43624570802331	-5.06729501794128
CHSY3	-0.2152469079857	-2.050615248952	-0.299250674553262	-4.1063676631009	-5.99812838746179	-4.63003467782898
CHUK	-0.749155639191613	-1.20013747812951	-0.916662947790088	-4.68032750285932	-5.47479874015202	-5.04419988329636
CKAP5	-4.70748123034082	-4.30694164107407	-4.42632272071932	-6.71312715106361	-6.44629802713558	-6.65891095016232
CLASP1	-2.48277282265261	-2.98517190838284	-3.24427453352721	-5.83837203703294	-6.26330641169581	-5.65940732212818
CLASP2	-1.6825772554674	-1.44924765278175	-1.00639214199343	-6.08665531567722	-6.09111295863261	-6.28579336329189
CLCA1	-0.775794527408607	-1.07104045604666	-0.456531817065907	-4.60753236914651	-5.17109252934536	-4.20949260990312
CLDN4	-1.04601805579091	-0.803451042493844	-1.64872704093459	-4.9462246120444	-5.63645875099066	-5.6346709349291
CLIP4	-1.67197959663367	-0.0315723395264902	-1.18869977201039	-5.35074048121435	-3.88761163256505	-5.55140920336544
CLNS1A	-3.74321428080057	-4.11129460850283	-5.16476398614294	-6.02511571780273	-6.3743373423477	-7.01328960064533
