gene	BF
ABCA3	-0.558885416666667
ABCB1	-0.525239583333333
ABCC3	-0.157010416666667
ABCG2	-0.439364583333333
ABL1	-0.399489583333333
ABL2	-0.172510416666667
ABT1	-0.0435729166666667
ABTB2	-0.511489583333333
ACACA	-0.100177083333333
ACACB	-0.448302083333333
ACTL6A	0.254385416666667
ACTL6B	-0.223322916666667
ACTL7A	-0.33721875
ADAM19	-0.51453125
ADAP1	0.09153125
ADAP2	-0.25809375
ADARB1	-0.24915625
ADARB2	-0.485385416666667
ADGRG7	-0.263385416666667
ADM	-0.430510416666667
ADSS	0.365441964285714
ADSSL1	-0.479510416666667
AFG3L2	0.110434027777778
AHCYL1	0.08934375
AHCYL2	-0.149177083333333
AIPL1	-0.356697916666667
AKAP11	-0.31578125
AKIRIN1	-0.189177083333333
AKIRIN2	0.18946875
ALAS1	-0.1854375
ALAS2	-0.342802083333333
ALDOA	0.202385416666667
ALDOC	-0.0819270833333333
ALG14	-0.131489583333333
AMELX	-0.628697916666667
ANAPC4	0.0817604166666666
ANKRD10	-0.31571875
ANKRD37	-0.406197916666667
ANXA1	-0.484052083333333
AOX1	-0.0933645833333334
AP1G1	-0.516697916666667
AP1G2	-0.07846875
AP2A1	-0.245177083333333
AP2A2	-0.438010416666667
AP3M1	-0.324947916666667
AP5M1	-0.565614583333333
APH1A	-0.0940104166666667
APH1B	-0.320072916666667
APOBEC1	-0.692677083333333
APOBEC3C	0.09465625
AQP8	-0.409927083333333
ARFGEF1	-0.108010416666667
ARFGEF2	-0.22634375
ARFIP1	-0.22334375
ARFIP2	-0.434197916666667
ARHGEF3	-0.45759375
ARHGEF6	-0.617010416666667
ARHGEF7	-0.227552083333333
ARID1A	-0.44228125
ARID1B	-0.424177083333333
ARID4A	-0.11146875
ARPC5	-0.18171875
ARPC5L	-0.340302083333333
ARSJ	-0.522552083333333
ASCL1	-0.420864583333333
ASF1A	-0.0496354166666667
ASF1B	-0.141885416666667
ATAD2	-0.10203125
ATAD2B	-0.379447916666667
ATM	-0.527760416666667
ATOH1	-0.32390625
ATP5F1A	0.222552083333333
ATP5F1B	0.02684375
ATP5F1D	0.118260416666667
ATP5PB	0.00463541666666664
ATP6V1B1	-0.485864583333333
ATP6V1B2	0.423885416666667
ATP6V1C1	-0.05815625
ATP6V1C2	-0.13009375
ATP6V1D	0.22540625
ATP6V1E1	-0.493891369047619
ATP6V1E2	-0.253010416666667
ATP7A	-0.27084375
ATP7B	-0.25559375
ATP8B3	-0.27065625
ATR	-0.0667395833333334
AXL	-0.242802083333333
BAP1	-0.448197916666667
BARHL1	-0.273010416666667
BATF3	-0.339885416666667
BCAP31	-0.365427083333333
BECN1	-0.122239583333333
BECN2	-0.260635416666667
BICD1	-0.341260416666667
BICD2	-0.381677083333333
BRD8	-0.23146875
BRSK1	-0.22178125
BRSK2	-0.428885416666667
BTBD11	-0.326552083333333
BTG1	-0.37996875
BUB1B	-0.257197916666667
BUB3	0.41515625
BZW1	-0.437927083333333
BZW2	-0.00788541666666669
CAB39	-0.45078125
CAB39L	-0.219739583333333
CABP5	-0.207177083333333
CADPS	-0.266614583333333
CADPS2	-0.177197916666667
CALY	-0.324489583333333
CAND1	-0.0744479166666667
CAND2	-0.264489583333333
CAP1	0.0471145833333333
CAP2	-0.21734375
CAPN2	-0.422510416666667
CASP4	-0.30271875
CAT	-0.383760416666667
CAV1	-0.42028125
CAVIN1	0.19590625
CBLL1	-0.147302083333333
CBLL2	-0.448114583333333
CCDC69	-0.542510416666667
CCND1	0.43865625
CCND3	-0.300989583333333
CCNE1	-0.12921875
CCNE2	-0.439135416666667
CCNL1	-0.327864583333333
CCNL2	-0.23678125
CCNT1	-0.31628125
CCNT2	-0.182385416666667
CCT6A	0.171370535714286
CCT6B	-0.214614583333333
CD163L1	-0.320135416666667
CD44	-0.314302083333333
CD72	-0.420802083333333
CDC34	-0.236385416666667
CDIPT	-0.00115625
CDK16	-0.308864583333333
CDK17	-0.48753125
CDK19	-0.30484375
CDK2	0.30184375
CDK5R1	0.0557604166666666
CDK5R2	-0.298635416666667
CDK7	-0.103962797619048
CDK8	-0.378947916666667
CDNF	-0.288822916666667
CDS1	-0.366614583333333
CDS2	0.285260416666667
CEACAM1	-0.421239583333333
CELA2A	-0.24315625
CFL1	-0.0454479166666667
CHM	-0.350322916666667
CHML	-0.379864583333333
CHMP1A	-0.0649270833333334
CHMP1B	-0.252322916666667
CHORDC1	0.222739583333333
CHRNB3	-0.118135416666667
CHSY1	-0.42353125
CHSY3	-0.349322916666667
CHUK	-0.422739583333333
CKAP5	0.205135416666667
CLASP1	-0.06796875
CLASP2	-0.340739583333333
CLCA1	-0.29084375
CLDN4	-0.16534375
CLIP4	-0.305177083333333
CLNS1A	0.467584821428571
CLTA	-0.30240625
CLTB	-0.32115625
CLTC	0.24534375
CLTCL1	-0.452177083333333
CNOT6	-0.33203125
CNOT6L	0.106850694444444
CNOT7	-0.0684151785714286
CNOT8	-0.496272321428571
COPA	0.0869895833333333
COPG1	-0.0852395833333334
COPG2	-0.280989583333333
COPS7A	-0.75465625
COPS7B	-0.33978125
COPZ1	0.122302083333333
COPZ2	-0.267239583333333
COQ10A	-0.0136770833333333
COQ10B	-0.120760416666667
COX4I1	-0.0510104166666667
COX4I2	-0.335802083333333
COX6B1	-0.0819791666666667
COX6B2	-0.23365625
CPS1	-0.29215625
CPSF3	0.21771875
CREBBP	-0.46903125
CRK	-0.429864583333333
CRKL	-0.295947916666667
CRNN	-0.38928125
CRX	-0.0326770833333334
CRY1	-0.13040625
CRY2	-0.21765625
CRYBB2	-0.46486755952381
CSTF2	-0.35040625
CSTF2T	-0.313822916666667
CTCFL	-0.37953125
CTNNB1	-0.535677083333333
CTPS1	0.0172604166666667
CTPS2	-0.595072916666667
CTR9	0.250552083333333
CTSZ	-0.267322916666667
CWF19L1	-0.42784375
CYFIP1	-0.24490625
CYFIP2	-0.350552083333333
CYP26C1	-0.33671875
CYP2A6	-0.211614583333333
CYP2C8	-0.221489583333333
CYP7A1	-0.270635416666667
DBT	-0.355302083333333
DCAF4L2	-0.231239583333333
DCAF8L1	-0.542260416666667
DDI1	-0.476020833333333
DDI2	0.150302083333333
DDX17	-0.29784375
DDX39A	-0.297572916666667
DDX39B	-0.261052083333333
DDX5	0.16328125
DEGS1	-0.397010416666667
DEGS2	-0.448677083333333
DENND5A	-0.43240625
DENND5B	-0.210114583333333
DGAT1	-0.249447916666667
DGAT2L6	-0.133635416666667
DGKI	-0.42615625
DGKZ	0.243461805555556
DHX29	0.172227678571429
DHX9	0.22315625
DLL1	-0.711135416666667
DLL4	-0.531947916666667
DMD	-0.234364583333333
DMP1	-0.357739583333333
DMXL1	-0.71221875
DMXL2	-0.209614583333333
DNAJC15	-0.303135416666667
DNAJC19	-0.343065972222222
DPCR1	-0.322052083333333
DRD3	-0.489072916666667
DST	-0.369260416666667
DUOX1	-0.356822916666667
DUOX2	-0.227989583333333
DUSP10	-0.287510416666667
DYNC1LI1	-0.344034226190476
DYNC1LI2	-0.391427083333333
DYNLRB1	0.416227678571429
DYNLRB2	-0.40421875
DYNLT1	-0.53978125
DYNLT3	-0.458677083333333
DZIP1L	-0.123427083333333
DZIP3	-0.544614583333333
E2F3	0.530394345238095
E2F4	-0.06940625
EAF1	-0.0632604166666667
EAF2	-0.36553125
EEFSEC	0.172197916666667
EFNB1	-0.554760416666667
EFR3A	-0.25040625
EFR3B	-0.19371875
EGFR	-0.630197916666667
EIF3B	0.45528125
EIF3J	-0.0314389880952381
EIF3L	-0.177072916666667
EIF4A3	0.33365625
ELL	-0.02684375
ELL2	-0.463486607142857
ENOX1	-0.599697916666667
ENOX2	-0.287885416666667
EP300	0.186197916666667
EPC1	-0.34909375
EPC2	-0.538927083333333
EPHA2	-0.32128125
